Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
181,"DS Edwards","Aglaophyton major, a non-vascular land-plant from the Devonian Rhynie Chert",1986,"Botanical Journal of the Linnean Society","academic.oup.com","https://academic.oup.com/botlinnean/article-abstract/93/2/173/2645323","https://scholar.google.com/scholar?cites=6401603580914096849&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 15:10:45","","","","",,,,,181,4.76,181,1,38,"… Rhizoids arc confined to the lower surface of all axes; the daughter axes contain small … The axis is interpreted as growing from left to right and bears rhizoids on its lower surface (not …","","https://scholar.google.com/scholar?q=related:0dpAKYoQ11gJ:scholar.google.com/&scioq=%22non+vascular%22+rhizoid&hl=en&as_sdt=2007"
31,"AJ Hetherington, L Dolan","Bilaterally symmetric axes with rhizoids composed the rooting structure of the common ancestor of vascular plants",2018,"Philosophical Transactions of …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2017.0042","https://scholar.google.com/scholar?cites=9785953445772747245&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 15:10:45","","10.1098/rstb.2017.0042","","",,,,,31,5.17,16,2,6,"… (1) Unicellular or multicellular tip-growing, tubular structures called rhizoids carry out rooting … in extant non-vascular plants (liverworts, hornworts and mosses) [1]. Similar rhizoid systems …","https://royalsocietypublishing.org/doi/full/10.1098/rstb.2017.0042","https://scholar.google.com/scholar?q=related:7WHLi8-wzocJ:scholar.google.com/&scioq=%22non+vascular%22+rhizoid&hl=en&as_sdt=2007"
169,"VAS Jones, L Dolan","The evolution of root hairs and rhizoids",2012,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/110/2/205/2769305","https://scholar.google.com/scholar?cites=7204915525210331282&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 15:10:45","","","","",,,,,169,14.08,85,2,12,"… Rhizoids develop on the free-living gametophytes of vascular and non-vascular plants and on both … grow in close contact with the soil and develop rhizoids and root hairs, respectively. …","https://academic.oup.com/aob/article/110/2/205/2769305","https://scholar.google.com/scholar?q=related:ktjbNH8A_WMJ:scholar.google.com/&scioq=%22non+vascular%22+rhizoid&hl=en&as_sdt=2007"
17,"JG Cao, XL Dai, HM Zou, QX Wang","Formation and development of rhizoids of the liverwort Marchantia polymorpha",2014,"The Journal of the Torrey Botanical …","JSTOR","https://www.jstor.org/stable/43287050","https://scholar.google.com/scholar?cites=4452241597859478167&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 15:10:45","","","","",,,,,17,1.70,4,4,10,"… rhizoids that can be divided into two types, namely, tuberculate rhizoids and smooth-walled rhizoids. … Rhizoids in most non-vascular plants are smooth-walled, with two layers of fibrillar …","https://www.jstor.org/stable/pdf/43287050.pdf","https://scholar.google.com/scholar?q=related:l7qh7iSKyT0J:scholar.google.com/&scioq=%22non+vascular%22+rhizoid&hl=en&as_sdt=2007"
100,"JA Raven","Long‐distance transport in non‐vascular plants",2003,"Plant, Cell &Environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-3040.2003.00920.x","https://scholar.google.com/scholar?cites=2580384851763273790&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-18 15:10:45","","10.1046/j.1365-3040.2003.00920.x","","",,,,,100,4.76,100,1,21,"… to non-vascular plants in a … rhizoids in fine-grained sediments such as mud or sand) and haptophytic (those attached to large stones or rocks) members. The other group of non-vascular …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-3040.2003.00920.x","https://scholar.google.com/scholar?q=related:PiAm6VlezyMJ:scholar.google.com/&scioq=%22non+vascular%22+rhizoid&hl=en&as_sdt=2007"
71,"P Kenrick","The origin of roots",2002,"Plant roots","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.1201/9780203909423-10/origin-roots-paul-kenrick","https://scholar.google.com/scholar?cites=16679109858699810524&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-18 15:10:45","","10.1201/9780203909423-10","","",,,,,71,3.23,71,1,22,"… nonseptate rhizoids borne on prostrate stems (rhizomes) (Fig. 1). … Figure 1 Unicellular rhizoids on the rooting stem of a fossil plant … Rhizoids developed from stomatal subsidiary cells. In …","","https://scholar.google.com/scholar?q=related:3JaE-QsaeOcJ:scholar.google.com/&scioq=%22non+vascular%22+rhizoid&hl=en&as_sdt=2007"
17,"DE Stanton, C Reeb","Morphogeometric approaches to non-vascular plants",2016,"Frontiers in Plant Science","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2016.00916/full","https://scholar.google.com/scholar?cites=9280573085208853054&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-18 15:10:45","HTML","10.3389/fpls.2016.00916","","",,,,,17,2.13,9,2,8,"… In this review, we aim to provide a brief introduction to applications and applicability of modern morphometrics to non-vascular land plants, an often overlooked but evolutionarily and …","https://www.frontiersin.org/articles/10.3389/fpls.2016.00916/full","https://scholar.google.com/scholar?q=related:Prrs5ww4y4AJ:scholar.google.com/&scioq=%22non+vascular%22+rhizoid&hl=en&as_sdt=2007"
78,"JG Duckett, DJ Read","Ericoid mycorrhizas and rhizoid‐ascomycete associations in liverworts share the same mycobiont: isolation of the partners and resynthesis of the associations in vitro",1995,"New phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1995.tb04315.x","https://scholar.google.com/scholar?cites=4090166311277073311&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-18 15:10:45","","10.1111/j.1469-8137.1995.tb04315.x","","",,,,,78,2.69,39,2,29,"… As far as we are aware, the present study is the first report of the same fungus infectitig both vascular atid non-vascular plants. This discovery clearly invites in\'estigation into the …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.1995.tb04315.x","https://scholar.google.com/scholar?q=related:n5Pw55YwwzgJ:scholar.google.com/&scioq=%22non+vascular%22+rhizoid&hl=en&as_sdt=2007"
0,"AJ Hetherington","Two Origins of Plant Roots",,"api.taylorfrancis.com","","https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/b23126-2&type=chapterpdf","",9,"2024-07-18 15:10:45","","","","",,,,,0,0.00,0,1,,"… minuscule species were non-vascular and vascular polysporangiophytes … rhizoids (Hass and Remy 1991; Schultka and Hass 1997). Extensive work on early vascular and non-vascular …","","https://scholar.google.com/scholar?q=related:DU-jQ-595ikJ:scholar.google.com/&scioq=%22non+vascular%22+rhizoid&hl=en&as_sdt=2007"
3,"RL Mitchell, P Kenrick, S Pressel, J Duckett…","Terrestrial surface stabilisation by modern analogues of the earliest land plants: A multi‐dimensional imaging study",2023,"…","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gbi.12546","https://scholar.google.com/scholar?cites=9257591214131658312&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 15:10:45","","10.1111/gbi.12546","","",,,,,3,3.00,1,5,1,"… Computed Tomography (μCT) of non-vascular liverworts (Haplomitriopsida and complex … between networks of rhizoids; (3) grain entwining and adherence by rhizoids, through mucilage …","https://onlinelibrary.wiley.com/doi/full/10.1111/gbi.12546","https://scholar.google.com/scholar?q=related:SD4YEimSeYAJ:scholar.google.com/&scioq=%22non+vascular%22+rhizoid&hl=en&as_sdt=2007"
