Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"RK Wang, Z Chu, Q Zhang…","Physical explanation and experimental demonstration of suspended scattering particles in motion creating non-vascular signal in OCT angiography",2018,"… Ophthalmology &Visual …","iovs.arvojournals.org","https://iovs.arvojournals.org/article.aspx?articleid=2694108","https://scholar.google.com/scholar?cites=4540499702022930980&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 10:41:30","","","","",,,,,1,0.17,0,4,6,"… the non-vascular OCTA signal is generated by the motion of particulate matter suspended in intraretinal fluids [ie, suspended scattering … and custom designed fluid scattering phantoms. …","https://scholar.google.com/scholar?output=instlink&q=info:JALYIWwYAz8J:scholar.google.com/&hl=en&as_sdt=2007&scillfp=14225866463144229965&oi=lle","https://scholar.google.com/scholar?q=related:JALYIWwYAz8J:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
8,"PC Tumeh, J Lerner, DT Dicker…","Differentiation of vascular and non-vascular skin spectral signatures using in vivo hyperspectral radiometric imaging: Implications for monitoring angiogenesis",2007,"Cancer Biology & …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.4161/cbt.6.3.4019","https://scholar.google.com/scholar?cites=17925462698632468076&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 10:41:30","","10.4161/cbt.6.3.4019","","",,,,,8,0.47,2,4,17,"… (dominantly scattered from within the tissue) when imaging cutaneous vascular and non-vascular … in a reproducible manner between vascular and non-vascular regions of skin. The HSI …","https://www.tandfonline.com/doi/pdf/10.4161/cbt.6.3.4019","https://scholar.google.com/scholar?q=related:bNaA6lkJxPgJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
137,"MJC Van Gemert, JP Hulsbergen Henning","A model approach to laser coagulation of dermal vascular lesions",1981,"Archives of dermatological …","Springer","https://link.springer.com/article/10.1007/BF00403787","https://scholar.google.com/scholar?cites=5570117816976878048&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 10:41:30","","10.1007/BF00403787","","",,,,,137,3.19,69,2,43,"… Absorption and scattering of light by turbid materials was accounted for by the Kubelka … method because vascular absorption exceeds non-vascular dermal absorption by a factor of 10. …","","https://scholar.google.com/scholar?q=related:4Cn7jaQITU0J:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
30,"K Matsubara, Y Takei, H Mori, I Kobayashi, K Noto…","A multicenter study of radiation doses to the eye lenses of medical staff performing non-vascular imaging and interventional radiology procedures in Japan",2020,"Physica Medica","Elsevier","https://www.sciencedirect.com/science/article/pii/S1120179720301162","https://scholar.google.com/scholar?cites=2996278525891706480&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 10:41:30","","","","",,,,,30,7.50,5,6,4,"Purpose This study aimed to measure the eye lens doses received by physicians and other medical staff participating in non-vascular imaging and interventional radiology procedures …","","https://scholar.google.com/scholar?q=related:cP7nv3HrlCkJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
44,"JM Longo, JI Bilbao, MD Barettino, JA Larrea…","Percutaneous vascular and nonvascular puncture under US guidance: role of color Doppler imaging.",1994,"Radiographics","pubs.rsna.org","https://pubs.rsna.org/doi/abs/10.1148/radiographics.14.5.7991826","https://scholar.google.com/scholar?cites=4886939589950788389&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-18 10:41:30","","10.1148/radiographics.14.5.7991826","","",,,,,44,1.47,9,5,30,"… tip of the needle, especially in solid, echogenic lesions, when the needle is moving, or when the beam-needle angle is narrow; (b) improved targeting of either vessels or non-vascular …","","https://scholar.google.com/scholar?q=related:JVPPOarl0UMJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
224,"TYP Chui, DA VanNasdale, SA Burns","The use of forward scatter to improve retinal vascular imaging with an adaptive optics scanning laser ophthalmoscope",2012,"Biomedical optics express","opg.optica.org","https://opg.optica.org/abstract.cfm?uri=boe-3-10-2537","https://scholar.google.com/scholar?cites=4210674713560324104&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-18 10:41:30","","","","",,,,,224,18.67,75,3,12,"… First, as mentioned, the specular highlights and non-vascular highlights in the images decreased, and the overall images consequently became more uniform (Fig. 2A, 2C, 2E, and 2G). …","https://opg.optica.org/fulltext.cfm?uri=boe-3-10-2537","https://scholar.google.com/scholar?q=related:CJh7xldSbzoJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
1,"MA Davis","Three dimensional simulation of functional neuro-vascular imaging",2014,"","repositories.lib.utexas.edu","https://repositories.lib.utexas.edu/items/02ed9e85-697b-484b-8362-89646a780001","https://scholar.google.com/scholar?cites=16012784956579674819&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-18 10:41:30","","","","",,,,,1,0.10,1,1,10,"… scattering coefficient on the distribution of dynamic scattering events. (ab) show the surface vessel ROI scattering … Therefore, the total travel lengths in vascular (l1), and non-vascular (l2) …","https://repositories.lib.utexas.edu/bitstreams/150804b9-ab32-4012-884e-d1dd25dd2da6/download","https://scholar.google.com/scholar?q=related:w3qmIRTXON4J:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
1,"WD Foley, CR Wilson","Digital Orthopaedic Radiography: Vascular and Non-vascular",1989,"Imaging Techniques in Orthopaedics","Springer","https://link.springer.com/chapter/10.1007/978-1-4471-1640-0_11","https://scholar.google.com/scholar?cites=12758931157843329742&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-18 10:41:30","","10.1007/978-1-4471-1640-0_11","","",,,,,1,0.03,1,2,35,"… Image contrast is somewhat poorer because of scattered radiation and veiling glare within the image intensifier. Thus. although it is relatively easy to digitize a video signal. …","","https://scholar.google.com/scholar?q=related:zkLq0EnUELEJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
161,"S Ghaffari","Optical system for treatment of vascular lesions",2000,"US Patent App. 08/711,685","Google Patents","https://patents.google.com/patent/USRE36634E/en","https://scholar.google.com/scholar?cites=6204157814768448054&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 10:41:30","","","","",,,,,161,6.71,161,1,24,"… At 577 nm absorption by epidermal melanin and scattering by the dermis is lower than at the 540 … damage without excessive damage to the epidermis or non-vascular dermal structure. …","https://patentimages.storage.googleapis.com/73/73/f2/acc1b48168b646/USRE36634.pdf","https://scholar.google.com/scholar?q=related:NrK8V6mYGVYJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
12,"VJ Srinivasan, AC Chan, EY Lam","Doppler OCT and OCT angiography for in vivo imaging of vascular physiology",2012,"Selected Topics in Optical …","books.google.com","https://books.google.com/books?hl=en&lr=&id=niyaDwAAQBAJ&oi=fnd&pg=PA21&dq=%22non+vascular%22+scattering&ots=xwgJWfDCuV&sig=VN5KcVI5kGTXXI7BIc9ZFdAcxH8","https://scholar.google.com/scholar?cites=16690743664879400722&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 10:41:30","","","","",,,,,12,1.00,4,3,12,"… multiple scattered light, enabling imaging at depths of greater than 1 mm in scattering tissue… Motion correction techniques ideally use a reference (non-vascular) tissue region that can be …","https://www.amedeolucente.it/public/27871.pdf","https://scholar.google.com/scholar?q=related:Evc8ju5uoecJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
53,"K Gaetke-Udager, AP Wasnik, RK Kaza…","Multimodality imaging of splenic lesions and the role of non-vascular, image-guided intervention",2014,"Abdominal …","Springer","https://link.springer.com/article/10.1007/s00261-014-0080-6","https://scholar.google.com/scholar?cites=13003963331593827917&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-18 10:41:30","","10.1007/s00261-014-0080-6","","",,,,,53,5.30,13,4,10,"… Microabscesses often appear on ultrasound as numerous tiny hypoechoic foci throughout parenchyma, and similarly are seen on CT as scattered, tiny (<1 cm) low attenuation …","https://www.researchgate.net/profile/Ashish-Wasnik/publication/260195644_Multimodality_imaging_of_splenic_lesions_and_the_role_of_non-vascular_image-guided_intervention/links/5b42be5faca2728a0d653ff4/Multimodality-imaging-of-splenic-lesions-and-the-role-of-non-vascular-image-guided-intervention.pdf","https://scholar.google.com/scholar?q=related:Tfbai8Bbd7QJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
0,"F Stacul, AJ van der Molen…","2.3 General Complications Related to Non-vascular and Oncologic Procedures",2019,"… in Non-vascular …","Georg Thieme Verlag","","",12,"2024-07-18 10:41:30","CITATION","","","",,,,,0,0.00,0,3,5,"","","https://scholar.google.com/scholar?q=related:zhxkCMA_QvQJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
21,"E Grisan, A Ruggeri","A hierarchical bayesian classification for non-vascular lesions detection in fundus images",2005,"IFMBE Proc","academia.edu","https://www.academia.edu/download/69299858/A_Hierarchical_Bayesian_Classification_f20210910-981-ij7nge.pdf","https://scholar.google.com/scholar?cites=5097819184964071533&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-18 10:41:30","PDF","","","",,,,,21,1.11,11,2,19,"… -class scatter matrix Sw and the inter-class scatter matrix Sb. Given M classes, a set of features vectors x, each one belonging to one and only one class, the intra-class scatter matrix is: …","https://www.academia.edu/download/69299858/A_Hierarchical_Bayesian_Classification_f20210910-981-ij7nge.pdf","https://scholar.google.com/scholar?q=related:bXD0EIoXv0YJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
16,"Y Wang, M Ji, S Jiang, X Wang, J Wu, F Duan…","Augmenting vascular disease diagnosis by vasculature-aware unsupervised learning",2020,"Nature Machine …","nature.com","https://www.nature.com/articles/s42256-020-0188-z","https://scholar.google.com/scholar?cites=888274322177975027&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-18 10:41:30","","","","",,,,,16,4.00,2,7,4,"… , introducing substantial light scattering in optical investigations … features from highly scattered patterns through synthetic … , including noise and non-vascular topologies. The algorithm-…","https://www.biorxiv.org/content/biorxiv/early/2020/02/07/2020.02.07.938282.full.pdf","https://scholar.google.com/scholar?q=related:8-KELMrIUwwJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
11,"EM Law, AF Little, JC Salanitri","Non‐vascular intervention with real‐time CT fluoroscopy",2001,"Australasian Radiology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1440-1673.2001.00888.x","https://scholar.google.com/scholar?cites=1390936048383949725&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-18 10:41:30","","10.1046/j.1440-1673.2001.00888.x","","",,,,,11,0.48,4,3,23,"… Scattered dosimetry was performed with a PM500 scatter chamber (Capintec). Dosimetry was measured using two types of needle holders (ie 4″ and 6″ length needle holders). …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1440-1673.2001.00888.x","https://scholar.google.com/scholar?q=related:nfs1bfeYTRMJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
62,"Y Tardy, D Hayoz, JP Mignot, P Richard","Dynamic non-invasive measurements",1992,"Journal of Hypertension","academia.edu","https://www.academia.edu/download/39816840/Dynamic_noninvasive_measurements_of_arte20151108-5582-15s0x4f.pdf","https://scholar.google.com/scholar?cites=15723950866610531174&as_sdt=2005&sciodt=2007&hl=en",16,"2024-07-18 10:41:30","PDF","","","",,,,,62,1.94,16,4,32,"… , and that the outer ring corresponded to surrounding non-vascular tissue (Fig. 3b). The … artery wall decreases the signal to noise ratio by scattering the ultrasonic pulse that is emitted. In …","https://www.academia.edu/download/39816840/Dynamic_noninvasive_measurements_of_arte20151108-5582-15s0x4f.pdf","https://scholar.google.com/scholar?q=related:ZisEDgGyNtoJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
0,"G Wang","Vascular imaging apparatus and vascular imaging method",2021,"US Patent 11,207,024","Google Patents","https://patents.google.com/patent/US11207024B2/en","",17,"2024-07-18 10:41:30","","","","",,,,,0,0.00,0,1,3,"… light absorbed and scattered by the vascular region is more than infrared light absorbed and scattered by the non-vascular region. Visible light absorbed and scattered by the vascular …","https://patentimages.storage.googleapis.com/d0/c7/0a/61c0c885051834/US11207024.pdf","https://scholar.google.com/scholar?q=related:ktRmK-x3B9wJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
54,"J Marzi, EM Brauchle, K Schenke-Layland, MW Rolle","Non-invasive functional molecular phenotyping of human smooth muscle cells utilized in cardiovascular tissue engineering",2019,"Acta biomaterialia","Elsevier","https://www.sciencedirect.com/science/article/pii/S1742706119301928","https://scholar.google.com/scholar?cites=16954484611362575554&as_sdt=2005&sciodt=2007&hl=en",18,"2024-07-18 10:41:30","HTML","","","",,,,,54,10.80,14,4,5,"… Cultured human SMCs isolated from different vascular and non-vascular tissues as well as … ) camera converts the back-scattered light, so-called incoherent Raman scattering, to a single …","https://www.sciencedirect.com/science/article/pii/S1742706119301928","https://scholar.google.com/scholar?q=related:wtQX4uxtSusJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
151,"SA Burns, AE Elsner, TY Chui…","In vivo adaptive optics microvascular imaging in diabetic patients without clinically severe diabetic retinopathy",2014,"Biomedical optics …","opg.optica.org","https://opg.optica.org/abstract.cfm?uri=boe-5-3-961","https://scholar.google.com/scholar?cites=13239964792269375530&as_sdt=2005&sciodt=2007&hl=en",19,"2024-07-18 10:41:30","","","","",,,,,151,15.10,38,4,10,"… of a wide variety of retinal vascular and non-vascular changes in subjects with mild to moderate NPDR using an AOSLO. By incorporating multiply scattered light into the images ie by …","https://opg.optica.org/viewmedia.cfm?uri=boe-5-3-961&seq=0&html=true","https://scholar.google.com/scholar?q=related:KgjlidTNvbcJ:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
108,"DJ Smithies, PH Butler","Modelling the distribution of laser light in port-wine stains with the Monte Carlo method",1995,"Physics in Medicine &Biology","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/0031-9155/40/5/001/meta","https://scholar.google.com/scholar?cites=13705278126953653545&as_sdt=2005&sciodt=2007&hl=en",20,"2024-07-18 10:41:30","","10.1088/0031-9155/40/5/001","","",,,,,108,3.72,54,2,29,"… with a different scattering model to the scattering model they were … non-vascular tissue. From clinical work, see for example Adam et al (1987), reducing the heating in the non-vascular …","https://iopscience.iop.org/article/10.1088/0031-9155/40/5/001/pdf","https://scholar.google.com/scholar?q=related:KeUAwdftMr4J:scholar.google.com/&scioq=%22non+vascular%22+scattering&hl=en&as_sdt=2007"
