Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
21,"JA Raven","Evolution and palaeophysiology of the vascular system and other means of long-distance transport",2018,"… Transactions of the Royal Society B …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2016.0497","https://scholar.google.com/scholar?cites=8932908611454863996&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-24 14:10:16","","10.1098/rstb.2016.0497","","",,,,,21,3.50,21,1,6,"… The low CO 2 conductance would still allow a substantial rate of photosynthesis per unit shoot area because of the high atmospheric CO 2 concentration, but with a high water use …","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0497","https://scholar.google.com/scholar?q=related:fIrLtA0R-HsJ:scholar.google.com/&scioq=%22non+vascular%22+%22shoot+area%22&hl=en&as_sdt=2007"
52,"RE Roos, K van Zuijlen, T Birkemoe…","Contrasting drivers of community‐level trait variation for vascular plants, lichens and bryophytes across an elevational gradient",2019,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.13454","https://scholar.google.com/scholar?cites=10011553487548484787&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-24 14:10:16","","10.1111/1365-2435.13454","","",,,,,52,10.40,13,4,5,"… whether this holds for non-vascular primary producers such as lichens and bryophytes. We hypothesized that intraspecific variation is more important for non-vascular than for vascular …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2435.13454","https://scholar.google.com/scholar?q=related:s4wme9ou8IoJ:scholar.google.com/&scioq=%22non+vascular%22+%22shoot+area%22&hl=en&as_sdt=2007"
1,"OS Dahle","Effects of long-term experimental warming on alpine bryophytes: trends in functional traits",2019,"","nmbu.brage.unit.no","https://nmbu.brage.unit.no/nmbu-xmlui/handle/11250/2609314","https://scholar.google.com/scholar?cites=8688714629183534278&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-24 14:10:16","","","","",,,,,1,0.20,1,1,5,"… My work in this thesis underline the importance of including the trait variation of non-vascular primary producers like bryophytes when predicting future environmental changes. To get a …","https://nmbu.brage.unit.no/nmbu-xmlui/bitstream/handle/11250/2609314/Effects%20of%20long%20term%20experimental%20warming%20on%20alpine%20bryophytes%20%20trends%20in%20functional%20traits.pdf?sequence=1","https://scholar.google.com/scholar?q=related:xnQ5o-uDlHgJ:scholar.google.com/&scioq=%22non+vascular%22+%22shoot+area%22&hl=en&as_sdt=2007"
20,"G Sutherland, LE Chasmer, RM Petrone, N Kljun…","Evaluating the use of spatially varying versus bulk average 3D vegetation structural inputs to modelled evapotranspiration within heterogeneous land cover types",2014,"…","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.1477","https://scholar.google.com/scholar?cites=13835545087491503141&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-24 14:10:16","","10.1002/eco.1477","","",,,,,20,2.00,4,5,10,"… Differences in ET amongst different land cover types are due in part to different responses of vascular and non-vascular vegetation to drivers of ET (Q*, VPD, g s etc.). Land cover types …","https://www.academia.edu/download/43641862/Evaluating_the_use_of_spatially_varying_20160311-4153-kfxo1m.pdf","https://scholar.google.com/scholar?q=related:JfTUBfS6AcAJ:scholar.google.com/&scioq=%22non+vascular%22+%22shoot+area%22&hl=en&as_sdt=2007"
10,"TA Oke, MR Turetsky","Evaluating Sphagnum traits in the context of resource economics and optimal partitioning theories",2020,"Oikos","Wiley Online Library","https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/oik.07195","https://scholar.google.com/scholar?cites=11277318689529958978&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-24 14:10:16","","10.1111/oik.07195","","",,,,,10,2.50,5,2,4,"… of broader ecological theories provide a better understanding of whether the physiological mechanisms that govern the ecological responses of vascular plants apply to non-vascular …","https://www.researchgate.net/profile/Tobi-Oke/publication/340954118_Evaluating_Sphagnm_traits_in_the_context_of_resource_economics_and_optimal_partitioning_theories/links/6104f6c31ca20f6f86ed91ac/Evaluating-Sphagnm-traits-in-the-context-of-resource-economics-and-optimal-partitioning-theories.pdf","https://scholar.google.com/scholar?q=related:QpJOLJkVgZwJ:scholar.google.com/&scioq=%22non+vascular%22+%22shoot+area%22&hl=en&as_sdt=2007"
11,"X Fan, G Yuan, W Liu","Response strategies of N-fixation by epiphytic bryophytes to water change in a subtropical montane cloud forest",2022,"Ecological Indicators","Elsevier","https://www.sciencedirect.com/science/article/pii/S1470160X21011924","https://scholar.google.com/scholar?cites=5495889052249257867&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-24 14:10:16","HTML","","","",,,,,11,5.50,4,3,2,"… The degree of cyanobacterial colonization was calculated as the percentage of shoot area colonized by cyanobacteria relative to the total shoot area (% area colonized). …","https://www.sciencedirect.com/science/article/pii/S1470160X21011924","https://scholar.google.com/scholar?q=related:i3dGfPlRRUwJ:scholar.google.com/&scioq=%22non+vascular%22+%22shoot+area%22&hl=en&as_sdt=2007"
92,"AA Abuelgasim, RA Fernandes…","Evaluation of national and global LAI products derived from optical remote sensing instruments over Canada",2006,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1645287/","https://scholar.google.com/scholar?cites=18202816248101507169&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-24 14:10:16","","","","",,,,,92,5.11,31,3,18,"… the retrieved LAI between vascular and nonvascular components. Vascular means with … the VGT algorithms compared to the needle-to-shoot area ratio of 1 for the fir and hemlock …","https://www.academia.edu/download/49312459/Evaluation_of_national_and_global_LAI_pr20161003-1104-11gmg90.pdf","https://scholar.google.com/scholar?q=related:YZDMW-9knfwJ:scholar.google.com/&scioq=%22non+vascular%22+%22shoot+area%22&hl=en&as_sdt=2007"
1,"H Seyed Hajizadeh, S Azizi, A Aghaee, S Karakus…","Nano-silicone and Ascophyllum nodosum-based biostimulant down-regulates the negative effect of in vitro induced-salinity in Rosa damascena",2023,"BMC Plant …","Springer","https://link.springer.com/article/10.1186/s12870-023-04584-2","https://scholar.google.com/scholar?cites=4988505745130043086&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-24 14:10:16","HTML","10.1186/s12870-023-04584-2","","",,,,,1,1.00,0,5,1,"… impedes the movement of water along non-vascular pathways [31]. … of the movement of water from the non-vascular path [32]. … and root length, root and shoot area, and shoot and root …","https://link.springer.com/article/10.1186/s12870-023-04584-2","https://scholar.google.com/scholar?q=related:zrZ4gou7OkUJ:scholar.google.com/&scioq=%22non+vascular%22+%22shoot+area%22&hl=en&as_sdt=2007"
1,"X Song","Relationships between coarse woody debris and understory vegetation in six forest ecosystems in British Columbia",1997,"","open.library.ubc.ca","https://open.library.ubc.ca/soa/cIRcle/collections/831/831/items/1.0075189","https://scholar.google.com/scholar?cites=13687370270570742477&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-24 14:10:16","","","","",,,,,1,0.04,1,1,27,"… CWD is particularly important to non-vascular plants, especially lichens (in a dry forest) and … by visually estimating the vertical crown shoot-area projection. Meanwhile, diameters and …","https://open.library.ubc.ca/media/download/pdf/831/1.0075189/2","https://scholar.google.com/scholar?q=related:zYKcBr5O870J:scholar.google.com/&scioq=%22non+vascular%22+%22shoot+area%22&hl=en&as_sdt=2007"
0,"RE Roos","Functional traits across primary producer groups and their effects on micro-arthropod communities in alpine Norway",2019,"","nmbu.brage.unit.no","https://nmbu.brage.unit.no/nmbu-xmlui/handle/11250/2618939","",10,"2024-07-24 14:10:16","","","","",,,,,0,0.00,0,1,5,"… plants, but also of non-vascular primary producers such as lichens … However, we know little about how non-vascular primary … of the ecology of non-vascular primary producers and micro-…","https://nmbu.brage.unit.no/nmbu-xmlui/bitstream/handle/11250/2618939/2019-71_Roos_(MINA).pdf?sequence=4","https://scholar.google.com/scholar?q=related:-1a6GwAeiDYJ:scholar.google.com/&scioq=%22non+vascular%22+%22shoot+area%22&hl=en&as_sdt=2007"
