Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
32,"D Schmitz, CERG Schaefer, J Putzke, MR Francelino…","How does the pedoenvironmental gradient shape non-vascular species assemblages and community structures in Maritime Antarctica?",2020,"Ecological …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1470160X19307198","https://scholar.google.com/scholar?cites=5079670606896231339&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-22 09:21:25","","","","",,,,,32,8.00,6,5,4,"… soil texture and chemistry properties) drive the non-vascular … soils according to the World Reference Base for Soil … plant coverage, soil texture and soil chemistry on non-vascular species …","","https://scholar.google.com/scholar?q=related:q_MK9ICdfkYJ:scholar.google.com/&scioq=%22non+vascular%22+soil&hl=en&as_sdt=2007"
20,"P Porada, A Tamm, J Raggio, Y Cheng…","Global NO and HONO emissions of biological soil crusts estimated by a process-based non-vascular vegetation model",2019,"…","bg.copernicus.org","https://bg.copernicus.org/articles/16/2003/2019/","https://scholar.google.com/scholar?cites=6829621823370007309&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-22 09:21:25","HTML","","","",,,,,20,4.00,4,5,5,"… In this study we estimated NO and HONO emissions by biological soil crusts (biocrusts) at the global scale using the process-based non-vascular vegetation model LiBry. Thereby, …","https://bg.copernicus.org/articles/16/2003/2019/","https://scholar.google.com/scholar?q=related:DZM5DN2wx14J:scholar.google.com/&scioq=%22non+vascular%22+soil&hl=en&as_sdt=2007"
0,"H Cui, S Chen, H Song, Z Liu, J Chen…","Contrasting mechanisms of non‐vascular and vascular plants on spatial turnover in multifunctionality in the Antarctic continent",2024,"Journal of …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.14346","",3,"2024-07-22 09:21:25","","10.1111/1365-2745.14346","","",,,,,0,0.00,0,6,1,"… are highly related to soil temperature and soil water content, which explains our finding that increased spatial heterogeneity in these abiotic factors under non- vascular plants led to a …","","https://scholar.google.com/scholar?q=related:_3BefUN1wJUJ:scholar.google.com/&scioq=%22non+vascular%22+soil&hl=en&as_sdt=2007"
36,"AM Potapov, AY Korotkevich, AV Tiunov","Non-vascular plants as a food source for litter-dwelling Collembola: Field evidence",2018,"Pedobiologia","Elsevier","https://www.sciencedirect.com/science/article/pii/S0031405617301701","https://scholar.google.com/scholar?cites=12792621241455505600&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-22 09:21:25","","","","",,,,,36,6.00,12,3,6,"… Nevertheless, soil algae and other non-vascular plants are rarely considered as one of the principal components of collembolan diet in forest ecosystems. So far, only a few studies …","","https://scholar.google.com/scholar?q=related:wHASqz2FiLEJ:scholar.google.com/&scioq=%22non+vascular%22+soil&hl=en&as_sdt=2007"
107,"P Porada, JT Van Stan, A Kleidon","Significant contribution of non-vascular vegetation to global rainfall interception",2018,"Nature Geoscience","nature.com","https://www.nature.com/articles/s41561-018-0176-7","https://scholar.google.com/scholar?cites=9068687782871084337&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-22 09:21:25","","","","",,,,,107,17.83,36,3,6,"… Consequently, we find that the total evaporation of free water from the forest canopy and soil surface increases by 61% when non-vascular vegetation is included, resulting in a global …","https://scholar.google.com/scholar?output=instlink&q=info:Ma30lH1z2n0J:scholar.google.com/&hl=en&as_sdt=2007&scillfp=7930566205869418627&oi=lle","https://scholar.google.com/scholar?q=related:Ma30lH1z2n0J:scholar.google.com/&scioq=%22non+vascular%22+soil&hl=en&as_sdt=2007"
205,"JHD Wolf","Factors controlling the distribution of vascular and non-vascular epiphytes in the northern Andes",1994,"Vegetatio","Springer","https://link.springer.com/article/10.1007/BF00045096","https://scholar.google.com/scholar?cites=9469208217849965746&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-22 09:21:25","","10.1007/BF00045096","","",,,,,205,6.83,205,1,30,"… N-, P-, K-, or mineral content of the organic soil on which they were growing. For the ectohydric non-vascular plants this is not unexpected since these are often thought to be dependent …","https://www.jstor.org/stable/pdf/20046418.pdf","https://scholar.google.com/scholar?q=related:siwoQbRiaYMJ:scholar.google.com/&scioq=%22non+vascular%22+soil&hl=en&as_sdt=2007"
37,"PS Martin, AU Mallik","The status of non-vascular plants in trait-based ecosystem function studies",2017,"Perspectives in Plant Ecology, Evolution and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1433831917300082","https://scholar.google.com/scholar?cites=6854481565949405223&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-22 09:21:25","","","","",,,,,37,5.29,19,2,7,"… in arid environments often form biological soil crusts (BSC). These soil crusts produce extracellular compounds that cement soil particles together and can bind soil particles with their …","","https://scholar.google.com/scholar?q=related:J6jg6aoCIF8J:scholar.google.com/&scioq=%22non+vascular%22+soil&hl=en&as_sdt=2007"
16,"SM Siegel, J Okasako, P Kaalakea, BZ Siegel","Release of volatile mercury from soils and non-vascular plants",1980,"Organic Geochemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/0146638080900042","https://scholar.google.com/scholar?cites=18370120403128035726&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-22 09:21:25","","","","",,,,,16,0.36,4,4,44,"… and soils tested … in non-vascular plant or soil samples and rates of release (Table 2). Furthermore, it is obvious that there are no significant differences in Hg release rate between soils …","","https://scholar.google.com/scholar?q=related:jimadS3H7_4J:scholar.google.com/&scioq=%22non+vascular%22+soil&hl=en&as_sdt=2007"
18,"HM Anderson, MR Gale, MF Jurgensen, CC Trettin","Vascular and non-vascular plant community response to silvicultural practices and resultant microtopography creation in a forested wetland",2007,"Wetlands","Springer","https://link.springer.com/article/10.1672/0277-5212(2007)27[68:VANPCR]2.0.CO;2","https://scholar.google.com/scholar?cites=1769217671274374238&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-22 09:21:25","","10.1672/0277-5212(2007)27[68:VANPCR]2.0.CO;2","","",,,,,18,1.06,5,4,17,"… recovery of vascular and non-vascular plant communities 11 to 12 … Berms (Figure 2A) were composed of forest floor and mineral soil … A third treatment was bedded by disking the soil into …","https://link.springer.com/content/pdf/10.1672/0277-5212(2007)27%5B68:VANPCR%5D2.0.CO%3B2.pdf","https://scholar.google.com/scholar?q=related:XiSnKhmGjRgJ:scholar.google.com/&scioq=%22non+vascular%22+soil&hl=en&as_sdt=2007"
92,"P Porada, TM Lenton, A Pohl, B Weber…","High potential for weathering and climate effects of non-vascular vegetation in the Late Ordovician",2016,"Nature …","nature.com","https://www.nature.com/articles/ncomms12113","https://scholar.google.com/scholar?cites=666635585470162331&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-22 09:21:25","HTML","","","",,,,,92,11.50,18,5,8,"… Several studies substantiate the occurrence of high non-vascular NPP in the geological past. On the basis of estimated Ordovician soil CO 2 production, it has been concluded that the …","https://www.nature.com/articles/ncomms12113","https://scholar.google.com/scholar?q=related:m2WVcohdQAkJ:scholar.google.com/&scioq=%22non+vascular%22+soil&hl=en&as_sdt=2007"
