Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
55,"K Charra-Vaskou, E Badel, R Burlett, H Cochard…","Hydraulic efficiency and safety of vascular and non-vascular components in Pinus pinaster leaves",2012,"Tree …","academic.oup.com","https://academic.oup.com/treephys/article-abstract/32/9/1161/1652441","https://scholar.google.com/scholar?cites=15980749260187336835&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 10:29:11","","","","",,,,,55,4.58,11,5,12,"… Needle weight at saturation and needle dry weight were used for the calculation of relative water content (RWC, dimensionless, 1 at saturation). Second, for conductivity measurements …","https://academic.oup.com/treephys/article/32/9/1161/1652441","https://scholar.google.com/scholar?q=related:g4ANUsgGx90J:scholar.google.com/&scioq=%22non+vascular%22+%22water+content%22&hl=en&as_sdt=2007"
2,"G Berro, R Ramos, C Joly, S Vieira","The potential of non-vascular epiphytes in water storage in the Montane Atlantic Forest",2022,"Environmental Sciences …","mdpi.com","https://www.mdpi.com/2673-4931/22/1/3","https://scholar.google.com/scholar?cites=16904732750866126026&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 10:29:11","HTML","","","",,,,,2,1.00,1,4,2,"… non-vascular biomass, their water content and how the water which was stored by non-vascular … 2 and 3, and we sampled the non-vascular epiphytes of different heights and in cardinal …","https://www.mdpi.com/2673-4931/22/1/3","https://scholar.google.com/scholar?q=related:ypRJLt-smeoJ:scholar.google.com/&scioq=%22non+vascular%22+%22water+content%22&hl=en&as_sdt=2007"
107,"P Porada, JT Van Stan, A Kleidon","Significant contribution of non-vascular vegetation to global rainfall interception",2018,"Nature Geoscience","nature.com","https://www.nature.com/articles/s41561-018-0176-7","https://scholar.google.com/scholar?cites=9068687782871084337&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 10:29:11","","","","",,,,,107,17.83,36,3,6,"… The water content of canopy and soil surface reservoirs depends on rainfall, dew formation and evaporation. The reservoirs are subdivided into (1) ‘bare’ parts (leaves, branches, stems, …","https://scholar.google.com/scholar?output=instlink&q=info:Ma30lH1z2n0J:scholar.google.com/&hl=en&as_sdt=2007&scillfp=7930566205869418627&oi=lle","https://scholar.google.com/scholar?q=related:Ma30lH1z2n0J:scholar.google.com/&scioq=%22non+vascular%22+%22water+content%22&hl=en&as_sdt=2007"
26,"G Barker, RDH Boyd, SW D'Souza, P Donnai, H Fox…","Placental water content and distribution",1994,"Placenta","Elsevier","https://www.sciencedirect.com/science/article/pii/S0143400405802358","https://scholar.google.com/scholar?cites=3187368657128828570&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 10:29:11","","","","",,,,,26,0.87,4,6,30,"… Total placental water content of the delivered placenta was measured by desiccation to … water content was fractionated into fetal and maternal vascular compartments and non-vascular …","https://scholar.google.com/scholar?output=instlink&q=info:mq5gAOjOOywJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=1994146529527397192&oi=lle","https://scholar.google.com/scholar?q=related:mq5gAOjOOywJ:scholar.google.com/&scioq=%22non+vascular%22+%22water+content%22&hl=en&as_sdt=2007"
86,"P Trifiló, F Raimondo, T Savi…","The contribution of vascular and extra-vascular water pathways to drought-induced decline of leaf hydraulic conductance",2016,"Journal of …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/67/17/5029/2197641","https://scholar.google.com/scholar?cites=14084498694905628451&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-16 10:29:11","","","","",,,,,86,10.75,22,4,8,"… of pressure relaxation, excess water was adsorbed with a filter paper and the leaf was left inside the chamber for 5min at atmospheric pressure to allow equilibration of water content …","https://academic.oup.com/jxb/article/67/17/5029/2197641","https://scholar.google.com/scholar?q=related:I4dNrfAwdsMJ:scholar.google.com/&scioq=%22non+vascular%22+%22water+content%22&hl=en&as_sdt=2007"
8,"A Kataruka, SB Hutchens","Swelling of a non-vascular-plant-inspired soft composite",2021,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(21)00514-2","https://scholar.google.com/scholar?cites=11957258409355957232&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 10:29:11","HTML","","","",,,,,8,2.67,4,2,3,"… Similarities between hydrogels and PTAs include their high water content, generally >80% water by volume; internal chemical energy supply; and self-driven deformation in aqueous …","https://www.cell.com/matter/fulltext/S2590-2385(21)00514-2","https://scholar.google.com/scholar?q=related:8NM2ySu38KUJ:scholar.google.com/&scioq=%22non+vascular%22+%22water+content%22&hl=en&as_sdt=2007"
100,"JA Raven","Long‐distance transport in non‐vascular plants",2003,"Plant, Cell &Environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-3040.2003.00920.x","https://scholar.google.com/scholar?cites=2580384851763273790&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 10:29:11","","10.1046/j.1365-3040.2003.00920.x","","",,,,,100,4.76,100,1,21,"… All bryophytes, like all algae, are poikilohydric, so only have a limited capacity to control their water content when the rate of tanspiratory water loss exceeds the rate of water uptake. …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-3040.2003.00920.x","https://scholar.google.com/scholar?q=related:PiAm6VlezyMJ:scholar.google.com/&scioq=%22non+vascular%22+%22water+content%22&hl=en&as_sdt=2007"
40,"IB Ferguson","The movement of calcium in non‐vascular tissue of plants",1979,"Communications in Soil Science and Plant Analysis","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/00103627909366889","https://scholar.google.com/scholar?cites=16123113300488792722&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-16 10:29:11","","10.1080/00103627909366889","","",,,,,40,0.89,40,1,45,"… We should also be aware that the phloem can supply the developing fruit with a large proportion of its water content. Although this may be an oversimplification, I would like to consider …","","https://scholar.google.com/scholar?q=related:kqoCdR_OwN8J:scholar.google.com/&scioq=%22non+vascular%22+%22water+content%22&hl=en&as_sdt=2007"
48,"J Kováčik, P Babula, J Hedbavny","Comparison of vascular and non-vascular aquatic plant as indicators of cadmium toxicity",2017,"Chemosphere","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045653517305258","https://scholar.google.com/scholar?cites=16052091465321494943&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-16 10:29:11","","","","",,,,,48,6.86,16,3,7,"Antioxidative and microscopic responses in non-vascular (moss Taxiphyllum barbieri) and vascular (Ceratophyllum demersum) aquatic plants exposed to short-term (24 h) cadmium (Cd…","https://apirs.plants.ifas.ufl.edu/site/assets/files/375537/375537.pdf","https://scholar.google.com/scholar?q=related:nzmR3CN8xN4J:scholar.google.com/&scioq=%22non+vascular%22+%22water+content%22&hl=en&as_sdt=2007"
37,"PS Martin, AU Mallik","The status of non-vascular plants in trait-based ecosystem function studies",2017,"Perspectives in Plant Ecology, Evolution and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1433831917300082","https://scholar.google.com/scholar?cites=6854481565949405223&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-16 10:29:11","","","","",,,,,37,5.29,19,2,7,"… The contributions of non-vascular plants (NVPs) to ecosystem function can be significant in high latitude and high altitude ecosystems and yet their inclusion in trait-based studies is rare…","","https://scholar.google.com/scholar?q=related:J6jg6aoCIF8J:scholar.google.com/&scioq=%22non+vascular%22+%22water+content%22&hl=en&as_sdt=2007"
41,"JC Villegas, C Tobón…","Fog interception by non‐vascular epiphytes in tropical montane cloud forests: Dependencies on gauge type and meteorological conditions",2008,"… : An International Journal","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.6844","https://scholar.google.com/scholar?cites=416972818149073887&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-16 10:29:11","","10.1002/hyp.6844","","",,,,,41,2.56,14,3,16,"… Our laboratory measurements spanned a broad range of liquid water content (LWC) values for fog and indicate how fog interception is sensitive to an interaction between wind speed …","https://ag.arizona.edu/research/breshears/Breshears%20&%20authors%20reprints/Villegas%20et%20al%20Hydrological%20Process%202008.pdf","https://scholar.google.com/scholar?q=related:3-PEopFiyQUJ:scholar.google.com/&scioq=%22non+vascular%22+%22water+content%22&hl=en&as_sdt=2007"
3,"M Leo, A Lareo, C Garcia-Saura, J Hortal…","BtM, a low-cost open-source datalogger to estimate the water content of nonvascular cryptogams",2019,"JoVE (Journal of …","jove.com","https://www.jove.com/t/58700/btm-low-cost-open-source-datalogger-to-estimate-water-content","https://scholar.google.com/scholar?cites=3431331832484899179&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-16 10:29:11","","","","",,,,,3,0.60,1,5,5,"… Communities of non-vascular cryptogams also contribute to the regulation of … dependent on water content 2 . Note that, since they cannot actively control the water content in their tissues…","https://digital.csic.es/bitstream/10261/224080/1/BtM.pdf","https://scholar.google.com/scholar?q=related:a6nAJR-Kni8J:scholar.google.com/&scioq=%22non+vascular%22+%22water+content%22&hl=en&as_sdt=2007"
