Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
20,"P Porada, A Tamm, J Raggio, Y Cheng…","Global NO and HONO emissions of biological soil crusts estimated by a process-based non-vascular vegetation model",2019,"…","bg.copernicus.org","https://bg.copernicus.org/articles/16/2003/2019/","https://scholar.google.com/scholar?cites=6829621823370007309&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-25 08:45:27","HTML","","","",,,,,20,4.00,4,5,5,"… structure of the biomass, and albedo. Note that non-vascular vegetation does not possess stomata… supply to ground-based non-vascular organisms, and it may also serve as a habitat for …","https://bg.copernicus.org/articles/16/2003/2019/","https://scholar.google.com/scholar?q=related:DZM5DN2wx14J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+albedo&hl=en&as_sdt=2007"
107,"P Porada, JT Van Stan, A Kleidon","Significant contribution of non-vascular vegetation to global rainfall interception",2018,"Nature Geoscience","nature.com","https://www.nature.com/articles/s41561-018-0176-7","https://scholar.google.com/scholar?cites=9068687782871084337&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-25 08:45:27","","","","",,,,,107,17.83,36,3,6,"… have a different albedo and, thus, a different surface temperature than the canopy or soil surface, evaporation and dew formation are calculated separately for the bare and non-vascular …","https://scholar.google.com/scholar?output=instlink&q=info:Ma30lH1z2n0J:scholar.google.com/&hl=en&as_sdt=2007&scillfp=7930566205869418627&oi=lle","https://scholar.google.com/scholar?q=related:Ma30lH1z2n0J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+albedo&hl=en&as_sdt=2007"
5,"HE Ahrends, SF Oberbauer…","Small-scale albedo-temperature relationship contrast with large-scale relations in Alaskan acidic tussock tundra",2012,"Remote Sensing for …","spiedigitallibrary.org","https://www.spiedigitallibrary.org/conference-proceedings-of-spie/8531/853113/Small-scale-albedo-temperature-relationship-contrast-with-large-scale-relations/10.1117/12.974381.short","https://scholar.google.com/scholar?cites=9319954108642530502&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-25 08:45:27","","10.1117/12.974381.short","","",,,,,5,0.42,2,3,12,"… However, our results give further evidence for the importance of non-vascular plants (mosses and lichens) for understanding and modeling surface-atmosphere interactions in arctic …","https://scholar.archive.org/work/dirdj6vegfh5lktrrxezsxoyci/access/wayback/http://homepage.agrl.ethz.ch/eugsterw/publications/pdf/Ahrends.2012.SPIE-FINAL.pdf","https://scholar.google.com/scholar?q=related:xpSU8OEgV4EJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+albedo&hl=en&as_sdt=2007"
64,"PC Stoy, LE Street, AV Johnson…","Temperature, heat flux, and reflectance of common subarctic mosses and lichens under field conditions: might changes to community composition impact climate …",2012,"Arctic, antarctic, and …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1657/1938-4246-44.4.500","https://scholar.google.com/scholar?cites=710307706349096607&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-25 08:45:27","","10.1657/1938-4246-44.4.500","","",,,,,64,5.33,16,4,12,"… Earth system, we investigated differences in albedo and land surface temperature products from … Improving the representation of vegetation, including non-vascular vegetation in climate …","https://www.tandfonline.com/doi/pdf/10.1657/1938-4246-44.4.500","https://scholar.google.com/scholar?q=related:nw4pdhiF2wkJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+albedo&hl=en&as_sdt=2007"
0,"R Kathrin, W David","A research agenda for non-vascular photoautotrophs under climate change",,"researchgate.net","","https://www.researchgate.net/profile/Maik-Veste/publication/365637717_A_research_agenda_for_non-vascular_photoautotrophs_under_climate_change/links/6427ce3e66f8522c38eb49a6/A-research-agenda-for-non-vascular-photoautotrophs-under-climate-change.pdf","",5,"2024-07-25 08:45:27","PDF","","","",,,,,0,0.00,0,2,,"… Non-vascular photoautotrophs occur over a wide range of climatic conditions in almost all … here a scheme for categorization of non-vascular habitat types along three microclimatic …","https://www.researchgate.net/profile/Maik-Veste/publication/365637717_A_research_agenda_for_non-vascular_photoautotrophs_under_climate_change/links/6427ce3e66f8522c38eb49a6/A-research-agenda-for-non-vascular-photoautotrophs-under-climate-change.pdf","https://scholar.google.com/scholar?q=related:ECgcVIlKU_cJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+albedo&hl=en&as_sdt=2007"
0,"G Canali, L Di Nuzzo, R Benesperi…","Functional traits of non-vascular epiphytes influence fine scale thermal heterogeneity under contrasting microclimates: insights from sub-Mediterranean forests",2024,"Botanical Journal of …","academic.oup.com","https://academic.oup.com/botlinnean/article-abstract/205/1/75/7634287","",6,"2024-07-25 08:45:27","","","","",,,,,0,0.00,0,4,1,"… In this work, thermal heterogeneity was studied for the first time on non-vascular epiphyte … the effect of the functional traits of non-vascular epiphytes, particularly thallus growth form and …","https://www.researchgate.net/profile/Paolo-Giordani-2/publication/377306988_Functional_traits_of_non-vascular_epiphytes_influence_fine_scale_thermal_heterogeneity_under_contrasting_microclimates_insights_from_sub-Mediterranean_forests/links/65e84708e7670d36abfef1b5/Functional-traits-of-non-vascular-epiphytes-influence-fine-scale-thermal-heterogeneity-under-contrasting-microclimates-insights-from-sub-Mediterranean-forests.pdf","https://scholar.google.com/scholar?q=related:xyUyoN47_wQJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+albedo&hl=en&as_sdt=2007"
0,"EA Finne","On the role of lichens in vegetation-climate interactions",2024,"","duo.uio.no","https://www.duo.uio.no/handle/10852/111416","",7,"2024-07-25 08:45:27","","","","",,,,,0,0.00,0,1,1,"… on surface albedo, and how surface albedo varies between … The contribution of non-vascular photoautotrophs (NVPs) to … 1: Schematic overview of the contributions from non-vascular …","https://www.duo.uio.no/bitstream/handle/10852/111416/1/PhD-Finne-2024.pdf","https://scholar.google.com/scholar?q=related:GjCCvcTBDXcJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+albedo&hl=en&as_sdt=2007"
58,"KF Huemmrich, JA Gamon, CE Tweedie…","Arctic tundra vegetation functional types based on photosynthetic physiology and optical properties",2013,"IEEE Journal of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6507561/","https://scholar.google.com/scholar?cites=9528823599201801610&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-25 08:45:27","","","","",,,,,58,5.27,15,4,11,"… cover, and these non-vascular plants have different spectral … This study investigates the importance of non-vascular plants in … PAR albedo is estimated by integrating the measured …","https://ntrs.nasa.gov/api/citations/20130014409/downloads/20130014409.pdf","https://scholar.google.com/scholar?q=related:ilXI3ZMuPYQJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+albedo&hl=en&as_sdt=2007"
13,"S Orvig","Net radiation flux over sub-Arctic surfaces",1961,"Journal of Meteorology","journals.ametsoc.org","https://journals.ametsoc.org/view/journals/atsc/18/2/1520-0469_1961_018_0199_nrfosa_2_0_co_2.xml","https://scholar.google.com/scholar?cites=6667686923965188371&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-25 08:45:27","","","","",,,,,13,0.21,13,1,63,"… wide variations in albedo and evaporative characteristics. By determining the albedo and … This is due to the peculiar characteristics of the surface lichen which is a non-vascular plant. …","https://journals.ametsoc.org/downloadpdf/journals/atsc/18/2/1520-0469_1961_018_0199_nrfosa_2_0_co_2.pdf","https://scholar.google.com/scholar?q=related:E0l2MO5hiFwJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+albedo&hl=en&as_sdt=2007"
49,"PC Olivas, SF Oberbauer, C Tweedie…","Effects of Fine-Scale Topography on CO2 Flux Components of Alaskan Coastal Plain Tundra: Response to Contrasting Growing Seasons",2011,"Arctic, Antarctic, and …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1657/1938-4246-43.2.256","https://scholar.google.com/scholar?cites=17369863291832690631&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-25 08:45:27","","10.1657/1938-4246-43.2.256","","",,,,,49,3.77,12,4,13,"… the top of the polygon rim with predominantly non-vascular canopy cover. Here, plant canopy … Furthermore, standing water reduces the surface albedo, increasing water and soil surface …","https://www.tandfonline.com/doi/pdf/10.1657/1938-4246-43.2.256","https://scholar.google.com/scholar?q=related:x-fIaqImDvEJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+albedo&hl=en&as_sdt=2007"
