Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
21,"FE Matheson, MD De Winton, JS Clayton, TM Edwards…","Responses of vascular (Egeria densa) and non-vascular (Chara globularis) submerged plants and oospores to contrasting sediment types",2005,"Aquatic Botany","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304377005001178","https://scholar.google.com/scholar?cites=12305152914422867868&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-25 09:10:26","","","","",,,,,21,1.11,4,5,19,"… Sediment bulk density (dry weight basis) was determined as the mass of fresh sediment in a 100 cm 3 volume corrected for moisture content. Oospore content was measured following …","https://www.academia.edu/download/43186747/Responses_of_vascular_Egeria_densa_and20160229-17875-l7zx66.pdf","https://scholar.google.com/scholar?q=related:nKcJU2GvxKoJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22bulk+density%22&hl=en&as_sdt=2007"
20,"A Noble, SM Palmer, DJ Glaves, A Crowle, J Holden","Impacts of peat bulk density, ash deposition and rainwater chemistry on establishment of peatland mosses",2017,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-017-3325-7","https://scholar.google.com/scholar?cites=17635163717198919865&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-25 09:10:26","HTML","10.1007/s11104-017-3325-7","","",,,,,20,2.86,4,5,7,"… Higher peat bulk density limited growth of both Sphagnum species. S. capillifolium and C. … Peat bulk density increases caused by fire or drainage can limit Sphagnum establishment and …","https://link.springer.com/article/10.1007/s11104-017-3325-7","https://scholar.google.com/scholar?q=related:ubh_N_evvPQJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22bulk+density%22&hl=en&as_sdt=2007"
42,"V Golubev, P Whittington","Effects of volume change on the unsaturated hydraulic conductivity of Sphagnum moss",2018,"Journal of Hydrology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022169418301653","https://scholar.google.com/scholar?cites=1884476311688784333&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-25 09:10:26","","","","",,,,,42,7.00,21,2,6,"… Due to the non-vascular nature of Sphagnum mosses, the capitula (growing surface) of the … (10×) with compression up to a certain bulk density of the moss, after which higher levels of …","https://scholar.google.com/scholar?output=instlink&q=info:zSnZmTgBJxoJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=11899042976582965083&oi=lle","https://scholar.google.com/scholar?q=related:zSnZmTgBJxoJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22bulk+density%22&hl=en&as_sdt=2007"
67,"RGM Hofstede, KJM Dickinson…","Distribution, abundance and biomass of epiphyte‐lianoid communities in a New Zealand lowland Nothofagus‐podocarp temperate rain forest: tropical comparisons",2001,"Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2699.2001.00613.x","https://scholar.google.com/scholar?cites=11242060993400365869&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-25 09:10:26","","10.1046/j.1365-2699.2001.00613.x","","",,,,,67,2.91,22,3,23,"… Our bulk density values show considerable consistency with relatively small … and non-vascular taxa in the differentiation of epiphytic communities. We found ninety-four non-vascular …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-2699.2001.00613.x","https://scholar.google.com/scholar?q=related:LWPnFunSA5wJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22bulk+density%22&hl=en&as_sdt=2007"
254,"J Price","Soil moisture, water tension, and water table relationships in a managed cutover bog",1997,"Journal of hydrology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022169497000371","https://scholar.google.com/scholar?cites=8088005657118487279&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-25 09:10:26","","","","",,,,,254,9.41,254,1,27,"… bulk density (hence smaller pore structure) at the blocked site (ρ b =92.1 kg compared with 55.7 kg m −3 ). Higher bulk density … within their own (non-vascular) tissue. Preliminary field …","https://www.researchgate.net/profile/Jonathan-Price-18/publication/222506961_Soil_moisture_water_tension_and_water_table_relationships_in_a_managed_cutover_bog/links/6001dbf1a6fdccdcb8588dc3/Soil-moisture-water-tension-and-water-table-relationships-in-a-managed-cutover-bog.pdf","https://scholar.google.com/scholar?q=related:77LlBUtePnAJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22bulk+density%22&hl=en&as_sdt=2007"
0,"EY Reed, CH Vane, GD Abbott","Establishing the origin of aromatic products from vascular and non-vascular vegetation inputs in surficial peats using 13C-labelled tetramethylammonium …",2023,"Journal of Analytical and Applied …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0165237023001523","",6,"2024-07-25 09:10:26","HTML","","","",,,,,0,0.00,0,3,1,"… Peat bulk density (D b ) was determined in duplicate for each … to obtain the dry weight bulk density. The total organic carbon (… horizon is calculated using the bulk density values, the TOC …","https://www.sciencedirect.com/science/article/pii/S0165237023001523","https://scholar.google.com/scholar?q=related:msijDT47XEQJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22bulk+density%22&hl=en&as_sdt=2007"
210,"JS Price","Hydrology and microclimate of a partly restored cutover bog, Quebec",1996,"Hydrological processes","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1099-1085(199610)10:10%3C1263::AID-HYP458%3E3.0.CO;2-1","https://scholar.google.com/scholar?cites=17790050724107710586&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-25 09:10:26","","10.1002/(SICI)1099-1085(199610)10:10%3C1263::AID-HYP458%3E3.0.CO;2-1","","",,,,,210,7.50,210,1,28,"… which retains water at matric suction greater than the nonvascular Sphagnum can generate. … The higher bulk density of the cutover peat also limits the upper range of volumetric moisture…","https://www.gret-perg.ulaval.ca/fileadmin/Fichiers/centre_recherche/Price_Hydrol_Proc_1996_02.pdf","https://scholar.google.com/scholar?q=related:evCeuuD04vYJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22bulk+density%22&hl=en&as_sdt=2007"
41,"CM Gibson, MR Turetsky, K Cottenie…","Variation in plant community composition and vegetation carbon pools a decade following a severe fire season in interior Alaska",2016,"Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jvs.12443","https://scholar.google.com/scholar?cites=12952212433203122544&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-25 09:10:26","","10.1111/jvs.12443","","",,,,,41,5.13,10,4,8,"… Fire severity was a strong control on post-fire tree and non-vascular species … soil bulk density as the most influential environmental variable in this analysis (P <0.05). Soil bulk density …","https://www.jstor.org/stable/pdf/44132706.pdf","https://scholar.google.com/scholar?q=related:cFF4kJWAv7MJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22bulk+density%22&hl=en&as_sdt=2007"
36,"JM Waddington, MC Lucchese, TP Duval","Sphagnum moss moisture retention following the re‐vegetation of degraded peatlands",2011,"Ecohydrology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.130","https://scholar.google.com/scholar?cites=9297079617129591779&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-25 09:10:26","","10.1002/eco.130","","",,,,,36,2.77,12,3,13,"… re-vegetated sites had a bulk density of 43 ± 5 and 41 ± 11 … due to its higher bulk density and relatively more decomposed … as a consequence has a lower bulk density and poorer water …","https://www.gret-perg.ulaval.ca/fileadmin/Fichiers/centre_recherche/Waddington_etal_Ecohydrol_2011_02.pdf","https://scholar.google.com/scholar?q=related:47OIW6fcBYEJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22bulk+density%22&hl=en&as_sdt=2007"
105,"JC Hawkes, DG Pyatt, IMS White","Using Ellenberg indicator values to assess soil quality in British forests from ground vegetation: a pilot study",1997,"Journal of Applied Ecology","JSTOR","https://www.jstor.org/stable/2404883","https://scholar.google.com/scholar?cites=108154809406069601&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-25 09:10:26","","","","",,,,,105,3.89,35,3,27,"… measurement of thickness and bulk density. For the Hovingham … It was possible to derive bulk density directly from the mass and … Nonvascular plants were also ignored. A separate set of …","https://www.jstor.org/stable/pdf/2404883.pdf","https://scholar.google.com/scholar?q=related:YRtm4zk-gAEJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22bulk+density%22&hl=en&as_sdt=2007"
