Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
84,"TJ Fahey, RE Sherman, EVJ Tanner","Tropical montane cloud forest: environmental drivers of vegetation structure and ecosystem function",2016,"Journal of Tropical Ecology","cambridge.org","https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/tropical-montane-cloud-forest-environmental-drivers-of-vegetation-structure-and-ecosystem-function/E020E5CF49444EA4521929C167DFE0C8","https://scholar.google.com/scholar?cites=14840428169100074918&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-25 13:10:55","","","","",,,,,84,10.50,28,3,8,"… The diversity and biomass of both vascular and non-vascular epiphytes is high in most TMCFs, and cloud immersion undoubtedly contributes to this pattern (Figure 1). The most …","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E020E5CF49444EA4521929C167DFE0C8/S0266467415000176a.pdf/tropical_montane_cloud_forest_environmental_drivers_of_vegetation_structure_and_ecosystem_function.pdf","https://scholar.google.com/scholar?q=related:ph_ptcrK880J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22canopy+mass%22&hl=en&as_sdt=2007"
0,"T Wuyun","Leaf structure-function relationships and responses to plant hormones in non-seed plants",2024,"","dspace.emu.ee","https://dspace.emu.ee/bitstreams/c512d440-b206-4e6f-85c6-98be7d7f9948/download","",2,"2024-07-25 13:10:55","PDF","","","",,,,,0,0.00,0,1,1,"… However, most studies have only focused on seed plants, and in the case of non-seed plants, many of which have tiny foliage elements, have used canopy mass per area (CMA) or …","https://dspace.emu.ee/bitstreams/c512d440-b206-4e6f-85c6-98be7d7f9948/download","https://scholar.google.com/scholar?q=related:u-JG_1i8iKQJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22canopy+mass%22&hl=en&as_sdt=2007"
1,"AM McDonough","Ecosystem Response to Above Canopy Nitrogen Addition in a Jack Pine (Pinus banksiana) Forest in the Athabasca Bituminous Sands Region of …",2021,"","search.proquest.com","https://search.proquest.com/openview/d9b91ae29b84e31f2bea29f98e2575bd/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=6783697147811405190&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-25 13:10:55","HTML","","","",,,,,1,0.33,1,1,3,"… Comparatively, inorganic N did not reach the mineral soil in this study, as most of the N was acquired by non-vascular plants and the organic soil horizon (McDonough and Watmough, …","https://search.proquest.com/openview/d9b91ae29b84e31f2bea29f98e2575bd/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:hh0hR52IJF4J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22canopy+mass%22&hl=en&as_sdt=2007"
37,"ML Slate, TN Rosenstiel, SM Eppley","Sex-specific morphological and physiological differences in the moss Ceratodon purpureus (Dicranales)",2017,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/120/5/845/3947929","https://scholar.google.com/scholar?cites=4292901723867819430&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-25 13:10:55","","","","",,,,,37,5.29,12,3,7,"… Despite the prevalence of dioecy in non-vascular plants, surprisingly little is known about … , and dried plant weights were used to quantify canopy mass, leaf mass, stem mass and shoot …","https://academic.oup.com/aob/article/120/5/845/3947929","https://scholar.google.com/scholar?q=related:pq3Ngl9zkzsJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22canopy+mass%22&hl=en&as_sdt=2007"
6,"BL Jasinski, RE Hewitt, M Mauritz, SN Miller…","Plant foliar nutrient response to active layer and water table depth in warming permafrost soils",2022,"Journal of …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13864","https://scholar.google.com/scholar?cites=5551420790906314341&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-25 13:10:55","","10.1111/1365-2745.13864","","",,,,,6,3.00,1,5,2,"… Non-vascular species are primarily feather-moss, particularly Hylocomium splendens … canopy mass and total canopy N increased as thaw depth increased, but that total canopy mass …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.13864","https://scholar.google.com/scholar?q=related:ZV6w8MubCk0J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22canopy+mass%22&hl=en&as_sdt=2007"
465,"PJ Grubb, JR Lloyd, TD Pennington, TC Whitmore","A comparison of montane and lowland rain forest in Ecuador I. The forest structure, physiognomy, and floristics",1963,"The Journal of Ecology","JSTOR","https://www.jstor.org/stable/2257748","https://scholar.google.com/scholar?cites=3242944739711001201&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-25 13:10:55","","","","",,,,,465,7.62,116,4,61,"… and because stratification of canopy mass rather than volume is the factor of potential biological and meteorological importance. Theoretically canopy mass should first be considered in …","https://www.jstor.org/stable/pdf/2257748.pdf","https://scholar.google.com/scholar?q=related:cSKyFA9BAS0J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22canopy+mass%22&hl=en&as_sdt=2007"
70,"NT Comer, PM Lafleur, NT Roulet, MG Letts…","A test of the Canadian Land Surface Scheme (CLASS) for a variety of wetland types",2000,"Atmosphere …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07055900.2000.9649644","https://scholar.google.com/scholar?cites=12083344017140338487&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-25 13:10:55","","10.1080/07055900.2000.9649644","","",,,,,70,2.92,14,5,24,"… non-vascular bog-type wetlands are relatively poorly modelled. Bog surfaces were treated as bare soil surfaces in this testing procedure since the non-vascular … additional non-vascular …","https://www.tandfonline.com/doi/pdf/10.1080/07055900.2000.9649644","https://scholar.google.com/scholar?q=related:N899AF2psKcJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22canopy+mass%22&hl=en&as_sdt=2007"
22,"PM Lafleur, MR Skarupa, DL Verseghy","Validation of the Canadian Land Surface Scheme (CLASS) for a subarctic open woodland",2000,"Atmosphere-Ocean","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07055900.2000.9649646","https://scholar.google.com/scholar?cites=12265062081390178370&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-25 13:10:55","","10.1080/07055900.2000.9649646","","",,,,,22,0.92,7,3,24,"… Mats of non-vascular plants cover the soil surface with … index, vegetation height, and canopy mass. These are specified for … height was set to 3.3 m and the canopy mass to 6.8 kg m–2, …","https://www.tandfonline.com/doi/pdf/10.1080/07055900.2000.9649646","https://scholar.google.com/scholar?q=related:QvBf3fpANqoJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22canopy+mass%22&hl=en&as_sdt=2007"
43,"A Klamerus-Iwan, TE Link, RF Keim…","Storage and routing of precipitation through canopies",2020,"… partitioning by vegetation …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-29702-2_2","https://scholar.google.com/scholar?cites=13133635901178299257&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-25 13:10:55","","10.1007/978-3-030-29702-2_2","","",,,,,43,10.75,11,4,4,"Water storage on tree crowns, trunks, the understory, and litter is, in many respects, one of the simplest water balance components of vegetated ecosystems, but one that is rarely …","https://scholar.google.com/scholar?output=instlink&q=info:ecMMY0QMRLYJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=9680722515450008011&oi=lle","https://scholar.google.com/scholar?q=related:ecMMY0QMRLYJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22canopy+mass%22&hl=en&as_sdt=2007"
0,"SM Tajbakhsh Fakhrabadi, M Aliabadi…","Evaluation of the Interception Condition in Haloxylon Persicum Bunge and Calligonum Comosum L'Hér. Species and their Role on soil Conservation",2023,"Watershed …","wmrj.areeo.ac.ir","https://wmrj.areeo.ac.ir/article_127653_en.html?lang=en","",10,"2024-07-25 13:10:55","HTML","","","",,,,,0,0.00,0,3,1,"… The results revealed that there is a significant positive correlation between the amount of precipitation and the amount of interception and the percentage of canopy mass with the …","https://wmrj.areeo.ac.ir/article_127653_en.html?lang=en","https://scholar.google.com/scholar?q=related:JxGXFBIoaXAJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22canopy+mass%22&hl=en&as_sdt=2007"
