Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
30,"JA Lopez Molina, MJ Rivera, M Trujillo…","Thermal modeling for pulsed radiofrequency ablation: analytical study based on hyperbolic heat conduction",2009,"Medical …","Wiley Online Library","https://aapm.onlinelibrary.wiley.com/doi/abs/10.1118/1.3085824","https://scholar.google.com/scholar?cites=13088062742122506500&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-25 09:33:47","","10.1118/1.3085824","","",,,,,30,2.00,8,4,15,"… Neither did we consider the blood perfusion term, which is a feasible approach for the RFH of the cornea (non-vascular tissue) and for RF cardiac ablation in a target at a safe distance …","https://www.academia.edu/download/97393179/1.308582420230117-1-1lo7r3u.pdf","https://scholar.google.com/scholar?q=related:BKk8brgjorUJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22heat+conduction%22&hl=en&as_sdt=2007"
34,"Y Yin, M Li, Y Li, J Song","Skin pain sensation of epidermal electronic device/skin system considering non-Fourier heat conduction",2020,"Journal of the Mechanics and Physics of Solids","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022509620301630","https://scholar.google.com/scholar?cites=1854618735179478585&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-25 09:33:47","","","","",,,,,34,8.50,9,4,4,"… The thermal analyses in these studies are based on the Fourier's law, which is the universally employed theory to describe the heat conduction process. In Fourier's law, the heat flux q …","","https://scholar.google.com/scholar?q=related:OTYo2OntvBkJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22heat+conduction%22&hl=en&as_sdt=2007"
28,"D Li, R Li, H Jia, B Chen, W Wu…","Experimental and numerical investigation on the transient vascular thermal response to multi‐pulse Nd: YAG laser",2017,"Lasers in Surgery and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/lsm.22695","https://scholar.google.com/scholar?cites=5585218337787207187&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-25 09:33:47","","10.1002/lsm.22695","","",,,,,28,4.00,5,6,7,"… The heat conduction in dorsal skin was … or non-vascular components. According to the principle of selective photothermolysis, we assumed that the energy absorption by non-vascular …","","https://scholar.google.com/scholar?q=related:E97NiHyugk0J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22heat+conduction%22&hl=en&as_sdt=2007"
48,"T Peng, DP O'Neill, SJ Payne","A two-equation coupled system for determination of liver tissue temperature during thermal ablation",2011,"International Journal of Heat and Mass …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0017931010007118","https://scholar.google.com/scholar?cites=7374339113760525351&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-25 09:33:47","","","","",,,,,48,3.69,16,3,13,"… heating source term; whilst the second is heat conduction term; the third term is the tissue/… insignificant in thermal ablation [24]; the heat conduction term in the blood bio-heat equation …","https://www.academia.edu/download/72174833/j.ijheatmasstransfer.2010.12.01920211011-16325-lp8m2l.pdf","https://scholar.google.com/scholar?q=related:Jwz3YFrqVmYJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22heat+conduction%22&hl=en&as_sdt=2007"
2,"ZX Ying, YB Zhao, D Li, YL Shang, B Chen…","The influence of morphological distribution of melanin on parameter selection in laser thermotherapy for vascular skin diseases",2020,"Lasers in Medical …","Springer","https://link.springer.com/article/10.1007/s10103-019-02882-6","https://scholar.google.com/scholar?cites=1721236949829254159&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-25 09:33:47","HTML","10.1007/s10103-019-02882-6","","",,,,,2,0.50,0,6,4,"… non-vascular components. According to the principle of selective photothermolysis, we assumed that the energy absorption by non-vascular … was that heat conduction in epidermal layer …","https://link.springer.com/article/10.1007/s10103-019-02882-6","https://scholar.google.com/scholar?q=related:D3zZ6OIP4xcJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22heat+conduction%22&hl=en&as_sdt=2007"
11,"M Aijaz, MA Khanday","Temperature distribution and thermal damage of peripheral tissue in human limbs during heat stress: A mathematical model",2016,"Journal of Mechanics in Medicine and …","World Scientific","https://www.worldscientific.com/doi/abs/10.1142/S0219519416500640","https://scholar.google.com/scholar?cites=7216090214402983948&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-25 09:33:47","","10.1142/S0219519416500640","","",,,,,11,1.38,6,2,8,"… The epidermis being the outer part of the human skin is non-vascular and lined by … and they used the standard one-dimensional heat conduction equation as model. Apart from thermal …","","https://scholar.google.com/scholar?q=related:DIipSNGzJGQJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22heat+conduction%22&hl=en&as_sdt=2007"
0,"NM Khan","BASIC MATHEMATICAL MODELLING OF HEAT AND BLOOD TRANSPORT IN HUMAN EYE",2021,"","maths.uok.edu.in","https://maths.uok.edu.in/Files/5cb79b4e-ee44-4448-9dfe-ca876c31a24e/Custom/EYE-6.pdf","",7,"2024-07-25 09:33:47","PDF","","","",,,,,0,0.00,0,1,3,"… The cornea is a non-vascular structure … Heat conduction occurs as hot and rapidly moving or vibrating molecules interact with neighboring molecules, transferring some of their energy (…","https://maths.uok.edu.in/Files/5cb79b4e-ee44-4448-9dfe-ca876c31a24e/Custom/EYE-6.pdf","https://scholar.google.com/scholar?q=related:RzC7tl6UqwAJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22heat+conduction%22&hl=en&as_sdt=2007"
0,"N Tsafnat","Numerical modelling of ferromagnetic embolisation hyperthermia in the treatment of liver cancer",2005,"","unsworks.unsw.edu.au","https://unsworks.unsw.edu.au/entities/publication/4a499481-a9f1-4c87-a355-1ff865a27354/full","",8,"2024-07-25 09:33:47","","","","",,,,,0,0.00,0,1,19,"… These so-called non vascular models have been proposed to avoid using the explicit three … in terms of heat conduction only. Weinbaum and Jiji developed a non-vascular model termed …","https://unsworks.unsw.edu.au/bitstreams/4829da36-65c4-465d-a4ed-7d52dd909620/download","https://scholar.google.com/scholar?q=related:GzN1axs5vdIJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22heat+conduction%22&hl=en&as_sdt=2007"
15,"DJ Smithies, PH Butler, WA Day, EP Walker","The effect of the illumination time when treating port-wine stains",1995,"Lasers in Medical Science","Springer","https://link.springer.com/article/10.1007/BF02150846","https://scholar.google.com/scholar?cites=13022562443702361196&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-25 09:33:47","","10.1007/BF02150846","","",,,,,15,0.52,4,4,29,"… 4 ms, with minimal heating of the non-vascular tissue. Shorter … damage to the surrounding non-vascular tissue. Illumination … heat conduction. The authors, like van Gemert et al (8), have …","","https://scholar.google.com/scholar?q=related:bNw4yotvubQJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22heat+conduction%22&hl=en&as_sdt=2007"
828,"DC Auth","Method and apparatus for removal of enclosed abnormal deposits",1984,"US Patent 4,445,509","Google Patents","https://patents.google.com/patent/US4445509A/en","https://scholar.google.com/scholar?cites=4501666956310226655&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-25 09:33:47","","","","",,,,,828,20.70,828,1,40,"… for non-vascular obstructions A61B17/320758—Atherectomy devices working by cutting or abrading; Similar devices specially adapted for non-vascular … by lateral heat conduction. …","https://patentimages.storage.googleapis.com/pdfs/US4445509.pdf","https://scholar.google.com/scholar?q=related:3yb88z4ieT4J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22heat+conduction%22&hl=en&as_sdt=2007"
