Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
892,"C Santi, D Bogusz, C Franche","Biological nitrogen fixation in non-legume plants",2013,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/111/5/743/193622","https://scholar.google.com/scholar?cites=7949904844660852828&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-25 08:43:48","","","","",,,,,892,81.09,297,3,11,"… The bacteria responsible for nitrogen fixation are called … efficient processes for nitrogen fixation involve the formation of … and non-legume nitrogen fixation provide new insight into ways …","https://academic.oup.com/aob/article/111/5/743/193622","https://scholar.google.com/scholar?q=related:XMgq-FW8U24J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
14,"L Van Langenhove, T Depaepe, LT Verryckt…","Comparable canopy and soil free-living nitrogen fixation rates in a lowland tropical forest",2021,"Science of the Total …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969720357314","https://scholar.google.com/scholar?cites=17879646086787702904&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-25 08:43:48","","","","",,,,,14,4.67,4,4,3,"… For the purposes of this study we did not differentiate between the three divisions of non-vascular plants contained in the bryophyte group (the mosses, liverworts and hornworts). There …","https://repository.uantwerpen.be/docstore/d:irua:6241","https://scholar.google.com/scholar?q=related:eCCvsGJDIfgJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
1030,"C Franche, K Lindström, C Elmerich","Nitrogen-fixing bacteria associated with leguminous and non-leguminous plants",2009,"","Springer","https://link.springer.com/article/10.1007/s11104-008-9833-8","https://scholar.google.com/scholar?cites=8744966050059713542&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-25 08:43:48","HTML","10.1007/s11104-008-9833-8","","",,,,,1030,68.67,343,3,15,"… nitrogen into ammonia is referred to as nitrogen fixation. A wide diversity of nitrogen-fixing … Besides vascular plants, there exist a wide variety of non-vascular lower plant belonging to …","https://link.springer.com/article/10.1007/s11104-008-9833-8","https://scholar.google.com/scholar?q=related:BvyoKkpcXHkJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
97,"KS Gavazov, NA Soudzilovskaia, RSP van Logtestijn…","Isotopic analysis of cyanobacterial nitrogen fixation associated with subarctic lichen and bryophyte species",2010,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-010-0374-6","https://scholar.google.com/scholar?cites=14642889847461670154&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-25 08:43:48","HTML","10.1007/s11104-010-0374-6","","",,,,,97,6.93,24,4,14,"… Throughout the survey we experienced difficulties analysing the data on 15 N accumulation due to the great natural variation of this isotope in the Abisko non-vascular vegetation. A …","https://link.springer.com/article/10.1007/s11104-010-0374-6","https://scholar.google.com/scholar?q=related:Cm0gI7z-NcsJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
59,"U Mathesius","Are legumes different? Origins and consequences of evolving nitrogen fixing symbioses",2022,"Journal of Plant Physiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161722001511","https://scholar.google.com/scholar?cites=13376112297142869862&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-25 08:43:48","HTML","","","",,,,,59,29.50,59,1,2,"… In contrast to nitrogen fixation in free-living bacteria, symbiotic nitrogen fixation would have provided a number of advantages to the bacterial partner. First, inhabiting a physical niche in …","https://www.sciencedirect.com/science/article/pii/S0176161722001511","https://scholar.google.com/scholar?q=related:Zl_vukN_obkJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
22,"R Tamme, M Pärtel, U Kõljalg…","Global macroecology of nitrogen‐fixing plants",2021,"Global ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.13236","https://scholar.google.com/scholar?cites=10486429138527716334&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-25 08:43:48","","10.1111/geb.13236","","",,,,,22,7.33,6,4,3,"… Because symbiotic nitrogen fixation is an expensive process requiring both large carbon investment for construction of bacteria-harbouring nodules and energy for nitrogen reduction …","","https://scholar.google.com/scholar?q=related:7gNA9L1Hh5EJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
71,"TA Bhat, L Ahmad, MA Ganai, OA Khan","Nitrogen fixing biofertilizers; mechanism and growth promotion: a review",2015,"J Pure Appl Microbiol","researchgate.net","https://www.researchgate.net/profile/Drlatief-Ahmad/publication/283014730_Nitrogen_Fixing_Biofertilizers_Mechanism_and_Growth_Promotion_A_Review/links/562652ba08aed3d3f1383445/Nitrogen-Fixing-Biofertilizers-Mechanism-and-Growth-Promotion-A-Review.pdf","https://scholar.google.com/scholar?cites=362989717869492249&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-25 08:43:48","PDF","","","",,,,,71,7.89,18,4,9,"… ammonia is referred to as nitrogen fixation. A wide diversity of … growth promotion include biological nitrogen fixation (BNF), … exist a wide variety of non-vascular lower plant belonging to …","https://www.researchgate.net/profile/Drlatief-Ahmad/publication/283014730_Nitrogen_Fixing_Biofertilizers_Mechanism_and_Growth_Promotion_A_Review/links/562652ba08aed3d3f1383445/Nitrogen-Fixing-Biofertilizers-Mechanism-and-Growth-Promotion-A-Review.pdf","https://scholar.google.com/scholar?q=related:Gfi6pjmZCQUJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
12,"CA Pérez, FM Thomas, WA Silva, B Segura…","Patterns of biological nitrogen fixation during 60 000 years of forest development on volcanic soils from south-central Chile",2014,"New Zealand Journal of …","JSTOR","https://www.jstor.org/stable/24060797","https://scholar.google.com/scholar?cites=2669289843195270559&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-25 08:43:48","","","","",,,,,12,1.20,2,5,10,"… Biological nitrogen fixation (BNF) plays a key role at the onsetofecosystemdevelopmentafter … Phototrophic bacteria can also live in symbiosis with non-vascular plants such as mosses, …","https://www.jstor.org/stable/pdf/24060797.pdf","https://scholar.google.com/scholar?q=related:n1U2Svg4CyUJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
0,"M Cárdenas‐Henao, DE Stanton","Vascular plant taxonomic and functional richness differentially affect non‐vascular photoautotroph communities",2024,"Oikos","Wiley Online Library","https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/oik.10494","",9,"2024-07-25 08:43:48","","10.1111/oik.10494","","",,,,,0,0.00,0,2,1,"… Despite being presented as plant biodiversity experiments, non-vascular plants have been entirely disregarded in the experimental design and diversity levels (Fig. 1). In this experiment…","https://nsojournals.onlinelibrary.wiley.com/doi/pdf/10.1111/oik.10494","https://scholar.google.com/scholar?q=related:IvjLVpsbCiMJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
56,"M Becana, I Yruela, G Sarath, P Catalán…","Plant hemoglobins: a journey from unicellular green algae to vascular plants",2020,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.16444","https://scholar.google.com/scholar?cites=17952306342962002826&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-25 08:43:48","","10.1111/nph.16444","","",,,,,56,14.00,11,5,4,"… , in some cases, nitrogen fixation. These microorganisms gave rise … The glbN gene is located inside the nitrogen fixation gene … Bryophytes are non-vascular plants that colonized land c. …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/nph.16444","https://scholar.google.com/scholar?q=related:ivs954BnI_kJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
2,"H Akther, K Rousk","High heavy metal load does not inhibit nitrogen fixation in moss-cyanobacteria associations",2019,"Ecotoxicology","Springer","https://link.springer.com/article/10.1007/s10646-019-02127-w","https://scholar.google.com/scholar?cites=18388129803356984713&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-25 08:43:48","HTML","10.1007/s10646-019-02127-w","","",,,,,2,0.40,1,2,5,"… Given the non-vascular physiology of mosses, they are especially sensitive to eg increased N input and heavy metal deposition. While the effects of increased N input on moss-…","https://link.springer.com/article/10.1007/s10646-019-02127-w","https://scholar.google.com/scholar?q=related:idXdtKHCL_8J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
20,"P Porada, A Tamm, J Raggio, Y Cheng…","Global NO and HONO emissions of biological soil crusts estimated by a process-based non-vascular vegetation model",2019,"…","bg.copernicus.org","https://bg.copernicus.org/articles/16/2003/2019/","https://scholar.google.com/scholar?cites=6829621823370007309&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-25 08:43:48","HTML","","","",,,,,20,4.00,4,5,5,"… radiation and moisture supply to ground-based non-vascular organisms, and it may also serve as a habitat for non-vascular epiphytes. Climate data and other boundary conditions are …","https://bg.copernicus.org/articles/16/2003/2019/","https://scholar.google.com/scholar?q=related:DZM5DN2wx14J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
37,"PS Martin, AU Mallik","The status of non-vascular plants in trait-based ecosystem function studies",2017,"Perspectives in Plant Ecology, Evolution and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1433831917300082","https://scholar.google.com/scholar?cites=6854481565949405223&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-25 08:43:48","","","","",,,,,37,5.29,19,2,7,"The contributions of non-vascular plants (NVPs) to ecosystem function can be significant in high latitude and high altitude ecosystems and yet their inclusion in trait-based studies is rare…","","https://scholar.google.com/scholar?q=related:J6jg6aoCIF8J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
58,"JC Meeks","Physiological Adaptations in Nitrogen-fixing Nostoc–Plant Symbiotic Associations",2007,"Prokaryotic symbionts in plants","Springer","https://link.springer.com/chapter/10.1007/7171_2007_101","https://scholar.google.com/scholar?cites=15962482389759809797&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-25 08:43:48","","10.1007/7171_2007_101","","",,,,,58,3.41,58,1,17,"… new plant partners for symbiotic nitrogen fixation. … the spore-producing non-vascular bryophytes, the vascularized … a dilemma with regard to nitrogen fixation. The nitrogenase enzyme …","https://www.researchgate.net/profile/Peter-Lindblad-2/publication/226171240_Microbiology_Monographs/links/0deec52b20564b2292000000/Microbiology-Monographs.pdf#page=190","https://scholar.google.com/scholar?q=related:BdkPHykhht0J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
165,"Y Shimoda, M Nagata, A Suzuki, M Abe…","Symbiotic Rhizobium and Nitric Oxide Induce Gene Expression of Non-symbiotic Hemoglobin in Lotus japonicus",2005,"Plant and Cell …","academic.oup.com","https://academic.oup.com/pcp/article-abstract/46/1/99/1815027","https://scholar.google.com/scholar?cites=7637097355085837004&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-25 08:43:48","","","","",,,,,165,8.68,33,5,19,"… level of LjHb1 in mature nodules is probably due to high rates of generation of NO in nodules, where LjHb1 might act as a NO scavenger in order to maintain effective nitrogen fixation. …","https://academic.oup.com/pcp/article/46/1/99/1815027","https://scholar.google.com/scholar?q=related:zHL31JRr_GkJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
1,"L Avila Clasen, A Permin, AB Horwath, DB Metcalfe…","Do nitrogen and phosphorus additions affect nitrogen fixation associated with tropical mosses?",2023,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/12/7/1443","https://scholar.google.com/scholar?cites=1037075254579001362&as_sdt=2005&sciodt=2007&hl=en",16,"2024-07-25 08:43:48","HTML","","","",,,,,1,1.00,0,5,1,"… Biological nitrogen fixation (BNF) is a complex process performed by diazotroph organisms … This is despite the fact that mosses, a major group of non-vascular plants, are highly …","https://www.mdpi.com/2223-7747/12/7/1443","https://scholar.google.com/scholar?q=related:EniHCnNuZA4J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
15,"M Farid","Symbiotic nitrogen fixation in common bean",2015,"","atrium.lib.uoguelph.ca","https://atrium.lib.uoguelph.ca/handle/10214/9301","https://scholar.google.com/scholar?cites=16309901018347350996&as_sdt=2005&sciodt=2007&hl=en",17,"2024-07-25 08:43:48","","","","",,,,,15,1.67,15,1,9,"… Cyanobacteria, utilizing a similar exchange, can form associative relationships with vascular and non-vascular plants belonging to the bryophytes (such as liverworts and hornworts), …","https://atrium.lib.uoguelph.ca/bitstream/10214/9301/1/Farid_Mehdi_201510_PhD.pdf","https://scholar.google.com/scholar?q=related:1CtgCJBoWOIJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
49,"S Lett, A Michelsen","Seasonal variation in nitrogen fixation and effects of climate change in a subarctic heath",2014,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-014-2031-y","https://scholar.google.com/scholar?cites=3816519177619021732&as_sdt=2005&sciodt=2007&hl=en",18,"2024-07-25 08:43:48","HTML","10.1007/s11104-014-2031-y","","",,,,,49,4.90,25,2,10,"… Despite this and the potential importance of non-vascular plants for NPP in the colder seasons, almost all measurements of N 2 fixation in the Arctic have been conducted in the main …","https://link.springer.com/article/10.1007/s11104-014-2031-y","https://scholar.google.com/scholar?q=related:pJ9ypPj_9jQJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
2,"C Groß, S Hossen, S Dittrich, KH Knorr…","Biological nitrogen fixation, diversity and community structure of diazotrophs in two mosses in 25 temperate forests",2024,"Environmental …","Wiley Online Library","https://ami-journals.onlinelibrary.wiley.com/doi/abs/10.1111/1462-2920.16555","https://scholar.google.com/scholar?cites=9472073555297682712&as_sdt=2005&sciodt=2007&hl=en",19,"2024-07-25 08:43:48","","10.1111/1462-2920.16555","","",,,,,2,2.00,0,5,1,"Many moss species are associated with nitrogen (N)‐fixing bacteria (diazotrophs) that support the N supply of mosses. Our knowledge relates primarily to pristine ecosystems with low …","https://ami-journals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1462-2920.16555","https://scholar.google.com/scholar?q=related:GMXjnbaQc4MJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
61,"K Rousk, PL Sorensen, S Lett, A Michelsen","Across-habitat comparison of diazotroph activity in the subarctic",2015,"Microbial Ecology","Springer","https://link.springer.com/article/10.1007/s00248-014-0534-y","https://scholar.google.com/scholar?cites=13149437917239897828&as_sdt=2005&sciodt=2007&hl=en",20,"2024-07-25 08:43:48","HTML","10.1007/s00248-014-0534-y","","",,,,,61,6.78,15,4,9,"… Nitrogen fixation in Sphagnum was higher than that in the … Nitrogen fixation is an important source of N in pristine, … The non-vascular feather moss and lichen easily lose water during …","https://link.springer.com/article/10.1007/s00248-014-0534-y","https://scholar.google.com/scholar?q=related:5O4i9R0wfLYJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
