Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
243,"SR Gradstein, NM Nadkarni, T Krömer, I Holz, N Nöske","A protocol for rapid and representative sampling of vascular and non-vascular epiphyte diversity of tropical rain forests",2003,"Selbyana","JSTOR","https://www.jstor.org/stable/41750962","https://scholar.google.com/scholar?cites=9144691107905406810&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-25 09:11:18","","","","",,,,,243,11.57,49,5,21,"… Estimation of percent cover of species is time-consuming and therefore omitted in RRED-analysis. Epiphyte volume and biomass, critical for studies of ecosystem processes (eg, water …","https://www.jstor.org/stable/pdf/41750962.pdf","https://scholar.google.com/scholar?q=related:Wgdgqxx46H4J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
0,"M Cárdenas‐Henao, DE Stanton","Vascular plant taxonomic and functional richness differentially affect non‐vascular photoautotroph communities",2024,"Oikos","Wiley Online Library","https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/oik.10494","",2,"2024-07-25 09:11:18","","10.1111/oik.10494","","",,,,,0,0.00,0,2,1,"Despite their ecological significance, non‐vascular photoautotrophs (NVPs) are frequently excluded from ecological experimental studies, leading to a limited comprehension of how …","https://nsojournals.onlinelibrary.wiley.com/doi/pdf/10.1111/oik.10494","https://scholar.google.com/scholar?q=related:IvjLVpsbCiMJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
0,"IG Hnatowich, EG Lamb, KJ Stewart","Reintroducing Vascular and Non-Vascular Plants to Disturbed Arctic Sites: Investigating Turfs and Turf Fragments",2023,"Ecological Restoration","er.uwpress.org","https://er.uwpress.org/content/41/1/3.abstract","",3,"2024-07-25 09:11:18","","","","",,,,,0,0.00,0,3,1,"… Vegetative percent cover data used in multivariate analyses were first converted into a Bray-Curtis distance matrix. Community composition of all treatments during 2021, and …","https://er.uwpress.org/content/wper/41/1/3.full.pdf","https://scholar.google.com/scholar?q=related:7m4tZHuZR2QJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
28,"RL MacDonald, HYH Chen, BP Palik…","Influence of harvesting on understory vegetation along a boreal riparian-upland gradient",2014,"Forest Ecology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378112713006786","https://scholar.google.com/scholar?cites=9849140573965591219&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-25 09:11:18","HTML","","","",,,,,28,2.80,7,4,10,"… Since vascular and non-vascular richness and cover is expected to increase and decrease, … Abundance was quantified through a summation of total species percent cover in each …","https://www.sciencedirect.com/science/article/pii/S0378112713006786","https://scholar.google.com/scholar?q=related:syIbRistr4gJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
33,"N Liu, P Treitz","Modelling high arctic percent vegetation cover using field digital images and high resolution satellite data",2016,"International journal of applied earth observation and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0303243416301027","https://scholar.google.com/scholar?cites=3782401901556834207&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-25 09:11:18","","","","",,,,,33,4.13,17,2,8,"In this study, digital images collected at a study site in the Canadian High Arctic were processed and classified to examine the spatial-temporal patterns of percent vegetation cover (PVC…","https://scholar.google.com/scholar?output=instlink&q=info:n58OTH3KfTQJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=13147379996365238203&oi=lle","https://scholar.google.com/scholar?q=related:n58OTH3KfTQJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
17,"P Lee, K Sturgess","Assemblages of vascular plants on logs and stumps within 28-year-old aspen-dominated boreal forests",2002,"Proceedings of the Symposium on the Ecology and …","fs.usda.gov","https://www.fs.usda.gov/research/treesearch/download/6718.pdf#page=331","https://scholar.google.com/scholar?cites=12089412870284670529&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-25 09:11:18","PDF","","","",,,,,17,0.77,9,2,22,"","https://www.fs.usda.gov/research/treesearch/download/6718.pdf#page=331","https://scholar.google.com/scholar?q=related:QXZa_PM4xqcJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
0,"K Lutz","Vegetation recovery on abandoned road segments of Highway 16 in northwestern British Columbia",2023,"","unbc.arcabc.ca","https://unbc.arcabc.ca/islandora/object/unbc%3A59348?solr_nav%5Bid%5D=e0b1a0c1fadc76e0a9b8&solr_nav%5Bpage%5D=0&solr_nav%5Boffset%5D=2","",7,"2024-07-25 09:11:18","","","","",,,,,0,0.00,0,1,1,"… Non-vascular cover was more abundant on asphalt roads compared to gravel substrates. Woody plant cover was greatest on gravel shoulders compared to gravel or asphalt road …","https://unbc.arcabc.ca/islandora/object/unbc%3A59348/datastream/PDF/view","https://scholar.google.com/scholar?q=related:dAywhst25T4J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
21,"SR Haughian, KA Frego","Short-term effects of three commercial thinning treatments on diversity of understory vascular plants in white spruce plantations of northern New Brunswick",2016,"Forest Ecology and Management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378112716301451","https://scholar.google.com/scholar?cites=6160299886533241817&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-25 09:11:18","HTML","","","",,,,,21,2.63,11,2,8,"… Non-vascular plant ground cover categories (bryophytes, … ) were also quantified by percent-cover in each quadrat. Visual … dataset; the sum of percent-cover values (from 3 quadrats) …","https://www.sciencedirect.com/science/article/pii/S0378112716301451","https://scholar.google.com/scholar?q=related:2WuxrhvIfVUJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
0,"RL MacDonald","Influence of riparian harvesting on boreal understory vegetation",2014,"","knowledgecommons.lakeheadu.ca","https://knowledgecommons.lakeheadu.ca/handle/2453/548","",9,"2024-07-25 09:11:18","","","","",,,,,0,0.00,0,1,10,"… aboveground biomass and percent cover for eight understory … total, vascular and non-vascular understory vegetation to harvesting … (ie, percent cover) of total, vascular and non-vascular …","https://knowledgecommons.lakeheadu.ca/bitstream/handle/2453/548/MacDonaldR2012d-1a.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:rqtk3QSsU1sJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
0,"V Subcommittee","NATIONAL VEGETATION CLASSIFICATION STANDARD, VERSION 2",2008,"","gis.idaho.gov","https://gis.idaho.gov/wp-content/uploads/2020/09/FGDC_NatVegClass_200802.pdf","",10,"2024-07-25 09:11:18","PDF","","","",,,,,0,0.00,0,1,16,"… The percent cover of at least the three most abundant growth forms in the dominant or uppermost stratum should also be estimated (see Appendix E for a list of growth forms). …","https://gis.idaho.gov/wp-content/uploads/2020/09/FGDC_NatVegClass_200802.pdf","https://scholar.google.com/scholar?q=related:b4Kw6mo0r9AJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
0,"FIALC Class, N Crosswalk","Land Cover Classes and Brief Definitions",,"","","","",11,"2024-07-25 09:11:18","CITATION","","","",,,,,0,0.00,0,2,,"","","https://scholar.google.com/scholar?q=related:WJkCyuLrLQoJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
0,"J Johnson","Percent Cover of Biotic and Abiotic Components around Nest Cups of Ruddy Turnstone (Arenaria interpres) at Woolley Lagoon, Seward Peninsula …",2009,"","","","",12,"2024-07-25 09:11:18","CITATION","","","",,,,,0,0.00,0,1,15,"","","https://scholar.google.com/scholar?q=related:ldu2a2tCkiEJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
48,"SW Kembel, MRT Dale","Within‐stand spatial structure and relation of boreal canopy and understorey vegetation",2006,"Journal of Vegetation Science","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1654-1103.2006.tb02501.x","https://scholar.google.com/scholar?cites=18365782032058740559&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-25 09:11:18","","10.1111/j.1654-1103.2006.tb02501.x","","",,,,,48,2.67,24,2,18,"… For each quadrat, we visually estimated percent cover of all vascular and non-vascular … Cover of understorey vegetation was estimated as vertically projected percent cover for each …","https://www.jstor.org/stable/pdf/4499182.pdf","https://scholar.google.com/scholar?q=related:T-8cu3Nd4P4J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
51,"N Liu, P Budkewitsch, P Treitz","Examining spectral reflectance features related to Arctic percent vegetation cover: Implications for hyperspectral remote sensing of Arctic tundra",2017,"Remote sensing of environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S0034425717300548","https://scholar.google.com/scholar?cites=4215385632670588523&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-25 09:11:18","","","","",,,,,51,7.29,17,3,7,"… of non-vascular plants/organisms (eg, mosses, lichens, cyanobacteria), non-photosynthetic components of vegetation (vascular and non-vascular) (… The percent cover of all green plant …","","https://scholar.google.com/scholar?q=related:a56dGuYOgDoJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
9,"G Rogers, JMC Overton","Land use effects on “spring annual” herbs in rare non‐forest ecosystems of New Zealand",2007,"New Zealand Journal of Botany","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/00288250709509720","https://scholar.google.com/scholar?cites=11900506539254954730&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-25 09:11:18","","10.1080/00288250709509720","","",,,,,9,0.53,5,2,17,"… mean altitude of plots mean cover of all vascular and non-vascular plants cover of all non-… 2 Mean count of Ceratocephala on hillslope plots in relation to mean percent cover of bare …","https://www.tandfonline.com/doi/pdf/10.1080/00288250709509720","https://scholar.google.com/scholar?q=related:6jqBV6UXJ6UJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
29,"D Gayton","Native and non-native plant species in grazed grasslands of British Columbia's southern interior",2004,"Journal of Ecosystems and Management","jem-online.org","http://jem-online.org/forrex/index.php/jem/article/view/291","https://scholar.google.com/scholar?cites=10242806834982285475&as_sdt=2005&sciodt=2007&hl=en",16,"2024-07-25 09:11:18","","","","",,,,,29,1.45,29,1,20,"… Shrubs, as well as nonvascular cryptogams, are a component of many of the sampled … The two Daubenmire methods are based on making ocular percent cover estimates for …","http://jem-online.org/forrex/index.php/jem/article/download/291/210","https://scholar.google.com/scholar?q=related:o_APNozCJY4J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
1,"J Buck, J Evens, M Martin","Classification of Vegetation Associations from the Marin County Open Space District in Marin County, California",2010,"… Native Plant Society Vegetation Program and …","cnps.org","https://www.cnps.org/wp-content/uploads/2019/01/veg-marin_co_open_sp-vegreport.pdf","https://scholar.google.com/scholar?cites=160638967498977027&as_sdt=2005&sciodt=2007&hl=en",17,"2024-07-25 09:11:18","PDF","","","",,,,,1,0.07,0,3,14,"… between 25 percent and 60 percent cover of trees. There are … dominated by 10-25 percent cover as sparsely wooded over … were given to non-vascular taxa (ie, non-vascular plant, moss…","https://www.cnps.org/wp-content/uploads/2019/01/veg-marin_co_open_sp-vegreport.pdf","https://scholar.google.com/scholar?q=related:A6_cMkq0OgIJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
1,"B Schulz","CHARACTERIZING FOREST VEGETATION OF THE TANANA VALLEY: WHAT CAN FOREST INVENTORY AND ANALYSIS DELIVER?",2015,"Pushing Boundaries: New Directions in Inventory …","fs.usda.gov","https://www.fs.usda.gov/research/treesearch/download/49896.pdf#page=64","https://scholar.google.com/scholar?cites=16740307656150966659&as_sdt=2005&sciodt=2007&hl=en",18,"2024-07-25 09:11:18","PDF","","","",,,,,1,0.11,1,1,9,"","https://www.fs.usda.gov/research/treesearch/download/49896.pdf#page=64","https://scholar.google.com/scholar?q=related:g2Ghix6FUegJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
0,"PLS Hanus","Monitoring of Terrestrial Vascular Plants and Structure in the Forested Regions of Alberta: Background, Indicators, and Protocols",1999,"","ftp-public.abmi.ca","https://ftp-public.abmi.ca/home/publications/documents/228_Lee_etal_1999_SuggestedProtocolsForTerrestrialVascularPlants_ABMI.pdf","",19,"2024-07-25 09:11:18","PDF","","","",,,,,0,0.00,0,1,25,"… displaces other species such as low herbs and non-vascular plants. The repeated cycle of harvest … Line intercept is another common method used to determine plant percent cover. First …","https://ftp-public.abmi.ca/home/publications/documents/228_Lee_etal_1999_SuggestedProtocolsForTerrestrialVascularPlants_ABMI.pdf","https://scholar.google.com/scholar?q=related:fkBGhWoav_gJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
2,"KM McCauley, GE Crow","The vegetation and flora of Platt Park, Southbury, Connecticut",2005,"Rhodora","BioOne","https://bioone.org/journals/rhodora/volume-107/issue-930/99-15.1/The-vegetation-and-flora-of-Platt-Park-Southbury-Connecticut/10.3119/99-15.1.short","https://scholar.google.com/scholar?cites=2996130063827810329&as_sdt=2005&sciodt=2007&hl=en",20,"2024-07-25 09:11:18","","10.3119/99-15.1.short","","",,,,,2,0.11,1,2,19,"… In each quadrat, the absolute percent cover of each vascular plant … Percent cover values for each species from the three 1 m2 quadrats were averaged to obtain a single percent cover …","https://www.jstor.org/stable/pdf/23313632.pdf","https://scholar.google.com/scholar?q=related:GThTO2tklCkJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
0,"MA Kull","Abundance patterns for vascular epiphytes in a tropical secondary forest, Costa Rica",2007,"","search.proquest.com","https://search.proquest.com/openview/8532e733c319d46e17c4adca2f7bab11/1?pq-origsite=gscholar&cbl=18750","",21,"2024-07-25 09:11:18","BOOK","","","",,,,,0,0.00,0,1,17,"… vascular epiphytes compared to non-vascular percent cover class. Orchidaceae and … percent cover. Tree Abundance represents the number of trees in each non-vascular percent cover …","","https://scholar.google.com/scholar?q=related:_Fh9cc83oy0J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
0,"R Summers, B Hartman","25 Years of Vegetation Change on Santa Rosa Island",,"scholarworks.calstate.edu","","https://scholarworks.calstate.edu/downloads/1n79h6977","",22,"2024-07-25 09:11:18","PDF","","","",,,,,0,0.00,0,2,,"… including various vascular and non-vascular plants. Grazing … The most significant change in percent cover was the … Although percent cover has declined for some cover types there …","https://scholarworks.calstate.edu/downloads/1n79h6977","https://scholar.google.com/scholar?q=related:uX-hoBdOdZcJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
29,"C Pyle, MM Brown","The effects of microsite (logs versus ground surface) on the presence of forest floor biota in a second-growth hardwood forest",2002,"Proceedings of the Symposium on the Ecology and …","Citeseer","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f13ebaf4d3d4a0eae0a9610ad7482e0230b713c7#page=355","https://scholar.google.com/scholar?cites=9580623211573310217&as_sdt=2005&sciodt=2007&hl=en",23,"2024-07-25 09:11:18","PDF","","","",,,,,29,1.32,15,2,22,"… decay classes may have been obscured with the tallying of presence/absence, rather than percent cover estimations for life forms, such as algae, fungi, and non-vascular plants. …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f13ebaf4d3d4a0eae0a9610ad7482e0230b713c7#page=355","https://scholar.google.com/scholar?q=related:CXOw9Aw29YQJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
0,"IR Karklins","Post-fire response of bryophytes in association with understory vascular plants in the Lost Pines Ecosystem of Central Texas",2013,"","oaktrust.library.tamu.edu","https://oaktrust.library.tamu.edu/handle/1969.1/164422","",24,"2024-07-25 09:11:18","","","","",,,,,0,0.00,0,1,11,"… The first study objective was to identify site conditions impacting vascular and non-vascular species presence and composition, and determining species abundance by percent cover. …","https://oaktrust.library.tamu.edu/bitstream/handle/1969.1/164422/KARKLINS-DOCUMENT-2014.pdf?sequence=1","https://scholar.google.com/scholar?q=related:IoDmAa_HN3EJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
11,"KBC Forsch, A Dhar, MA Naeth","Effects of woody debris and cover soil types on soil properties and vegetation 4–5 years after oil sands reclamation",2021,"Restoration ecology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/rec.13420","https://scholar.google.com/scholar?cites=17996004745219217721&as_sdt=2005&sciodt=2007&hl=en",25,"2024-07-25 09:11:18","","10.1111/rec.13420","","",,,,,11,3.67,4,3,3,"… (A–D) Mean percent cover of vegetation growth forms and native and non-native species cover 4 and 5 years after reclamation by cover soil and woody debris types. Bars illustrate …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/rec.13420","https://scholar.google.com/scholar?q=related:ORkJB_imvvkJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
10,"ME Alvarez","Community level consequences of a biological invasion: effects of a non-native vine on three plant communities",1999,"","sonoma-dspace.calstate.edu","http://sonoma-dspace.calstate.edu/handle/10211.1/1712","https://scholar.google.com/scholar?cites=1362528025999296918&as_sdt=2005&sciodt=2007&hl=en",26,"2024-07-25 09:11:18","","","","",,,,,10,0.40,10,1,25,"… Eighty percent of the tree species, eighty-eight percent of all shrubs and all non-vascular … To estimate species-specific percent cover, I used point-intercept sampling methods and …","http://sonoma-dspace.calstate.edu/bitstream/handle/10211.1/1712/AlvarezM_Thesis.pdf?sequence=1","https://scholar.google.com/scholar?q=related:lskzSgWs6BIJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
8,"S Walker, J Comrie, N Head, KJ Ladley…","Hawkweed invasion does not prevent indigenous non-forest vegetation recovery following grazing removal",2016,"New Zealand Journal of …","JSTOR","https://www.jstor.org/stable/26198743","https://scholar.google.com/scholar?cites=15952278116432259037&as_sdt=2005&sciodt=2007&hl=en",27,"2024-07-25 09:11:18","","","","",,,,,8,1.00,2,5,8,"… We averaged percent cover of each vascular plant species … stress, the model suggests non-vascular rather than vascular plant … Conspicuous increases in non-vascular crust on drier …","https://www.jstor.org/stable/pdf/26198743.pdf","https://scholar.google.com/scholar?q=related:3acumG3gYd0J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+%22percent+cover%22&hl=en&as_sdt=2007"
