Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
66,"SF Perry","Functional Morphology of the Lungs of the Nile Crocodile, Crocodylus Niloticus: Non-Respiratory Parameters",1988,"Journal of Experimental Biology","journals.biologists.com","https://journals.biologists.com/jeb/article-abstract/134/1/99/5327","https://scholar.google.com/scholar?cites=9183809354755766296&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-25 09:41:23","","","","",,,,,66,1.83,66,1,36,"… The central leaflet consists of a collagenous matrix in which non-vascular smooth muscle, blood vessels and nerves are found. A network of capillaries in which gas exchange occurs …","https://journals.biologists.com/jeb/article/134/1/99/5327","https://scholar.google.com/scholar?q=related:GHggQ_Nxc38J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
107,"P Porada, JT Van Stan, A Kleidon","Significant contribution of non-vascular vegetation to global rainfall interception",2018,"Nature Geoscience","nature.com","https://www.nature.com/articles/s41561-018-0176-7","https://scholar.google.com/scholar?cites=9068687782871084337&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-25 09:41:23","","","","",,,,,107,17.83,36,3,6,"… as the difference between gross photosynthesis and respiration. Global patterns of photosynthesis, respiration and productivity of non-vascular vegetation are simulated by LiBry based …","https://scholar.google.com/scholar?output=instlink&q=info:Ma30lH1z2n0J:scholar.google.com/&hl=en&as_sdt=2007&scillfp=7930566205869418627&oi=lle","https://scholar.google.com/scholar?q=related:Ma30lH1z2n0J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
18,"TH Kim","Safety and effectiveness of moderate sedation for radiologic non-vascular intervention",2006,"Korean Journal of Radiology","synapse.koreamed.org","https://synapse.koreamed.org/pdf/10.3348/kjr.2006.7.2.125","https://scholar.google.com/scholar?cites=6848387476538070399&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-25 09:41:23","PDF","10.3348/kjr.2006.7.2.125","","",,,,,18,1.00,18,1,18,"… minutes was required for most of our non-vascular interventional procedures. The rapid onset … However, the two drugs have synergistic effects on respiration (18). As of 1989, there were …","https://synapse.koreamed.org/pdf/10.3348/kjr.2006.7.2.125","https://scholar.google.com/scholar?q=related:fxVJJyBcCl8J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
6,"PA de Jong, MJA Gondrie, CFM Buckens, PC Jacobs…","Prediction of cardiovascular events by using non-vascular findings on routine chest CT",2011,"PLoS …","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0026036","https://scholar.google.com/scholar?cites=13332050437499774942&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-25 09:41:23","HTML","","","",,,,,6,0.46,1,5,13,"Prediction of Cardiovascular Events by Using Non-Vascular Findings on Routine Chest CT | … The added value of the non-vascular predictors to established vascular calcifications on CT …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0026036","https://scholar.google.com/scholar?q=related:3ufDljz1BLkJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
23,"KE Hasse","An anatomical description of the diseases of the organs of circulation and respiration",1846,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=LKAEAAAAQAAJ&oi=fnd&pg=PR1&dq=%22non+vascular%22%7C%22non+vascular%22+respiration&ots=-pBIgdAMsH&sig=zbVdNvTqnpLYkKNjAeJlo_nb82A","https://scholar.google.com/scholar?cites=18416348940992497607&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-25 09:41:23","BOOK","","","",,,,,23,0.13,23,1,178,"Dr. PM Latham. vi EDITOR'S PREFACE. my revered clinical instructor, Professor Clarus, to be assistant clinical teacher, and also pathological prosector at the principal hospital. With …","https://books.google.com/books?hl=en&lr=&id=LKAEAAAAQAAJ&oi=fnd&pg=PR1&dq=%22non+vascular%22%7C%22non+vascular%22+respiration&ots=-pBIgdAMsH&sig=zbVdNvTqnpLYkKNjAeJlo_nb82A","https://scholar.google.com/scholar?q=related:x8d_r8kDlP8J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
38,"RC Dewar","A model of the coupling between respiration, active processes and passive transport",2000,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/86/2/279/2588234","https://scholar.google.com/scholar?cites=17831905030125189966&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-25 09:41:23","","","","",,,,,38,1.58,38,1,24,"… respiration produces the Blackmann response of respiration … respiration, according to which apparent growth respiration is … (11)] and apparent maintenance respiration with S-limited …","https://academic.oup.com/aob/article-pdf/86/2/279/7984088/860279.pdf","https://scholar.google.com/scholar?q=related:TvscvSWnd_cJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
20,"P Porada, A Tamm, J Raggio, Y Cheng…","Global NO and HONO emissions of biological soil crusts estimated by a process-based non-vascular vegetation model",2019,"…","bg.copernicus.org","https://bg.copernicus.org/articles/16/2003/2019/","https://scholar.google.com/scholar?cites=6829621823370007309&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-25 09:41:23","HTML","","","",,,,,20,4.00,4,5,5,"… LiBry computes photosynthesis and respiration of non-vascular vegetation as a function of climate and other environmental conditions. Photosynthesis is calculated by the Farquhar …","https://bg.copernicus.org/articles/16/2003/2019/","https://scholar.google.com/scholar?q=related:DZM5DN2wx14J:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
43,"N Mallick, LC Rai","Physiological responses of non-vascular plants to heavy metals",2002,"Physiology and biochemistry of metal toxicity and …","Springer","https://link.springer.com/content/pdf/10.1007/978-94-017-2660-3_5?pdf=chapter%20toc","https://scholar.google.com/scholar?cites=380663839371780200&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-25 09:41:23","","10.1007/978-94-017-2660-3_5","","",,,,,43,1.95,22,2,22,"… Aerobic organisms enjoy significant energetic advantages by using molecular oxygen as a terminal oxidant in respiration. However, the presence of oxygen in the cellular environment …","","https://scholar.google.com/scholar?q=related:aGCXvL5jSAUJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
100,"JA Raven","Long‐distance transport in non‐vascular plants",2003,"Plant, Cell &Environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-3040.2003.00920.x","https://scholar.google.com/scholar?cites=2580384851763273790&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-25 09:41:23","","10.1046/j.1365-3040.2003.00920.x","","",,,,,100,4.76,100,1,21,"… -distance transport is the seasonality of growth of perennial algae where the gain in biomass in growing organs exceeds the local net carbon gain from photosynthesis minus respiration…","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-3040.2003.00920.x","https://scholar.google.com/scholar?q=related:PiAm6VlezyMJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
50,"G Zotz","Altitudinal changes in diversity and abundance of non-vascular epiphytes in the tropics—an ecophysiological explanation",1999,"Selbyana","JSTOR","https://www.jstor.org/stable/41760030","https://scholar.google.com/scholar?cites=14218331477172820276&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-25 09:41:23","","","","",,,,,50,2.00,50,1,25,"… manometry), which measures photosynthesis and respiration at elevated levels of C02. To date, … : our ignorance of a possible acclimation of dark respiration to lowland conditions, ie, a …","https://www.jstor.org/stable/pdf/41760030.pdf","https://scholar.google.com/scholar?q=related:NBmkgyWpUcUJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
1,"Y Li, J Li, M Mao, H Yin, X Ni, C Pan","Investigation on the design and application of hydraulic loading fatigue test device for non-vascular stent",2024,"Experimental Techniques","Springer","https://link.springer.com/article/10.1007/s40799-023-00685-7","https://scholar.google.com/scholar?cites=9532702075641427699&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-25 09:41:23","HTML","10.1007/s40799-023-00685-7","","",,,,,1,1.00,0,6,1,"… In this manuscript, two non-vascular physiological movements of the airway and esophagus … airway during respiration and coughing and esophageal peristalsis. For normal respiration, …","https://link.springer.com/article/10.1007/s40799-023-00685-7","https://scholar.google.com/scholar?q=related:83Y8CAj2SoQJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
0,"LE Street, JA Subke, M Sommerkorn, V Sloan…","4a. The fate of assimilated carbon in Arctic vegetation: the importance of non-vascular plants",2011,"Carbon dynamics in …","core.ac.uk","https://core.ac.uk/download/pdf/429705570.pdf#page=111","",12,"2024-07-25 09:41:23","PDF","","","",,,,,0,0.00,0,5,13,"… expect that longer term turnover of C in non-vascular plants is … temperature range over which the respiration measurements … to relate environmental conditions to non-vascular plant …","https://core.ac.uk/download/pdf/429705570.pdf#page=111","https://scholar.google.com/scholar?q=related:ckOyeZcmNxAJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
118,"KJ Field, DD Cameron, JR Leake, S Tille…","Contrasting arbuscular mycorrhizal responses of vascular and non-vascular plants to a simulated Palaeozoic CO2 decline",2012,"Nature …","nature.com","https://www.nature.com/articles/ncomms1831","https://scholar.google.com/scholar?cites=17457908605204512300&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-25 09:41:23","HTML","","","",,,,,118,9.83,24,5,12,"… monitoring by gas sampling of below-ground respiration. Each of the four replicate pots of … h thereafter to monitor below-ground respiration. Gas samples were injected into evacuated …","https://www.nature.com/articles/ncomms1831","https://scholar.google.com/scholar?q=related:LD5zZmHzRvIJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
0,"G Milanese, A Carnevale, J Cruz…","Imaging of Non-vascular Thoracic Pain",2019,"Pain Imaging: A Clinical …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-99822-0_11","",14,"2024-07-25 09:41:23","","10.1007/978-3-319-99822-0_11","","",,,,,0,0.00,0,4,5,"… condition in which three or more consecutive ribs are fractured in two or more places, creating a flail segment that moves paradoxically relative to the other ribs during respiration. Its …","https://scholar.google.com/scholar?output=instlink&q=info:6CSE9KAc9NMJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=5512719550683905940&oi=lle","https://scholar.google.com/scholar?q=related:6CSE9KAc9NMJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
0,"H Cui, S Chen, H Song, Z Liu, J Chen…","Contrasting mechanisms of non‐vascular and vascular plants on spatial turnover in multifunctionality in the Antarctic continent",2024,"Journal of …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.14346","",15,"2024-07-25 09:41:23","","10.1111/1365-2745.14346","","",,,,,0,0.00,0,6,1,"… We observed that non- vascular plants had significant effects on the spatial heterogeneity of environmental factors. Specifically, lichen positively influenced soil temperature …","","https://scholar.google.com/scholar?q=related:_3BefUN1wJUJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
1,"NC Usta, E Bulut","Evaluation of intracranial vascular and non-vascular pathologies in patients hospitalized due to COVID-19 infection",2022,"Acta Neurol Taiwanica","ant-tnsjournal.com","http://www.ant-tnsjournal.com/Mag_Files/31-3/N202242695346.pdf","https://scholar.google.com/scholar?cites=5810771715350070578&as_sdt=2005&sciodt=2007&hl=en",16,"2024-07-25 09:41:23","PDF","","","",,,,,1,0.50,1,2,2,"… virus and presents with respiratory system infection, different … review vascular and non-vascular pathologies appeared during … 6 patients presented non-vascular abnormality. General …","http://www.ant-tnsjournal.com/Mag_Files/31-3/N202242695346.pdf","https://scholar.google.com/scholar?q=related:MgVUnBYCpFAJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
10,"C Atala","Water transport and gas exchange in the non-vascular plant Dendroligotrichum dendroides (Brid. ex Hedw.) Broth.(Polytrichaceae, Bryophyta)",2011,"Gayana Botánica","revistas.udec.cl","http://revistas.udec.cl/index.php/gayana_botanica/article/view/4393","https://scholar.google.com/scholar?cites=6356895650656203023&as_sdt=2005&sciodt=2007&hl=en",17,"2024-07-25 09:41:23","","","","",,,,,10,0.77,10,1,13,"… The light compensation point (LCP) and dark respiration rate (Rd) were obtained from the … This non-vascular plant has an organized conducting tissue with high specific hydraulic …","https://revistas.udec.cl/index.php/gayana_botanica/article/download/4393/4265","https://scholar.google.com/scholar?q=related:D7GW--k6OFgJ:scholar.google.com/&scioq=%22non+vascular%22%7C%22non+vascular%22+respiration&hl=en&as_sdt=2007"
