Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1704,"N. SMIRNOFF","The role of active oxygen in the response of plants to water deficit and desiccation",1993,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84987012931&origin=inward",1,"2024-07-24 12:54:01","Article","10.1111/j.1469-8137.1993.tb03863.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84987012931",125,1,27,58,1704,54.97,1704,1,31,"","",""
1233,"J. He","Anthocyanins: Natural colorants with health-promoting properties",2010,"Annual Review of Food Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79957867318&origin=inward",2,"2024-07-24 12:54:01","Article","10.1146/annurev.food.080708.100754","1941-1413","https://api.elsevier.com/content/abstract/scopus_id/79957867318",1,1,163,187,1233,88.07,1233,1,14,"","",""
1153,"A. Kautzky-Willer","Sex and gender differences in risk, pathophysiology and complications of type 2 diabetes mellitus",2016,"Endocrine Reviews","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84973861976&origin=inward",3,"2024-07-24 12:54:01","Review","10.1210/er.2015-1137","0163-769X","https://api.elsevier.com/content/abstract/scopus_id/84973861976",37,3,278,316,1153,144.13,1153,1,8,"","",""
1017,"S.R. Daniels","Lipid screening and cardiovascular health in childhood",2008,"Pediatrics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=48249093075&origin=inward",4,"2024-07-24 12:54:01","Article","10.1542/peds.2008-1349","0031-4005","https://api.elsevier.com/content/abstract/scopus_id/48249093075",122,1,198,208,1017,63.56,1017,1,16,"","",""
943,"P. Lips","Vitamin D physiology",2006,"Progress in Biophysics and Molecular Biology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0079610706000083","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33744784615&origin=inward",5,"2024-07-24 12:54:01","Review","10.1016/j.pbiomolbio.2006.02.016","0079-6107","https://api.elsevier.com/content/abstract/scopus_id/33744784615",92,1,4,8,943,52.39,943,1,18,"","",""
911,"S. Satarug","Cadmium, environmental exposure, and health outcomes",2010,"Environmental Health Perspectives","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77249124860&origin=inward",6,"2024-07-24 12:54:01","Review","10.1289/ehp.0901234","0091-6765","https://api.elsevier.com/content/abstract/scopus_id/77249124860",118,2,182,190,911,65.07,911,1,14,"","",""
865,"J.J. Lochhead","Intranasal delivery of biologics to the central nervous system",2012,"Advanced Drug Delivery Reviews","","https://api.elsevier.com/content/article/eid/1-s2.0-S0169409X11002791","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84860193946&origin=inward",7,"2024-07-24 12:54:01","Review","10.1016/j.addr.2011.11.002","0169-409X","https://api.elsevier.com/content/abstract/scopus_id/84860193946",64,7,614,628,865,72.08,865,1,12,"","",""
856,"P. Jahns","The role of the xanthophyll cycle and of lutein in photoprotection of photosystem II",2012,"Biochimica et Biophysica Acta - Bioenergetics","","https://api.elsevier.com/content/article/eid/1-s2.0-S0005272811000971","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=82755194791&origin=inward",8,"2024-07-24 12:54:01","Review","10.1016/j.bbabio.2011.04.012","0005-2728","https://api.elsevier.com/content/abstract/scopus_id/82755194791",1817,1,182,193,856,71.33,856,1,12,"","",""
785,"A. Ward","Pentoxifylline: A Review of its Pharmacodynamic and Pharmacokinetic Properties, and its Therapeutic Efficacy",1987,"Drugs","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0023189396&origin=inward",9,"2024-07-24 12:54:01","Article","10.2165/00003495-198734010-00003","0012-6667","https://api.elsevier.com/content/abstract/scopus_id/0023189396",34,1,50,97,785,21.22,785,1,37,"","",""
602,"F.S. Chapin","Preferential use of organic nitrogen for growth by a non-mycorrhizal arctic sedge",1993,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027341296&origin=inward",10,"2024-07-24 12:54:01","Article","10.1038/361150a0","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0027341296",361,6408,150,153,602,19.42,602,1,31,"","",""
