Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
42,"R. Hofstede","Distribution, abundance and biomass of epiphyte-lianoid communities in a New Zealand lowland Nothofagus-podocarp temperate rain forest: Tropical comparisons",2001,"Journal of Biogeography","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035208309&origin=inward",1,"2024-07-24 13:35:48","Article","10.1046/j.1365-2699.2001.00613.x","0305-0270","https://api.elsevier.com/content/abstract/scopus_id/0035208309",28,8,1033,1049,42,1.83,42,1,23,"","",""
32,"E. Shorohova","Tree species traits are the predominant control on the decomposition rate of tree log bark in a mesic old-growth boreal forest",2016,"Forest Ecology and Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0378112716303322","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84976543888&origin=inward",2,"2024-07-24 13:35:48","Article","10.1016/j.foreco.2016.06.036","0378-1127","https://api.elsevier.com/content/abstract/scopus_id/84976543888",377,,36,45,32,4.00,32,1,8,"","",""
30,"V. Golubev","Effects of volume change on the unsaturated hydraulic conductivity of Sphagnum moss",2018,"Journal of Hydrology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0022169418301653","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85043372306&origin=inward",3,"2024-07-24 13:35:48","Article","10.1016/j.jhydrol.2018.02.083","0022-1694","https://api.elsevier.com/content/abstract/scopus_id/85043372306",559,,884,894,30,5.00,30,1,6,"","",""
27,"J. Lees","Effect of intravenous contrast on treatment planning system dose calculations in the lung",2005,"Australasian Physical and Engineering Sciences in Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=27244432709&origin=inward",4,"2024-07-24 13:35:48","Article","10.1007/BF03178715","0158-9938","https://api.elsevier.com/content/abstract/scopus_id/27244432709",28,3,190,195,27,1.42,27,1,19,"","",""
24,"M. Khodadoust","Fabrication and Characterization of Electrospun Bi-Hybrid PU/PET Scaffolds for Small-Diameter Vascular Grafts Applications",2018,"Cardiovascular Engineering and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85041444616&origin=inward",5,"2024-07-24 13:35:48","Article","10.1007/s13239-017-0338-6","1869-408X","https://api.elsevier.com/content/abstract/scopus_id/85041444616",9,1,73,83,24,4.00,24,1,6,"","",""
21,"C. Gibson","Variation in plant community composition and vegetation carbon pools a decade following a severe fire season in interior Alaska",2016,"Journal of Vegetation Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84988345879&origin=inward",6,"2024-07-24 13:35:48","Article","10.1111/jvs.12443","1100-9233","https://api.elsevier.com/content/abstract/scopus_id/84988345879",27,6,1187,1197,21,2.63,21,1,8,"","",""
20,"L. Wei","Plant diversity on skid trails in oak high forests: A matter of disturbance, micro-environmental conditions or forest age?",2015,"Forest Ecology and Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0378112714006847","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84949115722&origin=inward",7,"2024-07-24 13:35:48","Article","10.1016/j.foreco.2014.11.018","0378-1127","https://api.elsevier.com/content/abstract/scopus_id/84949115722",338,,20,31,20,2.22,20,1,9,"","",""
16,"L. Wei","Is plant diversity on tractor trails more influenced by disturbance than by soil characteristics?",2016,"Forest Ecology and Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0378112716304352","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84982226210&origin=inward",8,"2024-07-24 13:35:48","Article","10.1016/j.foreco.2016.08.020","0378-1127","https://api.elsevier.com/content/abstract/scopus_id/84982226210",379,,173,184,16,2.00,16,1,8,"","",""
9,"M. Cabrera","Drivers of aboveground biomass of high mountain vegetation in the Andes",2020,"Acta Oecologica","","https://api.elsevier.com/content/article/eid/1-s2.0-S1146609X19303194","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076704708&origin=inward",9,"2024-07-24 13:35:48","Article","10.1016/j.actao.2019.103504","1146-609X","https://api.elsevier.com/content/abstract/scopus_id/85076704708",102,,,,9,2.25,9,1,4,"","",""
8,"A.M.M. Bustin","Contribution of non-coal facies to the total gas-in-place in Mannville coal measures, Central Alberta",2016,"International Journal of Coal Geology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0166516215300860","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84951816458&origin=inward",10,"2024-07-24 13:35:48","Article","10.1016/j.coal.2015.12.002","0166-5162","https://api.elsevier.com/content/abstract/scopus_id/84951816458",154,,69,81,8,1.00,8,1,8,"","",""
