Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
192,"E.C.M. Cranenburg","Characterisation and potential diagnostic value of circulating matrix Gla protein (MGP) species",2010,"Thrombosis and Haemostasis","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77958168617&origin=inward",1,"2024-07-24 10:57:47","Article","10.1160/TH09-11-0786","0340-6245","https://api.elsevier.com/content/abstract/scopus_id/77958168617",104,4,811,822,192,13.71,192,1,14,"","",""
117,"F. Xiong","Photosynthetic temperature response of the Antarctic vascular plants Colobanthus quitensis and Deschampsia antarctica",1999,"Physiologia Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032830861&origin=inward",2,"2024-07-24 10:57:47","Article","10.1034/j.1399-3054.1999.106304.x","0031-9317","https://api.elsevier.com/content/abstract/scopus_id/0032830861",106,3,276,286,117,4.68,117,1,25,"","",""
93,"A. Occhialini","Transgenic tobacco plants with improved cyanobacterial Rubisco expression but no extra assembly factors grow at near wild-type rates if provided with elevated CO<inf>2</inf>",2016,"Plant Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84961288248&origin=inward",3,"2024-07-24 10:57:47","Article","10.1111/tpj.13098","0960-7412","https://api.elsevier.com/content/abstract/scopus_id/84961288248",85,1,148,160,93,11.63,93,1,8,"","",""
92,"G.W. Dalmeijer","Circulating matrix Gla protein is associated with coronary artery calcification and vitamin K status in healthy women",2013,"Journal of Nutritional Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0955286312000782","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875066884&origin=inward",4,"2024-07-24 10:57:47","Article","10.1016/j.jnutbio.2012.02.012","0955-2863","https://api.elsevier.com/content/abstract/scopus_id/84875066884",24,4,624,628,92,8.36,92,1,11,"","",""
69,"J. Fang","Biodegradable poly(ester urethane)urea elastomers with variable amino content for subsequent functionalization with phosphorylcholine",2014,"Acta Biomaterialia","","https://api.elsevier.com/content/article/eid/1-s2.0-S1742706114003444","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84908106446&origin=inward",5,"2024-07-24 10:57:47","Article","10.1016/j.actbio.2014.08.008","1742-7061","https://api.elsevier.com/content/abstract/scopus_id/84908106446",10,11,4639,4649,69,6.90,69,1,10,"","",""
64,"N. Wajih","Processing and transport of matrix γ-carboxyglutamic acid protein and bone morphogenetic protein-2 in cultured human vascular smooth muscle cells: Evidence for an uptake mechanism for serum fetuin",2004,"Journal of Biological Chemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0021925820770596","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=5644287395&origin=inward",6,"2024-07-24 10:57:47","Article","10.1074/jbc.M407180200","0021-9258","https://api.elsevier.com/content/abstract/scopus_id/5644287395",279,41,43052,43060,64,3.20,64,1,20,"","",""
56,"C.K. Derian","Inhibitors of 2-ketoglutarate-dependent dioxygenases block aspartyl β-hydroxylation of recombinant human factor IX in several mammalian expression systems",1989,"Journal of Biological Chemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024602369&origin=inward",7,"2024-07-24 10:57:47","Article","","0021-9258","https://api.elsevier.com/content/abstract/scopus_id/0024602369",264,12,6615,6618,56,1.60,56,1,35,"","",""
55,"S. Liabeuf","Vascular calcification in patients with type 2 diabetes: The involvement of matrix Gla protein",2014,"Cardiovascular Diabetology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84900033702&origin=inward",8,"2024-07-24 10:57:47","Article","10.1186/1475-2840-13-85","1475-2840","https://api.elsevier.com/content/abstract/scopus_id/84900033702",13,1,,,55,5.50,55,1,10,"","",""
52,"V.M. Brandenburg","Prevention of vasculopathy by vitamin K supplementation: Can we turn fiction into fact?",2015,"Atherosclerosis","","https://api.elsevier.com/content/article/eid/1-s2.0-S0021915015001306","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923928891&origin=inward",9,"2024-07-24 10:57:47","Review","10.1016/j.atherosclerosis.2015.02.040","0021-9150","https://api.elsevier.com/content/abstract/scopus_id/84923928891",240,1,10,16,52,5.78,52,1,9,"","",""
50,"C.Q. Meng","Carboxylated, heteroaryl-substituted chalcones as inhibitors of vascular cell adhesion molecule-1 expression for use in chronic inflammatory diseases",2007,"Journal of Medicinal Chemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33947665959&origin=inward",10,"2024-07-24 10:57:47","Article","10.1021/jm0614230","0022-2623","https://api.elsevier.com/content/abstract/scopus_id/33947665959",50,6,1304,1315,50,2.94,50,1,17,"","",""
39,"M. Sardana","Inactive matrix gla-protein and arterial stiffness in type 2 diabetes mellitus",2017,"American Journal of Hypertension","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85016065769&origin=inward",11,"2024-07-24 10:57:47","Article","10.1093/ajh/hpw146","0895-7061","https://api.elsevier.com/content/abstract/scopus_id/85016065769",30,2,196,201,39,5.57,39,1,7,"","",""
36,"C.C. Ogbaga","Engineering Rubisco activase from thermophilic cyanobacteria into high-temperature sensitive plants",2018,"Critical Reviews in Biotechnology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029904803&origin=inward",12,"2024-07-24 10:57:47","Review","10.1080/07388551.2017.1378998","0738-8551","https://api.elsevier.com/content/abstract/scopus_id/85029904803",38,4,559,572,36,6.00,36,1,6,"","",""
32,"E.A. Al-Suhaimi","Endocrine roles of vitamin K-dependent- osteocalcin in the relation between bone metabolism and metabolic disorders",2020,"Reviews in Endocrine and Metabolic Disorders","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075394859&origin=inward",13,"2024-07-24 10:57:47","Review","10.1007/s11154-019-09517-9","1389-9155","https://api.elsevier.com/content/abstract/scopus_id/85075394859",21,1,117,125,32,8.00,32,1,4,"","",""
32,"I. Levinger","Multifaceted interaction of bone, muscle, lifestyle interventions and metabolic and cardiovascular disease: role of osteocalcin",2017,"Osteoporosis International","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85015002678&origin=inward",14,"2024-07-24 10:57:47","Review","10.1007/s00198-017-3994-3","0937-941X","https://api.elsevier.com/content/abstract/scopus_id/85015002678",28,8,2265,2273,32,4.57,32,1,7,"","",""
32,"H. Baumann","Surface modification of the polymers present in a polysulfone hollow fiber hemodialyser by covalent binding of heparin or endothelial cell surface heparan sulfate: Flow characteristics and platelet adhesion",2000,"Journal of Biomaterials Science, Polymer Edition","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034053314&origin=inward",15,"2024-07-24 10:57:47","Article","10.1163/156856200743689","0920-5063","https://api.elsevier.com/content/abstract/scopus_id/0034053314",11,3,245,272,32,1.33,32,1,24,"","",""
