Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1704,"N. SMIRNOFF","The role of active oxygen in the response of plants to water deficit and desiccation",1993,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84987012931&origin=inward",1,"2024-07-24 13:21:15","Article","10.1111/j.1469-8137.1993.tb03863.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84987012931",125,1,27,58,1704,54.97,1704,1,31,"","",""
856,"P. Jahns","The role of the xanthophyll cycle and of lutein in photoprotection of photosystem II",2012,"Biochimica et Biophysica Acta - Bioenergetics","","https://api.elsevier.com/content/article/eid/1-s2.0-S0005272811000971","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=82755194791&origin=inward",2,"2024-07-24 13:21:15","Review","10.1016/j.bbabio.2011.04.012","0005-2728","https://api.elsevier.com/content/abstract/scopus_id/82755194791",1817,1,182,193,856,71.33,856,1,12,"","",""
593,"J.R. LEAKE","The biology of myco‐heterotrophic (‘saprophytic’) plants",1994,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027975307&origin=inward",3,"2024-07-24 13:21:15","Article","10.1111/j.1469-8137.1994.tb04272.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0027975307",127,2,171,216,593,19.77,593,1,30,"","",""
426,"M. Fryer","Imaging of photo-oxidative stress responses in leaves",2002,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036001077&origin=inward",4,"2024-07-24 13:21:15","Conference Paper","10.1093/jxb/53.372.1249","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/0036001077",53,372,1249,1254,426,19.36,426,1,22,"","",""
389,"B. Singh","Plant terpenes: defense responses, phylogenetic analysis, regulation and clinical applications",2015,"3 Biotech","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85015334139&origin=inward",5,"2024-07-24 13:21:15","Article","10.1007/s13205-014-0220-2","2190-572X","https://api.elsevier.com/content/abstract/scopus_id/85015334139",5,2,129,151,389,43.22,389,1,9,"","",""
326,"R. Goss","Regulation and function of xanthophyll cycle-dependent photoprotection in algae",2010,"Photosynthesis Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650231192&origin=inward",6,"2024-07-24 13:21:15","Review","10.1007/s11120-010-9536-x","0166-8595","https://api.elsevier.com/content/abstract/scopus_id/78650231192",106,1,103,122,326,23.29,326,1,14,"","",""
255,"S. Quarrie","Dissecting a wheat QTL for yield present in a range of environments: From the QTL to candidate genes",2006,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33747872036&origin=inward",7,"2024-07-24 13:21:15","Article","10.1093/jxb/erl026","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/33747872036",57,11,2627,2637,255,14.17,255,1,18,"","",""
234,"S.A. Hasan","Cadmium: Toxicity and tolerance in plants",2009,"Journal of Environmental Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=61849166021&origin=inward",8,"2024-07-24 13:21:15","Review","","0254-8704","https://api.elsevier.com/content/abstract/scopus_id/61849166021",30,2,165,174,234,15.60,234,1,15,"","",""
195,"A. Derks","Diverse mechanisms for photoprotection in photosynthesis. Dynamic regulation of photosystem II excitation in response to rapid environmental change",2015,"Biochimica et Biophysica Acta - Bioenergetics","","https://api.elsevier.com/content/article/eid/1-s2.0-S000527281500033X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923346569&origin=inward",9,"2024-07-24 13:21:15","Review","10.1016/j.bbabio.2015.02.008","0005-2728","https://api.elsevier.com/content/abstract/scopus_id/84923346569",1847,4,468,485,195,21.67,195,1,9,"","",""
195,"P. Chandra","Chromium accumulation and toxicity in aquatic vascular plants",2004,"Botanical Review","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=31844433702&origin=inward",10,"2024-07-24 13:21:15","Review","10.1663/0006-8101(2004)070[0313:CAATIA]2.0.CO;2","0006-8101","https://api.elsevier.com/content/abstract/scopus_id/31844433702",70,3,313,327,195,9.75,195,1,20,"","",""
154,"S. Bailey","Photoprotection in cyanobacteria: Regulation of light harvesting",2008,"Photochemistry and Photobiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=55649085491&origin=inward",11,"2024-07-24 13:21:15","Conference Paper","10.1111/j.1751-1097.2008.00453.x","0031-8655","https://api.elsevier.com/content/abstract/scopus_id/55649085491",84,6,1410,1420,154,9.63,154,1,16,"","",""
