Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
856,"P. Jahns","The role of the xanthophyll cycle and of lutein in photoprotection of photosystem II",2012,"Biochimica et Biophysica Acta - Bioenergetics","","https://api.elsevier.com/content/article/eid/1-s2.0-S0005272811000971","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=82755194791&origin=inward",1,"2024-07-24 13:30:33","Review","10.1016/j.bbabio.2011.04.012","0005-2728","https://api.elsevier.com/content/abstract/scopus_id/82755194791",1817,1,182,193,856,71.33,856,1,12,"","",""
616,"T. Münzel","Evidence for enhanced vascular superoxide anion production in nitrate tolerance: A novel mechanism underlying tolerance and cross-tolerance",1995,"Journal of Clinical Investigation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028799761&origin=inward",2,"2024-07-24 13:30:33","Article","10.1172/JCI117637","0021-9738","https://api.elsevier.com/content/abstract/scopus_id/0028799761",95,1,187,194,616,21.24,616,1,29,"","",""
529,"P. Angelova","Role of mitochondrial ROS in the brain: from physiology to neurodegeneration",2018,"FEBS Letters","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85040745723&origin=inward",3,"2024-07-24 13:30:33","Review","10.1002/1873-3468.12964","0014-5793","https://api.elsevier.com/content/abstract/scopus_id/85040745723",592,5,692,702,529,88.17,529,1,6,"","",""
420,"F.J. Ruiz-Dueñas","Microbial degradation of lignin: How a bulky recalcitrant polymer is efficiently recycled in nature and how we can take advantage of this",2009,"Microbial Biotechnology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=67649799362&origin=inward",4,"2024-07-24 13:30:33","Review","10.1111/j.1751-7915.2008.00078.x","1751-7907","https://api.elsevier.com/content/abstract/scopus_id/67649799362",2,2,164,177,420,28.00,420,1,15,"","",""
419,"H.M. Abu-Soud","Nitric oxide synthases reveal a role for calmodulin in controlling electron transfer",1993,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027525273&origin=inward",5,"2024-07-24 13:30:33","Article","10.1073/pnas.90.22.10769","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/0027525273",90,22,10769,10772,419,13.52,419,1,31,"","",""
392,"U. Singh","Oxidative stress and atherosclerosis",2006,"Pathophysiology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0928468006000472","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33745713661&origin=inward",6,"2024-07-24 13:30:33","Review","10.1016/j.pathophys.2006.05.002","0928-4680","https://api.elsevier.com/content/abstract/scopus_id/33745713661",13,3,129,142,392,21.78,392,1,18,"","",""
384,"A. Csiszar","Resveratrol induces mitochondrial biogenesis in endothelial cells",2009,"American Journal of Physiology - Heart and Circulatory Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=67650091375&origin=inward",7,"2024-07-24 13:30:33","Article","10.1152/ajpheart.00368.2009","0363-6135","https://api.elsevier.com/content/abstract/scopus_id/67650091375",297,1,,,384,25.60,384,1,15,"","",""
336,"S.L. Archer","A redox-based O<inf>2</inf> sensor in rat pulmonary vasculature",1993,"Circulation Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027340241&origin=inward",8,"2024-07-24 13:30:33","Article","10.1161/01.RES.73.6.1100","0009-7330","https://api.elsevier.com/content/abstract/scopus_id/0027340241",73,6,1100,1112,336,10.84,336,1,31,"","",""
298,"D. Aronson","Hyperglycemia and the pathobiology of diabetic complications",2008,"Advances in Cardiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=43749084209&origin=inward",9,"2024-07-24 13:30:33","Review","10.1159/000115118","0065-2326","https://api.elsevier.com/content/abstract/scopus_id/43749084209",45,,1,16,298,18.63,298,1,16,"","",""
244,"A. Montezano","Reactive oxygen species and endothelial function - Role of nitric oxide synthase uncoupling and nox family nicotinamide adenine dinucleotide phosphate oxidases",2012,"Basic and Clinical Pharmacology and Toxicology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=83455185433&origin=inward",10,"2024-07-24 13:30:33","Short Survey","10.1111/j.1742-7843.2011.00785.x","1742-7835","https://api.elsevier.com/content/abstract/scopus_id/83455185433",110,1,87,94,244,20.33,244,1,12,"","",""
216,"H. Obrig","Near-infrared spectroscopy: Does it function in functional activation studies of the adult brain?",2000,"International Journal of Psychophysiology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0167876099000483","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033963439&origin=inward",11,"2024-07-24 13:30:33","Article","10.1016/S0167-8760(99)00048-3","0167-8760","https://api.elsevier.com/content/abstract/scopus_id/0033963439",35,2,125,142,216,9.00,216,1,24,"","",""
197,"I. Yruela","Transition metals in plant photosynthesis",2013,"Metallomics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883030176&origin=inward",12,"2024-07-24 13:30:33","Review","10.1039/c3mt00086a","1756-5901","https://api.elsevier.com/content/abstract/scopus_id/84883030176",5,9,1090,1109,197,17.91,197,1,11,"","",""
195,"A. Derks","Diverse mechanisms for photoprotection in photosynthesis. Dynamic regulation of photosystem II excitation in response to rapid environmental change",2015,"Biochimica et Biophysica Acta - Bioenergetics","","https://api.elsevier.com/content/article/eid/1-s2.0-S000527281500033X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923346569&origin=inward",13,"2024-07-24 13:30:33","Review","10.1016/j.bbabio.2015.02.008","0005-2728","https://api.elsevier.com/content/abstract/scopus_id/84923346569",1847,4,468,485,195,21.67,195,1,9,"","",""
191,"J.S. Bhatti","Oxidative stress in the pathophysiology of type 2 diabetes and related complications: Current therapeutics strategies and future perspectives",2022,"Free Radical Biology and Medicine","","https://api.elsevier.com/content/article/eid/1-s2.0-S0891584922001228","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85128183979&origin=inward",14,"2024-07-24 13:30:33","Review","10.1016/j.freeradbiomed.2022.03.019","0891-5849","https://api.elsevier.com/content/abstract/scopus_id/85128183979",184,,114,134,191,95.50,191,1,2,"","",""
158,"X. Cheng","Impaired redox signaling and antioxidant gene expression in endothelial cells in diabetes: A role for mitochondria and the nuclear factor-E2-related factor 2-Kelch-like ECH-associated protein 1 defense pathway",2011,"Antioxidants and Redox Signaling","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650913154&origin=inward",15,"2024-07-24 13:30:33","Review","10.1089/ars.2010.3283","1523-0864","https://api.elsevier.com/content/abstract/scopus_id/78650913154",14,3,469,487,158,12.15,158,1,13,"","",""
153,"A.C. Montezano","Oxidative stress, Noxs, and hypertension: Experimental evidence and clinical controversies",2012,"Annals of Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84862525472&origin=inward",16,"2024-07-24 13:30:33","Review","10.3109/07853890.2011.653393","0785-3890","https://api.elsevier.com/content/abstract/scopus_id/84862525472",44,,,,153,12.75,153,1,12,"","",""
