Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
350,"J.H.C. Cornelissen","Comparative cryptogam ecology: A review of bryophyte and lichen traits that drive biogeochemistry",2007,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34548458597&origin=inward",1,"2024-07-24 11:49:18","Review","10.1093/aob/mcm030","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/34548458597",99,5,987,1001,350,20.59,350,1,17,"","",""
137,"H. Kreft","Contrasting environmental and regional effects on global pteridophyte and seed plant diversity",2010,"Ecography","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78651262782&origin=inward",2,"2024-07-24 11:49:18","Article","10.1111/j.1600-0587.2010.06434.x","0906-7590","https://api.elsevier.com/content/abstract/scopus_id/78651262782",33,2,408,419,137,9.79,137,1,14,"","",""
105,"C.A. Havrilla","Towards a predictive framework for biocrust mediation of plant performance: A meta-analysis",2019,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073618482&origin=inward",3,"2024-07-24 11:49:18","Article","10.1111/1365-2745.13269","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/85073618482",107,6,2789,2807,105,21.00,105,1,5,"","",""
101,"C. Bai","New reports of nuclear DNA content for 407 vascular plant taxa from the United States",2012,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84870226015&origin=inward",4,"2024-07-24 11:49:18","Article","10.1093/aob/mcs222","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/84870226015",110,8,1623,1629,101,8.42,101,1,12,"","",""
73,"B. Lopez","Endophytic bacteria of Mammillaria fraileana, an endemic rock-colonizing cactus of the southern Sonoran Desert",2011,"Archives of Microbiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959608987&origin=inward",5,"2024-07-24 11:49:18","Article","10.1007/s00203-011-0695-8","0302-8933","https://api.elsevier.com/content/abstract/scopus_id/79959608987",193,7,527,541,73,5.62,73,1,13,"","",""
60,"C.C. Kern","Canopy gap size influences niche partitioning of the ground-layer plant community in a northern temperate forest",2013,"Journal of Plant Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84873339807&origin=inward",6,"2024-07-24 11:49:18","Article","10.1093/jpe/rts016","1752-9921","https://api.elsevier.com/content/abstract/scopus_id/84873339807",6,1,101,112,60,5.45,60,1,11,"","",""
59,"T. Herben","A quest for species-level indicator values for disturbance",2016,"Journal of Vegetation Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84958787428&origin=inward",7,"2024-07-24 11:49:18","Article","10.1111/jvs.12384","1100-9233","https://api.elsevier.com/content/abstract/scopus_id/84958787428",27,3,628,636,59,7.38,59,1,8,"","",""
57,"R.M. Hall","Vegetation management intensity and landscape diversity alter plant species richness, functional traits and community composition across European vineyards",2020,"Agricultural Systems","","https://api.elsevier.com/content/article/eid/1-s2.0-S0308521X19301933","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074221796&origin=inward",8,"2024-07-24 11:49:18","Article","10.1016/j.agsy.2019.102706","0308-521X","https://api.elsevier.com/content/abstract/scopus_id/85074221796",177,,,,57,14.25,57,1,4,"","",""
55,"S. Knapp","Origin matters: Widely distributed native and non-native species benefit from different functional traits",2012,"Ecology Letters","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84862119914&origin=inward",9,"2024-07-24 11:49:18","Article","10.1111/j.1461-0248.2012.01787.x","1461-023X","https://api.elsevier.com/content/abstract/scopus_id/84862119914",15,7,696,703,55,4.58,55,1,12,"","",""
55,"J. Piqueray","Plant species extinction debt in a temperate biodiversity hotspot: Community, species and functional traits approaches",2011,"Biological Conservation","","https://api.elsevier.com/content/article/eid/1-s2.0-S0006320711000619","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79956204416&origin=inward",10,"2024-07-24 11:49:18","Article","10.1016/j.biocon.2011.02.013","0006-3207","https://api.elsevier.com/content/abstract/scopus_id/79956204416",144,5,1619,1629,55,4.23,55,1,13,"","",""
