Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
172,"S. Mahjoob","Analytical characterization of heat transport through biological media incorporating hyperthermia treatment",2009,"International Journal of Heat and Mass Transfer","","https://api.elsevier.com/content/article/eid/1-s2.0-S0017931008004808","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58149384301&origin=inward",1,"2024-07-24 13:34:21","Article","10.1016/j.ijheatmasstransfer.2008.07.038","0017-9310","https://api.elsevier.com/content/abstract/scopus_id/58149384301",52,5,1608,1618,172,11.47,172,1,15,"","",""
136,"M. Van Gemert","Is there an optimal laser treatment for port wine stains?",1986,"Lasers in Surgery and Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0022592510&origin=inward",2,"2024-07-24 13:34:21","Article","10.1002/lsm.1900060116","0196-8092","https://api.elsevier.com/content/abstract/scopus_id/0022592510",6,1,76,83,136,3.58,136,1,38,"","",""
82,"A.J. Welch","Significance of Blood Flow in Calculations of Temperature in Laser Irradiated Tissue",1980,"IEEE Transactions on Biomedical Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0019230984&origin=inward",3,"2024-07-24 13:34:21","Article","10.1109/TBME.1980.326619","0018-9294","https://api.elsevier.com/content/abstract/scopus_id/0019230984",,3,164,166,82,1.86,82,1,44,"","",""
80,"J. Baish","Formulation of a statistical model of heat transfer in perfused tissue",1994,"Journal of Biomechanical Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028533209&origin=inward",4,"2024-07-24 13:34:21","Article","10.1115/1.2895804","0148-0731","https://api.elsevier.com/content/abstract/scopus_id/0028533209",116,4,521,527,80,2.67,80,1,30,"","",""
68,"R. Anderson","Lasers in dermatology - A critical update",2000,"Journal of Dermatology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034538506&origin=inward",5,"2024-07-24 13:34:21","Review","10.1111/j.1346-8138.2000.tb02262.x","0385-2407","https://api.elsevier.com/content/abstract/scopus_id/0034538506",27,11,700,705,68,2.83,68,1,24,"","",""
61,"E.R. Raman","Body temperature control of rat tail blood flow",1983,"American Journal of Physiology - Regulatory Integrative and Comparative Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020827941&origin=inward",6,"2024-07-24 13:34:21","Article","10.1152/ajpregu.1983.245.3.r426","0363-6119","https://api.elsevier.com/content/abstract/scopus_id/0020827941",14,3,,,61,1.49,61,1,41,"","",""
54,"S. Mahjoob","Analysis of bioheat transport through a dual layer biological media",2010,"Journal of Heat Transfer","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955290802&origin=inward",7,"2024-07-24 13:34:21","Article","10.1115/1.4000060","0022-1481","https://api.elsevier.com/content/abstract/scopus_id/77955290802",132,3,1,14,54,3.86,54,1,14,"","",""
45,"H. Brinck","Estimation of the thermal effect of blood flow in a branching countercurrent network using a three-dimensional vascular model",1994,"Journal of Biomechanical Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028484677&origin=inward",8,"2024-07-24 13:34:21","Article","10.1115/1.2895738","0148-0731","https://api.elsevier.com/content/abstract/scopus_id/0028484677",116,3,324,330,45,1.50,45,1,30,"","",""
36,"H. Stoner","Relationships between skin temperature and perfusion in the arm and leg",1991,"Clinical Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026022745&origin=inward",9,"2024-07-24 13:34:21","Article","10.1111/j.1475-097X.1991.tb00651.x","0144-5979","https://api.elsevier.com/content/abstract/scopus_id/0026022745",11,1,27,40,36,1.09,36,1,33,"","",""
27,"D. Li","A two-temperature model for selective photothermolysis laser treatment of port wine stains",2013,"Applied Thermal Engineering","","https://api.elsevier.com/content/article/eid/1-s2.0-S1359431113003542","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84878882520&origin=inward",10,"2024-07-24 13:34:21","Article","10.1016/j.applthermaleng.2013.05.007","1359-4311","https://api.elsevier.com/content/abstract/scopus_id/84878882520",59,1,41,51,27,2.45,27,1,11,"","",""
23,"B.E. Hayes","Limitations of thermodilution cardiac output measurements in the rat",1984,"American Journal of Physiology - Heart and Circulatory Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0021449873&origin=inward",11,"2024-07-24 13:34:21","Article","10.1152/ajpheart.1984.246.6.h754","0363-6135","https://api.elsevier.com/content/abstract/scopus_id/0021449873",15,6,,,23,0.58,23,1,40,"","",""
18,"M. Singh","Incorporating vascular-stasis based blood perfusion to evaluate the thermal signatures of cell-death using modified Arrhenius equation with regeneration of living tissues during nanoparticle-assisted thermal therapy",2022,"International Communications in Heat and Mass Transfer","","https://api.elsevier.com/content/article/eid/1-s2.0-S0735193322001683","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85129858548&origin=inward",12,"2024-07-24 13:34:21","Article","10.1016/j.icheatmasstransfer.2022.106046","0735-1933","https://api.elsevier.com/content/abstract/scopus_id/85129858548",135,,,,18,9.00,18,1,2,"","",""
18,"M.W. Akhtar","Sensitivity of digital thermal monitoring parameters to reactive hyperemia",2010,"Journal of Biomechanical Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955117905&origin=inward",13,"2024-07-24 13:34:21","Article","10.1115/1.4001137","0148-0731","https://api.elsevier.com/content/abstract/scopus_id/77955117905",132,5,,,18,1.29,18,1,14,"","",""
17,"M.W. Saeed Khan","Thermal entrance problem for blood flow inside an axisymmetric tube: The classical Graetz problem extended for Quemada’s bio-rheological fluid with axial conduction",2022,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85129192654&origin=inward",14,"2024-07-24 13:34:21","Article","10.1177/09544119221086479","0954-4119","https://api.elsevier.com/content/abstract/scopus_id/85129192654",236,6,848,859,17,8.50,17,1,2,"","",""
12,"S. Aharinejad","Mercox®-methylmethacrylic acid mixture penetrates into cells. A scanning and transmission electron microscopic study",1993,"Scanning Microscopy","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027333813&origin=inward",15,"2024-07-24 13:34:21","Article","","0891-7035","https://api.elsevier.com/content/abstract/scopus_id/0027333813",7,1,295,304,12,0.39,12,1,31,"","",""
1,"Y. Zhang","Weinbaum-jiji bioheat transfer equation extended to analyzing the phase change heat transfer process of skin subject to cryoprobe",2001,"Beijing Shengwu Yixue Gongcheng/Beijing Biomedical Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035363778&origin=inward",16,"2024-07-24 13:34:21","Article","","1002-3208","https://api.elsevier.com/content/abstract/scopus_id/0035363778",20,2,129,134,1,0.04,1,1,23,"","",""
