Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
205,"G. Boedeltje","Dispersal phenology of hydrochorous plants in relation to discharge, seed release time and buoyancy of seeds: The flood pulse concept supported",2004,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=5344234853&origin=inward",1,"2024-07-24 13:23:54","Article","10.1111/j.0022-0477.2004.00906.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/5344234853",92,5,786,796,205,10.25,205,1,20,"","",""
140,"C.L. Boggs","A single climate driver has direct and indirect effects on insect population dynamics",2012,"Ecology Letters","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84859428186&origin=inward",2,"2024-07-24 13:23:54","Article","10.1111/j.1461-0248.2012.01766.x","1461-023X","https://api.elsevier.com/content/abstract/scopus_id/84859428186",15,5,502,508,140,11.67,140,1,12,"","",""
52,"G. Pérez-de-Lis","Environmental conditions and vascular cambium regulate carbon allocation to xylem growth in deciduous oaks",2017,"Functional Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85003441316&origin=inward",3,"2024-07-24 13:23:54","Article","10.1111/1365-2435.12789","0269-8463","https://api.elsevier.com/content/abstract/scopus_id/85003441316",31,3,592,603,52,7.43,52,1,7,"","",""
43,"M. Hyvärinen","Phenols in reproductive and somatic structures of lichens: A case of optimal defence?",2000,"Oikos","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034503183&origin=inward",4,"2024-07-24 13:23:54","Article","10.1034/j.1600-0706.2000.910217.x","0030-1299","https://api.elsevier.com/content/abstract/scopus_id/0034503183",91,2,371,375,43,1.79,43,1,24,"","",""
35,"A. Druel","Towards a more detailed representation of high-latitude vegetation in the global land surface model ORCHIDEE (ORC-HL-VEGv1.0)",2017,"Geoscientific Model Development","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85039858035&origin=inward",5,"2024-07-24 13:23:54","Article","10.5194/gmd-10-4693-2017","1991-959X","https://api.elsevier.com/content/abstract/scopus_id/85039858035",10,12,4693,4722,35,5.00,35,1,7,"","",""
33,"J. Gričar","Effect of soil water availability on intra-annual xylem and phloem formation and non-structural carbohydrate pools in stem of Quercus pubescens",2018,"Tree Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062608625&origin=inward",6,"2024-07-24 13:23:54","Article","10.1093/treephys/tpy101","0829-318X","https://api.elsevier.com/content/abstract/scopus_id/85062608625",39,2,222,233,33,5.50,33,1,6,"","",""
30,"G. Pérez-De-Lis","Feedbacks between earlywood anatomy and non-structural carbohydrates affect spring phenology and wood production in ring-porous oaks",2016,"Biogeosciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84991113117&origin=inward",7,"2024-07-24 13:23:54","Article","10.5194/bg-13-5499-2016","1726-4170","https://api.elsevier.com/content/abstract/scopus_id/84991113117",13,19,5499,5510,30,3.75,30,1,8,"","",""
28,"I.G. Alsos","Past Arctic aliens have passed away, current ones may stay",2015,"Biological Invasions","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84942325682&origin=inward",8,"2024-07-24 13:23:54","Article","10.1007/s10530-015-0937-9","1387-3547","https://api.elsevier.com/content/abstract/scopus_id/84942325682",17,11,3113,3123,28,3.11,28,1,9,"","",""
28,"J.C. Bergh","Biology, ecology, and management of dogwood borer in eastern apple orchards",2003,"Canadian Entomologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0344585475&origin=inward",9,"2024-07-24 13:23:54","Review","10.4039/n02-089","0008-347X","https://api.elsevier.com/content/abstract/scopus_id/0344585475",135,5,615,635,28,1.33,28,1,21,"","",""
16,"B.F. Sant’Anna-Santos","A new endemic and critically endangered species of Butia (Arecaceae) with comments on morpho-anatomical novelties in the genus",2021,"Plant Systematics and Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098866768&origin=inward",10,"2024-07-24 13:23:54","Article","10.1007/s00606-020-01729-w","0378-2697","https://api.elsevier.com/content/abstract/scopus_id/85098866768",307,1,,,16,5.33,16,1,3,"","",""
15,"J. Hernandez","Xerophytic characteristics of Tectona philippinensis Benth. &amp; Hook. f.",2016,"Philippine Journal of Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85024832856&origin=inward",11,"2024-07-24 13:23:54","Article","","0031-7683","https://api.elsevier.com/content/abstract/scopus_id/85024832856",145,3,259,269,15,1.88,15,1,8,"","",""
14,"J.A. Savage","A temporal shift in resource allocation facilitates flowering before leaf out and spring vessel maturation in precocious species",2019,"American Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059840270&origin=inward",12,"2024-07-24 13:23:54","Article","10.1002/ajb2.1222","0002-9122","https://api.elsevier.com/content/abstract/scopus_id/85059840270",106,1,113,122,14,2.80,14,1,5,"","",""
12,"S. Pellock","Validity of Darwin's naturalization hypothesis relates to the stages of invasion",2013,"Community Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84889680447&origin=inward",13,"2024-07-24 13:23:54","Article","10.1556/ComEc.14.2013.2.7","1585-8553","https://api.elsevier.com/content/abstract/scopus_id/84889680447",14,2,172,179,12,1.09,12,1,11,"","",""
12,"K. Rajput","Cambial activity and development of xylem in Tamarindus indica L. growing in different forests of Gujarat state",2001,"Acta Botanica Hungarica","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=3042561886&origin=inward",14,"2024-07-24 13:23:54","Article","10.1556/ABot.43.2001.3-4.12","0236-6495","https://api.elsevier.com/content/abstract/scopus_id/3042561886",43,3,379,390,12,0.52,12,1,23,"","",""
