Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1704,"N. SMIRNOFF","The role of active oxygen in the response of plants to water deficit and desiccation",1993,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84987012931&origin=inward",1,"2024-07-24 10:54:39","Article","10.1111/j.1469-8137.1993.tb03863.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84987012931",125,1,27,58,1704,54.97,1704,1,31,"","",""
856,"P. Jahns","The role of the xanthophyll cycle and of lutein in photoprotection of photosystem II",2012,"Biochimica et Biophysica Acta - Bioenergetics","","https://api.elsevier.com/content/article/eid/1-s2.0-S0005272811000971","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=82755194791&origin=inward",2,"2024-07-24 10:54:39","Review","10.1016/j.bbabio.2011.04.012","0005-2728","https://api.elsevier.com/content/abstract/scopus_id/82755194791",1817,1,182,193,856,71.33,856,1,12,"","",""
649,"A. Sala","Carbon dynamics in trees: Feast or famine?",2012,"Tree Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84860427189&origin=inward",3,"2024-07-24 10:54:39","Review","10.1093/treephys/tpr143","0829-318X","https://api.elsevier.com/content/abstract/scopus_id/84860427189",32,6,764,775,649,54.08,649,1,12,"","",""
462,"M.V. Rodionova","Biofuel production: Challenges and opportunities",2017,"International Journal of Hydrogen Energy","","https://api.elsevier.com/content/article/eid/1-s2.0-S0360319916334139","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85010496286&origin=inward",4,"2024-07-24 10:54:39","Review","10.1016/j.ijhydene.2016.11.125","0360-3199","https://api.elsevier.com/content/abstract/scopus_id/85010496286",42,12,8450,8461,462,66.00,462,1,7,"","",""
451,"M. Prasad","Cadmium toxicity and tolerance in vascular plants",1995,"Environmental and Experimental Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-0098847295000240","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028995953&origin=inward",5,"2024-07-24 10:54:39","Article","10.1016/0098-8472(95)00024-0","0098-8472","https://api.elsevier.com/content/abstract/scopus_id/0028995953",35,4,525,545,451,15.55,451,1,29,"","",""
426,"M. Fryer","Imaging of photo-oxidative stress responses in leaves",2002,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036001077&origin=inward",6,"2024-07-24 10:54:39","Conference Paper","10.1093/jxb/53.372.1249","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/0036001077",53,372,1249,1254,426,19.36,426,1,22,"","",""
397,"K.K. Niyogi","Evolution of flexible non-photochemical quenching mechanisms that regulate light harvesting in oxygenic photosynthesis",2013,"Current Opinion in Plant Biology","","https://api.elsevier.com/content/article/eid/1-s2.0-S1369526613000460","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84878984467&origin=inward",7,"2024-07-24 10:54:39","Review","10.1016/j.pbi.2013.03.011","1369-5266","https://api.elsevier.com/content/abstract/scopus_id/84878984467",16,3,307,314,397,36.09,397,1,11,"","",""
368,"M.C.F. Proctor","Desiccation-tolerance in bryophytes: A review",2007,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35448946453&origin=inward",8,"2024-07-24 10:54:39","Review","10.1639/0007-2745(2007)110[595:DIBAR]2.0.CO;2","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/35448946453",110,4,595,621,368,21.65,368,1,17,"","",""
339,"J.A. Raven","Roots: Evolutionary origins and biogeochemical significance",2001,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035027478&origin=inward",9,"2024-07-24 10:54:39","Review","10.1093/jxb/52.suppl_1.381","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/0035027478",52,,381,401,339,14.74,339,1,23,"","",""
320,"C.K. Boyce","Angiosperm leaf vein evolution was physiologically and environmentally transformative",2009,"Proceedings of the Royal Society B: Biological Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=66149186992&origin=inward",10,"2024-07-24 10:54:39","Article","10.1098/rspb.2008.1919","0962-8452","https://api.elsevier.com/content/abstract/scopus_id/66149186992",276,1663,1771,1776,320,21.33,320,1,15,"","",""
