Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
856,"P. Jahns","The role of the xanthophyll cycle and of lutein in photoprotection of photosystem II",2012,"Biochimica et Biophysica Acta - Bioenergetics","","https://api.elsevier.com/content/article/eid/1-s2.0-S0005272811000971","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=82755194791&origin=inward",1,"2024-07-24 13:20:40","Review","10.1016/j.bbabio.2011.04.012","0005-2728","https://api.elsevier.com/content/abstract/scopus_id/82755194791",1817,1,182,193,856,71.33,856,1,12,"","",""
397,"K.K. Niyogi","Evolution of flexible non-photochemical quenching mechanisms that regulate light harvesting in oxygenic photosynthesis",2013,"Current Opinion in Plant Biology","","https://api.elsevier.com/content/article/eid/1-s2.0-S1369526613000460","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84878984467&origin=inward",2,"2024-07-24 13:20:40","Review","10.1016/j.pbi.2013.03.011","1369-5266","https://api.elsevier.com/content/abstract/scopus_id/84878984467",16,3,307,314,397,36.09,397,1,11,"","",""
243,"S. Järvi","Photosystem II repair in plant chloroplasts - Regulation, assisting proteins and shared components with photosystem II biogenesis",2015,"Biochimica et Biophysica Acta - Bioenergetics","","https://api.elsevier.com/content/article/eid/1-s2.0-S0005272815000171","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84930054524&origin=inward",3,"2024-07-24 13:20:40","Review","10.1016/j.bbabio.2015.01.006","0005-2728","https://api.elsevier.com/content/abstract/scopus_id/84930054524",1847,9,900,909,243,27.00,243,1,9,"","",""
197,"I. Yruela","Transition metals in plant photosynthesis",2013,"Metallomics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883030176&origin=inward",4,"2024-07-24 13:20:40","Review","10.1039/c3mt00086a","1756-5901","https://api.elsevier.com/content/abstract/scopus_id/84883030176",5,9,1090,1109,197,17.91,197,1,11,"","",""
195,"A. Derks","Diverse mechanisms for photoprotection in photosynthesis. Dynamic regulation of photosystem II excitation in response to rapid environmental change",2015,"Biochimica et Biophysica Acta - Bioenergetics","","https://api.elsevier.com/content/article/eid/1-s2.0-S000527281500033X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923346569&origin=inward",5,"2024-07-24 13:20:40","Review","10.1016/j.bbabio.2015.02.008","0005-2728","https://api.elsevier.com/content/abstract/scopus_id/84923346569",1847,4,468,485,195,21.67,195,1,9,"","",""
186,"S.F. Ye","Incidence of Fusarium wilt in Cucumis sativus L. is promoted by cinnamic acid, an autotoxin in root exudates",2004,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=8744247266&origin=inward",6,"2024-07-24 13:20:40","Article","10.1023/B:PLSO.0000047721.78555.dc","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/8744247266",263,1,143,150,186,9.30,186,1,20,"","",""
145,"M.R. Redinbo","Plastocyanin: Structural and functional analysis",1994,"Journal of Bioenergetics and Biomembranes","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028207017&origin=inward",7,"2024-07-24 13:20:40","Article","10.1007/BF00763219","0145-479X","https://api.elsevier.com/content/abstract/scopus_id/0028207017",26,1,49,66,145,4.83,145,1,30,"","",""
117,"J.M. Anderson","Insights into the consequences of grana stacking of thylakoid membranes in vascular plants: A personal perspective",1999,"Australian Journal of Plant Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033385137&origin=inward",8,"2024-07-24 13:20:40","Article","10.1071/PP99070","0310-7841","https://api.elsevier.com/content/abstract/scopus_id/0033385137",26,7,625,639,117,4.68,117,1,25,"","",""
117,"F. Xiong","Photosynthetic temperature response of the Antarctic vascular plants Colobanthus quitensis and Deschampsia antarctica",1999,"Physiologia Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032830861&origin=inward",9,"2024-07-24 13:20:40","Article","10.1034/j.1399-3054.1999.106304.x","0031-9317","https://api.elsevier.com/content/abstract/scopus_id/0032830861",106,3,276,286,117,4.68,117,1,25,"","",""
115,"H.S. Jiang","Silver nanoparticles induced reactive oxygen species via photosynthetic energy transport imbalance in an aquatic plant",2017,"Nanotoxicology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85010006616&origin=inward",10,"2024-07-24 13:20:40","Article","10.1080/17435390.2017.1278802","1743-5390","https://api.elsevier.com/content/abstract/scopus_id/85010006616",11,2,157,167,115,16.43,115,1,7,"","",""
100,"M.H. Lee","Divergences in morphological changes and antioxidant responses in salt-tolerant and salt-sensitive rice seedlings after salt stress",2013,"Plant Physiology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0981942813002337","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879804219&origin=inward",11,"2024-07-24 13:20:40","Article","10.1016/j.plaphy.2013.05.047","0981-9428","https://api.elsevier.com/content/abstract/scopus_id/84879804219",70,,325,335,100,9.09,100,1,11,"","",""
99,"L. Nicol","Disentangling the sites of non-photochemical quenching in vascular plants",2019,"Nature Plants","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074696712&origin=inward",12,"2024-07-24 13:20:40","Article","10.1038/s41477-019-0526-5","2055-0278","https://api.elsevier.com/content/abstract/scopus_id/85074696712",5,11,1177,1183,99,19.80,99,1,5,"","",""
87,"T. Tibiletti","Chlamydomonas reinhardtii PsbS protein is functional and accumulates rapidly and transiently under high light",2016,"Plant Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84982903425&origin=inward",13,"2024-07-24 13:20:40","Article","10.1104/pp.16.00572","0032-0889","https://api.elsevier.com/content/abstract/scopus_id/84982903425",171,4,2717,2730,87,10.88,87,1,8,"","",""
85,"S. Jurić","Tethering of ferredoxin:NADP<sup>+</sup> oxidoreductase to thylakoid membranes is mediated by novel chloroplast protein TROL",2009,"Plant Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=71949105428&origin=inward",14,"2024-07-24 13:20:40","Article","10.1111/j.1365-313X.2009.03999.x","0960-7412","https://api.elsevier.com/content/abstract/scopus_id/71949105428",60,5,783,794,85,5.67,85,1,15,"","",""
