Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
198,"M. Goldschmidt-Clermont","Sequence, evolution and differential expression of the two genes encoding variant small subunits of ribulose bisphosphate carboxylase/oxygenase in Chlamydomonas reinhardtii",1986,"Journal of Molecular Biology","","https://api.elsevier.com/content/article/eid/1-s2.0-0022283686901373","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0023042758&origin=inward",1,"2024-07-24 10:55:43","Article","10.1016/0022-2836(86)90137-3","0022-2836","https://api.elsevier.com/content/abstract/scopus_id/0023042758",191,3,421,432,198,5.21,198,1,38,"","",""
117,"F. Xiong","Photosynthetic temperature response of the Antarctic vascular plants Colobanthus quitensis and Deschampsia antarctica",1999,"Physiologia Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032830861&origin=inward",2,"2024-07-24 10:55:43","Article","10.1034/j.1399-3054.1999.106304.x","0031-9317","https://api.elsevier.com/content/abstract/scopus_id/0032830861",106,3,276,286,117,4.68,117,1,25,"","",""
115,"H.S. Jiang","Silver nanoparticles induced reactive oxygen species via photosynthetic energy transport imbalance in an aquatic plant",2017,"Nanotoxicology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85010006616&origin=inward",3,"2024-07-24 10:55:43","Article","10.1080/17435390.2017.1278802","1743-5390","https://api.elsevier.com/content/abstract/scopus_id/85010006616",11,2,157,167,115,16.43,115,1,7,"","",""
93,"A. Occhialini","Transgenic tobacco plants with improved cyanobacterial Rubisco expression but no extra assembly factors grow at near wild-type rates if provided with elevated CO<inf>2</inf>",2016,"Plant Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84961288248&origin=inward",4,"2024-07-24 10:55:43","Article","10.1111/tpj.13098","0960-7412","https://api.elsevier.com/content/abstract/scopus_id/84961288248",85,1,148,160,93,11.63,93,1,8,"","",""
83,"J.M. Hibberd","Localization of photosynthetic metabolism in the parasitic angiosperm Cuscuta reflexa",1998,"Planta","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031857032&origin=inward",5,"2024-07-24 10:55:43","Article","10.1007/s004250050349","0032-0935","https://api.elsevier.com/content/abstract/scopus_id/0031857032",205,4,506,513,83,3.19,83,1,26,"","",""
82,"J. Tang","The differential effects of herbivory by first and fourth instars of Trichoplusia ni (Lepidoptera: Noctuidae) on photosynthesis in Arabidopsis thaliana",2006,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=31544452308&origin=inward",6,"2024-07-24 10:55:43","Article","10.1093/jxb/erj032","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/31544452308",57,3,527,536,82,4.56,82,1,18,"","",""
50,"J. Barrett","Pyrenoids: CO<inf>2</inf>-fixing phase separated liquid organelles",2021,"Biochimica et Biophysica Acta - Molecular Cell Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S0167488921000033","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099624569&origin=inward",7,"2024-07-24 10:55:43","Review","10.1016/j.bbamcr.2021.118949","0167-4889","https://api.elsevier.com/content/abstract/scopus_id/85099624569",1868,5,,,50,16.67,50,1,3,"","",""
48,"X. Sui","The complex character of photosynthesis in cucumber fruit",2017,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85020173782&origin=inward",8,"2024-07-24 10:55:43","Article","10.1093/jxb/erx034","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/85020173782",68,7,1625,1637,48,6.86,48,1,7,"","",""
36,"C.C. Ogbaga","Engineering Rubisco activase from thermophilic cyanobacteria into high-temperature sensitive plants",2018,"Critical Reviews in Biotechnology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029904803&origin=inward",9,"2024-07-24 10:55:43","Review","10.1080/07388551.2017.1378998","0738-8551","https://api.elsevier.com/content/abstract/scopus_id/85029904803",38,4,559,572,36,6.00,36,1,6,"","",""
12,"P. Verma","Differential rubisco content and photosynthetic efficiency of rol gene integrated Vinca minor transgenic plant: Correlating factors associated with morpho-anatomical changes, gene expression and alkaloid productivity",2017,"Journal of Plant Physiology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0176161717302377","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85030677169&origin=inward",10,"2024-07-24 10:55:43","Article","10.1016/j.jplph.2017.09.004","0176-1617","https://api.elsevier.com/content/abstract/scopus_id/85030677169",219,,12,21,12,1.71,12,1,7,"","",""
