Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
368,"M.C.F. Proctor","Desiccation-tolerance in bryophytes: A review",2007,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35448946453&origin=inward",1,"2024-07-24 13:29:02","Review","10.1639/0007-2745(2007)110[595:DIBAR]2.0.CO;2","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/35448946453",110,4,595,621,368,21.65,368,1,17,"","",""
355,"J.A. RAVEN","TANSLEY REVIEW No. 2: REGULATION OF PH AND GENERATION OF OSMOLARITY IN VASCULAR PLANTS: A COST‐BENEFIT ANALYSIS IN RELATION TO EFFICIENCY OF USE OF ENERGY, NITROGEN AND WATER",1985,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84982615350&origin=inward",2,"2024-07-24 13:29:02","Article","10.1111/j.1469-8137.1985.tb02816.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84982615350",101,1,25,77,355,9.10,355,1,39,"","",""
260,"S.J. Bucci","Dynamic changes in hydraulic conductivity in petioles of two savanna tree species: Factors and mechanisms contributing to the refilling of embolized vessels",2003,"Plant, Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0142039885&origin=inward",3,"2024-07-24 13:29:02","Article","10.1046/j.0140-7791.2003.01082.x","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/0142039885",26,10,1633,1645,260,12.38,260,1,21,"","",""
253,"S. Penfield","MYB61 is required for mucilage deposition and extrusion in the arabidopsis seed coat",2001,"Plant Cell","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035542785&origin=inward",4,"2024-07-24 13:29:02","Article","10.1105/tpc.13.12.2777","1040-4651","https://api.elsevier.com/content/abstract/scopus_id/0035542785",13,12,2777,2791,253,11.00,253,1,23,"","",""
157,"T.J. Brodribb","Water stress deforms tracheids peripheral to the leaf vein of a tropical conifer",2005,"Plant Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=20444443610&origin=inward",5,"2024-07-24 13:29:02","Article","10.1104/pp.104.058156","0032-0889","https://api.elsevier.com/content/abstract/scopus_id/20444443610",137,3,1139,1146,157,8.26,157,1,19,"","",""
139,"A. Nardini","Rooting depth, water relations and non-structural carbohydrate dynamics in three woody angiosperms differentially affected by an extreme summer drought",2016,"Plant Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84958292115&origin=inward",6,"2024-07-24 13:29:02","Article","10.1111/pce.12646","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/84958292115",39,3,618,627,139,17.38,139,1,8,"","",""
131,"U. Drüge","Effect of vesicular-arbuscular mycorrhizal infection on transpiration, photosynthesis and growth of flax (Linum usitatissimum L.) in relation to cytokinin levels",1993,"Journal of Plant Physiology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0176161711808497","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85025527881&origin=inward",7,"2024-07-24 13:29:02","Article","10.1016/S0176-1617(11)80849-7","0176-1617","https://api.elsevier.com/content/abstract/scopus_id/85025527881",141,1,40,48,131,4.23,131,1,31,"","",""
122,"G. Galau","Accumulation kinetics of cotton late embryogenesis-abundant mRNAs and storage protein mRNAs: Coordinate regulation during embryogenesis and the role of abscisic acid",1987,"Developmental Biology","","https://api.elsevier.com/content/article/eid/1-s2.0-0012160687904428","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0023413980&origin=inward",8,"2024-07-24 13:29:02","Article","10.1016/0012-1606(87)90442-8","0012-1606","https://api.elsevier.com/content/abstract/scopus_id/0023413980",123,1,198,212,122,3.30,122,1,37,"","",""
118,"M.D. Greenspan","Field evaluation of water transport in grape berries during water deficits",1996,"Physiologia Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0003143560&origin=inward",9,"2024-07-24 13:29:02","Article","10.1111/j.1399-3054.1996.tb00478.x","0031-9317","https://api.elsevier.com/content/abstract/scopus_id/0003143560",97,1,55,62,118,4.21,118,1,28,"","",""
87,"P. Franks","Higher rates of leaf gas exchange are associated with higher leaf hydrodynamic pressure gradients",2006,"Plant, Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33645385399&origin=inward",10,"2024-07-24 13:29:02","Article","10.1111/j.1365-3040.2005.01434.x","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/33645385399",29,4,584,592,87,4.83,87,1,18,"","",""
86,"C.W. Huang","The effect of plant water storage on water fluxes within the coupled soil–plant system",2017,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85005992281&origin=inward",11,"2024-07-24 13:29:02","Article","10.1111/nph.14273","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/85005992281",213,3,1093,1106,86,12.29,86,1,7,"","",""
60,"K.M. Johnson","Wheat leaves embolized by water stress do not recover function upon rewatering",2018,"Plant Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052475233&origin=inward",12,"2024-07-24 13:29:02","Article","10.1111/pce.13397","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/85052475233",41,11,2704,2714,60,10.00,60,1,6,"","",""
51,"M.J. Oliver","Dehydration tolerance in plants.",2010,"Methods in molecular biology (Clifton, N.J.)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954043220&origin=inward",13,"2024-07-24 13:29:02","Article","10.1007/978-1-60761-702-0_1","1940-6029","https://api.elsevier.com/content/abstract/scopus_id/77954043220",639,,3,24,51,3.64,51,1,14,"","",""
37,"K. Charra-Vaskou","Hydraulic efficiency and safety of vascular and non-vascular components in Pinus pinaster leaves",2012,"Tree Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84866428364&origin=inward",14,"2024-07-24 13:29:02","Article","10.1093/treephys/tps071","0829-318X","https://api.elsevier.com/content/abstract/scopus_id/84866428364",32,9,1161,1170,37,3.08,37,1,12,"","",""
30,"J. Fromm","Transport processes in stimulated and non-stimulated leaves of Mimosa pudica - III. Displacement of ions during seismonastic leaf movements",1988,"Trees","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0039795685&origin=inward",15,"2024-07-24 13:29:02","Article","10.1007/BF00196751","0931-1890","https://api.elsevier.com/content/abstract/scopus_id/0039795685",2,2,65,72,30,0.83,30,1,36,"","",""
