Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1234,"N.G. Horton","In vivo three-photon microscopy of subcortical structures within an intact mouse brain",2013,"Nature Photonics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874651310&origin=inward",1,"2024-07-24 13:19:52","Article","10.1038/nphoton.2012.336","1749-4885","https://api.elsevier.com/content/abstract/scopus_id/84874651310",7,3,205,209,1234,112.18,1234,1,11,"","",""
1019,"G.A. Nilsson","Evaluation of a Laser Doppler Flowmeter foi Measurement of Tissue Blood Flow",1980,"IEEE Transactions on Biomedical Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0019225916&origin=inward",2,"2024-07-24 13:19:52","Article","10.1109/TBME.1980.326582","0018-9294","https://api.elsevier.com/content/abstract/scopus_id/0019225916",,10,597,604,1019,23.16,1019,1,44,"","",""
419,"K. Wårdell","Laser Doppler Perfusion Imaging by Dynamic Light Scattering",1993,"IEEE Transactions on Biomedical Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027573492&origin=inward",3,"2024-07-24 13:19:52","Article","10.1109/10.222322","0018-9294","https://api.elsevier.com/content/abstract/scopus_id/0027573492",40,4,309,316,419,13.52,419,1,31,"","",""
416,"S. Li","Nanoparticles evading the reticuloendothelial system: Role of the supported bilayer",2009,"Biochimica et Biophysica Acta - Biomembranes","","https://api.elsevier.com/content/article/eid/1-s2.0-S0005273609002223","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70349542520&origin=inward",4,"2024-07-24 13:19:52","Article","10.1016/j.bbamem.2009.06.022","0005-2736","https://api.elsevier.com/content/abstract/scopus_id/70349542520",1788,10,2259,2266,416,27.73,416,1,15,"","",""
300,"B.J. Tromberg","Assessing the future of diffuse optical imaging technologies for breast cancer management",2008,"Medical Physics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=44349142770&origin=inward",5,"2024-07-24 13:19:52","Review","10.1118/1.2919078","0094-2405","https://api.elsevier.com/content/abstract/scopus_id/44349142770",35,6,2443,2451,300,18.75,300,1,16,"","",""
273,"K. Pakravan","MicroRNA-100 shuttled by mesenchymal stem cell-derived exosomes suppresses in vitro angiogenesis through modulating the mTOR/HIF-1α/VEGF signaling axis in breast cancer cells",2017,"Cellular Oncology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85025617431&origin=inward",6,"2024-07-24 13:19:52","Article","10.1007/s13402-017-0335-7","2211-3428","https://api.elsevier.com/content/abstract/scopus_id/85025617431",40,5,457,470,273,39.00,273,1,7,"","",""
239,"G. Steinberg","Stereotactic heavy-charged-particle bragg-peak radiation for intracranial arteriovenous malformations",1990,"New England Journal of Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0025353310&origin=inward",7,"2024-07-24 13:19:52","Article","10.1056/NEJM199007123230205","0028-4793","https://api.elsevier.com/content/abstract/scopus_id/0025353310",323,2,96,101,239,7.03,239,1,34,"","",""
196,"G.E. Nilsson","Signal processor for laser Doppler tissue flowmeters",1984,"Medical &amp; Biological Engineering &amp; Computing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0021461869&origin=inward",8,"2024-07-24 13:19:52","Article","10.1007/BF02442104","0140-0118","https://api.elsevier.com/content/abstract/scopus_id/0021461869",22,4,343,348,196,4.90,196,1,40,"","",""
195,"F. Yuan","Microvascular permeability of albumin, vascular surface area, and vascular volume measured in human adenocarcinoma LS174T using dorsal chamber in scid mice",1993,"Microvascular Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S0026286283710241","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027292927&origin=inward",9,"2024-07-24 13:19:52","Article","10.1006/mvre.1993.1024","0026-2862","https://api.elsevier.com/content/abstract/scopus_id/0027292927",45,3,269,289,195,6.29,195,1,31,"","",""
185,"J. Senarathna","Laser speckle contrast imaging: Theory, instrumentation and applications",2013,"IEEE Reviews in Biomedical Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875829426&origin=inward",10,"2024-07-24 13:19:52","Article","10.1109/RBME.2013.2243140","1937-3333","https://api.elsevier.com/content/abstract/scopus_id/84875829426",6,,99,110,185,16.82,185,1,11,"","",""
174,"C.R. Pullinger","Familial Ligand-Defective Apolipoprotein B: Identification of a New Mutation That Decreases LDL Receptor Binding Affinity",1995,"Journal of Clinical Investigation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028961832&origin=inward",11,"2024-07-24 13:19:52","Article","10.1172/JCI117772","0021-9738","https://api.elsevier.com/content/abstract/scopus_id/0028961832",95,3,1225,1234,174,6.00,174,1,29,"","",""
166,"Q. Xu","Anti-tumor activity of paclitaxel through dual-targeting carrier of cyclic RGD and transferrin conjugated hyperbranched copolymer nanoparticles",2012,"Biomaterials","","https://api.elsevier.com/content/article/eid/1-s2.0-S0142961211013500","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=83355177979&origin=inward",12,"2024-07-24 13:19:52","Article","10.1016/j.biomaterials.2011.11.012","0142-9612","https://api.elsevier.com/content/abstract/scopus_id/83355177979",33,5,1627,1639,166,13.83,166,1,12,"","",""
163,"R.J. Westrick","Murine models of vascular thrombosis (Eitzman series)",2007,"Arteriosclerosis, Thrombosis, and Vascular Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35148887056&origin=inward",13,"2024-07-24 13:19:52","Review","10.1161/ATVBAHA.107.142810","1079-5642","https://api.elsevier.com/content/abstract/scopus_id/35148887056",27,10,2079,2093,163,9.59,163,1,17,"","",""
158,"S.A. Burns","Adaptive optics imaging of the human retina",2019,"Progress in Retinal and Eye Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S1350946218300405","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053687470&origin=inward",14,"2024-07-24 13:19:52","Review","10.1016/j.preteyeres.2018.08.002","1350-9462","https://api.elsevier.com/content/abstract/scopus_id/85053687470",68,,1,30,158,31.60,158,1,5,"","",""
156,"F. Wang","Light-sheet microscopy in the near-infrared II window",2019,"Nature Methods","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065791421&origin=inward",15,"2024-07-24 13:19:52","Article","10.1038/s41592-019-0398-7","1548-7091","https://api.elsevier.com/content/abstract/scopus_id/85065791421",16,6,545,552,156,31.20,156,1,5,"","",""
