Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
241,"MA Rashid","Absorption of metals on sedimentary and peat humic acids",1974,"Chemical Geology","Elsevier","https://www.sciencedirect.com/science/article/pii/0009254174900035","https://scholar.google.com/scholar?cites=9502628922111798079&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-23 08:31:28","","","","",,,,,241,4.82,241,1,50,"… humic compounds, showed preferential absorption for Cu. Copper constituted … absorb significant quantities of various metal ions. Under laboratory conditions each kg of peat absorbed …","","https://scholar.google.com/scholar?q=related:P6vTVqge4IMJ:scholar.google.com/&scioq=peat+absorption&hl=en&as_sdt=2007"
645,"YS Ho","Absorption of heavy metals from waste streams by peat",1995,"","etheses.bham.ac.uk","https://etheses.bham.ac.uk/id/eprint/8742/","https://scholar.google.com/scholar?cites=10897026986864204297&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-23 08:31:28","","","","",,,,,645,22.24,645,1,29,"… , peat dose and reaction time on batch adsorption equilibria and kinetics tests were examined. Batch adsorption of copper and nickel onto peat … The use of peat in removal of lead from …","https://etheses.bham.ac.uk/id/eprint/8742/1/Ho%2C%20Yuh-Shan_1995_PhD_01840180_%5BeTheses%5D.pdf","https://scholar.google.com/scholar?q=related:CdriQ08EOpcJ:scholar.google.com/&scioq=peat+absorption&hl=en&as_sdt=2007"
318,"APS Gonzales, MA Firmino, CS Nomura…","Peat as a natural solid-phase for copper preconcentration and determination in a multicommuted flow system coupled to flame atomic absorption spectrometry",2009,"Analytica chimica …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0003267009001494","https://scholar.google.com/scholar?cites=1592810803700965520&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-23 08:31:28","","","","",,,,,318,21.20,80,4,15,"… peat utilization as a natural solid-phase for in-line copper separation and preconcentration. Thus, chemical and physical peat … a mini-column packed with Peat Sorb ® was developed to …","https://www.academia.edu/download/98953129/j.aca.2009.01.04720230221-1-45t5yx.pdf","https://scholar.google.com/scholar?q=related:kCAApfzMGhYJ:scholar.google.com/&scioq=peat+absorption&hl=en&as_sdt=2007"
160,"T Karlsson, P Persson","Coordination chemistry and hydrolysis of Fe (III) in a peat humic acid studied by X-ray absorption spectroscopy",2010,"Geochimica et Cosmochimica Acta","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016703709005936","https://scholar.google.com/scholar?cites=17623223824314600213&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-23 08:31:28","","","","",,,,,160,11.43,80,2,14,"… In this study extended X-ray absorption fine structure (EXAFS) spectroscopy was used to determine the coordination chemistry and hydrolysis of Fe(III) in solution of a peat humic acid (…","https://www.academia.edu/download/43785923/Coordination_chemistry_and_hydrolysis_of20160316-1253-6g1b4i.pdf","https://scholar.google.com/scholar?q=related:FQt5RbJEkvQJ:scholar.google.com/&scioq=peat+absorption&hl=en&as_sdt=2007"
51,"IC Feustel, HG Byers","The comparative moisture-absorbing and moisture-retaining capacities of peat and soil mixtures",1936,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=cm2lZu7iBXwC&oi=fnd&pg=PA8&dq=peat+absorption&ots=fo8UKi7KGQ&sig=a1ECJVrve7lgvhk1HfrXUVX79h0","https://scholar.google.com/scholar?cites=13053466987180249525&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-23 08:31:28","BOOK","","","",,,,,51,0.58,26,2,88,"… from the admixture of peat with soil have not … peat were selected for this investigation, namely, an imported sphagnum-moss peat, a sedge peat from Michigan, and a cultivated reed peat …","https://books.google.com/books?hl=en&lr=&id=cm2lZu7iBXwC&oi=fnd&pg=PA8&dq=peat+absorption&ots=fo8UKi7KGQ&sig=a1ECJVrve7lgvhk1HfrXUVX79h0","https://scholar.google.com/scholar?q=related:tdEqihA7J7UJ:scholar.google.com/&scioq=peat+absorption&hl=en&as_sdt=2007"
107,"SH Budisulistiorini, M Riva, M Williams…","Light-absorbing brown carbon aerosol constituents from combustion of Indonesian peat and biomass",2017,"… science &technology","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.est.7b00397","https://scholar.google.com/scholar?cites=334564620872932161&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-23 08:31:28","","10.1021/acs.est.7b00397","","",,,,,107,15.29,27,4,7,"… This study highlights the potential of light-absorbing BrC OA constituents from peat, fern/leaf… by transboundary peatland fires smoke, respectively. Furthermore, light-absorbing BrC …","","https://scholar.google.com/scholar?q=related:QVuLBcCcpAQJ:scholar.google.com/&scioq=peat+absorption&hl=en&as_sdt=2007"
37,"VJ McBrierty, GE Wardell, CM Keely…","The characterization of water in peat",1996,"Soil Science Society …","Wiley Online Library","https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssaj1996.03615995006000040006x","https://scholar.google.com/scholar?cites=15360143754618218735&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-23 08:31:28","","10.2136/sssaj1996.03615995006000040006x","","",,,,,37,1.32,9,4,28,"… peat are intimately bound up with the way in which absorbed water behaves in the host matrix. Control of the amount of absorbed … a range of different Irish peat samples by exploiting the …","","https://scholar.google.com/scholar?q=related:7yj0AF0xKtUJ:scholar.google.com/&scioq=peat+absorption&hl=en&as_sdt=2007"
270,"S Suni, AL Kosunen, M Hautala, A Pasila…","Use of a by-product of peat excavation, cotton grass fibre, as a sorbent for oil-spills",2004,"Marine pollution …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0025326X0400236X","https://scholar.google.com/scholar?cites=6433645570110131308&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-23 08:31:28","","","","",,,,,270,13.50,54,5,20,"… We studied the absorption capacities and rates of cotton grass fibre, a by-product of peat … to have superior absorption properties: Cotton grass sorbent absorbed oil approximately …","https://www.academia.edu/download/51798385/Use_of_a_by-product_of_peat_excavation__cotton_grass_fibre_.pdf","https://scholar.google.com/scholar?q=related:bAwuIY_mSFkJ:scholar.google.com/&scioq=peat+absorption&hl=en&as_sdt=2007"
20,"GE Schaumann, J Hurrass, M Müller…","Swelling of organic matter in soil and peat samples: insights from proton relaxation, water absorption and PAH extraction",2003,"Humic …","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9780203487600-16/swelling-organic-matter-soil-peat-samples-insights-proton-relaxation-water-absorption-pah-extraction-gabriele-schaumann-julia-hurrass-martin-m%C3%BCller-wolfgang-rotard","https://scholar.google.com/scholar?cites=10405114202003195714&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-23 08:31:28","","10.4324/9780203487600-16/swelling-organic-matter-soil-peat-samples-insights-proton-relaxation-water-absorption-pah-extraction-gabriele-schaumann-julia-hurrass-martin-m%C3%BCller-wolfgang-rotard","","",,,,,20,0.95,5,4,21,"… peat R and in Figure 8.12 for peat S. The time constants are (1.7±0.4) days for peat S and (4±2) days for peat … one first-order process for most peat samples investigated in this study. The …","","https://scholar.google.com/scholar?q=related:QsfF8TxkZpAJ:scholar.google.com/&scioq=peat+absorption&hl=en&as_sdt=2007"
6,"K Irtiseva, M Mosina, A Tumilovica, V Lapkovskis…","Application of granular biocomposites based on homogenised peat for absorption of oil products",2022,"Materials","mdpi.com","https://www.mdpi.com/1996-1944/15/4/1306","https://scholar.google.com/scholar?cites=1363339506980550517&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-23 08:31:28","HTML","","","",,,,,6,3.00,1,5,2,"… : the absorption capacity of oil products, water absorption … absorb water and do not selectively absorb the oil product or present a good-enough buoyancy. To minimise water absorption …","https://www.mdpi.com/1996-1944/15/4/1306","https://scholar.google.com/scholar?q=related:dffU7Q6O6xIJ:scholar.google.com/&scioq=peat+absorption&hl=en&as_sdt=2007"
