Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"S Ohkubo, T Hirano, K Kusin","Influence of disturbances and environmental changes on albedo in tropical peat ecosystems",2021,"Agricultural and forest meteorology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0168192321000319","https://scholar.google.com/scholar?cites=11759641267276654241&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-24 09:00:30","","","","",,,,,6,2.00,2,3,3,"… peat decomposition. Thus, it is important to know how albedo changes following disturbance… In this study we measured meteorological variables, GWL and albedo at three tropical peat …","https://www.sciencedirect.com/science/article/am/pii/S0168192321000319","https://scholar.google.com/scholar?q=related:oaYMZm2jMqMJ:scholar.google.com/&scioq=peat+albedo&hl=en&as_sdt=2007"
101,"A Lohila, K Minkkinen, J Laine…","Forestation of boreal peatlands: Impacts of changing albedo and greenhouse gas fluxes on radiative forcing",2010,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2010jg001327","https://scholar.google.com/scholar?cites=9149393711008889562&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-24 09:00:30","","10.1029/2010jg001327","","",,,,,101,7.21,25,4,14,"… The differences in albedo-induced RF mainly arose from the … albedos of drained and undrained snow covered peatlands. An … the decreasing albedo resulting from peatland forestation …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2010JG001327","https://scholar.google.com/scholar?q=related:2rrgxhot-X4J:scholar.google.com/&scioq=peat+albedo&hl=en&as_sdt=2007"
28,"DK Thompson, AS Baisley…","Seasonal variation in albedo and radiation exchange between a burned and unburned forested peatland: implications for peatland evaporation",2015,"Hydrological …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.10436","https://scholar.google.com/scholar?cites=12665799198179188510&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-24 09:00:30","","10.1002/hyp.10436","","",,,,,28,3.11,9,3,9,"… Conifer trees have been widely shown to shed snow and maintain a low albedo throughout a … of winter albedo in the burned peatland were lower compared with unforested peatlands. …","","https://scholar.google.com/scholar?q=related:Ht_ls0P1xa8J:scholar.google.com/&scioq=peat+albedo&hl=en&as_sdt=2007"
24,"F Canisius, S Wang, H Croft, SG Leblanc, HAJ Russell…","A UAV-based sensor system for measuring land surface albedo: tested over a boreal peatland ecosystem",2019,"Drones","mdpi.com","https://www.mdpi.com/2504-446X/3/1/27","https://scholar.google.com/scholar?cites=15632459712053358852&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-24 09:00:30","HTML","","","",,,,,24,4.80,4,6,5,"… Results show the agreement between total shortwave albedo from UAV pyranometer … albedo was estimated from spectral measurements and compared with the satellite-derived albedo…","https://www.mdpi.com/2504-446X/3/1/27","https://scholar.google.com/scholar?q=related:BLGLpkin8dgJ:scholar.google.com/&scioq=peat+albedo&hl=en&as_sdt=2007"
50,"M Helbig, JM Waddington, P Alekseychik…","The biophysical climate mitigation potential of boreal peatlands during the growing season",2020,"Environmental …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1748-9326/abab34/meta","https://scholar.google.com/scholar?cites=1637681108958884322&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-24 09:00:30","HTML","10.1088/1748-9326/abab34","","",,,,,50,12.50,13,4,4,"… surface energy fluxes and albedo from 35 peatlands and 37 evergreen … peatland albedo is higher than forest albedo during the growing season across a range of boreal peatlands…","https://iopscience.iop.org/article/10.1088/1748-9326/abab34/meta","https://scholar.google.com/scholar?q=related:4rHcsko2uhYJ:scholar.google.com/&scioq=peat+albedo&hl=en&as_sdt=2007"
11,"F Worrall, NJK Howden, TP Burt…","Local climate impacts from ongoing restoration of a peatland",2022,"Hydrological …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.14496","https://scholar.google.com/scholar?cites=5859824032796476640&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-24 09:00:30","","10.1002/hyp.14496","","",,,,,11,5.50,3,4,2,"… but for complete revegetation we could have expected albedo to have changed from 0.08 (albedo of bare peat) to over 0.2 (fully vegetated surface) but the largest increase was only 0.05…","","https://scholar.google.com/scholar?q=related:4IQhQelGUlEJ:scholar.google.com/&scioq=peat+albedo&hl=en&as_sdt=2007"
109,"DA Robinson, G Kukla","Albedo of a dissipating snow cover",1984,"Journal of Climate and Applied Meteorology","JSTOR","https://www.jstor.org/stable/26181143?casa_token=ds6yli2D8ZMAAAAA:StSJTG3Wto5gsEsaXxhwBVdoZnqB6__BZhd6Iuayd7MQqmEKLDhFY2VAs2giT5lr6zFYf_0Pa9UxzZzgrriFsaSsynq9zqwWbVIDnSk6wQ9_H_O-i2MI7Q","https://scholar.google.com/scholar?cites=1938700894866047396&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-24 09:00:30","","","","",,,,,109,2.73,55,2,40,"… , the albedo of snowfree surfaces ranged from 0.07 over a predominantly wet peat field to … The difference between snow-covered and snowfree albedo was 0.72 over the peaty field and …","https://www.jstor.org/stable/pdf/26181143.pdf?casa_token=R_UU3tJ9u6wAAAAA:_3kvnFqROcsnrGqhBCEuzHpeBr6fmBVdkzzgDUvAUfeIL5oc8d1SOEztiBlRn5AS_FwZ3JTwOPQ58n2ApP6AuWrxGrHnXeuA5Mak8nIOG_oQl4tpen32cw","https://scholar.google.com/scholar?q=related:pAE5NDGm5xoJ:scholar.google.com/&scioq=peat+albedo&hl=en&as_sdt=2007"
36,"Y Gao, T Markkanen, L Backman, HM Henttonen…","Biogeophysical impacts of peatland forestation on regional climate changes in Finland",2014,"…","bg.copernicus.org","https://bg.copernicus.org/articles/11/7251/2014/","https://scholar.google.com/scholar?cites=9687228430581230098&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-24 09:00:30","","","","",,,,,36,3.60,7,5,10,"… In the middle boreal zone of Finland, the albedo of peat bogs and the albedo of forest are, … Thus, compared to those values, our lower albedo for peat bogs and higher albedo for forest (…","https://bg.copernicus.org/articles/11/7251/2014/bg-11-7251-2014.pdf","https://scholar.google.com/scholar?q=related:Eurbtu7yb4YJ:scholar.google.com/&scioq=peat+albedo&hl=en&as_sdt=2007"
611,"AK Betts, JH Ball","Albedo over the boreal forest",1997,"Journal of Geophysical Research …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/96JD03876","https://scholar.google.com/scholar?cites=5211965380391866152&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-24 09:00:30","","10.1029/96JD03876","","",,,,,611,22.63,306,2,27,"… the annual cycle of albedo for 1994 and 1995 at 10 … albedo values in summer are 0.2 over grass, 0.15 for aspen, and 0.083 for the conifer sites. In winter the corresponding mean albedo …","https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/96JD03876","https://scholar.google.com/scholar?q=related:KA_kN-aeVEgJ:scholar.google.com/&scioq=peat+albedo&hl=en&as_sdt=2007"
98,"T Hirano, K Kusin, S Limin, M Osaki","Evapotranspiration of tropical peat swamp forests",2015,"Global change biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.12653","https://scholar.google.com/scholar?cites=2960384074533536598&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-24 09:00:30","","10.1111/gcb.12653","","",,,,,98,10.89,25,4,9,"… The unexpected lower albedo at DB was attributable to dark color of burnt peat and scattered open water. On the other hand, annual mean G s was less than 50% of that at UF (Table 2) …","https://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/65234/3/Final%20MS_GCB15-1.pdf","https://scholar.google.com/scholar?q=related:VoNLiaFlFSkJ:scholar.google.com/&scioq=peat+albedo&hl=en&as_sdt=2007"
