Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
124,"K Minkkinen, J Laine","Effect of forest drainage on the peat bulk density of pine mires in Finland",1998,"Canadian Journal of Forest Research","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/x97-206?casa_token=E5SvG30VmVEAAAAA:MDim6ORiz3IaERL72ebBrEzbrPIjKaLZfCqElkymzKifEWCXfKKKaT-fPyWeLOC0k0NtbIjhRdkJdMw","https://scholar.google.com/scholar?cites=8854566764721610486&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-24 08:42:31","","10.1139/x97-206","","",,,,,124,4.77,62,2,26,"… The purpose of this study was (1) to determine the variation of peat bulk density in drained and … variation of Db, and (3) to quantify the effect of forest drainage on the bulk density of peat. …","https://cdnsciencepub.com/doi/pdf/10.1139/x97-206?casa_token=Q2RMDF3stScAAAAA:mUtV09G-7JNlgWbbgR1UlJPgdp9RShHkKk134dTWsRTHir59AS84tbCyet_oFOeZUv46UfTNwgZ14no","https://scholar.google.com/scholar?q=related:9h42G4-94XoJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
117,"H Liu, B Lennartz","Hydraulic properties of peat soils along a bulk density gradient—A meta study",2019,"Hydrological Processes","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.13314","https://scholar.google.com/scholar?cites=18277847989805986613&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-24 08:42:31","","10.1002/hyp.13314","","",,,,,117,23.40,59,2,5,"… functions with bulk density. Pedotransfer functions based on physical peat properties (eg, bulk density and soil depth) separately computed for bog and fen peat have significantly lower …","https://www.researchgate.net/profile/Haojie-Liu/publication/328579017_Hydraulic_Properties_of_Peat_Soils_along_a_Bulk_Density_Gradient-_A_Meta_Study/links/5c1b601b92851c22a3383898/Hydraulic-Properties-of-Peat-Soils-along-a-Bulk-Density-Gradient-A-Meta-Study.pdf","https://scholar.google.com/scholar?q=related:NTP5Euj1p_0J:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
105,"DF Grigal, SL Brovold, WS Nord…","Bulk density of surface soils and peat in the north central United States",1989,"Canadian Journal of …","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.4141/cjss89-092","https://scholar.google.com/scholar?cites=10982989376750797561&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-24 08:42:31","","10.4141/cjss89-092","","",,,,,105,3.00,26,4,35,"… predicted bulk density for surface peat compared to forest floor at LOI less than about 85Vo. and a slightly lower prediction for peat at higher LOI. At high LOI, the surface peat samples …","https://cdnsciencepub.com/doi/pdf/10.4141/cjss89-092","https://scholar.google.com/scholar?q=related:-cIe1aVqa5gJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
249,"DH Boelter","Important physical properties of peat materials",1968,"… , third internationalpeat congress; 1968 August 18 …","research.fs.usda.gov","https://research.fs.usda.gov/treesearch/12921","https://scholar.google.com/scholar?cites=3078451243077621953&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-24 08:42:31","","","","",,,,,249,4.45,249,1,56,"… evaluate the amount of water in a peat profile. The differences in physical properties were … measured by bulk density and fibre content. Undecomposed peats with low bulk density and …","https://research.fs.usda.gov/treesearch/download/12921.pdf","https://scholar.google.com/scholar?q=related:wVgAYhjbuCoJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
21,"S van Asselen, C Roosendaal","A new method for determining the bulk density of uncompacted peat from field settings",2009,"Journal of …","pubs.geoscienceworld.org","https://pubs.geoscienceworld.org/sepm/jsedres/article-abstract/79/12/918/145245","https://scholar.google.com/scholar?cites=9468866141107453320&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-24 08:42:31","","","","",,,,,21,1.40,11,2,15,"… peat compaction is the dry bulk density. The dry bulk density, and initial porosity, of modern peat … During compaction initial pore volume is reduced and dry bulk density increases. So, for …","","https://scholar.google.com/scholar?q=related:iP1uTpYraIMJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
105,"JS Price, J Cagampan, E Kellner","Assessment of peat compressibility: is there an easy way?",2005,"Hydrological Processes: An …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.6068","https://scholar.google.com/scholar?cites=9671614920478226216&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-24 08:42:31","","10.1002/hyp.6068","","",,,,,105,5.53,35,3,19,"… of bulk density or vP. Fibre content was unrelated to bulk density, vP, or to peat compressibility. It … between compressibility and peat bulk density, fibre content, and von Post number vP. …","https://www.researchgate.net/profile/Jonathan-Price-18/publication/227685231_Assessment_of_peat_compressibility_Is_there_an_easy_way/links/6001dbf192851c13fe146336/Assessment-of-peat-compressibility-Is-there-an-easy-way.pdf","https://scholar.google.com/scholar?q=related:KPd4G4d6OIYJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
7,"GC Krieger Filho, P Bufacchi, F Costa, EV Cortez…","Smoldering characteristics of high bulk density peat",2021,"Proceedings of the …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1540748920304570","https://scholar.google.com/scholar?cites=16652232048777447663&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-24 08:42:31","","","","",,,,,7,2.33,1,5,3,"… among countries’ peatlands. This work compares experimental data for low (200 kg m −3 ) and high (450 kg m −3 ) bulk density peat smoldering in a test bench. Peat samples with …","","https://scholar.google.com/scholar?q=related:70jBMNKcGOcJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
36,"DS Nichols, DH Boelter","Fiber size distribution, bulk density, and ash content of peats in Minnesota, Wisconsin, and Michigan",1984,"Soil Science Society of America …","Wiley Online Library","https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssaj1984.03615995004800060024x","https://scholar.google.com/scholar?cites=16390434221610011391&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-24 08:42:31","","10.2136/sssaj1984.03615995004800060024x","","",,,,,36,0.90,18,2,40,"… peats (Table 1). Be sides botanical origin, several other factors can con tribute to the 40fold variation in peat bulk density, including differences in stage of peat … (ash) in the peat. Figure 2 …","","https://scholar.google.com/scholar?q=related:_4p4lRWFduMJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
83,"AL Sinclair, LLB Graham, EI Putra, BH Saharjo…","Effects of distance from canal and degradation history on peat bulk density in a degraded tropical peatland",2020,"Science of the Total …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969719341762","https://scholar.google.com/scholar?cites=18066977677520656574&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-24 08:42:31","","","","",,,,,83,20.75,17,5,4,"… effect of fire frequency on peat bulk density, also irrespective of distance … peat bulk density would be higher in the degraded peatland than the intact forest, and that bulk density of peat in …","https://www.sciencedirect.com/science/article/am/pii/S0048969719341762","https://scholar.google.com/scholar?q=related:vtiHiXnMuvoJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
3,"MA Qirom, TW Yuwati, D Rachmanadi…","The variation of carbon content and bulk density on different time period post fire and peat depth",2021,"IOP Conference Series …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1755-1315/886/1/012096/meta","https://scholar.google.com/scholar?cites=5780229104513989110&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-24 08:42:31","","10.1088/1755-1315/886/1/012096","","",,,,,3,1.00,1,4,3,"… The analysis on bulk density in this research supported the statement mentioned above and … the bulk density varied between peat depth. The bulk density tended to raise when the peat …","https://iopscience.iop.org/article/10.1088/1755-1315/886/1/012096/pdf","https://scholar.google.com/scholar?q=related:9jnu3r5_N1AJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
430,"FM Chambers, DW Beilman, Z Yu","Methods for determining peat humification and for quantifying peat bulk density, organic matter and carbon content for palaeostudies of climate and peatland …",2011,"Mires and Peat","pixelrauschen.de","http://pixelrauschen.de/wbmp/media/map07/map_07_07.pdf","https://scholar.google.com/scholar?cites=6335908187840899885&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-24 08:42:31","PDF","","","",,,,,430,33.08,143,3,13,"… This article describes methods for determination of peat humification, bulk density and organic matter content of peat. It includes a laboratory protocol for the colorimetric peat …","http://pixelrauschen.de/wbmp/media/map07/map_07_07.pdf","https://scholar.google.com/scholar?q=related:Leu-ge2q7VcJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
40,"R Laiho, T Penttila, J Laine","Variation in soil nutrient concentrations and bulk density within peatland forest sites",2004,"","jukuri.luke.fi","https://jukuri.luke.fi/bitstream/handle/10024/532566/Laiho.pdf?sequence=1","https://scholar.google.com/scholar?cites=4015294295792309000&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-24 08:42:31","PDF","","","",,,,,40,2.00,13,3,20,"… (element concentration or peat bulk density) for sampling depth i at sampling location j on site k in peatland l, a denotes the mean intercept (constant), fl is the peatland-level residual (…","https://jukuri.luke.fi/bitstream/handle/10024/532566/Laiho.pdf?sequence=1","https://scholar.google.com/scholar?q=related:CFNaWeMwuTcJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
10,"B Crnobrna, IB Llanqui, AD Cardenas…","Relationships between organic matter and bulk density in Amazonian peatland soils",2022,"Sustainability","mdpi.com","https://www.mdpi.com/2071-1050/14/19/12070","https://scholar.google.com/scholar?cites=15016503151825921553&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-24 08:42:31","HTML","","","",,,,,10,5.00,3,4,2,"… peatlands in the central Peruvian Amazon. The presence of a non-linear relationship between organic matter and dry bulk density … rates of peat accumulation in some peatlands, and the …","https://www.mdpi.com/2071-1050/14/19/12070","https://scholar.google.com/scholar?q=related:ESYeRQ5WZdAJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
13,"S Elowson, L Rytter","Soil characteristics of raised sphagnum bog in relation to intensively grown deciduous species: Peat bulk density, water content, and pH during the growing season",1986,"Scandinavian Journal of Forest Research","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/02827588609382404","https://scholar.google.com/scholar?cites=1905778386900946496&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-24 08:42:31","","10.1080/02827588609382404","","",,,,,13,0.34,7,2,38,"… In this paper the course of pH, water content, and peat bulk density in the soil during the … the long term changes in peat bulk density, water content, pH, and mineral nutrient content. …","","https://scholar.google.com/scholar?q=related:QA7Ze1ivchoJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
174,"BBK Huat, S Kazemian, A Prasad…","State of an art review of peat: General perspective",2011,"International Journal of …","academicjournals.org","https://academicjournals.org/article/article1380729210_Huat%20et%20al.pdf","https://scholar.google.com/scholar?cites=6035156895361459703&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-24 08:42:31","PDF","","","",,,,,174,13.38,44,4,13,"… , the origin of peat and its different physical properties namely: moisture content, bulk density, … The bulk density (unit weight) of peat is both low and variable compared to mineral soils. …","https://academicjournals.org/article/article1380729210_Huat%20et%20al.pdf","https://scholar.google.com/scholar?q=related:9-XEfzgvwVMJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
427,"DH Boelter","Physical properties of peats as related to degree of decomposition",1969,"Soil Science Society of America Journal","Wiley Online Library","https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssaj1969.03615995003300040033x","https://scholar.google.com/scholar?cites=7679218209626809255&as_sdt=2005&sciodt=2007&hl=en",16,"2024-07-24 08:42:31","","10.2136/sssaj1969.03615995003300040033x","","",,,,,427,7.76,427,1,55,"… decomposition and bulk density. Since bulk density is used to help identify the types of peat material, it is necessary to know the range of values for each of the peat types. Using a fiber …","https://research.fs.usda.gov/treesearch/download/12923.pdf","https://scholar.google.com/scholar?q=related:p2OEgUYQkmoJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
107,"C Lewis, J Albertson, X Xu, G Kiely","Spatial variability of hydraulic conductivity and bulk density along a blanket peatland hillslope",2012,"Hydrological Processes","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.8252","https://scholar.google.com/scholar?cites=15334100124727242334&as_sdt=2005&sciodt=2007&hl=en",17,"2024-07-24 08:42:31","","10.1002/hyp.8252","","",,,,,107,8.92,27,4,12,"… of peatland hydraulic conductivities and bulk density in a … hydraulic conductivities, bulk density, and peat depth along a … the peatland margins to the flat areas at the peatland centre …","https://www.academia.edu/download/95813287/hyp.825220221215-1-1oh4k1l.pdf","https://scholar.google.com/scholar?q=related:Xu6j5NGqzdQJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
11,"A Sajarwan, T Notohadiprawiro, B Radjagukguk…","Diversity of tropical peat characteristics in intact peatland forest, under the influence of forest type, peat thickness, and position of peat deposit",2002,"","agris.fao.org","https://agris.fao.org/search/en/providers/122456/records/6472425753aa8c896303a053","https://scholar.google.com/scholar?cites=12129676470117609393&as_sdt=2005&sciodt=2007&hl=en",18,"2024-07-24 08:42:31","","","","",,,,,11,0.50,3,4,22,"… those of medium and deep peat in the middle area of the peat dome where the forest types … mean value of bulk density for shallow peat was lower than that of medium and deep peats. …","","https://scholar.google.com/scholar?q=related:sS_G2XtEVagJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
57,"FM Chambers, DW Beilman, Z Yu","Methods for determining peat humification and for quantifying peat bulk density, organic matter and carbon content for palaeostudies of climate and peatland carbon …",2010,"","cabidigitallibrary.org","https://www.cabidigitallibrary.org/doi/full/10.5555/20123041481","https://scholar.google.com/scholar?cites=11231649837191889028&as_sdt=2005&sciodt=2007&hl=en",19,"2024-07-24 08:42:31","","10.5555/20123041481","","",,,,,57,4.07,19,3,14,"… This article describes methods for determination of peat humification, bulk density and organic matter content of peat. It includes a laboratory protocol for the colorimetric peat …","","https://scholar.google.com/scholar?q=related:hIBl4wTW3psJ:scholar.google.com/&scioq=peat+%22bulk+density%22&hl=en&as_sdt=2007"
