Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
14,"CS Sheik, HJ Cleaves II, K Johnson-Finn…","Abiotic and biotic processes that drive carboxylation and decarboxylation reactions",2020,"American …","degruyter.com","https://www.degruyter.com/document/doi/10.2138/am-2020-7166CCBYNCND/html","https://scholar.google.com/scholar?cites=13616861274528033508&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-22 11:25:59","HTML","10.2138/am-2020-7166CCBYNCND","","",,,,,14,3.50,4,4,4,"… For instance, carboxylation … )carboxylation reactions and incorporated them into many facets of cellular metabolism. Here we present a broad overview of the importance of carboxylation …","https://www.degruyter.com/document/doi/10.2138/am-2020-7166CCBYNCND/html","https://scholar.google.com/scholar?q=related:5CoEGC_P-LwJ:scholar.google.com/&scioq=peat+carboxylation&hl=en&as_sdt=2007"
118,"L Bragazza, A Buttler, BJM Robroek…","Persistent high temperature and low precipitation reduce peat carbon accumulation",2016,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.13319","https://scholar.google.com/scholar?cites=15413488252298692446&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-22 11:25:59","","10.1111/gcb.13319","","",,,,,118,14.75,30,4,8,"… Although our study is limited to a specific peatland habitat, that is, lawns, it demonstrates that the peat system, in order to reach a new state in response to climate extremes, can rapidly …","https://eprints.soton.ac.uk/408480/1/Bragazza_draft_v1_BJMR.doc","https://scholar.google.com/scholar?q=related:Xofru-a159UJ:scholar.google.com/&scioq=peat+carboxylation&hl=en&as_sdt=2007"
179,"H Biester, KH Knorr, J Schellekens, A Basler…","Comparison of different methods to determine the degree of peat decomposition in peat bogs",2014,"…","bg.copernicus.org","https://bg.copernicus.org/articles/11/2691/2014/","https://scholar.google.com/scholar?cites=14927412293151569546&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-22 11:25:59","","","","",,,,,179,17.90,36,5,10,"… carboxylation of the peat during drier periods and enrichment of isotopically lighter peat … and related changes in the molecular peat composition during mineralization best. Pyrolysis…","https://bg.copernicus.org/articles/11/2691/2014/bg-11-2691-2014.pdf","https://scholar.google.com/scholar?q=related:ijYZTWTSKM8J:scholar.google.com/&scioq=peat+carboxylation&hl=en&as_sdt=2007"
4,"IM Devangsari, M Nurudin, J Sartohadi…","Characteristics of peat functional group in Padang Island, Indonesia",2022,"IOP Conference Series …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1755-1315/1005/1/012022/meta","https://scholar.google.com/scholar?cites=13558382971676175209&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-22 11:25:59","","10.1088/1755-1315/1005/1/012022","","",,,,,4,2.00,1,4,2,"… Island peat with a peat … of peat. In addition, the hydrophilic nature is also brought about by the COOH group in the form of a carboxylate salt at the peak of 1527.62 cm-1 and carboxylate …","https://iopscience.iop.org/article/10.1088/1755-1315/1005/1/012022/pdf","https://scholar.google.com/scholar?q=related:aat2M3oNKbwJ:scholar.google.com/&scioq=peat+carboxylation&hl=en&as_sdt=2007"
78,"C Gao, M Sander, S Agethen, KH Knorr","Electron accepting capacity of dissolved and particulate organic matter control CO2 and CH4 formation in peat soils",2019,"Geochimica et Cosmochimica …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016703718306240?casa_token=LJRpcVZ_R6AAAAAA:0o79PPwy1F6dXEkX7zpwdUoEZ-mVsZzeDQZ3-6BRSl6DpnLD1VlBT-vKbbcZKqc9yazRExRjXsw","https://scholar.google.com/scholar?cites=2468266459539715726&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-22 11:25:59","HTML","","","",,,,,78,15.60,20,4,5,"… peat materials and linked changes in the electron accepting capacities (EAC) of peat … In summary, our study quantitatively demonstrated the important role of peat OM as terminal …","https://www.sciencedirect.com/science/article/pii/S0016703718306240?casa_token=LJRpcVZ_R6AAAAAA:0o79PPwy1F6dXEkX7zpwdUoEZ-mVsZzeDQZ3-6BRSl6DpnLD1VlBT-vKbbcZKqc9yazRExRjXsw","https://scholar.google.com/scholar?q=related:jjbge0QLQSIJ:scholar.google.com/&scioq=peat+carboxylation&hl=en&as_sdt=2007"
11,"H Serk, MB Nilsson, E Bohlin, I Ehlers, T Wieloch…","Global CO2 fertilization of Sphagnum peat mosses via suppression of photorespiration during the twentieth century",2021,"Scientific Reports","nature.com","https://www.nature.com/articles/s41598-021-02953-1","https://scholar.google.com/scholar?cites=4498419548797386816&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-22 11:25:59","HTML","","","",,,,,11,3.67,2,6,3,"… is correlated with the ratio of Rubisco oxygenation to carboxylation due to D fractionation in the … The uptake of C in C 3 plants is facilitated by the carboxylation reaction, catalyzed by the …","https://www.nature.com/articles/s41598-021-02953-1","https://scholar.google.com/scholar?q=related:QMC9-L6YbT4J:scholar.google.com/&scioq=peat+carboxylation&hl=en&as_sdt=2007"
10,"JD Fudyma, JG Toyoda, RK Chu…","Sequential abiotic‐biotic processes drive organic carbon transformation in peat bogs",2021,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2020JG006079","https://scholar.google.com/scholar?cites=17897633511068694857&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-22 11:25:59","","10.1029/2020JG006079","","",,,,,10,3.33,3,4,3,"… peat … peatlands. These findings might not be representative of other ecosystems with different environmental conditions including mineral-rich peatlands and plant matter in surface peat …","https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2020JG006079","https://scholar.google.com/scholar?q=related:SXlgQ9oqYfgJ:scholar.google.com/&scioq=peat+carboxylation&hl=en&as_sdt=2007"
73,"X Lin, KM Handley, JA Gilbert, JE Kostka","Metabolic potential of fatty acid oxidation and anaerobic respiration by abundant members of Thaumarchaeota and Thermoplasmata in deep anoxic peat",2015,"The ISME journal","academic.oup.com","https://academic.oup.com/ismej/article-abstract/9/12/2740/7557980","https://scholar.google.com/scholar?cites=9824635565643480121&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-22 11:25:59","","","","",,,,,73,8.11,18,4,9,"… of abundant Archaea in boreal peats, we reconstructed two … data acquired from deep anoxic peat layers. Each of the near-… In deep peat, inorganic TEAs are often depleted to extremely …","https://www.nature.com/articles/ismej201577.pdf","https://scholar.google.com/scholar?q=related:OTzZaf4dWIgJ:scholar.google.com/&scioq=peat+carboxylation&hl=en&as_sdt=2007"
199,"PR Bloom, MB McBride","Metal ion binding and exchange with hydrogen ions in acid‐washed peat",1979,"Soil Science Society of America …","Wiley Online Library","https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssaj1979.03615995004300040012x","https://scholar.google.com/scholar?cites=12990175704048658567&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-22 11:25:59","","10.2136/sssaj1979.03615995004300040012x","","",,,,,199,4.42,100,2,45,"… peat were used to investigate metal-proton exchange. Localization of ions at carboxylate … The peat is observed to behave very much like synthetic crosslinked polycarboxylic acids in …","","https://scholar.google.com/scholar?q=related:h-i6WfpfRrQJ:scholar.google.com/&scioq=peat+carboxylation&hl=en&as_sdt=2007"
47,"M Schnitzer, JG Desjardins","Carboxyl and phenolic hydroxyl groups in some organic soils and their relation to the degree of humification",1965,"Canadian Journal of Soil Science","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.4141/cjss65-036","https://scholar.google.com/scholar?cites=3227441464420130673&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-22 11:25:59","","10.4141/cjss65-036","","",,,,,47,0.80,24,2,59,"… to-the conversion of carboxylate to carboxylic acid groups. … for ail samples, but peats and mucky peats tended""to contain … between peaty mucks and peats and also between mucl(y peats …","https://cdnsciencepub.com/doi/pdf/10.4141/cjss65-036","https://scholar.google.com/scholar?q=related:cd8ghOksyiwJ:scholar.google.com/&scioq=peat+carboxylation&hl=en&as_sdt=2007"
