Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
25,"A Rastogi, M Antala, M Gąbka, S Rosadziński…","Impact of warming and reduced precipitation on morphology and chlorophyll concentration in peat mosses (Sphagnum angustifolium and S. fallax)",2020,"Scientific reports","nature.com","https://www.nature.com/articles/s41598-020-65032-x","https://scholar.google.com/scholar?cites=9576762352530450770&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-23 08:52:04","HTML","","","",,,,,25,6.25,5,5,4,"… peatlands react to changing environmental conditions. Sphagnum spp. are the main component of peatlands … storage in the form of peat. Sphagnum angustifolium and Sphagnum fallax …","https://www.nature.com/articles/s41598-020-65032-x","https://scholar.google.com/scholar?q=related:UmnpqJ5-54QJ:scholar.google.com/&scioq=peat+chlorophyll&hl=en&as_sdt=2007"
32,"A Harris, J Dash","A new approach for estimating northern peatland gross primary productivity using a satellite‐sensor‐derived chlorophyll index",2011,"Journal of Geophysical Research …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2011JG001662","https://scholar.google.com/scholar?cites=15581032241828951898&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-23 08:52:04","","10.1029/2011JG001662","","",,,,,32,2.46,16,2,13,"… peatlands, we explored the relationships between the MERIS terrestrial chlorophyll index (… , thought to be important determinants of peatland carbon flux, improved upon direct …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2011JG001662","https://scholar.google.com/scholar?q=related:WncfqEXyOtgJ:scholar.google.com/&scioq=peat+chlorophyll&hl=en&as_sdt=2007"
9,"A Jama-Rodzeńska, P Chohura, B Gałka…","Effect of Different Doses of Phosgreen Fertilization on Chlorophyll, K, and Ca Content in Butterhead Lettuce (Lactuca sativa L.) Grown in Peat Substrate",2022,"Agriculture","mdpi.com","https://www.mdpi.com/2077-0472/12/6/788","https://scholar.google.com/scholar?cites=4420463409777245445&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-23 08:52:04","HTML","","","",,,,,9,4.50,2,4,2,"… the chlorophyll, potassium (K), and calcium (Ca) contents in lettuce grown in peat compared … The study presents the chlorophyll a, b, total (a + b) chlorophyll, and carotenoid contents of …","https://www.mdpi.com/2077-0472/12/6/788","https://scholar.google.com/scholar?q=related:BX1i8gykWD0J:scholar.google.com/&scioq=peat+chlorophyll&hl=en&as_sdt=2007"
20,"A Hyyryläinen, P Rautio, M Turunen, S Huttunen","… and inter-annual variation in the chlorophyll content of three co-existing Sphagnum species exceeds the effect of solar UV reduction in a subarctic peatland",2015,"SpringerPlus","Springer","https://link.springer.com/article/10.1186/s40064-015-1253-7","https://scholar.google.com/scholar?cites=13656350389359800866&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-23 08:52:04","HTML","10.1186/s40064-015-1253-7","","",,,,,20,2.22,5,4,9,"… 59 uW/cm 2 ) had little effect on the chlorophyll concentration or its seasonal variation. In the … in chlorophyll concentration. Altogether, species-specific patterns of seasonal chlorophyll …","https://link.springer.com/article/10.1186/s40064-015-1253-7","https://scholar.google.com/scholar?q=related:IvIOHlMahb0J:scholar.google.com/&scioq=peat+chlorophyll&hl=en&as_sdt=2007"
120,"M Kalacska, M Lalonde, TR Moore","Estimation of foliar chlorophyll and nitrogen content in an ombrotrophic bog from hyperspectral data: Scaling from leaf to image",2015,"Remote Sensing of Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S0034425715301000","https://scholar.google.com/scholar?cites=13882088855493736044&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-23 08:52:04","","","","",,,,,120,13.33,40,3,9,"… The goal of this study was to model total chlorophyll (Chl tot ) and N concentration at the landscape-scale in a peatland from remotely sensed data. More specifically, we sought to derive …","","https://scholar.google.com/scholar?q=related:bPYcfEMWp8AJ:scholar.google.com/&scioq=peat+chlorophyll&hl=en&as_sdt=2007"
117,"KE Van Gaalen, LB Flanagan, DR Peddle","Photosynthesis, chlorophyll fluorescence and spectral reflectance in Sphagnum moss at varying water contents",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-007-0718-y","https://scholar.google.com/scholar?cites=4382278018962818220&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-23 08:52:04","","10.1007/s00442-007-0718-y","","",,,,,117,6.88,39,3,17,"… peatland flux station in the Boreal Region of Alberta were measured in the laboratory to obtain the net photosynthesis rate and chlorophyll … , as recorded by chlorophyll fluorescence. The …","","https://scholar.google.com/scholar?q=related:rARI06P60DwJ:scholar.google.com/&scioq=peat+chlorophyll&hl=en&as_sdt=2007"
8,"GJ Bu, XS He, LI Ting-Ting, ZX Wang","Insight into indicators related to the humification and distribution of humic substances in Sphagnum and peat at different depths in the Qi Zimei Mountains",2019,"Ecological Indicators","Elsevier","https://www.sciencedirect.com/science/article/pii/S1470160X1830894X","https://scholar.google.com/scholar?cites=16298379536697699538&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-23 08:52:04","","","","",,,,,8,1.60,2,4,5,"… Therefore, we wondered whether chlorophyll can be used as an indicator of peat moss … DOM from Sphagnum and peat were used, as well as the EEM spectra from chlorophyll samples, …","","https://scholar.google.com/scholar?q=related:0qxcC9Z5L-IJ:scholar.google.com/&scioq=peat+chlorophyll&hl=en&as_sdt=2007"
47,"A Rastogi, M Stróżecki, HM Kalaji, D Łuców…","Impact of warming and reduced precipitation on photosynthetic and remote sensing properties of peatland vegetation",2019,"Environmental and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0098847218316149","https://scholar.google.com/scholar?cites=15616076374136572990&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-23 08:52:04","","","","",,,,,47,9.40,9,5,5,"… Therefore, along with remote sensing indices, this study also considered few other properties of peatland vegetation, such as chlorophyll concentration, fresh and dry weight, and …","https://www.academia.edu/download/88002844/10.1016_j.envexpbot.2019.01.005.pdf","https://scholar.google.com/scholar?q=related:PszHiblyt9gJ:scholar.google.com/&scioq=peat+chlorophyll&hl=en&as_sdt=2007"
148,"P McEachern, EE Prepas, JJ Gibson…","Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",2000,"Canadian Journal of …","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/f00-124","https://scholar.google.com/scholar?cites=14689200645411536577&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-23 08:52:04","","10.1139/f00-124","","",,,,,148,6.17,37,4,24,"… Abstract: The biogeochemistry of 10 headwater lakes in burnt peatland–… chlorophyll concentration but was not related to chlorophyll concentration in burnt lakes. Analysis of chlorophyll …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=120f90bf6eb3ce49271f973a0860577773b7e510","https://scholar.google.com/scholar?q=related:wX4xCCmG2ssJ:scholar.google.com/&scioq=peat+chlorophyll&hl=en&as_sdt=2007"
12,"A Rastogi, S Bandopadhyay, M Stróżecki…","Monitoring the impact of environmental manipulation on peatland surface by simple remote sensing indices",2018,"ITM Web of …","itm-conferences.org","https://www.itm-conferences.org/articles/itmconf/abs/2018/08/itmconf_sam2018_00030/itmconf_sam2018_00030.html","https://scholar.google.com/scholar?cites=7481369025136330337&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-23 08:52:04","","","","",,,,,12,2.00,3,4,6,"… In wheat canopy CIgreen was observed to be highly related to leaf chlorophyll content in comparison to MTCI [40]. Our observation shows it differs for peatlands under different treatment…","https://www.itm-conferences.org/articles/itmconf/pdf/2018/08/itmconf_sam2018_00030.pdf","https://scholar.google.com/scholar?q=related:YYbciH0p02cJ:scholar.google.com/&scioq=peat+chlorophyll&hl=en&as_sdt=2007"
