Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
73,"Z Urbanová, J Bárta","Effects of long-term drainage on microbial community composition vary between peatland types",2016,"Soil Biology and Biochemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071715003454","https://scholar.google.com/scholar?cites=689187749699336090&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-24 08:32:50","","","","",,,,,73,9.13,37,2,8,"… peatland types in this region. The aim of our study was to link microbial community composition … influenced by long-term drainage in three peatland types. Therefore, we chose to study …","https://www.sciencedirect.com/science/article/am/pii/S0038071715003454","https://scholar.google.com/scholar?q=related:mjdhXJt8kAkJ:scholar.google.com/&scioq=peat+%22community+composition%22&hl=en&as_sdt=2007"
31,"J Seward, MA Carson, LJ Lamit, N Basiliko, JB Yavitt…","Peatland microbial community composition is driven by a natural climate gradient",2020,"Microbial ecology","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00248-020-01510-z&casa_token=UQzn4c69YJYAAAAA:b87tQoNNp159xhPrSkR5M2ww1AO7yWGpWC6E0P3US45a2F5mk48U1N9YPbfZcMv5vk6dANB9dVkxIaSH4js","https://scholar.google.com/scholar?cites=12562918563554937129&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-24 08:32:50","HTML","10.1007/s00248-020-01510-z","","",,,,,31,7.75,5,6,4,"… sampled peat soil from 20 eastern North American peatlands … that community composition would differ among peatland … fens had the same community composition regardless of location …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00248-020-01510-z&casa_token=UQzn4c69YJYAAAAA:b87tQoNNp159xhPrSkR5M2ww1AO7yWGpWC6E0P3US45a2F5mk48U1N9YPbfZcMv5vk6dANB9dVkxIaSH4js","https://scholar.google.com/scholar?q=related:KUnaUt9zWK4J:scholar.google.com/&scioq=peat+%22community+composition%22&hl=en&as_sdt=2007"
356,"JF Weltzin, SD Bridgham, J Pastor…","Potential effects of warming and drying on peatland plant community composition",2003,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2486.2003.00571.x?casa_token=uDQnBCSAKD0AAAAA:UTneSE_nvW0KexjBKtTYrSdGii5GiTKHEza2VT4UaUAn1SV6QjRRBis4gFYFLzp5h4SxlUIsfr4ZOx-I7A","https://scholar.google.com/scholar?cites=6269519298756392545&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-24 08:32:50","","10.1046/j.1365-2486.2003.00571.x","","",,,,,356,16.95,89,4,21,"… Boreal peatlands may be particularly vulnerable to climate change, because temperature … Changes in peatland plant community composition in response to climate change may alter …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-2486.2003.00571.x?casa_token=dbhupoHGffYAAAAA:LwaM0SCZo_JDZnG1LZxl1z0iNy3YRT5MabTp6oKBTPupIj84h4qxu59Ymo55GW55M2ghbVR29TsfpoxH_A","https://scholar.google.com/scholar?q=related:YbbUupXOAVcJ:scholar.google.com/&scioq=peat+%22community+composition%22&hl=en&as_sdt=2007"
40,"J van Dijk, WAM Didden, F Kuenen…","Can differences in soil community composition after peat meadow restoration lead to different decomposition and mineralization rates?",2009,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071709002090","https://scholar.google.com/scholar?cites=13835107330720734484&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-24 08:32:50","","","","",,,,,40,2.67,10,4,15,"… In the current study, we therefore investigated how peat meadow restoration affects soil community composition and whether the observed changes could have played a role in altering …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=2464a05967d14afec650ece3877d5429f710ff26","https://scholar.google.com/scholar?q=related:FB0D1dAsAMAJ:scholar.google.com/&scioq=peat+%22community+composition%22&hl=en&as_sdt=2007"
27,"NT Girkin, RA Lopes dos Santos, CH Vane, N Ostle…","Peat properties, dominant vegetation type and microbial community structure in a tropical peatland",2020,"Wetlands","Springer","https://link.springer.com/article/10.1007/s13157-020-01287-4","https://scholar.google.com/scholar?cites=13383226976090196121&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-24 08:32:50","HTML","10.1007/s13157-020-01287-4","","",,,,,27,6.75,5,5,4,"… community composition is therefore important in interpreting greenhouse gas dynamics within peatlands… Ten peat samples were collected from peat under both C. panamensis trees and …","https://link.springer.com/article/10.1007/s13157-020-01287-4","https://scholar.google.com/scholar?q=related:mQhIAgfGurkJ:scholar.google.com/&scioq=peat+%22community+composition%22&hl=en&as_sdt=2007"
100,"MY McPartland, ES Kane, MJ Falkowski…","The response of boreal peatland community composition and NDVI to hydrologic change, warming, and elevated carbon dioxide",2019,"Global change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14465","https://scholar.google.com/scholar?cites=7084676444631670761&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-24 08:32:50","","10.1111/gcb.14465","","",,,,,100,20.00,25,4,5,"… on peatland community composition and NDVI. We leveraged two different peatland ecosystem … , and elevated CO 2 , on plant community composition, LAI, and NDVI. The Alaska …","https://onlinelibrary.wiley.com/doi/am-pdf/10.1111/gcb.14465","https://scholar.google.com/scholar?q=related:6R_ZrrDTUWIJ:scholar.google.com/&scioq=peat+%22community+composition%22&hl=en&as_sdt=2007"
373,"SN Dedysh, TA Pankratov, SE Belova…","Phylogenetic Analysis and In Situ Identification of Bacteria Community Composition in an Acidic Sphagnum Peat Bog",2006,"Applied and …","Am Soc Microbiol","https://journals.asm.org/doi/abs/10.1128/aem.72.3.2110-2117.2006","https://scholar.google.com/scholar?cites=13574198668456996776&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-24 08:32:50","","10.1128/aem.72.3.2110-2117.2006","","",,,,,373,20.72,93,4,18,"… peatlands remain largely unknown. The molecular diversity of bacterial 16S rRNA genes in peat bogs … the overall bacterial community composition in an acidic Sphagnum peat soil by a …","https://journals.asm.org/doi/pdf/10.1128/aem.72.3.2110-2117.2006","https://scholar.google.com/scholar?q=related:qK_1D8U9YbwJ:scholar.google.com/&scioq=peat+%22community+composition%22&hl=en&as_sdt=2007"
22,"MD Preston, N Basiliko","Carbon mineralization in peatlands: does the soil microbial community composition matter?",2016,"Geomicrobiology Journal","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/01490451.2014.999293","https://scholar.google.com/scholar?cites=6370715372641176490&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-24 08:32:50","","10.1080/01490451.2014.999293","","",,,,,22,2.75,11,2,8,"… , would dictate microbial community composition. We also hypothesized that the resulting microbial community composition would control rates of C loss from peat. Thus inoculations …","https://www.researchgate.net/profile/Nathan-Basiliko/publication/282999470_Carbon_Mineralization_in_Peatlands_Does_the_Soil_Microbial_Community_Composition_Matter/links/5bdf01c2299bf1124fba7cb5/Carbon-Mineralization-in-Peatlands-Does-the-Soil-Microbial-Community-Composition-Matter.pdf","https://scholar.google.com/scholar?q=related:qstlv-BTaVgJ:scholar.google.com/&scioq=peat+%22community+composition%22&hl=en&as_sdt=2007"
81,"JB Yavitt, E Yashiro, H Cadillo-Quiroz, SH Zinder","Methanogen diversity and community composition in peatlands of the central to northern Appalachian Mountain region, North America",2012,"Biogeochemistry","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10533-011-9644-5&casa_token=_3l4x1Lq4ZgAAAAA:rYdcYP8mhB30jNaQiOvecqJNlk9eo1XK1LOBQ-haTzh_sH3Q7G1AKLKwD-AYOvWicrTr1RDfJyJnDHV7ctA","https://scholar.google.com/scholar?cites=881277690825529485&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-24 08:32:50","HTML","10.1007/s10533-011-9644-5","","",,,,,81,6.75,20,4,12,"… We conclude that methanogen diversity in peatlands of the central Appalachian region is … show that peat soil pH is an important control of methanogen community composition. It is …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10533-011-9644-5&casa_token=_3l4x1Lq4ZgAAAAA:rYdcYP8mhB30jNaQiOvecqJNlk9eo1XK1LOBQ-haTzh_sH3Q7G1AKLKwD-AYOvWicrTr1RDfJyJnDHV7ctA","https://scholar.google.com/scholar?q=related:jdgh_mPtOgwJ:scholar.google.com/&scioq=peat+%22community+composition%22&hl=en&as_sdt=2007"
117,"RRE Artz, IC Anderson, SJ Chapman, A Hagn…","Changes in fungal community composition in response to vegetational succession during the natural regeneration of cutover peatlands",2007,"Microbial Ecology","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00248-007-9220-7&casa_token=5OCoLsWazsQAAAAA:BCm_aMujLmF2zcFm7FZ2vJkfhUltrQMNh5lCn7ltHqTNrdXtVchNlOGkEykwPHkXcUA0vvRjwzF2GPWgpLM","https://scholar.google.com/scholar?cites=4822519496680348083&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-24 08:32:50","HTML","10.1007/s00248-007-9220-7","","",,,,,117,6.88,23,5,17,"… In this first molecular appraisal of the fungal community composition of regenerating peatland sites, we have shown that sites with significantly different vegetational composition …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00248-007-9220-7&casa_token=5OCoLsWazsQAAAAA:BCm_aMujLmF2zcFm7FZ2vJkfhUltrQMNh5lCn7ltHqTNrdXtVchNlOGkEykwPHkXcUA0vvRjwzF2GPWgpLM","https://scholar.google.com/scholar?q=related:sxkHcu4H7UIJ:scholar.google.com/&scioq=peat+%22community+composition%22&hl=en&as_sdt=2007"
17,"KM Standen, JL Baltzer","Permafrost condition determines plant community composition and community‐level foliar functional traits in a boreal peatland",2021,"Ecology and evolution","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.7818","https://scholar.google.com/scholar?cites=16485246705263086811&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-24 08:32:50","","10.1002/ece3.7818","","",,,,,17,5.67,9,2,3,"… collected vascular plant community composition and foliar … ) in a rapidly thawing boreal peatland, with the expectation that … turnover and that both community composition and traits were …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.7818","https://scholar.google.com/scholar?q=related:24ziLYlcx-QJ:scholar.google.com/&scioq=peat+%22community+composition%22&hl=en&as_sdt=2007"
18,"AEE de Jong, S Guererro-Cruz…","Changes in microbial community composition, activity, and greenhouse gas production upon inundation of drained iron-rich peat soils",2020,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071720301590","https://scholar.google.com/scholar?cites=18027357176999432771&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-24 08:32:50","HTML","","","",,,,,18,4.50,6,3,4,"… Our results show that the community composition of Fe(III) reducing bacteria depended on Fe(III) oxide mineralogy and availability. The enrichment of Geobacteraceae with additional …","https://www.sciencedirect.com/science/article/pii/S0038071720301590","https://scholar.google.com/scholar?q=related:Q9Ij5tYJLvoJ:scholar.google.com/&scioq=peat+%22community+composition%22&hl=en&as_sdt=2007"
57,"A Putkinen, T Larmola, T Tuomivirta…","Peatland succession induces a shift in the community composition of Sphagnum-associated active methanotrophs",2014,"FEMS microbiology …","academic.oup.com","https://academic.oup.com/femsec/article-abstract/88/3/596/586883","https://scholar.google.com/scholar?cites=4904372365237926455&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-24 08:32:50","","","","",,,,,57,5.70,14,4,10,"… young fens to older bog-type peatlands. This unique chronosequence has been studied in … , we hypothesized that peatland succession will regulate SAM community composition more …","https://academic.oup.com/femsec/article/88/3/596/586883","https://scholar.google.com/scholar?q=related:N7o_hK7UD0QJ:scholar.google.com/&scioq=peat+%22community+composition%22&hl=en&as_sdt=2007"
25,"KD Dearborn, CA Wallace, R Patankar…","Permafrost thaw in boreal peatlands is rapidly altering forest community composition",2021,"Journal of …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13569","https://scholar.google.com/scholar?cites=17361427169870007634&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-24 08:32:50","","10.1111/1365-2745.13569","","",,,,,25,8.33,6,4,3,"… as permafrost thaw progresses in boreal peatlands, particularly in areas where mineral soil is … abundance will continue to increase in boreal peatlands over the coming decades, leading …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2745.13569","https://scholar.google.com/scholar?q=related:Us3qtQYu8PAJ:scholar.google.com/&scioq=peat+%22community+composition%22&hl=en&as_sdt=2007"
