Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
146,"B Valat, C Jouany, LM Riviere","Characterization of the wetting properties of air-dried peats and composts",1991,"Soil Science","journals.lww.com","https://journals.lww.com/soilsci/abstract/1991/08000/characterization_of_the_wetting_properties_of.6.aspx","https://scholar.google.com/scholar?cites=17859437042952039554&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-22 11:33:49","","","","",,,,,146,4.42,49,3,33,"… ; TH, a moderately decomposed herbaceous peat; and TL, a very decomposed woody peat. … In the process of the first dessication, the TS peat is more aerated than the TH and TL ones …","","https://scholar.google.com/scholar?q=related:guybAV532fcJ:scholar.google.com/&scioq=peat+dessication&hl=en&as_sdt=2007"
190,"JM Waddington, JS Price","Effect of peatland drainage, harvesting, and restoration on atmospheric water and carbon exchange",2000,"Physical geography","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/02723646.2000.10642719","https://scholar.google.com/scholar?cites=13977850046003914898&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-22 11:33:49","","10.1080/02723646.2000.10642719","","",,,,,190,7.92,95,2,24,"… Kyoto Protocol, countries with large peatland resources must consider the value of peatlands as a sink for atmospheric carbon dioxide (CO2). Peatlands form one of the largest carbon …","https://www.uwaterloo.ca/wetlands-hydrology/sites/default/files/uploads/files/effect_of_peatland_drainage_harvesting_and_restoration_on_atmospheric_water_and_carbon_exchange.pdf","https://scholar.google.com/scholar?q=related:kqi9G49M-8EJ:scholar.google.com/&scioq=peat+dessication&hl=en&as_sdt=2007"
196,"K Schwärzel, M Renger, R Sauerbrey…","Soil physical characteristics of peat soils",2002,"Journal of plant …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/1522-2624(200208)165:4%3C479::AID-JPLN479%3E3.0.CO;2-8","https://scholar.google.com/scholar?cites=4721262215169620059&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-22 11:33:49","","10.1002/1522-2624(200208)165:4%3C479::AID-JPLN479%3E3.0.CO;2-8","","",,,,,196,8.91,49,4,22,"… Slightly earthified peat soils show a W1 greater than 2.2, earthified peat soils 2.2 to 1.8, and strongly earthified peat soils have values lower than 1.8. Based on the classification system …","https://www.researchgate.net/profile/Gerd-Wessolek/publication/229898773_Soil_physical_characteristics_of_peat_soil/links/5a4625c6a6fdcce1971a9ac8/Soil-physical-characteristics-of-peat-soil.pdf","https://scholar.google.com/scholar?q=related:W7ioavhKhUEJ:scholar.google.com/&scioq=peat+dessication&hl=en&as_sdt=2007"
29,"R Lehmitz","The oribatid mite community of a German peatland in 1987 and 2012–effects of anthropogenic desiccation and afforestation",2014,"Soil Organisms","soil-organisms.org","https://soil-organisms.org/index.php/SO/article/view/399","https://scholar.google.com/scholar?cites=17894186593463896584&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-22 11:33:49","","","","",,,,,29,2.90,29,1,10,"… determining their species composition in peatlands and even less studies exist about the reaction of oribatid mite assemblages to increasing dessication of peatlands (but see Markkula …","https://soil-organisms.org/index.php/SO/article/view/399/374","https://scholar.google.com/scholar?q=related:CAr5N-brVPgJ:scholar.google.com/&scioq=peat+dessication&hl=en&as_sdt=2007"
241,"J Price, L Rochefort, F Quinty","Energy and moisture considerations on cutover peatlands: surface microtopography, mulch cover and Sphagnum regeneration",1998,"Ecological engineering","Elsevier","https://www.sciencedirect.com/science/article/pii/S0925857498000469","https://scholar.google.com/scholar?cites=18093103376638060600&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-22 11:33:49","","","","",,,,,241,9.27,80,3,26,"… Sphagnum cover on a cutover peatland. Straw mulch caused rainfall … peat, the energy available for sensible and latent heat fluxes was similar between the mulch covered and bare peat…","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=bb02e73b0a2efb40585ec2d6ee1fe37b6df02cf3","https://scholar.google.com/scholar?q=related:OKju4KidF_sJ:scholar.google.com/&scioq=peat+dessication&hl=en&as_sdt=2007"
70,"A Buttler, P Grosvernier…","Development of Sphagnum fallax diaspores on bare peat with implications for the restoration of cut‐over bogs",1998,"Journal of Applied Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2664.1998.355351.x","https://scholar.google.com/scholar?cites=14243012282199760139&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-22 11:33:49","","10.1046/j.1365-2664.1998.355351.x","","",,,,,70,2.69,23,3,26,"… with decomposed peat[ The porosity\ and especially its vertical pattern in the peat pro_le\ … at the surface of the bare peat\ and physical properties of the upper peat layers\ may favour the …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2664.1998.355351.x","https://scholar.google.com/scholar?q=related:C90KPDVYqcUJ:scholar.google.com/&scioq=peat+dessication&hl=en&as_sdt=2007"
150,"L Rochefort, E Lode","Restoration of degraded boreal peatlands",2006,"Boreal peatland ecosystems","Springer","https://link.springer.com/content/pdf/10.1007/978-3-540-31913-9_17?pdf=chapter%20toc","https://scholar.google.com/scholar?cites=16965327278011163478&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-22 11:33:49","","10.1007/978-3-540-31913-9_17","","",,,,,150,8.33,75,2,18,"… of peatland restoration as the return of degraded or destroyed peatland sites to wetland ecosystems… Over time and through plant succession, these wetlands should lead back to peat-…","https://www.gret-perg.ulaval.ca/fileadmin/Fichiers/centre_recherche/Rochefort_Lode_EcolStud_2006_02.pdf","https://scholar.google.com/scholar?q=related:VqMZ8EXzcOsJ:scholar.google.com/&scioq=peat+dessication&hl=en&as_sdt=2007"
202,"CC Cameron, JS Esterle, CA Palmer","The geology, botany and chemistry of selected peat-forming environments from temperate and tropical latitudes",1989,"International Journal of Coal …","Elsevier","https://www.sciencedirect.com/science/article/pii/0166516289900499","https://scholar.google.com/scholar?cites=14520894184878441472&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-22 11:33:49","","","","",,,,,202,5.77,67,3,35,"… Peat accumulation can continue until the regional and perched water tables lower during dry weather or through drainage changes, causing dessication on the one hand and erosion …","","https://scholar.google.com/scholar?q=related:AAS3flOUhMkJ:scholar.google.com/&scioq=peat+dessication&hl=en&as_sdt=2007"
93,"PA Carling","Peat slides in Teesdale and Weardale, Northern Pennines, July 1983: description and failure mechanisms",1986,"Earth Surface Processes and Landforms","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/esp.3290110209","https://scholar.google.com/scholar?cites=2850805611104187095&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-22 11:33:49","","10.1002/esp.3290110209","","",,,,,93,2.45,93,1,38,"… of the peat (owing to dessication or slow mass movement) in the rapid transfer of water to the failure zone within an impervious sensitive clay beneath the peat. The frequency of peat …","","https://scholar.google.com/scholar?q=related:1zKOXZkYkCcJ:scholar.google.com/&scioq=peat+dessication&hl=en&as_sdt=2007"
63,"JL Bugnon, L Rochefort, JS Price","Field experiment ofSphagnum reintroduction on a dry abandoned peatland in eastern Canada",1997,"Wetlands","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/BF03161517&casa_token=YlQuE0MaASUAAAAA:JfJiHWPwffJJR3itdJbWd-7mrhznCXTxcgRDV2oTybZWLo79AX0Y4AvWSfXfJoJ0GwS6UJ4o7fcIpJ1zJQ","https://scholar.google.com/scholar?cites=2449215410511213347&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-22 11:33:49","","10.1007/BF03161517","","",,,,,63,2.33,21,3,27,"… a very dry abandoned peatland where former drainage ditches … In the peat industry, particularly when peat is harvested by … contre la dessication. Ecoscience 5: (in press). Rochefort, L. …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/content/pdf/10.1007/BF03161517.pdf&casa_token=Z1dRzXrbWogAAAAA:MxLDdj9MuvuK_4sWmICUbzcKi1ChX5yQ6a17201Qgck2zKkEwBzIj44r5FFzZ-Ky8C03nnW-M1HGNle5Zw","https://scholar.google.com/scholar?q=related:I_PueXBc_SEJ:scholar.google.com/&scioq=peat+dessication&hl=en&as_sdt=2007"
