Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
183,"DA Lipson, M Jha, TK Raab…","Reduction of iron (III) and humic substances plays a major role in anaerobic respiration in an Arctic peat soil",2010,"Journal of Geophysical …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2009jg001147","https://scholar.google.com/scholar?cites=1992887973671111498&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-24 08:19:31","","10.1029/2009jg001147","","",,,,,183,13.07,46,4,14,"… electron transport in Arctic peat soils. In a study of the electrical conductivity properties of a peat … significant role in respiration in Arctic peatlands and could contribute substantially to the …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2009JG001147","https://scholar.google.com/scholar?q=related:SovQow0pqBsJ:scholar.google.com/&scioq=peat+%22electron+transport%22&hl=en&as_sdt=2007"
1,"X Tang, J Yu, H Wang, A Kumar…","Unravelling substrate availability and redox interactions on methane production in peat soils of China",2024,"European Journal of …","Wiley Online Library","https://bsssjournals.onlinelibrary.wiley.com/doi/abs/10.1111/ejss.13456","https://scholar.google.com/scholar?cites=16794934172700923942&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-24 08:19:31","","10.1111/ejss.13456","","",,,,,1,1.00,0,5,1,"… in peat soils could also be related to lability and characteristics of natural organic matter. Our results suggest that the CH 4 production in waterlogged peatlands … from peatlands and …","","https://scholar.google.com/scholar?q=related:JljojaWXE-kJ:scholar.google.com/&scioq=peat+%22electron+transport%22&hl=en&as_sdt=2007"
70,"JT Trevors, R Knowles","Electron transport system activity in soil, sediment, and pure cultures",1984,"CRC Critical reviews in microbiology","Taylor &Francis","https://www.tandfonline.com/doi/pdf/10.3109/10408418409105473","https://scholar.google.com/scholar?cites=2381606742849034541&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-24 08:19:31","","10.3109/10408418409105473","","",,,,,70,1.75,35,2,40,"… soils, a clay soil, and a peat soil was studied by Doelman and Haan~tra~~ (see Table 1). Inhibition of ETS activity was similar in both sandy soils, whereas in the peat and clay soils, no …","","https://scholar.google.com/scholar?q=related:LRkx3rYqDSEJ:scholar.google.com/&scioq=peat+%22electron+transport%22&hl=en&as_sdt=2007"
336,"A Tveit, R Schwacke, MM Svenning, T Urich","Organic carbon transformations in high-Arctic peat soils: key functions and microorganisms",2013,"The ISME journal","academic.oup.com","https://academic.oup.com/ismej/article-abstract/7/2/299/7590071","https://scholar.google.com/scholar?cites=12906875679626545363&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-24 08:19:31","","","","",,,,,336,30.55,84,4,11,"… We compared the Arctic peat metagenomes with metagenomes from temperate soils and proposed a model of SOC degradation in Arctic peat, including anaerobic respiratory and …","https://academic.oup.com/ismej/article/7/2/299/7590071","https://scholar.google.com/scholar?q=related:08hEDAxvHrMJ:scholar.google.com/&scioq=peat+%22electron+transport%22&hl=en&as_sdt=2007"
73,"X Lin, KM Handley, JA Gilbert, JE Kostka","Metabolic potential of fatty acid oxidation and anaerobic respiration by abundant members of Thaumarchaeota and Thermoplasmata in deep anoxic peat",2015,"The ISME journal","academic.oup.com","https://academic.oup.com/ismej/article-abstract/9/12/2740/7557980","https://scholar.google.com/scholar?cites=9824635565643480121&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-24 08:19:31","","","","",,,,,73,8.11,18,4,9,"… Regeneration of NAD+ and energy production in Fn1 likely relies on the β-oxidation cycle and an anaerobic electron transport chain (ETC) (Figure 2). The lack of a cytochrome bd/c-…","https://www.nature.com/articles/ismej201577.pdf","https://scholar.google.com/scholar?q=related:OTzZaf4dWIgJ:scholar.google.com/&scioq=peat+%22electron+transport%22&hl=en&as_sdt=2007"
22,"S Hamard, R Céréghino, M Barret, A Sytiuk…","Contribution of microbial photosynthesis to peatland carbon uptake along a latitudinal gradient",2021,"Journal of …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13732","https://scholar.google.com/scholar?cites=15323490382203835662&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-24 08:19:31","","10.1111/1365-2745.13732","","",,,,,22,7.33,4,5,3,"… primary productivity in different peatlands under varying climates and peatland conditions, using a … Photosynthetic rates (electron transport rate—ETR—per cell) of phototrophs in the five …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.13732","https://scholar.google.com/scholar?q=related:DtVftlD5p9QJ:scholar.google.com/&scioq=peat+%22electron+transport%22&hl=en&as_sdt=2007"
40,"D Lloyd, KL Thomas, A Hayes, B Hill…","Micro-ecology of peat: minimally invasive analysis using confocal laser scanning microscopy, membrane inlet mass spectrometry and PCR amplification of …",1998,"FEMS microbiology …","academic.oup.com","https://academic.oup.com/femsec/article-abstract/25/2/179/587730","https://scholar.google.com/scholar?cites=6802925057106568120&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-24 08:19:31","","","","",,,,,40,1.54,8,5,26,"… Both temporal and spatial organisation of CO 2 and CH 4 sources in peat have been … of bacteria with active electron transport chains and proton translocation systems in peat cores at …","https://academic.oup.com/femsec/article/25/2/179/587730","https://scholar.google.com/scholar?q=related:uONwxkvYaF4J:scholar.google.com/&scioq=peat+%22electron+transport%22&hl=en&as_sdt=2007"
60,"RM Wilson, MM Tfaily, VI Rich, JK Keller…","Hydrogenation of organic matter as a terminal electron sink sustains high CO2: CH4 production ratios during anaerobic decomposition",2017,"Organic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S014663801630208X","https://scholar.google.com/scholar?cites=658254004017834734&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-24 08:19:31","","","","",,,,,60,8.57,12,5,7,"… We examined peat chemistry from two boreal peatlands (with different cryogenic histories) at multiple depths in the field and over time in incubations, in tandem with measurements of …","https://www.sciencedirect.com/science/article/am/pii/S014663801630208X","https://scholar.google.com/scholar?q=related:7ip2cYeWIgkJ:scholar.google.com/&scioq=peat+%22electron+transport%22&hl=en&as_sdt=2007"
15,"S Begmatov, AV Beletsky, SN Dedysh…","Genome analysis of the candidate phylum MBNT15 bacterium from a boreal peatland predicted its respiratory versatility and dissimilatory iron metabolism",2022,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fmicb.2022.951761/full","https://scholar.google.com/scholar?cites=6354181305743649950&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-24 08:19:31","HTML","10.3389/fmicb.2022.951761","","",,,,,15,7.50,4,4,2,"… Besides NAD(P)H and reduced ferredoxin, the oxidation of hydrogen and formate could supply electrons to the electron transport chain. The SHF-111 genome comprises genes …","https://www.frontiersin.org/articles/10.3389/fmicb.2022.951761/full","https://scholar.google.com/scholar?q=related:nixHTzuWLlgJ:scholar.google.com/&scioq=peat+%22electron+transport%22&hl=en&as_sdt=2007"
109,"DA Lipson, JM Haggerty, A Srinivas, TK Raab…","Metagenomic insights into anaerobic metabolism along an Arctic peat soil profile",2013,"PLoS …","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0064659","https://scholar.google.com/scholar?cites=1252423654601655780&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-24 08:19:31","HTML","","","",,,,,109,9.91,22,5,11,"… However, decaheme cytochromes are also involved in other extracellular electron transport processes, such as DMSO respiration and Fe(II) oxidation [14], [39], [42], [43]. The large …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0064659","https://scholar.google.com/scholar?q=related:5AXUoK2AYREJ:scholar.google.com/&scioq=peat+%22electron+transport%22&hl=en&as_sdt=2007"
