Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
127,"R Boggie","Effect of water-table height on root development of Pinus contorta on deep peat in Scotland",1972,"Oikos","JSTOR","https://www.jstor.org/stable/3543168?casa_token=tyhSbB61dx4AAAAA:JJbAOw84A4FcAtzKT5bLMhTmNpVsoTRSIfJc-Y8NmRRb2FMY21zkO5-bB4nvhkrYy6f2E1NKhpuLH4xyGZX9tffUCccV65w-2Cnb9wWEqI3qFmJ375jSYQ","https://scholar.google.com/scholar?cites=1630353551472678221&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-24 09:40:26","","","","",,,,,127,2.44,127,1,52,"… The pH of the peat varied neither with respect to tree planting nor with height of water table, the mean and standard error for the whole area being 3.77 ? 0.029. On the other hand, in the …","https://www.jstor.org/stable/pdf/3543168.pdf?casa_token=IKoXPbjXIB8AAAAA:Z4RdNnLZQ6Z8MqXGm-r18WPKKWB2rPR7czP8M102pJ0D9SMXV9L7aurkiC9hlYoeRihoor1ku7YY6eZOy6Z3KeXE6b6KLpbtddXnrG_p2NMClq0q9UFgnw","https://scholar.google.com/scholar?q=related:TVXTxeotoBYJ:scholar.google.com/&scioq=peat+height&hl=en&as_sdt=2007"
76,"BL Williams, RE Wheatley","Nitrogen mineralization and water-table height in oligotrophic deep peat",1988,"Biology and Fertility of Soils","Springer","https://link.springer.com/article/10.1007/BF00257664","https://scholar.google.com/scholar?cites=13617080278565697659&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-24 09:40:26","","10.1007/BF00257664","","",,,,,76,2.11,38,2,36,"… The aim of the present study was to assess the effects of water-table heights in deep oligotrophic blanket peat on the size of bacterial populations involved in N transformations and on …","","https://scholar.google.com/scholar?q=related:e7ji8V2W-bwJ:scholar.google.com/&scioq=peat+height&hl=en&as_sdt=2007"
1,"A Julzarika, H Harintaka, T Kartika","Vegetation Height Estimation using Satellite Remote Sensing in Peat Land of Central Kalimantan",2021,"Journal of Environmental …","journals.ufrpe.br","http://www.journals.ufrpe.br/index.php/JEAP/article/view/3001","https://scholar.google.com/scholar?cites=12759859201826325596&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-24 09:40:26","","","","",,,,,1,0.33,0,3,3,"… Vegetation height can be estimated using remote sensing. Vegetation height can be estimated … This research aims to detect the vegetation height in Central Kalimantan peatlands using …","https://www.journals.ufrpe.br/index.php/JEAP/article/download/3001/482483960","https://scholar.google.com/scholar?q=related:XITb5FYgFLEJ:scholar.google.com/&scioq=peat+height&hl=en&as_sdt=2007"
27,"M Schlund, F von Poncet, S Kuntz…","TanDEM-X elevation model data for canopy height and aboveground biomass retrieval in a tropical peat swamp forest",2016,"… journal of remote …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/01431161.2016.1226001","https://scholar.google.com/scholar?cites=13567980041691493121&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-24 09:40:26","","10.1080/01431161.2016.1226001","","",,,,,27,3.38,7,4,8,"… via canopy height models (CHMs) in a tropical peat swamp … In addition, the potential of X-band interferometric heights in … The low R 2 suggested that the X-band height alone was not …","http://kalteng.org/userfiles/htmleditor/TanDEM%20X%20elevation%20model%20data%20for%20canopy%20height%20and%20aboveground%20biomass%20retrieval%20in%20a%20tropical%20peat%20swamp%20forest.pdf","https://scholar.google.com/scholar?q=related:AXOcMPYlS7wJ:scholar.google.com/&scioq=peat+height&hl=en&as_sdt=2007"
70,"H Hökkä","Height-diameter curves with random intercepts and slopes for trees growing on drained peatlands",1997,"Forest ecology and management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378112797000637","https://scholar.google.com/scholar?cites=623565052788825688&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-24 09:40:26","","","","",,,,,70,2.59,70,1,27,"… Models for predicting tree height were constructed for Scats pine (Pinus syluestris), … sample of drained peatland stands in the whole country. A logarithmic height-diameter curve with …","","https://scholar.google.com/scholar?q=related:WF7TmRxZpwgJ:scholar.google.com/&scioq=peat+height&hl=en&as_sdt=2007"
406,"LR Belyea, AJ Baird","Beyond “the limits to peat bog growth”: Cross‐scale feedback in peatland development",2006,"Ecological Monographs","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/0012-9615(2006)076[0299:BTLTPB]2.0.CO;2?casa_token=3n183B_E2TUAAAAA:VRlECgY3iauBGS1YSxCjBgOAWDK3nNc7FJL9ucasmBSxlI3FPkM3xJN-oovuxOg92ajRi2vNxwt7fKKBNQ","https://scholar.google.com/scholar?cites=5128590024806382233&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-24 09:40:26","","10.1890/0012-9615(2006)076[0299:BTLTPB]2.0.CO;2","","",,,,,406,22.56,203,2,18,"… According to the GMH, peatland height and shape are controlled by conditions only in a drought year. The GMH assumes that (1) all net rainfall delivered to the bog in a drought year …","https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/0012-9615%282006%29076%5B0299%3ABTLTPB%5D2.0.CO%3B2?casa_token=7OTVHWKHnsIAAAAA:Dt2BkXBU3TPXAxEoHjeu1ib7eU6y61CejJrabylXt7Obu1p-Km3bJjo12XL-dBBLaBqTCXKo8IKsHpul9g","https://scholar.google.com/scholar?q=related:mToyg3RpLEcJ:scholar.google.com/&scioq=peat+height&hl=en&as_sdt=2007"
1461,"RS Clymo","The limits to peat bog growth",1984,"… Transactions of the Royal Society of London …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rstb.1984.0002","https://scholar.google.com/scholar?cites=8607880229774914005&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-24 09:40:26","","10.1098/rstb.1984.0002","","",,,,,1461,36.53,1461,1,40,"… heights, 2, in the peat. For illustration I here assume a very simple specific model with a constant rate, />a, of addition of plant dry mass at the surface, and decay at a rate proportional to …","https://www.jstor.org/stable/pdf/2396128.pdf?casa_token=NfT86lwKFOUAAAAA:or4zz2wNpaTiQ3ap6Gs5A_gFs2shlG9A5Cy5jHytdlw3rWutowQoRQ_ktJp69N1v8q3yVhZs_kmefL2rutK5auEvNUAu0jk8rZfWWDK_ijalm_nTfg9hSg","https://scholar.google.com/scholar?q=related:1XHXZHZVdXcJ:scholar.google.com/&scioq=peat+height&hl=en&as_sdt=2007"
21,"J Yang, H Chen","Natural downward smouldering of peat: effects of inorganic content and piled bed height",2018,"Fire Technology","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10694-018-0737-8&casa_token=GsZ4GxchOFkAAAAA:52dwjXpRmnxs9ucJktpq6q5cIpfIc2VBx16n77WPHKF38ta2TREL3Bv-Xx6ttlZGaupDd12Da0Nh9G-6kgc","https://scholar.google.com/scholar?cites=12876811694627897778&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-24 09:40:26","HTML","10.1007/s10694-018-0737-8","","",,,,,21,3.50,11,2,6,"… column, plays both positive and negative effects on peat smouldering fires. This work … piled bed height (5, 10 and 20 cm) on the natural downward smouldering mechanism of peat, both …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10694-018-0737-8&casa_token=GsZ4GxchOFkAAAAA:52dwjXpRmnxs9ucJktpq6q5cIpfIc2VBx16n77WPHKF38ta2TREL3Bv-Xx6ttlZGaupDd12Da0Nh9G-6kgc","https://scholar.google.com/scholar?q=related:skHkEQOgs7IJ:scholar.google.com/&scioq=peat+height&hl=en&as_sdt=2007"
36,"H Hökkä, R Ojansuu","Height development of Scots pine on peatlands: describing change in site productivity with a site index model",2004,"Canadian Journal of Forest Research","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/x03-275?casa_token=x3kK8OyGCUsAAAAA:oK7s8c-0LPQtMjx_iVRTrzJZ43z8e5ijgqnxAfZtkzZvfAxXaJAiv_L74ql8eGcyRTqYs8pnP-mbYqM","https://scholar.google.com/scholar?cites=5669306028729177482&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-24 09:40:26","","10.1139/x03-275","","",,,,,36,1.80,18,2,20,"… a height development model for peatland Scots … the height development pattern of the dominant trees. We concentrated on pine mire sites located in northern Finland because peatland …","https://cdnsciencepub.com/doi/pdf/10.1139/x03-275?casa_token=y4nsudq6HfgAAAAA:3MXK7PlLjUQQjcLr5jLXiMj6bPOSgj3Z-iWbReX3Oo5iuyu7YumsrRW26r60LRKyyZJe4AifkvqL1kQ","https://scholar.google.com/scholar?q=related:ihVivctrrU4J:scholar.google.com/&scioq=peat+height&hl=en&as_sdt=2007"
12,"B Nasrul, A Maas, SNH Utami, M Nurudin","The relationship between surface topography and peat thickness on Tebing Tinggi Island, Indonesia.",2020,"","mires-and-peat.net","http://mires-and-peat.net/media/map26/map_26_18.pdf","https://scholar.google.com/scholar?cites=5034515301773864062&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-24 09:40:26","PDF","","","",,,,,12,3.00,3,4,4,"… On the other hand, where the land surface height asl is less than peat thickness, the peat overlies basins in the substratum (Points 4, 6, 13, 17, 20 and 23 in Figure 4). Transect CS1 also …","http://mires-and-peat.net/media/map26/map_26_18.pdf","https://scholar.google.com/scholar?q=related:fux_Mv4w3kUJ:scholar.google.com/&scioq=peat+height&hl=en&as_sdt=2007"
