Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
37,"A Räsänen, S Juutinen, M Kalacska…","Peatland leaf-area index and biomass estimation with ultra-high resolution remote sensing",2020,"GIScience &Remote …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/15481603.2020.1829377","https://scholar.google.com/scholar?cites=18325456706926891855&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-22 13:56:08","","10.1080/15481603.2020.1829377","","",,,,,37,9.25,9,4,4,"… properties including leaf-area index (LAI) and biomass in treeless northern peatlands, and … ); and overall, sub-meter-level leaf-area index (LAI) and biomass maps have largely been …","https://www.tandfonline.com/doi/pdf/10.1080/15481603.2020.1829377","https://scholar.google.com/scholar?q=related:T1MtU8gZUf4J:scholar.google.com/&scioq=peat+%22leaf+area%22&hl=en&as_sdt=2007"
121,"O Sonnentag, J Talbot, JM Chen, NT Roulet","Using direct and indirect measurements of leaf area index to characterize the shrub canopy in an ombrotrophic peatland",2007,"Agricultural and Forest …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0168192307000664","https://scholar.google.com/scholar?cites=7120135553937399445&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-22 13:56:08","","","","",,,,,121,7.12,30,4,17,"Leaf area index (LAI) is an important ecological parameter … paid to shrub canopies of peatlands, where microtopography … quick measurements of shrub LAI in ombrotrophic peatlands. …","http://faculty.geog.utoronto.ca/Chen/Chen's%20homepage/PDFfiles2/AFM_sonnentag_2007.pdf","https://scholar.google.com/scholar?q=related:lV4R7Y_Nz2IJ:scholar.google.com/&scioq=peat+%22leaf+area%22&hl=en&as_sdt=2007"
132,"O Sonnentag, JM Chen, DA Roberts, J Talbot…","Mapping tree and shrub leaf area indices in an ombrotrophic peatland through multiple endmember spectral unmixing",2007,"Remote Sensing of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0034425707000375","https://scholar.google.com/scholar?cites=6193616470262316624&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-22 13:56:08","","","","",,,,,132,7.76,26,5,17,"… Leaf area index (LAI) is an important parameter used by … LAI in peatlands presents a challenge, mainly due to peatlands … tree and shrub LAI in peatlands and similar ecosystems based …","http://faculty.geog.utoronto.ca/Chen/Chen%27s%20homepage/PDFfiles/RSE-SONNENTAG_2007_Mer_Bleue_LAI_mapping.pdf","https://scholar.google.com/scholar?q=related:UH7-UF0l9FUJ:scholar.google.com/&scioq=peat+%22leaf+area%22&hl=en&as_sdt=2007"
11,"M Raivonen, P Mäkiranta, A Lohila, S Juutinen…","A simple CO2 exchange model simulates the seasonal leaf area development of peatland sedges",2015,"Ecological …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304380015003142","https://scholar.google.com/scholar?cites=5075787417030001176&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-22 13:56:08","","","","",,,,,11,1.22,2,5,9,"… initial slope of the leaf-area response function and A L (m 2 ) is sedge leaf area per 1 m 2 of … response for the whole peatland-ecosystem respiration, including peat and plant respiration. …","https://www.researchgate.net/profile/Eeva-Stiina-Tuittila/publication/281612249_A_simple_CO2_exchange_model_simulates_the_seasonal_leaf_area_development_of_peatland_sedges/links/5a2a28ac0f7e9b63e5355014/A-simple-CO2-exchange-model-simulates-the-seasonal-leaf-area-development-of-peatland-sedges.pdf","https://scholar.google.com/scholar?q=related:GIJ4W8PRcEYJ:scholar.google.com/&scioq=peat+%22leaf+area%22&hl=en&as_sdt=2007"
20,"J Talbot, NT Roulet, O Sonnentag, TR Moore","Increases in aboveground biomass and leaf area 85 years after drainage in a bog",2014,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjb-2013-0319","https://scholar.google.com/scholar?cites=7558320709358660128&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-22 13:56:08","","10.1139/cjb-2013-0319","","",,,,,20,2.00,5,4,10,"… Changes in the composition, distribution, and productivity of peatland plant communities would also be expected with a change in peatland wetness (ie, water-table depth and peat …","https://www.researchgate.net/profile/Julie-Talbot/publication/265125760_Increases_in_aboveground_biomass_and_leaf_area_85_years_after_drainage_in_a_bog/links/545786310cf2cf516481210c/Increases-in-aboveground-biomass-and-leaf-area-85-years-after-drainage-in-a-bog.pdf","https://scholar.google.com/scholar?q=related:ICrNs6OM5GgJ:scholar.google.com/&scioq=peat+%22leaf+area%22&hl=en&as_sdt=2007"
32,"S Elowson, L Rytter","Dynamics of leaf minerals, bdleaf area, and biomass from hardwoods intensively grown on a peat bog",1988,"Trees","Springer","https://link.springer.com/article/10.1007/BF00196753","https://scholar.google.com/scholar?cites=7569145982002215366&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-22 13:56:08","","10.1007/BF00196753","","",,,,,32,0.89,16,2,36,"… In these stands the canopy was closed with a leaf area index (LAI) that peaked at approximately 7. The canopy in the alder stand did not close during the initial 3 years of growth and the …","","https://scholar.google.com/scholar?q=related:xjlR5ioCC2kJ:scholar.google.com/&scioq=peat+%22leaf+area%22&hl=en&as_sdt=2007"
41,"EM Goud, TR Moore, NT Roulet","Predicting peatland carbon fluxes from non‐destructive plant traits",2017,"Functional Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.12891","https://scholar.google.com/scholar?cites=3360410309137263760&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-22 13:56:08","","10.1111/1365-2435.12891","","",,,,,41,5.86,14,3,7,"… To shed light on plant traits that could drive C cycling in a temperate peatland, we related four non-destructive traits to CO 2 and CH 4 fluxes. We hypothesized that leaf area would best …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2435.12891","https://scholar.google.com/scholar?q=related:kOyvN1-Toi4J:scholar.google.com/&scioq=peat+%22leaf+area%22&hl=en&as_sdt=2007"
73,"KC Burns","Patterns in specific leaf area and the structure of a temperate heath community",2004,"Diversity and Distributions","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1366-9516.2004.00058.x","https://scholar.google.com/scholar?cites=6470639023366085350&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-22 13:56:08","","10.1111/j.1366-9516.2004.00058.x","","",,,,,73,3.65,73,1,20,"… distribution and specific leaf area (SLA: leaf area per unit dry mass) of six heath (Ericaceae) species were investigated along an environmental gradient between peat bogs and conifer …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1366-9516.2004.00058.x","https://scholar.google.com/scholar?q=related:5hqEqehTzFkJ:scholar.google.com/&scioq=peat+%22leaf+area%22&hl=en&as_sdt=2007"
5,"LG Aribal, JG Bonggay, ES Fernando","Leaf size indices and structure of the peat swamp forest",2017,"Global Journal of Environmental …","gjesm.net","https://www.gjesm.net/journals.modares.ac.ir/journals.modares.ac.ir/article_22279.html","https://scholar.google.com/scholar?cites=18054575912556228367&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-22 13:56:08","","","","",,,,,5,0.71,2,3,7,"… the biggest average leaf area of 6,142.29 mm2 to the pygmy forest with average leaf area of … thickness, peat depth, phosphate in water, nitrogen and phosphorus in the plant tissue. …","https://www.gjesm.net/article_22279_cf1ffc1ca8cfbf9ae6c265d44a95e057.pdf","https://scholar.google.com/scholar?q=related:D-88niK9jvoJ:scholar.google.com/&scioq=peat+%22leaf+area%22&hl=en&as_sdt=2007"
2,"M Assiri, A Sartori, A Persichetti, C Miele…","Leaf area index and aboveground biomass estimation of an alpine peatland with a UAV multi-sensor approach",2023,"GIScience &Remote …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/15481603.2023.2270791","https://scholar.google.com/scholar?cites=1232429368770189226&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-22 13:56:08","","10.1080/15481603.2023.2270791","","",,,,,2,2.00,0,5,1,"… AGB in alpine peatlands. In this study, the AGB of the Val di Ciampo alpine peatland (Veneto … can model the relationship between AGB and Leaf Area Index (LAI) with a significant …","https://www.tandfonline.com/doi/pdf/10.1080/15481603.2023.2270791","https://scholar.google.com/scholar?q=related:qldOMPt3GhEJ:scholar.google.com/&scioq=peat+%22leaf+area%22&hl=en&as_sdt=2007"
