Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"W Konings, K Boyd, R Andersen","Comparison of plant traits of sedges, shrubs and Sphagnum mosses between sites undergoing forest-to-bog restoration and near-natural open blanket bog: a pilot …",2019,"Mires and Peat","pure.uhi.ac.uk","https://pure.uhi.ac.uk/en/publications/comparison-of-plant-traits-of-sedges-shrubs-and-sphagnum-mosses-b","https://scholar.google.com/scholar?cites=11844396517630807842&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-23 09:28:38","","","","",,,,,10,2.00,3,3,5,"… In the UK, the majority of peatlands have been damaged by drainage, agriculture, forestry … have carried out a range of interventions to restore peatlands. In forest-to-bog restoration, tree …","https://pure.uhi.ac.uk/files/3572118/map_23_07.pdf","https://scholar.google.com/scholar?q=related:Ig9C5OC_X6QJ:scholar.google.com/&scioq=peat+%22leaf+density%22&hl=en&as_sdt=2007"
69,"J Sardans, J Peñuelas, F Rodà","Plasticity of leaf morphological traits, leaf nutrient content, and water capture in the Mediterranean evergreen oak Quercus ilex subsp. ballota in response to …",2006,"Ecoscience","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.2980/i1195-6860-13-2-258.1","https://scholar.google.com/scholar?cites=11083912542902912809&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-23 09:28:38","","10.2980/i1195-6860-13-2-258.1","","",,,,,69,3.83,23,3,18,"… in LMA in the second leaf cohort and in leaf density and size in both leaf cohorts; it also … , P contents per unit of leaf area, and leaf density. These results point to a morphological leaf …","","https://scholar.google.com/scholar?q=related:KYc5kbv30ZkJ:scholar.google.com/&scioq=peat+%22leaf+density%22&hl=en&as_sdt=2007"
1,"C Welpelo, M Dubbert, B Tiemeyer, C Voigt…","Effects of birch encroachment, water table and vegetation on methane emissions from peatland microforms in a rewetted bog",2024,"Scientific Reports","nature.com","https://www.nature.com/articles/s41598-024-52349-0","https://scholar.google.com/scholar?cites=11100311782086510308&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-23 09:28:38","HTML","","","",,,,,1,1.00,0,5,1,"… This was done once for each section with different leaf density or height. For each small frame, the height of 30 randomly chosen blades were measured (only the green, ie …","https://www.nature.com/articles/s41598-024-52349-0","https://scholar.google.com/scholar?q=related:5IZZ-8A6DJoJ:scholar.google.com/&scioq=peat+%22leaf+density%22&hl=en&as_sdt=2007"
15,"V Raevel, F Anthelme, RI Meneses, F Munoz","Cushion-plant protection determines guild-dependent plant strategies in high-elevation peatlands of the Cordillera Real, Bolivian Andes",2018,"Perspectives in Plant …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1433831916301676","https://scholar.google.com/scholar?cites=14352688691417456437&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-23 09:28:38","","","","",,,,,15,2.50,4,4,6,"… Emergent forb species could adjust their leaf density in response to herbivore pressure and cushion-plant characteristics (greater ITV contribution), while the response of emergent …","","https://scholar.google.com/scholar?q=related:NR-0L1L-LscJ:scholar.google.com/&scioq=peat+%22leaf+density%22&hl=en&as_sdt=2007"
2,"A Tóth, T Lakatos, M Braun, B Kiss","Ramet distribution, leaf morphometry and elemental composition of Caltha palustris L. along a water depth gradient",1999,"Flora","Elsevier","https://www.sciencedirect.com/science/article/pii/S0367253017309337","https://scholar.google.com/scholar?cites=15830277691723723212&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-23 09:28:38","","","","",,,,,2,0.08,1,4,25,"… Mean leaf density was 6.98 m-1, mean ramet density 0.83 m-1, mean leaf num- … to waterlogging in peat soils of differing iron content. J. Ecol. …","","https://scholar.google.com/scholar?q=related:zLH7LrBxsNsJ:scholar.google.com/&scioq=peat+%22leaf+density%22&hl=en&as_sdt=2007"
2,"M Assiri, A Sartori, A Persichetti, C Miele…","Leaf area index and aboveground biomass estimation of an alpine peatland with a UAV multi-sensor approach",2023,"GIScience &Remote …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/15481603.2023.2270791","https://scholar.google.com/scholar?cites=1232429368770189226&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-23 09:28:38","","10.1080/15481603.2023.2270791","","",,,,,2,2.00,0,5,1,"… Due to the characteristics of peatlands, innovative approaches capable of capturing their … AGB in alpine peatlands. In this study, the AGB of the Val di Ciampo alpine peatland (Veneto …","https://www.tandfonline.com/doi/pdf/10.1080/15481603.2023.2270791","https://scholar.google.com/scholar?q=related:qldOMPt3GhEJ:scholar.google.com/&scioq=peat+%22leaf+density%22&hl=en&as_sdt=2007"
0,"AD Seibert","Using Terrestrial Laser Scanning to Estimate Canopy Structure in Peatland Conifers Under a Climate Manipulation",2023,"","search.proquest.com","https://search.proquest.com/openview/c57012ed8e6ee622214b2bbeea30340c/1?pq-origsite=gscholar&cbl=18750&diss=y","",7,"2024-07-23 09:28:38","","","","",,,,,0,0.00,0,1,1,"… Leaf Angle and Leaf Area Density To determine if there was a relationship between leaf inclination angle and leaf density, we compared the two metrics through the vertical canopy. We …","https://scholarworks.boisestate.edu/cgi/viewcontent.cgi?article=3269&context=td","https://scholar.google.com/scholar?q=related:E2486u-iZUQJ:scholar.google.com/&scioq=peat+%22leaf+density%22&hl=en&as_sdt=2007"
56,"SK Mörsky, JK Haapala, R Rinnan, P Tiiva…","Long‐term ozone effects on vegetation, microbial community and methane dynamics of boreal peatland microcosms in open‐field conditions",2008,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2008.01615.x","https://scholar.google.com/scholar?cites=3786914912981736210&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-23 09:28:38","","10.1111/j.1365-2486.2008.01615.x","","",,,,,56,3.50,11,5,16,"… Correlation coefficients of peat temperature, sedge leaf density, stomatal density of Eriophorum vaginatum and percentage of aerenchymatous tissue in E. vaginatum leaves with …","","https://scholar.google.com/scholar?q=related:EtvnpgzTjTQJ:scholar.google.com/&scioq=peat+%22leaf+density%22&hl=en&as_sdt=2007"
3,"EM Goud, MJ Roddy","Variation in leaf traits among and within dominant shrubs of contrasting Pine Barrens habitats",2022,"Flora","Elsevier","https://www.sciencedirect.com/science/article/pii/S0367253022001062","https://scholar.google.com/scholar?cites=5927039883330447219&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-23 09:28:38","","","","",,,,,3,1.50,2,2,2,"… with inundated, organic peat soils and are dominated by a canopy of Atlantic white cedar (Chamaecyparis thyoides) with an understory of shrubs and peat mosses (Sphagnum spp.). …","","https://scholar.google.com/scholar?q=related:c-d7_14TQVIJ:scholar.google.com/&scioq=peat+%22leaf+density%22&hl=en&as_sdt=2007"
63,"JP Nieveen, CMJ Jacobs…","Diurnal and seasonal variation of carbon dioxide exchange from a former true raised bog",1998,"Global Change Biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2486.1998.00189.x","https://scholar.google.com/scholar?cites=17477579101145918838&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-23 09:28:38","","10.1046/j.1365-2486.1998.00189.x","","",,,,,63,2.42,21,3,26,"… Until 1980, Dutch peat bogs were used for fuel production and in an extensive part of the … leaf density of the patch. The average leaf area was then multiplied by the average leaf density …","https://www.researchgate.net/profile/Joost-Nieveen/publication/40144189_Diurnal_and_Seasonal_Variation_of_Carbon_Dioxide_Exchange_from_a_Former_True_Raised_Bog/links/613eefc811e9c168f2c9becd/Diurnal-and-Seasonal-Variation-of-Carbon-Dioxide-Exchange-from-a-Former-True-Raised-Bog.pdf","https://scholar.google.com/scholar?q=related:du2XoZfVjPIJ:scholar.google.com/&scioq=peat+%22leaf+density%22&hl=en&as_sdt=2007"
