Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"T Ichie, A Yoneyama, T Hashimoto, A Tanaka-Oda…","Drainage effects on leaf traits of trees in tropical peat swamp forests in Central Kalimantan, Indonesia",2019,"Tropics","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/tropics/28/1/28_MS18-12/_article/-char/ja/","https://scholar.google.com/scholar?cites=7004720116880340024&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-23 09:40:29","","","","",,,,,6,1.20,1,5,5,"… It is possible that trees growing in the drained peat swamp forests increase leaf thickness … Carbon dioxide emissions through oxidative peat decomposition on a burnt tropical peatland. …","https://www.jstage.jst.go.jp/article/tropics/28/1/28_MS18-12/_pdf","https://scholar.google.com/scholar?q=related:OHSvbdXDNWEJ:scholar.google.com/&scioq=peat+%22leaf+thickness%22&hl=en&as_sdt=2007"
38,"A Afzal, SW Duiker, JE Watson…","Leaf thickness and electrical capacitance as measures of plant water status",2017,"Transactions of the …","elibrary.asabe.org","https://elibrary.asabe.org/abstract.asp?aid=48335","https://scholar.google.com/scholar?cites=13940949858011283256&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-23 09:40:29","","","","",,,,,38,5.43,10,4,7,"… The growth medium used was a peat potting mixture, with its volumetric water content (θ) measured by a soil moisture sensor. The soil water content was maintained at field capacity for …","https://etda.libraries.psu.edu/files/final_submissions/13784","https://scholar.google.com/scholar?q=related:OH9Llgg0eMEJ:scholar.google.com/&scioq=peat+%22leaf+thickness%22&hl=en&as_sdt=2007"
17,"K Aguraijuja, J Klõšeiko, K Ots, A Lukjanova","Effect of wood ash on leaf and shoot anatomy, photosynthesis and carbohydrate concentrations in birch on a cutaway peatland",2015,"… monitoring and assessment","Springer","https://link.springer.com/article/10.1007/s10661-015-4681-5","https://scholar.google.com/scholar?cites=6421496333965886266&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-23 09:40:29","","10.1007/s10661-015-4681-5","","",,,,,17,1.89,4,4,9,"… peatlands is considerable because cutaway peatlands could be a significant source of atmospheric CO 2 due to the decomposition of peat. … In the current study, the leaf thickness and …","","https://scholar.google.com/scholar?q=related:OoOCqOS8HVkJ:scholar.google.com/&scioq=peat+%22leaf+thickness%22&hl=en&as_sdt=2007"
77,"T McBurney","The relationship between leaf thickness and plant water potential",1992,"Journal of Experimental Botany","academic.oup.com","https://academic.oup.com/jxb/article-abstract/43/3/327/526950","https://scholar.google.com/scholar?cites=15479176726519126612&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-23 09:40:29","","","","",,,,,77,2.41,77,1,32,"… Stonehead) plants were raised in peat blocks and after 36 d were transplanted into a field plot, watered and treated against pests with Yaltox, Ramrod, Dacthal, and Narsty. Plant …","","https://scholar.google.com/scholar?q=related:VJqqdzgV0dYJ:scholar.google.com/&scioq=peat+%22leaf+thickness%22&hl=en&as_sdt=2007"
19,"J Kołodziejek, S Michlewska","Effect of soil moisture on morpho-anatomical leaf traits of Ranunculus acris (Ranunculaceae)",2015,"Polish Journal of Ecology","BioOne","https://bioone.org/journals/polish-journal-of-ecology/volume-63/issue-3/15052249PJE2015.63.3.010/Effect-of-Soil-Moisture-on-Morpho-Anatomical-Leaf-Traits-of/10.3161/15052249PJE2015.63.3.010.short","https://scholar.google.com/scholar?cites=1390847604482196695&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-23 09:40:29","","10.3161/15052249PJE2015.63.3.010.short","","",,,,,19,2.11,10,2,9,"… central Poland), in Wilczków peat-bog area (5156’N 1852’E). Wilczków peat-bog lies in the east… Our results also showed that the increase in leaf thickness of R. acris in semi-dry site was …","https://www.researchgate.net/profile/Jeremi-Kolodziejek/publication/284277551_Effect_of_Soil_Moisture_on_Morpho-Anatomical_Leaf_Traits_of_Ranunculus_acris_Ranunculaceae/links/5ac0ad3e0f7e9bfc045c64b2/Effect-of-Soil-Moisture-on-Morpho-Anatomical-Leaf-Traits-of-Ranunculus-acris-Ranunculaceae.pdf","https://scholar.google.com/scholar?q=related:10Td-YZITRMJ:scholar.google.com/&scioq=peat+%22leaf+thickness%22&hl=en&as_sdt=2007"
81,"NS Mattson, WR Leatherwood","Potassium silicate drenches increase leaf silicon content and affect morphological traits of several floriculture crops grown in a peat-based substrate",2010,"HortScience","journals.ashs.org","https://journals.ashs.org/hortsci/view/journals/hortsci/45/1/article-p43.xml","https://scholar.google.com/scholar?cites=5845211852672867539&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-23 09:40:29","HTML","","","",,,,,81,5.79,41,2,14,"… Four species had reduced leaf thickness with added Si (Table 2): fuchsia, New Guinea … , which had leaf thickness reductions of 7% and 15%, respectively, with Si supplementation. …","https://journals.ashs.org/hortsci/view/journals/hortsci/45/1/article-p43.xml","https://scholar.google.com/scholar?q=related:0xx48zVdHlEJ:scholar.google.com/&scioq=peat+%22leaf+thickness%22&hl=en&as_sdt=2007"
10,"W Konings, K Boyd, R Andersen","Comparison of plant traits of sedges, shrubs and Sphagnum mosses between sites undergoing forest-to-bog restoration and near-natural open blanket bog: a pilot …",2019,"Mires and Peat","pure.uhi.ac.uk","https://pure.uhi.ac.uk/en/publications/comparison-of-plant-traits-of-sedges-shrubs-and-sphagnum-mosses-b","https://scholar.google.com/scholar?cites=11844396517630807842&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-23 09:40:29","","","","",,,,,10,2.00,3,3,5,"… Pérez-Harguindeguy et al. 2013); and because there is a strong correlation between SLA and leaf thickness and density, small differences in leaf thickness can cause significant …","https://pure.uhi.ac.uk/files/3572118/map_23_07.pdf","https://scholar.google.com/scholar?q=related:Ig9C5OC_X6QJ:scholar.google.com/&scioq=peat+%22leaf+thickness%22&hl=en&as_sdt=2007"
31,"G Lin, DH Zeng, R Mao","Traits and their plasticity determine responses of plant performance and community functional property to nitrogen enrichment in a boreal peatland",2020,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-020-04478-4","https://scholar.google.com/scholar?cites=445073429814721721&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-23 09:40:29","","10.1007/s11104-020-04478-4","","",,,,,31,7.75,10,3,4,"… Remaining leaves were used to determine leaf thickness (LT), individual leaf area (LA), SLA, leaf tissue density (LTD), and LN. Leaf thickness was measured at the midpoint position of …","","https://scholar.google.com/scholar?q=related:uTwSI-03LQYJ:scholar.google.com/&scioq=peat+%22leaf+thickness%22&hl=en&as_sdt=2007"
66,"HJ Peat, AH Fitter","A comparative study of the distribution and density of stomata in the British flora",1994,"Biological Journal of the Linnean Society","academic.oup.com","https://academic.oup.com/biolinnean/article-abstract/52/4/377/2662084","https://scholar.google.com/scholar?cites=7836516039586224487&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-23 09:40:29","","","","",,,,,66,2.20,33,2,30,"… Leaf thickness, however, was the most important determining factor in the models, with … It was not possible either to relook at leaf thickness or to include intraspecific variation in the …","","https://scholar.google.com/scholar?q=related:ZxkwgNHlwGwJ:scholar.google.com/&scioq=peat+%22leaf+thickness%22&hl=en&as_sdt=2007"
53,"JI Yun, SE Taylor","Adaptive Implications of Leaf Thickness for Sun‐and Shade‐Grown Abutilon Theophrasti",1986,"Ecology","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1938687","https://scholar.google.com/scholar?cites=11078447645132797447&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-23 09:40:29","","10.2307/1938687","","",,,,,53,1.39,27,2,38,"… of the anticipated relationship of leaf thickness to net photosynthesis, transpiration, and … utilization of data in quantitative evaluations of leaf thickness. Knowing the surface area of photo…","","https://scholar.google.com/scholar?q=related:Bzbn5m-NvpkJ:scholar.google.com/&scioq=peat+%22leaf+thickness%22&hl=en&as_sdt=2007"
