Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
107,"SH Budisulistiorini, M Riva, M Williams…","Light-absorbing brown carbon aerosol constituents from combustion of Indonesian peat and biomass",2017,"… science &technology","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.est.7b00397","https://scholar.google.com/scholar?cites=334564620872932161&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-22 13:56:53","","10.1021/acs.est.7b00397","","",,,,,107,15.29,27,4,7,"… This study highlights the potential of light-absorbing BrC OA constituents from peat, fern/leaf… impacted by transboundary peatland fires smoke, respectively. Furthermore, light-absorbing …","","https://scholar.google.com/scholar?q=related:QVuLBcCcpAQJ:scholar.google.com/&scioq=peat+light&hl=en&as_sdt=2007"
269,"H De Haan","Solar UV‐light penetration and photodegradation of humic substances in peaty lake water",1993,"Limnology and Oceanography","Wiley Online Library","https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.1993.38.5.1072","https://scholar.google.com/scholar?cites=14681515946973416713&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-22 13:56:53","","10.4319/lo.1993.38.5.1072","","",,,,,269,8.68,269,1,31,"… by underwater UV light (300-400 nm) in peaty lake water was studied. The photodegradation of aquatic humic substances (HS) occurred at depths where UV light with wavelengths ~…","https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.1993.38.5.1072","https://scholar.google.com/scholar?q=related:CU2Vv_c4v8sJ:scholar.google.com/&scioq=peat+light&hl=en&as_sdt=2007"
319,"JJ Blackford, FM Chambers","Determining the degree of peat decomposition for peat-based paleoclimatic studies",1993,"International Peat Journal;(Finland)","osti.gov","https://www.osti.gov/etdeweb/biblio/7153254","https://scholar.google.com/scholar?cites=10072439021164149704&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-22 13:56:53","","","","",,,,,319,10.29,160,2,31,"… into account the inorganic content of peat samples, and keep to … light transmission or optical density. Alkali-extraction of humic acids appear to be more suitable than fibre content in peat-…","","https://scholar.google.com/scholar?q=related:yLtFdux9yIsJ:scholar.google.com/&scioq=peat+light&hl=en&as_sdt=2007"
99,"R Tahvonen","The suppressiveness of Finnish light coloured Sphagnum peat",1982,"Agricultural and Food Science","journal.fi","https://journal.fi/afs/article/view/72115","https://scholar.google.com/scholar?cites=16629569471608641285&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-22 13:56:53","","","","",,,,,99,2.36,99,1,42,"… one peat lot only which had been stored in different ways: dry peat, fertilized peat at normal moisture content and peat used … The same peat lots were also used in the seedling growing …","https://journal.fi/afs/article/download/72115/33911","https://scholar.google.com/scholar?q=related:BdfpwlMZyOYJ:scholar.google.com/&scioq=peat+light&hl=en&as_sdt=2007"
119,"WE Peat","Relationships between photosynthesis and light intensity in the tomato",1970,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/34/2/319/115826","https://scholar.google.com/scholar?cites=4856161695650640527&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-22 13:56:53","","","","",,,,,119,2.20,119,1,54,"… of several tree species raised at different light intensities. In the present investigation the response curves of photosynthesis to light intensity were measured in leaves of Lycopersicon …","","https://scholar.google.com/scholar?q=related:j3IdSVWNZEMJ:scholar.google.com/&scioq=peat+light&hl=en&as_sdt=2007"
74,"JJ Nijp, J Limpens, K Metselaar, M Peichl…","Rain events decrease boreal peatland net CO2 uptake through reduced light availability",2015,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.12864","https://scholar.google.com/scholar?cites=3134330336975532722&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-22 13:56:53","","10.1111/gcb.12864","","",,,,,74,8.22,15,5,9,"… of peatlands for atmospheric CO 2 . The decrease was best explained by rain associated reduction in light… We conclude that reduced light availability associated with rain events is more …","https://www.academia.edu/download/100127000/gcb.1286420230321-1-3sierb.pdf","https://scholar.google.com/scholar?q=related:sjIoyNVgfysJ:scholar.google.com/&scioq=peat+light&hl=en&as_sdt=2007"
26,"LY Gu, KH Wyatt","Light availability regulates the response of algae and heterotrophic bacteria to elevated nutrient levels and warming in a northern boreal peatland",2016,"Freshwater biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/fwb.12783","https://scholar.google.com/scholar?cites=13228396803765972308&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-22 13:56:53","","10.1111/fwb.12783","","",,,,,26,3.25,13,2,8,"… peatlands, our findings demonstrate that increased light attenuation associated with elevated levels of DOM (Freeman et al., 2004; Fenner et al., 2007) could quickly constrain biofilm …","http://www.wyattlab.org/uploads/8/9/7/2/89727089/gu_and_wyatt_2016.pdf","https://scholar.google.com/scholar?q=related:VC1iVM60lLcJ:scholar.google.com/&scioq=peat+light&hl=en&as_sdt=2007"
16,"AS Zaitsev, RI Taburchinov, IP Ozerova, AO Pereira Jr…","Allothermal gasification of peat and lignite by a focused light flow",2020,"Applied Sciences","mdpi.com","https://www.mdpi.com/2076-3417/10/8/2640","https://scholar.google.com/scholar?cites=7421806742498815191&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-22 13:56:53","HTML","","","",,,,,16,4.00,3,5,4,"… On the contrary, the said technique of the light-induced gasification of coal-derived fuel … is to determine the light intensity levels required for the efficient conversion of peat and lignite into …","https://www.mdpi.com/2076-3417/10/8/2640","https://scholar.google.com/scholar?q=related:16w97uiN_2YJ:scholar.google.com/&scioq=peat+light&hl=en&as_sdt=2007"
27,"A Kross, JW Seaquist, NT Roulet","Light use efficiency of peatlands: Variability and suitability for modeling ecosystem production",2016,"Remote Sensing of Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S0034425716301973","https://scholar.google.com/scholar?cites=11273155277722869542&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-22 13:56:53","","","","",,,,,27,3.38,9,3,8,"… peatlands because: 1) There is a unique maximum ε for peatlands and it is consistent across peatland types; and 2) The maximum ε scales consistently across and within peatlands due …","","https://scholar.google.com/scholar?q=related:Jt99Uv9KcpwJ:scholar.google.com/&scioq=peat+light&hl=en&as_sdt=2007"
74,"E van der Heijden, JJ Boon","A combined pyrolysis mass spectrometric and light microscopic study of peatified Calluna wood isolated from raised bog peat deposits",1994,"Organic Geochemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/0146638094900280","https://scholar.google.com/scholar?cites=4332929839012799364&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-22 13:56:53","","","","",,,,,74,2.47,37,2,30,"… of peatified tissues from peat followed by chemical … peat bog core are compared with recent and highly decomposed Holocene wood samples, obtained from a Dutch Holocene peat …","https://dare.uva.nl/document/2/315","https://scholar.google.com/scholar?q=related:hGMMU7uoITwJ:scholar.google.com/&scioq=peat+light&hl=en&as_sdt=2007"
