Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
168,"K Kalbitz, S Geyer","Different effects of peat degradation on dissolved organic carbon and nitrogen",2002,"Organic Geochemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0146638001001632","https://scholar.google.com/scholar?cites=13104112111031756668&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-22 11:16:12","","","","",,,,,168,7.64,84,2,22,"… While total organic nitrogen (TON) concentrations of topsoils were much … peatlands (9–31 g kg −1 soil) relative to the degraded peatlands (3–4 g kg −1 soil) dissolved organic nitrogen (…","https://repository.geologyscience.ru/bitstream/handle/123456789/27826/Kabl_02.pdf?sequence=1","https://scholar.google.com/scholar?q=related:fCfxUoko27UJ:scholar.google.com/&scioq=peat+nitrogen&hl=en&as_sdt=2007"
482,"P Kuhry, DH Vitt","Fossil carbon/nitrogen ratios as a measure of peat decomposition",1996,"Ecology","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/2265676?casa_token=vCj-KBC3c3IAAAAA:TS1BVmOfhIOrqRvqDWJsrZOYBO_Mxmt_2-RWKvHr5VnJxnrNbSoXLdPEhlFttke6MW03oNVAw4Ngswz1","https://scholar.google.com/scholar?cites=8670167002274477713&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-22 11:16:12","","10.2307/2265676","","",,,,,482,17.21,241,2,28,"… Fossil carbon/nitrogen ratios of bulk Sphagnum fuscum peat and its components are used … anoxic peat deposits. The proportional rate of decay in the catotelm of the peatland declines …","https://esajournals.onlinelibrary.wiley.com/doi/pdfdirect/10.2307/2265676?casa_token=Sv17gTS5KFoAAAAA:JukLb5i6PH_SJaQIsZrNBhyQYYx4okM5l6TEDr-vjVgAthrDC36owPIDdpLlk1ZMYTDDB-22wKbzbrSP","https://scholar.google.com/scholar?q=related:kTbiufOeUngJ:scholar.google.com/&scioq=peat+nitrogen&hl=en&as_sdt=2007"
341,"J Leppälahti, T Koljonen","Nitrogen evolution from coal, peat and wood during gasification: Literature review",1995,"Fuel Processing Technology","Elsevier","https://www.sciencedirect.com/science/article/pii/037838209400123B","https://scholar.google.com/scholar?cites=11215751216497737307&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-22 11:16:12","","","","",,,,,341,11.76,171,2,29,"… the nitrogen functionality of wood, peat or coal is available because no reliable methods for quantitative analysis of nitrogen … However, it is known that nitrogen in living organic tissues is …","","https://scholar.google.com/scholar?q=related:W76AzE5appsJ:scholar.google.com/&scioq=peat+nitrogen&hl=en&as_sdt=2007"
151,"J Limpens, MMPD Heijmans, F Berendse","The nitrogen cycle in boreal peatlands",2006,"Boreal peatland ecosystems","Springer","https://link.springer.com/content/pdf/10.1007/978-3-540-31913-9.pdf#page=213","https://scholar.google.com/scholar?cites=3638141378658214643&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-22 11:16:12","","10.1007/978-3-540-31913-9","","",,,,,151,8.39,50,3,18,"… of the inputs and outputs of nitrogen (N) to peatlands without first distinguishing among peatland types. As discussed in Vitt (Chap. 2), one way to classify peatlands is to group them …","http://ndl.ethernet.edu.et/bitstream/123456789/71352/1/15.pdf.pdf#page=213","https://scholar.google.com/scholar?q=related:86KS5U5GfTIJ:scholar.google.com/&scioq=peat+nitrogen&hl=en&as_sdt=2007"
497,"L Bragazza, C Freeman, T Jones…","Atmospheric nitrogen deposition promotes carbon loss from peat bogs",2006,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/doi/abs/10.1073/pnas.0606629104","https://scholar.google.com/scholar?cites=12245668339894998995&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-22 11:16:12","","10.1073/pnas.0606629104","","",,,,,497,27.61,124,4,18,"… peat decomposition, we incubated Sphagnum litter samples in the laboratory under uniform temperature conditions, after the addition to each litter peat … result of initial peat quality. To …","https://www.pnas.org/doi/full/10.1073/pnas.0606629104","https://scholar.google.com/scholar?q=related:01ewjHla8akJ:scholar.google.com/&scioq=peat+nitrogen&hl=en&as_sdt=2007"
17,"T Yin, M Feng, C Qiu, S Peng","Biological nitrogen fixation and nitrogen accumulation in peatlands",2022,"Frontiers in Earth Science","frontiersin.org","https://www.frontiersin.org/articles/10.3389/feart.2022.670867/full","https://scholar.google.com/scholar?cites=730713064313477193&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-22 11:16:12","HTML","10.3389/feart.2022.670867","","",,,,,17,8.50,4,4,2,"… in peatlands, then we present the sources of N, especially through biological nitrogen fixation (BNF). We found that global peatlands store 5.9–25.9 Gt N. In the past millennia, northern …","https://www.frontiersin.org/articles/10.3389/feart.2022.670867/full","https://scholar.google.com/scholar?q=related:SVgkF6kDJAoJ:scholar.google.com/&scioq=peat+nitrogen&hl=en&as_sdt=2007"
557,"J Loisel, Z Yu, DW Beilman, P Camill, J Alm…","A database and synthesis of northern peatland soil properties and Holocene carbon and nitrogen accumulation",2014,"the …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0959683614538073?casa_token=bZ_8yp9NXaIAAAAA:YukibtzponN4o15_XivAHyJvbl-NjJSkwJFF8Hcc1NHg2-CmgIEGHX95T5DRjTOEE9HpBsmuVKXBsg","https://scholar.google.com/scholar?cites=10584393594663019011&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-22 11:16:12","","10.1177/0959683614538073","","",,,,,557,55.70,93,6,10,"… compilation of Holocene peat soil properties with associated carbon and nitrogen accumulation rates for northern peatlands. Our database consists of 268 peat cores from 215 sites …","https://journals.sagepub.com/doi/full/10.1177/0959683614538073?casa_token=bJMuxztpwcUAAAAA:Gn6vjgZHMChJLgBhfJW1QOawsOZGe4cQJYzA2thWDNXy675KSmc3NxuYA_rIqkQGmyz4VJH583fIeA","https://scholar.google.com/scholar?q=related:AyLPVOVR45IJ:scholar.google.com/&scioq=peat+nitrogen&hl=en&as_sdt=2007"
86,"SE Bayley, MN Thormann, AR Szumigalski","Nitrogen mineralization and decomposition in western boreal bog and fen peat",2005,"Ecoscience","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.2980/i1195-6860-12-4-455.1","https://scholar.google.com/scholar?cites=12839741901999628991&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-22 11:16:12","","10.2980/i1195-6860-12-4-455.1","","",,,,,86,4.53,29,3,19,"… Abstract: The nitrogen (N) supply is limited in many peatlands, and the mineralization of … peat along a peatland gradient in four peatlands in western, boreal Canada. The four peatlands …","https://www.jstor.org/stable/pdf/42901727.pdf?casa_token=uKMY2RBQ7pMAAAAA:FPZSOl6zeGTbxKg_j-koqD1y_KzE6Me3gxJM_jfJRH3d91fGnDDlwg0Ll5IKTapHBrTdO_0m58uOjwEQaOlMV3BUGj8E8_Sy5tmOJ7E_OyTHAv9mXltk","https://scholar.google.com/scholar?q=related:v-JiZDvtL7IJ:scholar.google.com/&scioq=peat+nitrogen&hl=en&as_sdt=2007"
22,"H Toberman, E Tipping, JF Boyle, RC Helliwell, A Lilly…","Dependence of ombrotrophic peat nitrogen on phosphorus and climate",2015,"Biogeochemistry","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10533-015-0117-0&casa_token=lGIo_nzRHqoAAAAA:ZOcx3n6STB8n0Kl_K6kz56KaXnUEW2-cvac-HNdadamZ_pRngnypxLazLGDCTxKXYkl6DfSdgExhmeqKIA","https://scholar.google.com/scholar?cites=15671918984511385949&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-22 11:16:12","HTML","10.1007/s10533-015-0117-0","","",,,,,22,2.44,4,6,9,"… The role of nitrogen (N) in peatland ecosystem dynamics has received much recent attention, … Ombrotrophic peats can have a range of N contents; for example in northern peatlands the …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10533-015-0117-0&casa_token=lGIo_nzRHqoAAAAA:ZOcx3n6STB8n0Kl_K6kz56KaXnUEW2-cvac-HNdadamZ_pRngnypxLazLGDCTxKXYkl6DfSdgExhmeqKIA","https://scholar.google.com/scholar?q=related:XXGAdEjXfdkJ:scholar.google.com/&scioq=peat+nitrogen&hl=en&as_sdt=2007"
102,"L Bragazza, C Freeman","High nitrogen availability reduces polyphenol content in Sphagnum peat",2007,"Science of the Total Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969707002306","https://scholar.google.com/scholar?cites=11840891388729757132&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-22 11:16:12","","","","",,,,,102,6.00,51,2,17,"… To this aim, we measured total nitrogen and soluble polyphenol concentration in Sphagnum litter peat collected in 11 European bogs under a chronic gradient of atmospheric nitrogen …","","https://scholar.google.com/scholar?q=related:zA04eftLU6QJ:scholar.google.com/&scioq=peat+nitrogen&hl=en&as_sdt=2007"
