Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
96,"R Aerts, JHC Cornelissen, RSP Van Logtestijn…","Climate change has only a minor impact on nutrient resorption parameters in a high-latitude peatland",2007,"Oecologia","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00442-006-0575-0&casa_token=WuSSn13Ia1YAAAAA:xnY3aRnGhXg7PQm3bzn8plVo_LYO7jeKT56v13exsqbMk7Krfeq7kJe1lftPfSuZOiDpzW-BIagp0ASs_H0","https://scholar.google.com/scholar?cites=3290787403383441090&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-24 09:24:22","HTML","10.1007/s00442-006-0575-0","","",,,,,96,5.65,24,4,17,"… Little is known about the effects of climate change on nutrient resorption. We studied the … ) on nutrient resorption of four dominant species in a nutrient-poor subarctic peatland. These …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00442-006-0575-0&casa_token=WuSSn13Ia1YAAAAA:xnY3aRnGhXg7PQm3bzn8plVo_LYO7jeKT56v13exsqbMk7Krfeq7kJe1lftPfSuZOiDpzW-BIagp0ASs_H0","https://scholar.google.com/scholar?q=related:wgYAQrU5qy0J:scholar.google.com/&scioq=peat+%22nutrient+resorption%22&hl=en&as_sdt=2007"
110,"M Wang, MT Murphy, TR Moore","Nutrient resorption of two evergreen shrubs in response to long-term fertilization in a bog",2014,"Oecologia","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00442-013-2784-7&casa_token=LMeXxvohyrcAAAAA:o4_7q37hRXLbHHZGAtKYEDDG0iAKVRTtBKe8gm-Ygnkd1Q6Rpjc5z0DGT9uGQCmEXNocJXjPH4Iu89G94jw","https://scholar.google.com/scholar?cites=17512483188318971994&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-24 09:24:22","HTML","10.1007/s00442-013-2784-7","","",,,,,110,11.00,37,3,10,"… In ombrotrophic peatlands, we anticipate that nutrient resorption is important in regulating … reviews of nutrient resorption mainly covered forests and grasslands, so peatlands have …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00442-013-2784-7&casa_token=LMeXxvohyrcAAAAA:o4_7q37hRXLbHHZGAtKYEDDG0iAKVRTtBKe8gm-Ygnkd1Q6Rpjc5z0DGT9uGQCmEXNocJXjPH4Iu89G94jw","https://scholar.google.com/scholar?q=related:WqjAtqzWCPMJ:scholar.google.com/&scioq=peat+%22nutrient+resorption%22&hl=en&as_sdt=2007"
159,"E Rejmánková","Nutrient resorption in wetland macrophytes: comparison across several regions of different nutrient status",2005,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2005.01449.x","https://scholar.google.com/scholar?cites=14438470601848567463&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-24 09:24:22","","10.1111/j.1469-8137.2005.01449.x","","",,,,,159,8.37,159,1,19,"… This study explored patterns of nutrient resorption in wetland macrophytes to test the prediction that plants from regions with a strong nutrient limitation will show higher resorption of the …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.2005.01449.x","https://scholar.google.com/scholar?q=related:p7Yam4PAX8gJ:scholar.google.com/&scioq=peat+%22nutrient+resorption%22&hl=en&as_sdt=2007"
177,"S Güsewell","Nutrient resorption of wetland graminoids is related to the type of nutrient limitation",2005,"Functional Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.0269-8463.2005.00967.x","https://scholar.google.com/scholar?cites=5736870632689527632&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-24 09:24:22","","10.1111/j.0269-8463.2005.00967.x","","",,,,,177,9.32,177,1,19,"… Other evidence does suggest that efficient nutrient resorption is … Alternatively, if nutrient resorption is not regulated by nutrition… Patterns and determinants of nutrient resorption have been …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.0269-8463.2005.00967.x","https://scholar.google.com/scholar?q=related:UGvU93F1nU8J:scholar.google.com/&scioq=peat+%22nutrient+resorption%22&hl=en&as_sdt=2007"
30,"JW Xu, G Lin, B Liu, R Mao","Linking leaf nutrient resorption and litter decomposition to plant mycorrhizal associations in boreal peatlands",2020,"Plant and Soil","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11104-020-04449-9&casa_token=WQMCt3UBprgAAAAA:n6phQsspbpChjSxyq2xK9zTa2lbKIJgCfAaAuY6edph5aXQclUNB-oa2Bo8I8AaFSeLO-yDZjV3K2UxSF7k","https://scholar.google.com/scholar?cites=7633802474628270746&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-24 09:24:22","HTML","10.1007/s11104-020-04449-9","","",,,,,30,7.50,8,4,4,"… The primary aim of this study was to reveal the linkage of leaf nutrient resorption and litter decomposition rates to plant mycorrhizal associations in boreal peatlands. Considering that …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11104-020-04449-9&casa_token=WQMCt3UBprgAAAAA:n6phQsspbpChjSxyq2xK9zTa2lbKIJgCfAaAuY6edph5aXQclUNB-oa2Bo8I8AaFSeLO-yDZjV3K2UxSF7k","https://scholar.google.com/scholar?q=related:mkq3see28GkJ:scholar.google.com/&scioq=peat+%22nutrient+resorption%22&hl=en&as_sdt=2007"
4,"S Gao, Y Song, C Song, X Wang, C Gong, X Ma…","Long-term nitrogen addition alters peatland plant community structure and nutrient resorption efficiency",2022,"Science of The Total …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969722042747","https://scholar.google.com/scholar?cites=17670590487200087519&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-24 09:24:22","","","","",,,,,4,2.00,1,7,2,"… peatland plant leaves with different months, and their stoichiometric ratio and nutrient resorption … of plant diversity and nutrient dynamics of peatland in a continuous permafrost area to …","","https://scholar.google.com/scholar?q=related:3z314GyMOvUJ:scholar.google.com/&scioq=peat+%22nutrient+resorption%22&hl=en&as_sdt=2007"
105,"KT Killingbeck","Nutrient resorption",2004,"Plant cell death processes","Elsevier","https://www.sciencedirect.com/science/article/pii/B9780125209151500175","https://scholar.google.com/scholar?cites=15337317120037540081&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-24 09:24:22","","","","",,,,,105,5.25,105,1,20,"… Of all the parameters that have an impact on nutrient resorption, the nine that appear to be most … to nitrogen recycling as an adaptation to nutrient deficiency in peat bog plants. Can. J. …","","https://scholar.google.com/scholar?q=related:8dBa-6gY2dQJ:scholar.google.com/&scioq=peat+%22nutrient+resorption%22&hl=en&as_sdt=2007"
1,"R Li, PP Wu, C Peng, FX Shi, R Mao","Shifted plant composition predominantly controls nitrogen addition effect on community-level leaf nutrient resorption in a boreal peatland",2024,"Plant and Soil","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11104-023-06280-4&casa_token=TnDxiopY8dYAAAAA:EO9bMyWFb9UkXpU9DAoPsse3yMej6KUlRtkcf5Hi4pm-epp5WcbSj_nnD_93O0iQBQYSwfRdFwBmRRDNkvk","https://scholar.google.com/scholar?cites=9781953285983179244&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-24 09:24:22","HTML","10.1007/s11104-023-06280-4","","",,,,,1,1.00,0,5,1,"… nutrient resorption to N addition and shifted plant composition exerts a critical control over N enrichment effect on plant nutrient resorption at the community level in boreal peatlands. …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11104-023-06280-4&casa_token=TnDxiopY8dYAAAAA:EO9bMyWFb9UkXpU9DAoPsse3yMej6KUlRtkcf5Hi4pm-epp5WcbSj_nnD_93O0iQBQYSwfRdFwBmRRDNkvk","https://scholar.google.com/scholar?q=related:7BF-xK96wIcJ:scholar.google.com/&scioq=peat+%22nutrient+resorption%22&hl=en&as_sdt=2007"
7,"LM van Heerwaarden","From leaf to litter: nutrient resorption in a changing environment",2004,"","research.vu.nl","https://research.vu.nl/files/42171859/complete%20dissertation.pdf","https://scholar.google.com/scholar?cites=6548523384008642867&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-24 09:24:22","PDF","","","",,,,,7,0.35,7,1,20,"… leaf nutrient resorption is controlled by external environmental factors. The aim of this thesis was therefore to study the response and variation in leaf nutrient resorption … from peatlands. …","https://research.vu.nl/files/42171859/complete%20dissertation.pdf","https://scholar.google.com/scholar?q=related:M5Ese1IH4VoJ:scholar.google.com/&scioq=peat+%22nutrient+resorption%22&hl=en&as_sdt=2007"
259,"AN Brant, HYH Chen","Patterns and mechanisms of nutrient resorption in plants",2015,"Critical reviews in plant sciences","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07352689.2015.1078611","https://scholar.google.com/scholar?cites=8876988574515607030&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-24 09:24:22","","10.1080/07352689.2015.1078611","","",,,,,259,28.78,130,2,9,"… Nutrient resorption (NR) plays a key role in the nutrient conservation of plants. However, a … Nutrient resorption from senescing leaves is greater than that from stems/culms or roots. …","https://www.researchgate.net/profile/Amber-Brant/publication/283340674_Patterns_and_Mechanisms_of_Nutrient_Resorption_in_Plants/links/6163196eae47db4e57bc98dd/Patterns-and-Mechanisms-of-Nutrient-Resorption-in-Plants.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9","https://scholar.google.com/scholar?q=related:9jU0gxNmMXsJ:scholar.google.com/&scioq=peat+%22nutrient+resorption%22&hl=en&as_sdt=2007"
