Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
16,"WJ Streever, J McKendrick, L Fanter, SC Anderson…","Evaluation of percent cover requirements for revegetation of disturbed sites on Alaska's North Slope",2003,"Arctic","JSTOR","https://www.jstor.org/stable/40512540?casa_token=3LU4VFr5TzYAAAAA:Lkae8AXbof9iowQCgif4VLGdvtqJrhp8KihdKCHwK8crNpLxUqUuhq_zW5KWIXloA2vVRa7cnifcmahq24c6KZJFdkZtZGDs6_B9S9GKjUSHeC0VGkj31w","https://scholar.google.com/scholar?cites=13997811647251198436&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-24 08:35:37","","","","",,,,,16,0.76,3,5,21,"… c Because percent cover measurements for disturbed peat sites that were neither fertilized no sites, this revegetation approach was excluded from the regression analysis. …","https://www.jstor.org/stable/pdf/40512540.pdf?casa_token=R8HtAqrWyloAAAAA:k5arHNE6ewHpOfzUZ4DOq1U7rVq809pyf6AYE3Xb1D5d9I15AuEoW8eJGJe_Det7ym4GFsbcnBN6J4F3FmFUphcc54jv36cerFp6HbR7c_iAqvx908SLZA","https://scholar.google.com/scholar?q=related:5LE7k4c3QsIJ:scholar.google.com/&scioq=peat+%22percent+cover%22&hl=en&as_sdt=2007"
73,"L Rochefort, F Isselin-Nondedeu, S Boudreau…","Comparing survey methods for monitoring vegetation change through time in a restored peatland",2013,"Wetlands Ecology and …","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11273-012-9280-4&casa_token=1fhgS1mXHgAAAAAA:fx4VmKpemlxi-Gimp0A1KepJzAJRifuYXSfmqxvaXik4VJCpjs5b8x6D6ToEC9j42jwRpOVoBDHfa471FVk","https://scholar.google.com/scholar?cites=16764969526142435128&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-24 08:35:37","HTML","10.1007/s11273-012-9280-4","","",,,,,73,6.64,18,4,11,"… We therefore use the terms percent cover or cover estimates to designate data stemming from both LPI and the PP methods. For all plant groups considered, LPI showed higher cover …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11273-012-9280-4&casa_token=1fhgS1mXHgAAAAAA:fx4VmKpemlxi-Gimp0A1KepJzAJRifuYXSfmqxvaXik4VJCpjs5b8x6D6ToEC9j42jwRpOVoBDHfa471FVk","https://scholar.google.com/scholar?q=related:OP_3m_UiqegJ:scholar.google.com/&scioq=peat+%22percent+cover%22&hl=en&as_sdt=2007"
48,"S Campeau, L Rochefort, JS Price","On the use of shallow basins to restore cutover peatlands: plant establishment",2004,"Restoration Ecology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1061-2971.2004.00302.x?casa_token=bVNkCGoDjIQAAAAA:8XVC9yMeqhToUnowgCSQ5gmW_Oa7h5D52BZGmJ7sWrC8IE1w0mHAZqgWsx7A5ufP7oqtTusxauQRp47m9Q","https://scholar.google.com/scholar?cites=10986553580978342067&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-24 08:35:37","","10.1111/j.1061-2971.2004.00302.x","","",,,,,48,2.40,16,3,20,"… Effect of topography on Sphagnum establishment on peat … percent cover was still significantly higher in basins than on flat surfaces for all three species tested (p <0.05). Percent cover of …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1061-2971.2004.00302.x?casa_token=3hR6zKXBHRYAAAAA:Ecoral5LFPrIk3pI53rdmykBu752MmL9z2vbKodcqIFBo6eJ7A01ZrWr5Z8MEuX40XJBe-IYjSnGlDYSiw","https://scholar.google.com/scholar?q=related:s4gCzEUUeJgJ:scholar.google.com/&scioq=peat+%22percent+cover%22&hl=en&as_sdt=2007"
110,"JL Bubier, TR Moore, G Crosby","Fine-scale vegetation distribution in a cool temperate peatland",2006,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/B06-044?casa_token=9c0iYm0JNK4AAAAA:RE-vVBY6GWc0EbFQ5DJJn7gyP8uQOLGb2295ND97lKj532Tn_bCStflrurpqFYB6a4KAzlgob-1Ad4w","https://scholar.google.com/scholar?cites=3016081263454234279&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-24 08:35:37","","10.1139/B06-044","","",,,,,110,6.11,37,3,18,"… Percent cover of shrubs was correlated with foliar biomass and LAI. Our results suggest that the less labour-intensive estimates of percent cover … in three different areas of the peatland. …","https://cdnsciencepub.com/doi/full/10.1139/b06-044?casa_token=mtNKK9tIZugAAAAA:9BWPmIpBUjKStJvyhHckP8iqRv-84J75GPHP-0FginjnRFFDWcAeVOjNF10j9qM2aVu2yAEPT5FJTKQ","https://scholar.google.com/scholar?q=related:p6bm4e1F2ykJ:scholar.google.com/&scioq=peat+%22percent+cover%22&hl=en&as_sdt=2007"
6,"T Calver, M Yarmuch, AJ Conway…","Strong legacy effect of peat composition on physicochemical properties of reclamation coversoil",2019,"Canadian Journal of …","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/CJSS-2018-0160","https://scholar.google.com/scholar?cites=4351379008967722128&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-24 08:35:37","","10.1139/CJSS-2018-0160","","",,,,,6,1.20,2,4,5,"… , current peat salvage practices do not differentiate between peatland types or the botanical composition of peat. In this study, we characterized the botanical composition of natural peat …","https://cdnsciencepub.com/doi/pdf/10.1139/cjss-2018-0160","https://scholar.google.com/scholar?q=related:kMSccCc0YzwJ:scholar.google.com/&scioq=peat+%22percent+cover%22&hl=en&as_sdt=2007"
241,"J Price, L Rochefort, F Quinty","Energy and moisture considerations on cutover peatlands: surface microtopography, mulch cover and Sphagnum regeneration",1998,"Ecological engineering","Elsevier","https://www.sciencedirect.com/science/article/pii/S0925857498000469","https://scholar.google.com/scholar?cites=18093103376638060600&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-24 08:35:37","","","","",,,,,241,9.27,80,3,26,"… At the end of September of 1995 and 1996 and in June 1996, vegetation re-establishment was assessed by estimating the percent cover of Sphagnum mosses, other mosses, …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=bb02e73b0a2efb40585ec2d6ee1fe37b6df02cf3","https://scholar.google.com/scholar?q=related:OKju4KidF_sJ:scholar.google.com/&scioq=peat+%22percent+cover%22&hl=en&as_sdt=2007"
12,"S Boudreau, L Rochefort","Plant establishment in restored peatlands: 10-years monitoring of sites restored from 1995 to 2003",2008,"… Wise Use–The Future of Peatlands","gret-perg.ulaval.ca","https://www.gret-perg.ulaval.ca/fileadmin/Fichiers/centre_recherche/Boudreau_Rochefort_IPS2008_02.pdf","https://scholar.google.com/scholar?cites=17406015100528046023&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-24 08:35:37","PDF","","","",,,,,12,0.75,6,2,16,"… stratum, according to direct percent cover estimation in medium and small size quadrats. … 1; as results presented in this figure are calculated from class covers, percent cover cannot …","https://www.gret-perg.ulaval.ca/fileadmin/Fichiers/centre_recherche/Boudreau_Rochefort_IPS2008_02.pdf","https://scholar.google.com/scholar?q=related:xy8PToOWjvEJ:scholar.google.com/&scioq=peat+%22percent+cover%22&hl=en&as_sdt=2007"
16,"DA Dunlop","Community classification of the vascular vegetation of a New Hampshire peatland",1987,"Rhodora","JSTOR","https://www.jstor.org/stable/23313974?casa_token=uCHDVqQlBkUAAAAA:i4vWTzvfnSsO38-haENCvJNj82nMs5FeaYJhcoMhwbzl8XZ2kkJqhtVNapHHazunM5qdhH5kYnUKTnWc1Rs-TT6DDT3Q3l6ITrXa33sNszrIOMFSPVzLTg","https://scholar.google.com/scholar?cites=16587249472830053422&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-24 08:35:37","","","","",,,,,16,0.43,16,1,37,"… Percent cover data for 77 species in 99 quadrats were analyzed using the classification … at Mud Pond Bog have strong similarities to other level peatlands in eastern North America. …","https://www.jstor.org/stable/pdf/23313974.pdf?casa_token=jFR5Z3Rsap8AAAAA:WSXIefnt5qZ4txxvE5G8uW6i-5aOgb0RB6MqHO93JikSLyigxl8mXYrYynexOJ-RzqO3TR8d4wfCrxiEum2w1GJZHmPBE9dB_pJhB5Nj0n42LoLamk9e2Q","https://scholar.google.com/scholar?q=related:LhzSNIO_MeYJ:scholar.google.com/&scioq=peat+%22percent+cover%22&hl=en&as_sdt=2007"
10,"A Corson, D Campbell","Testing Protocols to Restore Disturbed Sphagnum-dominated Peatlands in the Hudson Bay Lowland",2013,"Wetlands","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s13157-013-0383-3&casa_token=uuaL_yAeJcEAAAAA:EYK_spRkgeg2a_r454JaQCYR2ei8SsM6kttLN19Q7YSqX8QemvbICffEjHmxTSYtlyW-_HyI-ejKkf9xcf4","https://scholar.google.com/scholar?cites=8020039567982471186&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-24 08:35:37","HTML","10.1007/s13157-013-0383-3","","",,,,,10,0.91,5,2,11,"… They were resampled on August 10–13, 2010, this time to determine the percent cover … Peat substrates differ between disturbed peatlands in this study and those from milled peatlands …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s13157-013-0383-3&casa_token=uuaL_yAeJcEAAAAA:EYK_spRkgeg2a_r454JaQCYR2ei8SsM6kttLN19Q7YSqX8QemvbICffEjHmxTSYtlyW-_HyI-ejKkf9xcf4","https://scholar.google.com/scholar?q=related:Eigsvn7nTG8J:scholar.google.com/&scioq=peat+%22percent+cover%22&hl=en&as_sdt=2007"
11,"A Grobe, B Tiemeyer, M Graf","Recommendations for successful establishment of Sphagnum farming on shallow highly decomposed peat",2021,"Mires and Peat 27 (2021), Nr …","repo.uni-hannover.de","https://www.repo.uni-hannover.de/handle/123456789/16592","https://scholar.google.com/scholar?cites=9049117337862695773&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-24 08:35:37","","","","",,,,,11,3.67,4,3,3,"… The percent cover, carpet thickness and dry mass of Sphagnum species was significantly higher at Provinzialmoor (rewetted prior to moss introduction) than at Drenth (rewetted after …","https://www.repo.uni-hannover.de/bitstream/handle/123456789/16592/Recommendations_for_successful_establishment.pdf?sequence=1","https://scholar.google.com/scholar?q=related:XWsiRkbslH0J:scholar.google.com/&scioq=peat+%22percent+cover%22&hl=en&as_sdt=2007"
