Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
65,"M Antala, R Juszczak, C van der Tol…","Impact of climate change-induced alterations in peatland vegetation phenology and composition on carbon balance",2022,"Science of the total …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969722013869","https://scholar.google.com/scholar?cites=15303721213020207483&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-23 11:08:13","HTML","","","",,,,,65,32.50,16,4,2,"… Peatlands belong to one of the largest carbon stores on the Earth. They are mostly … changes in the composition and phenology of peatland vegetation. Peat mosses are becoming less …","https://www.sciencedirect.com/science/article/pii/S0048969722013869","https://scholar.google.com/scholar?q=related:e_mtU1y9YdQJ:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
33,"F Koebsch, O Sonnentag, J Järveoja…","Refining the role of phenology in regulating gross ecosystem productivity across European peatlands",2020,"Global change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14905","https://scholar.google.com/scholar?cites=10146918275344371325&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-23 11:08:13","","10.1111/gcb.14905","","",,,,,33,8.25,8,4,4,"… the key role of phenology as the mediator for abiotic effects on peatland GEP. This finding … of the peatland C cycle: Under projected global warming, the C sink function of peatlands will …","https://cora.ucc.ie/bitstream/handle/10468/9275/gcb.14905.pdf?sequence=1","https://scholar.google.com/scholar?q=related:fQ7SJmkY0YwJ:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
51,"M Peichl, M Gažovič, I Vermeij, E De Goede…","Peatland vegetation composition and phenology drive the seasonal trajectory of maximum gross primary production",2018,"Scientific reports","nature.com","https://www.nature.com/articles/s41598-018-26147-4","https://scholar.google.com/scholar?cites=18380421029616486766&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-23 11:08:13","HTML","","","",,,,,51,8.50,10,5,6,"… biomass constrains the potential peatland photosynthesis while abiotic … phenology in process-based peatland models to improve predictions of global change impacts on the peatland …","https://www.nature.com/articles/s41598-018-26147-4","https://scholar.google.com/scholar?q=related:bglp9IpfFP8J:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
39,"ASE Kross, NT Roulet, TR Moore…","Phenology and its role in carbon dioxide exchange processes in northern peatlands",2014,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/2014JG002666","https://scholar.google.com/scholar?cites=1464604459625613848&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-23 11:08:13","","10.1002/2014JG002666","","",,,,,39,3.90,10,4,10,"… of annual phenological indices and absolute values of cum GPP, cum R e , and cum NEP across site years. For comparison of the phenological indices across peatlands we used …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2014JG002666","https://scholar.google.com/scholar?q=related:GApwCP9RUxQJ:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
85,"B Cole, J McMorrow, M Evans","Spectral monitoring of moorland plant phenology to identify a temporal window for hyperspectral remote sensing of peatland",2014,"ISPRS Journal of photogrammetry and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0924271614000288","https://scholar.google.com/scholar?cites=17015379435309369793&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-23 11:08:13","HTML","","","",,,,,85,8.50,28,3,10,"… phenological change for key moorland species, and to investigate suitable temporal windows for monitoring upland peatland … species sown to restore eroding peat. This was related to …","https://www.sciencedirect.com/science/article/pii/S0924271614000288","https://scholar.google.com/scholar?q=related:wQka8HHFIuwJ:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
99,"P Mäkiranta, R Laiho, L Mehtätalo…","Responses of phenology and biomass production of boreal fens to climate warming under different water‐table level regimes",2018,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.13934","https://scholar.google.com/scholar?cites=10853525119615064811&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-23 11:08:13","","10.1111/gcb.13934","","",,,,,99,16.50,25,4,6,"… Warming was associated with minor effects on phenology … The observed changes were also reflected in plant phenology, … warming and WL on peatland plant phenology and biomass …","https://erepo.uef.fi/bitstream/handle/123456789/6239/15232734481224890837.pdf?sequence=2&isAllowed=y","https://scholar.google.com/scholar?q=related:61pvg5d3n5YJ:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
18,"M Linkosalmi, JP Tuovinen, O Nevalainen…","Tracking vegetation phenology of pristine northern boreal peatlands by combining digital photography with CO2 flux and remote sensing data",2022,"…","bg.copernicus.org","https://bg.copernicus.org/preprints/bg-2022-58/","https://scholar.google.com/scholar?cites=8958527684672060300&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-23 11:08:13","","","","",,,,,18,9.00,5,4,2,"… Vegetation phenology, which refers to the seasonal changes … Phenology is also associated with the carbon dioxide (CO 2 ) … the vegetation phenology of three northern boreal peatlands …","https://bg.copernicus.org/articles/19/4747/2022/bg-19-4747-2022.pdf","https://scholar.google.com/scholar?q=related:jHthA3cVU3wJ:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
61,"VJ Lieffers, RL Rothwell","Effects of drainage on substrate temperature and phenology of some trees and shrubs in an Alberta peatland",1987,"Canadian Journal of Forest Research","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/x87-019","https://scholar.google.com/scholar?cites=17863872098086246326&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-23 11:08:13","","10.1139/x87-019","","",,,,,61,1.65,31,2,37,"… The reduction in water content in drained peat also decreases substrate heat capacity and … layers of drained peatlands therefore warm more quickly than undrained peatlands (Pessi …","","https://scholar.google.com/scholar?q=related:tldxvwY56fcJ:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
7,"Y Pang, Y Huang, L He, Y Zhou, J Sui, J Xu","Remote sensing phenology of two Chinese northern Sphagnum bogs under climate drivers during 2001 and 2018",2021,"Ecological Indicators","Elsevier","https://www.sciencedirect.com/science/article/pii/S1470160X21006336","https://scholar.google.com/scholar?cites=18013736146901030011&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-23 11:08:13","HTML","","","",,,,,7,2.33,1,6,3,"… -NDVI are proper for phenology monitoring of peatlands; the phenological parameters obtained in this study were similar to their results, that is, the peatland vegetation growing season …","https://www.sciencedirect.com/science/article/pii/S1470160X21006336","https://scholar.google.com/scholar?q=related:e1SmsZWl_fkJ:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
2,"R Garisoain, C Delire, B Decharme…","A Study of Dominant Vegetation Phenology in a Sphagnum Mountain Peatland Using In Situ and Sentinel‐2 Observations",2023,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2023JG007403","https://scholar.google.com/scholar?cites=2053309205376709681&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-23 11:08:13","","10.1029/2023JG007403","","",,,,,2,2.00,1,4,1,"… Peatlands store more than a third of the global soil organic … better simulate the dynamics of peatlands in a changing environment. … mosses LAI phenology in a mountainous peatland site (…","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2023JG007403","https://scholar.google.com/scholar?q=related:MbSE6NfRfhwJ:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
12,"L Meng, J Mao, DM Ricciuto, X Shi…","Evaluation and modification of ELM seasonal deciduous phenology against observations in a southern boreal peatland forest",2021,"Agricultural and Forest …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0168192321002409","https://scholar.google.com/scholar?cites=14437852949707915172&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-23 11:08:13","","","","",,,,,12,4.00,2,5,3,"… boreal peatland forest. In this research, we introduced new seasonal-deciduous phenology … observations at the Spruce and Peatland Responses Under Changing Environments (…","https://www.sciencedirect.com/science/article/am/pii/S0168192321002409","https://scholar.google.com/scholar?q=related:pH-qQsOOXcgJ:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
4,"S Shimada, H Takahashi, SH Limin","Hydroperiod and phenology prediction in a Central Kalimantan peat swamp forest by using MODIS data",2006,"Tropics","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/tropics/15/4/15_4_435/_article/-char/ja/","https://scholar.google.com/scholar?cites=17648107240301211851&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-23 11:08:13","","","","",,,,,4,0.22,1,3,18,"… ABSTRACT In this study, in order to monitor seasonality function in peat swamp forests by remotely sensed data; we attempted to predict the hydroperiod and phenology of a peat …","https://www.jstage.jst.go.jp/article/tropics/15/4/15_4_435/_pdf","https://scholar.google.com/scholar?q=related:yzAnCAis6vQJ:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
12,"C Cornelius, J Heinichen, M Drösler…","Impacts of temperature and water table manipulation on grassland phenology",2014,"Applied vegetation …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/avsc.12105","https://scholar.google.com/scholar?cites=11884928277453890509&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-23 11:08:13","","10.1111/avsc.12105","","",,,,,12,1.20,3,4,10,"… Thus, the aim of this study was to test whether the phenological development of plant species in a peatland ecosystem changed with higher temperatures, increased water table level or …","","https://scholar.google.com/scholar?q=related:zWOinky_76QJ:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
13,"M Ge, A Korrensalo, R Laiho, A Lohila…","Plant phenology and species‐specific traits control plant CH4 emissions in a northern boreal fen",2023,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.18798","https://scholar.google.com/scholar?cites=11202813310364699441&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-23 11:08:13","","10.1111/nph.18798","","",,,,,13,13.00,3,5,1,"… rostrata was related to plant phenology and peat temperature… responses to plant phenology and environmental factors can … the relative importance of phenology and environmental …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.18798","https://scholar.google.com/scholar?q=related:MUtOyVljeJsJ:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
51,"J Järveoja, MB Nilsson, M Gažovič…","… of the net CO2 exchange using an automated chamber system reveals plant phenology as key control of production and respiration fluxes in a boreal peatland",2018,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14292","https://scholar.google.com/scholar?cites=2922350588552563882&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-23 11:08:13","","10.1111/gcb.14292","","",,,,,51,8.50,13,4,6,"… peatland and wet tundra sites (Lund et al., 2010). Our results suggest that integration of continuous phenology metrics (eg, gcc from phenology … drivers of the various peatland C fluxes. …","","https://scholar.google.com/scholar?q=related:qkzUg2BGjigJ:scholar.google.com/&scioq=peat+phenology&hl=en&as_sdt=2007"
