Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
188,"LB Flanagan, KH Syed","Stimulation of both photosynthesis and respiration in response to warmer and drier conditions in a boreal peatland ecosystem",2011,"Global Change Biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2010.02378.x","https://scholar.google.com/scholar?cites=2275030552610424777&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-22 10:06:56","","10.1111/j.1365-2486.2010.02378.x","","",,,,,188,14.46,94,2,13,"… photosynthesis and … a peatland ecosystem has an abundance of woody plants, or is susceptible to woody plant invasion, may determine the potential for increases in photosynthesis …","https://www.academia.edu/download/69895745/j.1365-2486.2010.02378.x20210919-13926-otw1ul.pdf","https://scholar.google.com/scholar?q=related:yUeB5TuIkh8J:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
501,"AA Raghoebarsing, AJP Smolders, MC Schmid…","Methanotrophic symbionts provide carbon for photosynthesis in peat bogs",2005,"Nature","nature.com","https://www.nature.com/articles/nature03802","https://scholar.google.com/scholar?cites=5194619669978515871&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-22 10:06:56","","","","",,,,,501,26.37,125,4,19,"… cuspidatum from peat bog pools at different field locations … peat decomposition products (such as methane) as demonstrated here may mechanistically explain the paradox of peatlands …","https://repository.ubn.ru.nl/bitstream/handle/2066/32737/32737.pdf?sequence=1","https://scholar.google.com/scholar?q=related:n4lTTBH_FkgJ:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
75,"VEJ Jassey, C Signarbieux","Effects of climate warming on Sphagnum photosynthesis in peatlands depend on peat moisture and species‐specific anatomical traits",2019,"Global Change Biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14788","https://scholar.google.com/scholar?cites=13418828323850113170&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-22 10:06:56","","10.1111/gcb.14788","","",,,,,75,15.00,38,2,5,"… balance between plant C uptake through photosynthesis and microbial decomposition. Here… community photosynthesis toggles from positive to negative as the peatland goes from rainy …","https://digitale.cbnbl.org/documents/g7652.pdf","https://scholar.google.com/scholar?q=related:klAJuUNBOboJ:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
108,"J SILVOLA, H AALTONEN","Water content and photosynthesis in the peat mosses Sphagnum fuscum and S. angustifolium",1984,"Annales Botanici Fennici","JSTOR","https://www.jstor.org/stable/23726137?casa_token=I1C2HrOSeH8AAAAA:tu9HPBTxVnmbDncCMbdRDPD8GLfRVQgB0NMMCFfxva2G4je8zSQLKM_Ogim_JAWpKQ-CvoMf08zXJhLmjNBQIs-0IBXzG_mGclIgwl8_GRvg0AGuQ5RW","https://scholar.google.com/scholar?cites=18086679114748019322&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-22 10:06:56","","","","",,,,,108,2.70,54,2,40,"… Maximal net photosynthesis was achieved at water contents … Photosynthesis decreased more steeply when the water … mostly lay within the optimal range for photosynthesis, but in S. …","https://www.jstor.org/stable/pdf/23726137.pdf?casa_token=y6vuoPuCPU0AAAAA:4bRY3j4iBDaEIwcSFEcYsWxbyEU2YbpDyQQotJfb4L1kjkvHo0GWnj6DicRZahn2MEkqg6fJfVnMgfgh5NJzpNjQ7xVejSmC-JH5VULoV5ZgP6_xSiLe","https://scholar.google.com/scholar?q=related:ekII2dPKAPsJ:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
119,"WE Peat","Relationships between photosynthesis and light intensity in the tomato",1970,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/34/2/319/115826","https://scholar.google.com/scholar?cites=4856161695650640527&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-22 10:06:56","","","","",,,,,119,2.20,119,1,54,"… In the present investigation the response curves of photosynthesis to light intensity were measured in leaves of Lycopersicon esculentum Mill, cultivar Potentate, leaves of two positions …","https://www.jstor.org/stable/pdf/42908774.pdf?casa_token=YMxAQ_CMM-UAAAAA:6geo2aYxWJAhWB0gVSbsCu5yW6VxR4jEQckM62JDizy5e61SfBZaa5DQ-Idf-8VZxcE5SWtFu-i0wCQPZPIIhxNoVyYtrbfVa3sQ4HLBt9FcfqgV8KjS","https://scholar.google.com/scholar?q=related:j3IdSVWNZEMJ:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
161,"B Wallén, U Falkengren‐Grerup, N Malmer","Biomass, productivity and relative rate of photosynthesis of Sphagnum at different water levels on a South Swedish peat bog",1988,"Ecography","Wiley Online Library","https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0587.1988.tb00782.x","https://scholar.google.com/scholar?cites=6209579695906235025&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-22 10:06:56","","10.1111/j.1600-0587.1988.tb00782.x","","",,,,,161,4.47,54,3,36,"The distribution pattern of Sphagnum species on bogs follows a hummock‐hollow gradient. S. Sect. Acutifolia (that is in this study S. fuscum and S. rubellum combined) dominates …","https://www.jstor.org/stable/pdf/3682591.pdf?casa_token=j_a1gjFvVIQAAAAA:6qeAwXr-yKgemuBrHjVapXuqBpH2DPddHdXZZsOO7G4KuOMOisNbxX0tmwnNNw4Vj79IpE2OZKsg0UrmEQkFSZJrPJqOs8b7DPki7TP060eBELz1Mjk2","https://scholar.google.com/scholar?q=related:kSL4atXbLFYJ:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
10,"N Kokkonen, AM Laine, E Männistö, L Mehtätalo…","Two mechanisms drive changes in boreal peatland photosynthesis following long-term water level drawdown: Species turnover and altered photosynthetic …",2022,"Ecosystems","Springer","https://link.springer.com/article/10.1007/s10021-021-00736-3","https://scholar.google.com/scholar?cites=10984885412157133900&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-22 10:06:56","HTML","10.1007/s10021-021-00736-3","","",,,,,10,5.00,2,5,2,"… plant photosynthesis, we upscaled species-level photosynthesis measurements … peatland plant photosynthesis through two mechanisms: acclimatization of species-level photosynthetic …","https://link.springer.com/article/10.1007/s10021-021-00736-3","https://scholar.google.com/scholar?q=related:TBT_-RQncpgJ:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
104,"T Cai, LB Flanagan, KH Syed","Warmer and drier conditions stimulate respiration more than photosynthesis in a boreal peatland ecosystem: Analysis of automatic chambers and eddy covariance …",2010,"Plant, cell &environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-3040.2009.02089.x","https://scholar.google.com/scholar?cites=7482343637927435407&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-22 10:06:56","","10.1111/j.1365-3040.2009.02089.x","","",,,,,104,7.43,35,3,14,"… peat decomposition by exposing a greater volume of peat to … the balance between peatland ecosystem photosynthesis and … the changes in peatland ecosystem photosynthesis and …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1365-3040.2009.02089.x","https://scholar.google.com/scholar?q=related:j5wRQuWf1mcJ:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
80,"TR Moore, PM Lafleur, DMI Poon…","Spring photosynthesis in a cool temperate bog",2006,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2006.01247.x?casa_token=ZvIuMt8UwisAAAAA:q1UaoYa61AHJ4AWeyEGHYtU8u8GlKzhHDDO10Hz0YMxMt3T_DtdY1yPOguq8rHHRhrA-UWxhZOxX9RAf","https://scholar.google.com/scholar?cites=2751563550173473905&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-22 10:06:56","","10.1111/j.1365-2486.2006.01247.x","","",,,,,80,4.44,20,4,18,"… and growth of spring photosynthesis may have an important … not been clearly identified, especially for peatlands. We used a 5-… , their photosynthesis is independent of peat temperatures …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2486.2006.01247.x?casa_token=wwPY8MZym_IAAAAA:YWLwQ7oBb6B-1Vifahqe4Y6OeoYyAAfL0ixbfj3JS3Wcjfxl0KI-X08eTeD71pi0qHr66hL3hKzv37Zy","https://scholar.google.com/scholar?q=related:cawAcXiELyYJ:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
65,"D Massa, F Malorgio, S Lazzereschi, G Carmassi…","Evaluation of two green composts for peat substitution in geranium (Pelargonium zonale L.) cultivation: Effect on plant growth, quality, nutrition, and photosynthesis",2018,"Scientia …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304423817306416","https://scholar.google.com/scholar?cites=10204197589029414592&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-22 10:06:56","","","","",,,,,65,10.83,13,5,6,"… were evaluated for peat substitution and their … peat as the control. During the greenhouse experiment, plants were grown in five different growing media, ie only peat, 30% and 50% peat …","https://arpi.unipi.it/bitstream/11568/875770/8/HORTI-S-16-01566%20geranio.pdf","https://scholar.google.com/scholar?q=related:wOb-n6SXnI0J:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
22,"S Hamard, R Céréghino, M Barret, A Sytiuk…","Contribution of microbial photosynthesis to peatland carbon uptake along a latitudinal gradient",2021,"Journal of …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13732","https://scholar.google.com/scholar?cites=15323490382203835662&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-22 10:06:56","","10.1111/1365-2745.13732","","",,,,,22,7.33,4,5,3,"… , we investigated the diversity, absolute abundance and photosynthetic rates of … photosynthetic prokaryotic and eukaryotic operational taxonomic units (OTUs) across the five peatlands. …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.13732","https://scholar.google.com/scholar?q=related:DtVftlD5p9QJ:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
42,"A Korrensalo, P Alekseychik, T Hájek, J Rinne…","Species-specific temporal variation in photosynthesis as a moderator of peatland carbon sequestration",2017,"…","bg.copernicus.org","https://bg.copernicus.org/articles/14/257/2017/","https://scholar.google.com/scholar?cites=4030868805553166635&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-22 10:06:56","","","","",,,,,42,6.00,8,5,7,"… peatland photosynthesis is temperature limited, especially in spring; Sphagna had a high photosynthetic … with the patterns of photosynthetic productivity of a peatland site with a more …","https://bg.copernicus.org/articles/14/257/2017/bg-14-257-2017.pdf","https://scholar.google.com/scholar?q=related:Kxkze9KF8DcJ:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
77,"H Xu, L Gauthier, A Gosselin","Effects of fertigation management on growth and photosynthesis of tomato plants grown in peat, rockwool and NFT",1995,"Scientia Horticulturae","Elsevier","https://www.sciencedirect.com/science/article/pii/030442389500791Q","https://scholar.google.com/scholar?cites=2624376319123424042&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-22 10:06:56","","","","",,,,,77,2.66,26,3,29,"… plant growth and photosynthesis of tomato plants. The plants grown in peat-bags were irrigated by a potential evapotranspiration (PET) dependent irrigation system. The first peat-bag …","https://www.researchgate.net/profile/Hui-Lian-Xu/publication/223405097_Effects_of_fertigation_management_on_growth_and_photosynthesis_of_tomato_plants_grown_in_peat_rockwool_and_NFT/links/550a6fae0cf26198a63ac79c/Effects-of-fertigation-management-on-growth-and-photosynthesis-of-tomato-plants-grown-in-peat-rockwool-and-NFT.pdf","https://scholar.google.com/scholar?q=related:KoNMkluoayQJ:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
24,"T Badorek, ES Tuittila, P Ojanen…","Forest floor photosynthesis and respiration in a drained peatland forest in southern Finland",2011,"Plant Ecology & …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/17550874.2011.644344","https://scholar.google.com/scholar?cites=4244953020762731101&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-22 10:06:56","","10.1080/17550874.2011.644344","","",,,,,24,1.85,6,4,13,"… photosynthesis (P FF ) and respiration (R FF ) as a part of overall C dynamics in a drained peatland … in Finland, might have a marked role in CO 2 exchange in forested peatlands. We …","","https://scholar.google.com/scholar?q=related:XbLIGkga6ToJ:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
142,"F Bengtsson, G Granath, H Rydin","Photosynthesis, growth, and decay traits in Sphagnum – a multispecies comparison",2016,"Ecology and Evolution","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.2119","https://scholar.google.com/scholar?cites=9890168169794693625&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-22 10:06:56","","10.1002/ece3.2119","","",,,,,142,17.75,47,3,8,"… carbon sequestration in Northern Hemisphere peatlands. We investigated functional traits … and a range of peatland habitats. We measured rates of photosynthesis and decomposition in …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.2119","https://scholar.google.com/scholar?q=related:-el80YzvQIkJ:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
9,"LB Flanagan","Interacting controls on ecosystem photosynthesis and respiration in contrasting peatland ecosystems",2013,"Photosynthesis in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_14","https://scholar.google.com/scholar?cites=9382445740065815723&as_sdt=2005&sciodt=2007&hl=en",16,"2024-07-22 10:06:56","","10.1007/978-94-007-6988-5_14","","",,,,,9,0.82,9,1,11,"… Photosynthesis in Sphagnum (peat moss) and several other moss species contribute significantly to carbon gain in northern peatland ecosystems (Glenn et al. 2006; Flanagan and …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=274","https://scholar.google.com/scholar?q=related:q_z_tLAkNYIJ:scholar.google.com/&scioq=peat+photosynthesis&hl=en&as_sdt=2007"
