Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
44,"T Hájek","Physiological ecology of peatland bryophytes",2013,"Photosynthesis in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_13","https://scholar.google.com/scholar?cites=5335692331972320140&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-23 11:43:24","","10.1007/978-94-007-6988-5_13","","",,,,,44,4.00,44,1,11,"… It is evident that the organization of the Sphagnum photosynthetic tissue differs from leaves of tracheophytes, which are arranged above the ground often exposed to turbulent air that …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=254","https://scholar.google.com/scholar?q=related:jFv8_ecvDEoJ:scholar.google.com/&scioq=peat+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
9,"LB Flanagan","Interacting controls on ecosystem photosynthesis and respiration in contrasting peatland ecosystems",2013,"Photosynthesis in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_14","https://scholar.google.com/scholar?cites=9382445740065815723&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-23 11:43:24","","10.1007/978-94-007-6988-5_14","","",,,,,9,0.82,9,1,11,"… do not need to build entirely new photosynthetic tissue at the start of the growing season and … not need to develop completely new photosynthetic tissue at the beginning of each growing …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=274","https://scholar.google.com/scholar?q=related:q_z_tLAkNYIJ:scholar.google.com/&scioq=peat+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
65,"CJ Trinder, RRE Artz, D Johnson","Contribution of plant photosynthate to soil respiration and dissolved organic carbon in a naturally recolonising cutover peatland",2008,"Soil Biology and Biochemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071708000722","https://scholar.google.com/scholar?cites=10785205034270909230&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-23 11:43:24","","","","",,,,,65,4.06,22,3,16,"… Biomass of photosynthetic tissue was not a good predictor of 13 C uptake: E. angustifolium had the smallest shoot biomass but the highest absolute 13 C enrichment. Calluna showed a …","","https://scholar.google.com/scholar?q=related:LuN4Eda-rJUJ:scholar.google.com/&scioq=peat+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
110,"JL Bubier, TR Moore, G Crosby","Fine-scale vegetation distribution in a cool temperate peatland",2006,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/B06-044","https://scholar.google.com/scholar?cites=3016081263454234279&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-23 11:43:24","","10.1139/B06-044","","",,,,,110,6.11,37,3,18,"… 3a), there is no pattern, showing that there is very little variation in photosynthetic tissue along water table gradients. This is due to the opposite relationship of vascular plants and …","https://www.researchgate.net/profile/Tim-Moore-7/publication/228465979_Fine-scale_vegetation_distribution_in_a_cool_temperate_peatland/links/0f31752ded2ec9a7b1000000/Fine-scale-vegetation-distribution-in-a-cool-temperate-peatland.pdf","https://scholar.google.com/scholar?q=related:p6bm4e1F2ykJ:scholar.google.com/&scioq=peat+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
117,"KE Van Gaalen, LB Flanagan, DR Peddle","Photosynthesis, chlorophyll fluorescence and spectral reflectance in Sphagnum moss at varying water contents",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-007-0718-y","https://scholar.google.com/scholar?cites=4382278018962818220&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-23 11:43:24","","10.1007/s00442-007-0718-y","","",,,,,117,6.88,39,3,17,"… Sphagnum moss is a major species in peatland ecosystems of northern Canada and other high latitude regions. Peatland ecosystems are very important because they contain …","","https://scholar.google.com/scholar?q=related:rARI06P60DwJ:scholar.google.com/&scioq=peat+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
30,"JA Raven, D Edwards","Photosynthesis in early land plants: adapting to the terrestrial environment",2013,"Photosynthesis in bryophytes and early land …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_3","https://scholar.google.com/scholar?cites=5801348698805690036&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-23 11:43:24","","10.1007/978-94-007-6988-5_3","","",,,,,30,2.73,15,2,11,"… This provides the potential for more rapid photosynthesis per unit photosynthetic tissue and per unit nitrogen in the photosynthetic tissue. A proviso here is that many extant vascular …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=57","https://scholar.google.com/scholar?q=related:tN58mueHglAJ:scholar.google.com/&scioq=peat+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
163,"PC Harley, JD Tenhunen, KJ Murray, J Beyers","Irradiance and temperature effects on photosynthesis of tussock tundra Sphagnum mosses from the foothills of the Philip Smith Mountains, Alaska",1989,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00388485","https://scholar.google.com/scholar?cites=9547034307325767373&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-23 11:43:24","","10.1007/BF00388485","","",,,,,163,4.66,41,4,35,"… angustifolium produced from each initial g of photosynthetic tissue under willow canopies, assuming no water limitations. Although the simulation model suggests that production would …","","https://scholar.google.com/scholar?q=related:za6ewh7hfYQJ:scholar.google.com/&scioq=peat+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
0,"N Wright‐Osment, CL Staudhammer, S Oberbauer…","Recovery of metabolites via subnivean photosynthesis in Arctic tundra plants: Implications for climate change",2024,"…","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.4936","",8,"2024-07-23 11:43:24","","10.1002/ecs2.4936","","",,,,,0,0.00,0,4,1,"… Boxplot of control (unlabeled) and experimental (labeled) isotopic ratio (δ 13 C) values for the photosynthetic tissue by species over both Year 1 and Year 2 of the study. Upper and …","https://esajournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ecs2.4936","https://scholar.google.com/scholar?q=related:yBFyUcHrlSUJ:scholar.google.com/&scioq=peat+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
91,"SK Rice","Variation in carbon isotope discrimination within and among Sphagnum species in a temperate wetland",2000,"Oecologia","Springer","https://link.springer.com/article/10.1007/s004420050983","https://scholar.google.com/scholar?cites=10842418240151795838&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-23 11:43:24","","10.1007/s004420050983","","",,,,,91,3.79,91,1,24,"… recurvum stem has lower N concentrations, it has greater overall mass of photosynthetic tissue per unit surface area which leads to faster rates of growth. Also, a given mass of tissue …","","https://scholar.google.com/scholar?q=related:frh2nvEBeJYJ:scholar.google.com/&scioq=peat+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
30,"S Juutinen, TR Moore, AM Laine, JL Bubier…","Responses of the mosses Sphagnum capillifolium and Polytrichum strictum to nitrogen deposition in a bog: growth, ground cover, and CO2 exchange",2016,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjb-2015-0183","https://scholar.google.com/scholar?cites=5745408448682700621&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-23 11:43:24","","10.1139/cjb-2015-0183","","",,,,,30,3.75,6,5,8,"… found to outcompete sphagna in a peatland restoration site. … earlier finding that its distribution in peatlands is N-limited (Vitt … initiating and expanding new photosynthetic tissue. Our study …","https://tspace.library.utoronto.ca/bitstream/1807/71051/1/cjb-2015-0183.pdf","https://scholar.google.com/scholar?q=related:Ta9CKYvKu08J:scholar.google.com/&scioq=peat+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
1,"AR McClure","Plant Tissue Associated Microbial Community Composition in a Permafrost Thaw Zone",2016,"","core.ac.uk","https://core.ac.uk/download/pdf/217019437.pdf","https://scholar.google.com/scholar?cites=2799749560469133006&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-23 11:43:24","PDF","","","",,,,,1,0.13,1,1,8,"… For peat samples at the triplicate sites, peat from all three replicates was combined in one … by habitat and photosynthetic and non-photosynthetic tissue types. Asterisk indicates the a …","https://core.ac.uk/download/pdf/217019437.pdf","https://scholar.google.com/scholar?q=related:zpbRO2S12iYJ:scholar.google.com/&scioq=peat+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
203,"O Skre, WC Oechel","Moss functioning in different taiga ecosystems in interior Alaska: I. Seasonal, phenotypic, and drought effects on photosynthesis and response patterns",1981,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00346987","https://scholar.google.com/scholar?cites=64472387361437476&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-23 11:43:24","","10.1007/BF00346987","","",,,,,203,4.72,102,2,43,"… respiration rates related to growth and restoration of damaged tissue at the same time as the rates of net photosynthesis were low because of the absence of new photosynthetic tissue. …","https://www.academia.edu/download/45981021/bf0034698720160526-3099-213clb.pdf","https://scholar.google.com/scholar?q=related:JPd_cksN5QAJ:scholar.google.com/&scioq=peat+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
25,"MC Davey, JC Ellis-Evans","The influence of water content on the light climate within Antarctic mosses characterized using an optical microprobe",1996,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.1996.19.2.235","https://scholar.google.com/scholar?cites=17734401656046444106&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-23 11:43:24","","10.1179/jbr.1996.19.2.235","","",,,,,25,0.89,13,2,28,"… In many mosses the photosynthetic tissue extends to a depth well below the surface and the sub-surface … Although this may be ameliorated in the peat-forming genera (Polytrichum and …","","https://scholar.google.com/scholar?q=related:Sl6_ZFhAHfYJ:scholar.google.com/&scioq=peat+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
0,"B Peatland","The Role of Bog Plants in the Exchange of Carbon Dioxide and Water between the Atmosphere and the Mer",2001,"","library-archives.canada.ca","https://library-archives.canada.ca/eng/services/services-libraries/theses/Pages/item.aspx?idNumber=56108449","",14,"2024-07-23 11:43:24","","","","",,,,,0,0.00,0,1,23,"… Mosses are composed entirely of photosynthetic tissue and … mosses dominate peat bogs by forming peat and it's … the boundary layer around photosynthetic tissue. In vascular plants, …","https://central.bac-lac.gc.ca/.item?id=MQ78946&op=pdf&app=Library&oclc_number=56108449","https://scholar.google.com/scholar?q=related:zrULBrX2XqcJ:scholar.google.com/&scioq=peat+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
