Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
37,"O Buchner, G Neuner","Freezing cytorrhysis and critical temperature thresholds for photosystem II in the peat moss Sphagnum capillifolium",2010,"Protoplasma","Springer","https://link.springer.com/article/10.1007/s00709-009-0053-8","https://scholar.google.com/scholar?cites=3162232465103662074&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-23 08:49:21","","10.1007/s00709-009-0053-8","","",,,,,37,2.64,19,2,14,"Leaflets of Sphagnum capillifolium were exposed to temperatures from −5C to +60C under controlled conditions while mounted on a microscope stage. The resultant cytological …","https://www.researchgate.net/profile/Othmar-Buchner/publication/26266245_Freezing_cytorrhysis_and_critical_temperature_thresholds_for_photosystem_II_in_the_peat_moss_Sphagnum_capillifolium/links/0912f511d07254c9f9000000/Freezing-cytorrhysis-and-critical-temperature-thresholds-for-photosystem-II-in-the-peat-moss-Sphagnum-capillifolium.pdf","https://scholar.google.com/scholar?q=related:-iu2O6yB4isJ:scholar.google.com/&scioq=peat+photosystem&hl=en&as_sdt=2007"
22,"S Hamard, R Céréghino, M Barret, A Sytiuk…","Contribution of microbial photosynthesis to peatland carbon uptake along a latitudinal gradient",2021,"Journal of …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13732","https://scholar.google.com/scholar?cites=15323490382203835662&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-23 08:49:21","","10.1111/1365-2745.13732","","",,,,,22,7.33,4,5,3,"… in peatlands. While species turnover with environmental conditions, microbial photosynthesis similarly contributed to peatland … CO 2 per year in northern peatlands. This amount roughly …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.13732","https://scholar.google.com/scholar?q=related:DtVftlD5p9QJ:scholar.google.com/&scioq=peat+photosystem&hl=en&as_sdt=2007"
14,"M Osaki, T Kato, T Kohyama, H Takahashi…","Basic information about tropical peatland ecosystems",2021,"Tropical peatland eco …","Springer","https://link.springer.com/chapter/10.1007/978-981-33-4654-3_1","https://scholar.google.com/scholar?cites=1635816897089963116&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-23 08:49:21","","10.1007/978-981-33-4654-3_1","","",,,,,14,4.67,3,5,3,"… Peat Matter: Peat matter is composed of carbon fibers that are mostly made of lignin; therefore, peat … , the electron donor is reduced ferredoxin, generated in the light by photosystem I. …","","https://scholar.google.com/scholar?q=related:bAShDM2WsxYJ:scholar.google.com/&scioq=peat+photosystem&hl=en&as_sdt=2007"
75,"VEJ Jassey, C Signarbieux","Effects of climate warming on Sphagnum photosynthesis in peatlands depend on peat moisture and species‐specific anatomical traits",2019,"Global Change Biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14788","https://scholar.google.com/scholar?cites=13418828323850113170&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-23 08:49:21","","10.1111/gcb.14788","","",,,,,75,15.00,38,2,5,"… Both effects may be important for peatlands as the carbon (C… positive to negative as the peatland goes from rainy to dry … on Sphagnum productivity in boreal peatlands. It further confirms …","https://digitale.cbnbl.org/documents/g7652.pdf","https://scholar.google.com/scholar?q=related:klAJuUNBOboJ:scholar.google.com/&scioq=peat+photosystem&hl=en&as_sdt=2007"
164,"G Granath, J Strengbom, H Rydin","Rapid ecosystem shifts in peatlands: linking plant physiology and succession",2010,"Ecology","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/09-2267.1","https://scholar.google.com/scholar?cites=17003936337193191751&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-23 08:49:21","","10.1890/09-2267.1","","",,,,,164,11.71,55,3,14,"Stratigraphic records from peatlands suggest that the shift from a rich fen (calcareous fen) to … In this process, the invasion and expansion of acidifying bog species of Sphagnum (peat …","https://www.diva-portal.org/smash/record.jsf?pid=diva2:389940","https://scholar.google.com/scholar?q=related:R8nBCQIe-usJ:scholar.google.com/&scioq=peat+photosystem&hl=en&as_sdt=2007"
8,"S Hamard, M Küttim, R Céréghino…","Peatland microhabitat heterogeneity drives phototrophic microbe distribution and photosynthetic activity",2021,"Environmental …","Wiley Online Library","https://enviromicro-journals.onlinelibrary.wiley.com/doi/abs/10.1111/1462-2920.15779","https://scholar.google.com/scholar?cites=10040689954493560241&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-23 08:49:21","","10.1111/1462-2920.15779","","",,,,,8,2.67,2,4,3,"… moisture, light intensity) vary across peatland microhabitats. Using a natural gradient of … microbes in peatlands, as the contribution of microbial photosynthesis to peatland C uptake …","https://hal.science/hal-03429399/document","https://scholar.google.com/scholar?q=related:sfVr1VCyV4sJ:scholar.google.com/&scioq=peat+photosystem&hl=en&as_sdt=2007"
117,"KE Van Gaalen, LB Flanagan, DR Peddle","Photosynthesis, chlorophyll fluorescence and spectral reflectance in Sphagnum moss at varying water contents",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-007-0718-y","https://scholar.google.com/scholar?cites=4382278018962818220&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-23 08:49:21","","10.1007/s00442-007-0718-y","","",,,,,117,6.88,39,3,17,"… Chlorophyll fluorescence measurements of maximum photosystem II efficiency generally … species in peatland ecosystems of northern Canada and other high latitude regions. Peatland …","","https://scholar.google.com/scholar?q=related:rARI06P60DwJ:scholar.google.com/&scioq=peat+photosystem&hl=en&as_sdt=2007"
44,"T Hájek","Physiological ecology of peatland bryophytes",2013,"Photosynthesis in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_13","https://scholar.google.com/scholar?cites=5335692331972320140&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-23 08:49:21","","10.1007/978-94-007-6988-5_13","","",,,,,44,4.00,44,1,11,"… are related in peatlands and their variation in addition to light maintains bryophyte species diversity in peatlands. Habitats with low stress intensity, typically forested peatlands and wet …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=254","https://scholar.google.com/scholar?q=related:jFv8_ecvDEoJ:scholar.google.com/&scioq=peat+photosystem&hl=en&as_sdt=2007"
47,"A Rastogi, M Stróżecki, HM Kalaji, D Łuców…","Impact of warming and reduced precipitation on photosynthetic and remote sensing properties of peatland vegetation",2019,"Environmental and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0098847218316149","https://scholar.google.com/scholar?cites=15616076374136572990&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-23 08:49:21","","","","",,,,,47,9.40,9,5,5,"… The composition of peatland vegetation impacts a range of ecosystem … peatland plant communities are predicted to change. This work is focused on the response of Sphagnum peatland …","https://www.academia.edu/download/88002844/10.1016_j.envexpbot.2019.01.005.pdf","https://scholar.google.com/scholar?q=related:PszHiblyt9gJ:scholar.google.com/&scioq=peat+photosystem&hl=en&as_sdt=2007"
49,"L Kangas, L Maanavilja, T Hájek, E Juurola…","Photosynthetic traits of Sphagnum and feather moss species in undrained, drained and rewetted boreal spruce swamp forests",2014,"Ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.939","https://scholar.google.com/scholar?cites=1513499110495218807&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-23 08:49:21","","10.1002/ece3.939","","",,,,,49,4.90,10,5,10,"… In restored peatlands, recovery of carbon assimilation by peat-forming plants is a … , values of F v /F m revealed no drought stress to photosystem II values. On the contrary, F v /F m …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.939","https://scholar.google.com/scholar?q=related:d-zvEGwHARUJ:scholar.google.com/&scioq=peat+photosystem&hl=en&as_sdt=2007"
