Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
33,"R Touzi, K Omari, B Sleep, X Jiao","Scattered and received wave polarization optimization for enhanced peatland classification and fire damage assessment using polarimetric PALSAR",2018,"IEEE Journal of Selected …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8542943/","https://scholar.google.com/scholar?cites=15975650757149075344&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-23 08:48:26","","","","",,,,,33,5.50,8,4,6,"… 3) The Freeman decomposition shows that peatland scattering is dominated by surface scattering [Ps larger than the volume- (Pv ) and double-bounce-scattering (Pd)], as expected. …","","https://scholar.google.com/scholar?q=related:kCeSk7jptN0J:scholar.google.com/&scioq=peat+scattering&hl=en&as_sdt=2007"
4,"N Terry, L Slater","Gas bubble size estimation in peat soils from EM wave scattering observed with ground penetrating radar",2017,"Water Resources Research","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/2016WR019783","https://scholar.google.com/scholar?cites=5543080647472955510&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-23 08:48:26","","10.1002/2016WR019783","","",,,,,4,0.57,2,2,7,"… modeled scattering by spheres of gas in a peat bog soil, it is likely that large bubbles are not adequately represented as spheres, which may alter the anticipated scattering response. …","https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016WR019783","https://scholar.google.com/scholar?q=related:dsD3-Xr67EwJ:scholar.google.com/&scioq=peat+scattering&hl=en&as_sdt=2007"
52,"M Takada, Y Mishima, S Natsume","Estimation of surface soil properties in peatland using ALOS/PALSAR",2009,"Landscape and Ecological …","Springer","https://link.springer.com/article/10.1007/s11355-008-0061-4","https://scholar.google.com/scholar?cites=1996588140604526346&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-23 08:48:26","","10.1007/s11355-008-0061-4","","",,,,,52,3.47,17,3,15,"… clearly in the volume scattering characteristic. Applying simple … scattering characteristics of peatlands in which scattering … of surface soil characteristics in peatland using the combined …","","https://scholar.google.com/scholar?q=related:Co9941VOtRsJ:scholar.google.com/&scioq=peat+scattering&hl=en&as_sdt=2007"
47,"D Chand, O Schmid, P Gwaze…","Laboratory measurements of smoke optical properties from the burning of Indonesian peat and other types of biomass",2005,"Geophysical …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2005GL022678","https://scholar.google.com/scholar?cites=11629375941279997863&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-23 08:48:26","","10.1029/2005GL022678","","",,,,,47,2.47,12,4,19,"… of light scattering (σ sH ) at high RH (15–90%) to the light scattering (σ sD ) at low RH (<15%). The mass scattering efficiency (α s ) and mass absorption efficiency (α a ) of peat aerosols …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2005GL022678","https://scholar.google.com/scholar?q=related:p993s83XY6EJ:scholar.google.com/&scioq=peat+scattering&hl=en&as_sdt=2007"
4,"R Touzi, K Omari, B Sleep","Combination of target scattering decomposition with the optimum degree of polarization for improved classification of boreal peatlands in the Athabasca region",2014,"2014 IEEE Geoscience and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6946599/","https://scholar.google.com/scholar?cites=9179150069408579379&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-23 08:48:26","","","","",,,,,4,0.40,1,3,10,"… The scattering type phase permits an enhanced discrimination of poor fen … scattering phase, which is sensitive to peatland subsurface water flow, permit the right assessment of peat …","","https://scholar.google.com/scholar?q=related:M78Z21rkYn8J:scholar.google.com/&scioq=peat+scattering&hl=en&as_sdt=2007"
37,"D Beamish","Peat mapping associations of airborne radiometric survey data",2014,"Remote Sensing","mdpi.com","https://www.mdpi.com/2072-4292/6/1/521","https://scholar.google.com/scholar?cites=5621062265737566237&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-23 08:48:26","HTML","","","",,,,,37,3.70,37,1,10,"… It is noted that Compton scattering (incoherent scattering) is the main significant attenuation interaction at the energies discussed here. In such circumstances the linear attenuation …","https://www.mdpi.com/2072-4292/6/1/521","https://scholar.google.com/scholar?q=related:HdijWVkGAk4J:scholar.google.com/&scioq=peat+scattering&hl=en&as_sdt=2007"
20,"B Siemon, M Ibs-von Seht, S Frank","Airborne electromagnetic and radiometric peat thickness mapping of a bog in Northwest Germany (Ahlen-Falkenberger Moor)",2020,"Remote Sensing","mdpi.com","https://www.mdpi.com/2072-4292/12/2/203","https://scholar.google.com/scholar?cites=9428154424342138&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-23 08:48:26","HTML","","","",,,,,20,5.00,7,3,4,"Knowledge on peat volumes is essential to estimate carbon stocks accurately and to facilitate appropriate peatland management. This study used airborne electromagnetic and …","https://www.mdpi.com/2072-4292/12/2/203","https://scholar.google.com/scholar?q=related:erZZQ9t-IQAJ:scholar.google.com/&scioq=peat+scattering&hl=en&as_sdt=2007"
3,"M Iaukea-Lum, C Bhattarai, D Sengupta, V Samburova…","Optical characterization of fresh and photochemically aged aerosols emitted from laboratory Siberian peat burning",2022,"Atmosphere","mdpi.com","https://www.mdpi.com/2073-4433/13/3/386","https://scholar.google.com/scholar?cites=3184039254060450927&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-23 08:48:26","HTML","","","",,,,,3,1.50,1,5,2,"… and absorption efficiency contours [82] from our PASS-3 measured scattering and absorption coefficients and our SMPS particle diameter size distributions. Our results for Siberian …","https://www.mdpi.com/2073-4433/13/3/386","https://scholar.google.com/scholar?q=related:b0Qs8dT6LywJ:scholar.google.com/&scioq=peat+scattering&hl=en&as_sdt=2007"
51,"N Gatis, DJ Luscombe, D Carless, LE Parry, RM Fyfe…","Mapping upland peat depth using airborne radiometric and lidar survey data",2019,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706118303495","https://scholar.google.com/scholar?cites=5646162628874499620&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-23 08:48:26","HTML","","","",,,,,51,10.20,9,6,5,"… that there is some scatter as the data curves around the line. Modelled peat depth underestimated peat depth for the shallowest and thickest peats and overestimated peat depths for …","https://www.sciencedirect.com/science/article/pii/S0016706118303495","https://scholar.google.com/scholar?q=related:JHYmDv8yW04J:scholar.google.com/&scioq=peat+scattering&hl=en&as_sdt=2007"
58,"A Holmgren, B Nordén","Characterization of peat samples by diffuse reflectance FT-IR spectroscopy",1988,"Applied Spectroscopy","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1366/0003702884428284","https://scholar.google.com/scholar?cites=7658516819456571230&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-23 08:48:26","","10.1366/0003702884428284","","",,,,,58,1.61,29,2,36,"… ization of peat. The problem is to quantify measurements, since sample scattering, absorption, … contribution from some peat constituent to the measured FT-IR spectrum of a peat sample. …","","https://scholar.google.com/scholar?q=related:XjcQgniESGoJ:scholar.google.com/&scioq=peat+scattering&hl=en&as_sdt=2007"
