Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"R Garisoain, C Delire, B Decharme…","A Study of Dominant Vegetation Phenology in a Sphagnum Mountain Peatland Using In Situ and Sentinel‐2 Observations",2023,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2023JG007403","https://scholar.google.com/scholar?cites=2053309205376709681&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-23 11:07:32","","10.1029/2023JG007403","","",,,,,2,2.00,1,4,1,"… Sphagnum mosses are the main organisms inhabiting Northern Hemisphere peatlands. Peatlands … Thus, alpine peatlands appear as good proxies for boreal peatlands in the context of …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2023JG007403","https://scholar.google.com/scholar?q=related:MbSE6NfRfhwJ:scholar.google.com/&scioq=peat+%22shoot+area+index%22&hl=en&as_sdt=2007"
88,"B Bond-Lamberty, ST Gower","Estimation of stand-level leaf area for boreal bryophytes",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?cites=5314145550210239110&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-23 11:07:32","","10.1007/s00442-006-0619-5","","",,,,,88,5.18,44,2,17,"… They did not report these data, but imply that a total shoot area index of 2.4 was typical (Williams and Flanagan 1998), overlapping our data from the 155-year-old stand, samples from …","https://www.researchgate.net/profile/Ben-Bond-Lamberty/publication/6638447_Estimation_of_stand-level_leaf_area_for_boreal_bryophytes/links/0d1c84f90ade75a6b9000000/Estimation-of-stand-level-leaf-area-for-boreal-bryophytes.pdf","https://scholar.google.com/scholar?q=related:hgoB7Tijv0kJ:scholar.google.com/&scioq=peat+%22shoot+area+index%22&hl=en&as_sdt=2007"
28,"AP Walker, KR Carter, L Gu, PJ Hanson…","Biophysical drivers of seasonal variability in Sphagnum gross primary production in a northern temperate bog",2017,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/2016jg003711","https://scholar.google.com/scholar?cites=14540909408163584999&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-23 11:07:32","","10.1002/2016jg003711","","",,,,,28,4.00,6,5,7,"… Hereafter we refer to Sphagnum-peat CO 2 uptake as NEE while recognizing this is not true … canopy layer, ie, the cumulative shoot area index. Following Williams and Flanagan [1998], …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2016JG003711","https://scholar.google.com/scholar?q=related:59u50BCwy8kJ:scholar.google.com/&scioq=peat+%22shoot+area+index%22&hl=en&as_sdt=2007"
2,"E Jabłońska, W Kotowski, NA Soudzilovskaia","Desiccation avoidance and hummock formation traits of rich fen bryophytes",2023,"Wetlands","Springer","https://link.springer.com/article/10.1007/s13157-023-01669-4","https://scholar.google.com/scholar?cites=10676949426722999587&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-23 11:07:32","HTML","10.1007/s13157-023-01669-4","","",,,,,2,2.00,1,3,1,"… of a hummock-hollow gradient within peatlands. In samples of 10 … ), desiccation rate (K), shoot area index (SAI), canopy dry … With use of SLA values, we calculated also shoot area index (…","https://link.springer.com/article/10.1007/s13157-023-01669-4","https://scholar.google.com/scholar?q=related:I42iSO8kLJQJ:scholar.google.com/&scioq=peat+%22shoot+area+index%22&hl=en&as_sdt=2007"
26,"SK Rice, N Neal, J Mango, K Black","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-114/issue-2/0007-2745-114.2.367/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the/10.1639/0007-2745-114.2.367.short","https://scholar.google.com/scholar?cites=10331985589368611300&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-23 11:07:32","","10.1639/0007-2745-114.2.367.short","","",,,,,26,2.00,7,4,13,"… The light intensity is assumed to be a function of the leaf area index, or in our case the shoot area index (SAI), above that point as described by Beer’s Law. The relationship for light …","","https://scholar.google.com/scholar?q=related:5GHF_iaWYo8J:scholar.google.com/&scioq=peat+%22shoot+area+index%22&hl=en&as_sdt=2007"
69,"O Sonnentag, JM Chen, NT Roulet…","Spatially explicit simulation of peatland hydrology and carbon dioxide exchange: Influence of mesoscale topography",2008,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2007JG000605","https://scholar.google.com/scholar?cites=8799848711945725705&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-23 11:07:32","","10.1029/2007JG000605","","",,,,,69,4.31,17,4,16,"… in peatlands are controlled, in large part, by their wetness as defined by water table depth and volumetric liquid soil moisture content. A common type of peatland is … by the peat surface …","https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2007JG000605","https://scholar.google.com/scholar?q=related:CSe0qMdXH3oJ:scholar.google.com/&scioq=peat+%22shoot+area+index%22&hl=en&as_sdt=2007"
0,"A Johnson, A Walker, PJ Hanson…","Markov chain Monte Carlo parameter estimation for testing multiple hypotheses of the drivers of seasonality in Sphagnum gross primary production",2019,"AGU Fall Meeting …","ui.adsabs.harvard.edu","https://ui.adsabs.harvard.edu/abs/2019AGUFM.H13Q1997J/abstract","",7,"2024-07-23 11:07:32","","","","",,,,,0,0.00,0,4,5,"… carbon into peatland ecosystems, making it a central component of peatland carbon cycling. … models that represent two hypotheses - constant Shoot Area Index (SAI) and dynamic SAI. …","","https://scholar.google.com/scholar?q=related:X3iV37zNI3cJ:scholar.google.com/&scioq=peat+%22shoot+area+index%22&hl=en&as_sdt=2007"
0,"SK Rice, N Neal, J Mango, K Black","A Journal of Bryology and Lichenology",,"researchgate.net","","https://www.researchgate.net/profile/Kelly-Black-2/publication/232693413_Relationships_among_shoot_tissue_canopy_and_photosynthetic_characteristics_in_the_feathermoss_Pleurozium_schreberi/links/58d27c6792851cf4f8f5e720/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the-feathermoss-Pleurozium-schreberi.pdf","",8,"2024-07-23 11:07:32","PDF","","","",,,,,0,0.00,0,4,,"… The light intensity is assumed to be a function of the leaf area index, or in our case the shoot area index (SAI), above that point as described by Beer’s Law. The relationship for light …","https://www.researchgate.net/profile/Kelly-Black-2/publication/232693413_Relationships_among_shoot_tissue_canopy_and_photosynthetic_characteristics_in_the_feathermoss_Pleurozium_schreberi/links/58d27c6792851cf4f8f5e720/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the-feathermoss-Pleurozium-schreberi.pdf","https://scholar.google.com/scholar?q=related:kZ1QebuwzOkJ:scholar.google.com/&scioq=peat+%22shoot+area+index%22&hl=en&as_sdt=2007"
84,"T Johansson","Biomass production of Norway spruce (Picea abies (L.) Karst.) growing on abandoned farmland",1999,"Silva Fennica","Citeseer","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=3f5cd2717cb29053f83715e7d1235d8c787350bc","https://scholar.google.com/scholar?cites=9138895862912893228&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-23 11:07:32","PDF","","","",,,,,84,3.36,84,1,25,"… Gower and Norman (1991) hypothesised that the analyser measures a shoot area index in conifer stands. They proposed correcting the predictions by multiplying the estimates by a …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=3f5cd2717cb29053f83715e7d1235d8c787350bc","https://scholar.google.com/scholar?q=related:LME1DF7h034J:scholar.google.com/&scioq=peat+%22shoot+area+index%22&hl=en&as_sdt=2007"
10,"R Grau‐Andrés, P Kardol, MJ Gundale","Trait coordination in boreal mosses reveals a bryophyte economics spectrum",2022,"Journal of Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13965","https://scholar.google.com/scholar?cites=14614103669808761633&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-23 11:07:32","","10.1111/1365-2745.13965","","",,,,,10,5.00,3,3,2,"… Shoot area index SAI Area of the photosynthetic shoot sections per ground area, in cm 2 cm … area [CMA], specific shoot area [SSA], shoot area index [SAI], wet and dry bulk density [BD …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.13965","https://scholar.google.com/scholar?q=related:IQuv3du5z8oJ:scholar.google.com/&scioq=peat+%22shoot+area+index%22&hl=en&as_sdt=2007"
