Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
196,"K Schwärzel, M Renger, R Sauerbrey…","Soil physical characteristics of peat soils",2002,"… plant nutrition and soil …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/1522-2624(200208)165:4%3C479::AID-JPLN479%3E3.0.CO;2-8","https://scholar.google.com/scholar?cites=4721262215169620059&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-23 09:07:01","","10.1002/1522-2624(200208)165:4%3C479::AID-JPLN479%3E3.0.CO;2-8","","",,,,,196,8.91,49,4,22,"… peat soils show a W1 greater than 2.2, earthified peat soils 2.2 to 1.8, and strongly earthified peat soils … ), Zeitz (1992) divided the fen peat soils into substratehorizon-groups (SHG) in …","https://www.researchgate.net/profile/Gerd-Wessolek/publication/229898773_Soil_physical_characteristics_of_peat_soil/links/5a4625c6a6fdcce1971a9ac8/Soil-physical-characteristics-of-peat-soil.pdf","https://scholar.google.com/scholar?q=related:W7ioavhKhUEJ:scholar.google.com/&scioq=peat+soil&hl=en&as_sdt=2007"
459,"F Rezanezhad, JS Price, WL Quinton, B Lennartz…","Structure of peat soils and implications for water storage, flow and solute transport: A review update for geochemists",2016,"Chemical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0009254116301243","https://scholar.google.com/scholar?cites=12611072616434941625&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-23 09:07:01","HTML","","","",,,,,459,57.38,92,5,8,"… Pore sizes in undecomposed peat can exceed 5 mm, … of peat soil consists of pores that are open and connected, dead-ended or isolated. The resulting dual-porosity nature of peat soils …","https://www.sciencedirect.com/science/article/pii/S0009254116301243","https://scholar.google.com/scholar?q=related:ub5Cc7qHA68J:scholar.google.com/&scioq=peat+soil&hl=en&as_sdt=2007"
219,"Ö Berglund, K Berglund","Influence of water table level and soil properties on emissions of greenhouse gases from cultivated peat soil",2011,"Soil Biology and Biochemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071711000046","https://scholar.google.com/scholar?cites=10776491729350943466&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-23 09:07:01","","","","",,,,,219,16.85,110,2,13,"… of peat soils increase soil … fen peat soils with contrasting soil properties under a controlled water regime. The study was carried out at the university lysimeter site on undisturbed soil …","https://pub.epsilon.slu.se/id/eprint/8046/contents","https://scholar.google.com/scholar?q=related:6uLlrCHKjZUJ:scholar.google.com/&scioq=peat+soil&hl=en&as_sdt=2007"
75,"LS Wong, R Hashim, FH Ali","Strength and permeability of stabilized peat soil",2008,"Journal of Applied Sciences","researchgate.net","https://www.researchgate.net/profile/Faisal-Ali-30/publication/46029555_Strength_and_Permeability_of_Stabilized_Peat_Soil/links/557e418908aeb61eae247dfc/Strength-and-Permeability-of-Stabilized-Peat-Soil.pdf","https://scholar.google.com/scholar?cites=8069227605506078917&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-23 09:07:01","PDF","","","",,,,,75,4.69,25,3,16,"… compressive strength and initial permeability of peat soil stabilized by a mixture of Ordinary … stabilized soil properties is of great importance for the design of deep stabilization in peat …","https://www.researchgate.net/profile/Faisal-Ali-30/publication/46029555_Strength_and_Permeability_of_Stabilized_Peat_Soil/links/557e418908aeb61eae247dfc/Strength-and-Permeability-of-Stabilized-Peat-Soil.pdf","https://scholar.google.com/scholar?q=related:xTj3LcGn-28J:scholar.google.com/&scioq=peat+soil&hl=en&as_sdt=2007"
243,"BK Huat","Organic and peat soils engineering",2004,"","agris.fao.org","https://agris.fao.org/search/en/providers/122640/records/6474739a79cbb2c2c1b35c9b","https://scholar.google.com/scholar?cites=272133897332889285&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-23 09:07:01","BOOK","","","",,,,,243,12.15,243,1,20,"… or engineering of soils, this book is believed to be the first for tropical organic soils and peat. It is hoped that this book is not only useful for the engineers, but also to the soils scientists, …","","https://scholar.google.com/scholar?q=related:xZbeeVbQxgMJ:scholar.google.com/&scioq=peat+soil&hl=en&as_sdt=2007"
95,"CJ Schothorst","Drainage and behaviour of peat soils",1982,"","edepot.wur.nl","https://edepot.wur.nl/74505","https://scholar.google.com/scholar?cites=4016514312520973921&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-23 09:07:01","PDF","","","",,,,,95,2.26,95,1,42,"… Peat soils have a high organic matter content and therefore a low bulk density … peat soil profile decreases with the depth below the soil surface due to oxidation and shrinkage of the soil …","https://edepot.wur.nl/74505","https://scholar.google.com/scholar?q=related:Yb4VoXyGvTcJ:scholar.google.com/&scioq=peat+soil&hl=en&as_sdt=2007"
173,"BBK Huat, S Kazemian, A Prasad…","State of an art review of peat: General perspective",2011,"International Journal of …","academicjournals.org","https://academicjournals.org/article/article1380729210_Huat%20et%20al.pdf","https://scholar.google.com/scholar?cites=6035156895361459703&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-23 09:07:01","PDF","","","",,,,,173,13.31,43,4,13,"… pressure difference across a sample of fibrous peat soil, which is fully saturated, and … fibrous peat soil (Wong, 2005; Wong et al., 2008). Peats have very high void ratios because peat …","https://academicjournals.org/article/article1380729210_Huat%20et%20al.pdf","https://scholar.google.com/scholar?q=related:9-XEfzgvwVMJ:scholar.google.com/&scioq=peat+soil&hl=en&as_sdt=2007"
111,"C Kechavarzi, Q Dawson, M Bartlett…","The role of soil moisture, temperature and nutrient amendment on CO2 efflux from agricultural peat soil microcosms",2010,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706109000706","https://scholar.google.com/scholar?cites=5748335818592814063&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-23 09:07:01","","","","",,,,,111,7.93,28,4,14,"… peat soils for agricultural production is considered a major contribution to the rate of degradation and the loss of peat … of soil moisture, temperature and nutrient amendment on soil CO 2 …","","https://scholar.google.com/scholar?q=related:7wPhlPgwxk8J:scholar.google.com/&scioq=peat+soil&hl=en&as_sdt=2007"
22,"I Mandic-Mulec, L Ausec, T Danevcic…","Microbial community structure and function in peat soil",2014,"Food Technology and …","researchgate.net","https://www.researchgate.net/profile/Luka-Ausec/publication/281404269_Microbial_Community_Structure_and_Function_in_Peat_Soil/links/55e5733008aec74dbe73275f/Microbial-Community-Structure-and-Function-in-Peat-Soil.pdf","https://scholar.google.com/scholar?cites=7655621255652042806&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-23 09:07:01","PDF","","","",,,,,22,2.20,6,4,10,"… communities in soils including peat soils (reviewed in 12). However, despite major advances in molecular methods that have been applied to study microorganisms in the soil, our …","https://www.researchgate.net/profile/Luka-Ausec/publication/281404269_Microbial_Community_Structure_and_Function_in_Peat_Soil/links/55e5733008aec74dbe73275f/Microbial-Community-Structure-and-Function-in-Peat-Soil.pdf","https://scholar.google.com/scholar?q=related:NugRhvg6PmoJ:scholar.google.com/&scioq=peat+soil&hl=en&as_sdt=2007"
151,"R Weiss, J Alm, R Laiho, J Laine","Modeling moisture retention in peat soils",1998,"Soil Science Society of …","Wiley Online Library","https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssaj1998.03615995006200020002x","https://scholar.google.com/scholar?cites=10352962866334186870&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-23 09:07:01","","10.2136/sssaj1998.03615995006200020002x","","",,,,,151,5.81,38,4,26,"… Since the groundwater table is very close to the surface in most natural peat soils, we can conclude that n should be more precisely modeled than a or k. When the models where …","https://www.academia.edu/download/49963899/Modeling_moisture_retention_in_peat_soil20161029-6326-jkivcw.pdf","https://scholar.google.com/scholar?q=related:dr2o5N8crY8J:scholar.google.com/&scioq=peat+soil&hl=en&as_sdt=2007"
