Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
394,"PM Hayward, RS Clymo","Profiles of water content and pore size in Sphagnum and peat, and their relation to peat bog ecology",1982,"… of the Royal Society of London …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rspb.1982.0044?casa_token=MMUmX6Z_UoAAAAAA:YWRQUD74qum6ZTcmw2UaJ4BwUv_XNkdHxXm1eeqPWnG04J-D6rW8tcAKsafbCxR-Q76idVaT4zG1LPQ","https://scholar.google.com/scholar?cites=8381214870277106086&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-22 11:41:49","","10.1098/rspb.1982.0044","","",,,,,394,9.38,197,2,42,"… We used the profiles of water content in almost undisturbed cores of two … of water content were recorded non-destructively from 30 cm diameter cores of Sphagnum and underlying peat, …","https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.1982.0044?casa_token=YNv3Vo8auIgAAAAA:XA2a6YsOGsKHGWF8_8rB6wGZ2B9ysS6FIdGHlx-bv4fbh_lC8YrVvlNs6Nq49LgJtOWRMaXcwdt_h5g","https://scholar.google.com/scholar?q=related:pqkW2YQOUHQJ:scholar.google.com/&scioq=peat+%22water+content%22&hl=en&as_sdt=2007"
121,"BC O'Kelly, V Sivakumar","Water content determinations for peat and other organic soils using the oven-drying method",2014,"Drying Technology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07373937.2013.849728","https://scholar.google.com/scholar?cites=18367941323805832253&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-22 11:41:49","","10.1080/07373937.2013.849728","","",,,,,121,12.10,61,2,10,"… , we recommend that routine water content determinations on peat and other organic soils … standardized temperature ranges specified for water content determinations on inorganic soils …","https://www.tara.tcd.ie/bitstream/handle/2262/68529/2014_Water%20content%20determinations%20for%20peat%20and%20other%20organic%20soils%20using%20the%20oven-drying%20method_Drying%20Technology.pdf?sequence=1","https://scholar.google.com/scholar?q=related:PTSqBFEJ6P4J:scholar.google.com/&scioq=peat+%22water+content%22&hl=en&as_sdt=2007"
37,"VJ McBrierty, GE Wardell, CM Keely…","The characterization of water in peat",1996,"Soil Science Society …","Wiley Online Library","https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssaj1996.03615995006000040006x","https://scholar.google.com/scholar?cites=15360143754618218735&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-22 11:41:49","","10.2136/sssaj1996.03615995006000040006x","","",,,,,37,1.32,9,4,28,"… Unlike hydrated polymers, NMR estimates of the maximum amounts of bound water at low temperatures depend on overall water content, reflecting the extent to which the peat matrix …","","https://scholar.google.com/scholar?q=related:7yj0AF0xKtUJ:scholar.google.com/&scioq=peat+%22water+content%22&hl=en&as_sdt=2007"
249,"DH Boelter","Important physical properties of peat materials",1968,"… , third internationalpeat congress; 1968 August 18 …","research.fs.usda.gov","https://research.fs.usda.gov/treesearch/12921","https://scholar.google.com/scholar?cites=3078451243077621953&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-22 11:41:49","","","","",,,,,249,4.45,249,1,56,"… Sphagnum moss peat loses a large portion of its saturated water content at suctions of only … in suction will result in a significantly different water content. The data in Figure 1 show that …","https://research.fs.usda.gov/treesearch/download/12921.pdf","https://scholar.google.com/scholar?q=related:wVgAYhjbuCoJ:scholar.google.com/&scioq=peat+%22water+content%22&hl=en&as_sdt=2007"
22,"M Ponziani, EC Slob, DJM Ngan-Tillard…","Influence of water content on the electrical conductivity of peat",2011,"… Technology Journal, I …","researchgate.net","https://www.researchgate.net/profile/Dominique-Ngan-Tillard/publication/258847398_Influence_of_water_content_on_the_electrical_conductivity_of_peat/links/548980920cf268d28f0aee43/Influence-of-water-content-on-the-electrical-conductivity-of-peat.pdf","https://scholar.google.com/scholar?cites=15674070601930374705&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-22 11:41:49","PDF","","","",,,,,22,1.69,6,4,13,"… a model that can describe the electrical behaviour of peat as a function of pore-fluid conductivity and water content. The peat water content may be estimated from electrical conductivity …","https://www.researchgate.net/profile/Dominique-Ngan-Tillard/publication/258847398_Influence_of_water_content_on_the_electrical_conductivity_of_peat/links/548980920cf268d28f0aee43/Influence-of-water-content-on-the-electrical-conductivity-of-peat.pdf","https://scholar.google.com/scholar?q=related:Mf5z7Cp8hdkJ:scholar.google.com/&scioq=peat+%22water+content%22&hl=en&as_sdt=2007"
91,"E Kellner, LC Lundin","Calibration of time domain reflectometry for water content in peat soil",2001,"Hydrology Research","iwaponline.com","https://iwaponline.com/hr/article-abstract/32/4-5/315/28382","https://scholar.google.com/scholar?cites=11187301819573605194&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-22 11:41:49","","","","",,,,,91,3.96,46,2,23,"… flectometry (TDR) to measure peat water content has been explored in a few studies (eg, K. … of water content in peat soils are uncommon and soil water characteristics of peat soils are …","https://search.proquest.com/openview/364bd0e614d25edccfad2ece8385bee0/1?pq-origsite=gscholar&cbl=2044530&casa_token=yalVEhGKUGUAAAAA:7kfRtYYD2NRxT0tB4Tyb5rUL9F1DY8_okhmz7xeq7WRngG0MgC7vRXr0Ezn0vLtpXYYBj1ZOMw8","https://scholar.google.com/scholar?q=related:ShPEZrtHQZsJ:scholar.google.com/&scioq=peat+%22water+content%22&hl=en&as_sdt=2007"
173,"BBK Huat, S Kazemian, A Prasad…","State of an art review of peat: General perspective",2011,"International Journal of …","academicjournals.org","https://academicjournals.org/article/article1380729210_Huat%20et%20al.pdf","https://scholar.google.com/scholar?cites=6035156895361459703&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-22 11:41:49","PDF","","","",,,,,173,13.31,43,4,13,"… the chemical composition of peat. Naturally, peat has very high natural water content due to its … affected by the water content of peat; as the water content increase, the unit weight will …","https://academicjournals.org/article/article1380729210_Huat%20et%20al.pdf","https://scholar.google.com/scholar?q=related:9-XEfzgvwVMJ:scholar.google.com/&scioq=peat+%22water+content%22&hl=en&as_sdt=2007"
196,"LW Dekker, CJ Ritsema","Variation in water content and wetting patterns in Dutch water repellent peaty clay and clayey peat soils",1996,"Catena","Elsevier","https://www.sciencedirect.com/science/article/pii/S0341816296000471","https://scholar.google.com/scholar?cites=4970285560791600715&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-22 11:41:49","","","","",,,,,196,7.00,98,2,28,"… performed in peat soils. Therefore, the objectives of this study were to indicate the variability of soil water content over short distances in water repellent peaty clay and clayey peat soils, …","","https://scholar.google.com/scholar?q=related:S448Q2IA-kQJ:scholar.google.com/&scioq=peat+%22water+content%22&hl=en&as_sdt=2007"
284,"AT Chow, KK Tanji, S Gao, RA Dahlgren","Temperature, water content and wet–dry cycle effects on DOC production and carbon mineralization in agricultural peat soils",2006,"Soil Biology and Biochemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071705002415","https://scholar.google.com/scholar?cites=18339882936134811044&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-22 11:41:49","","","","",,,,,284,15.78,71,4,18,"… Temperature and water content effects on CO 2 and DOC productions in subsurface peat soil. Error bar represents the standard deviation of the measured values. Figure a represents …","https://www.academia.edu/download/32139256/temperature_and_water.pdf","https://scholar.google.com/scholar?q=related:pD2QjlxahP4J:scholar.google.com/&scioq=peat+%22water+content%22&hl=en&as_sdt=2007"
40,"PA Moore, MC Lukenbach, N Kettridge, RM Petrone…","Peatland water repellency: Importance of soil water content, moss species, and burn severity",2017,"Journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022169417306406","https://scholar.google.com/scholar?cites=13321618725525485057&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-22 11:41:49","","","","",,,,,40,5.71,8,5,7,"… of water content with burn status and species on the degree of water repellency in peatland … degree of water repellency of burned feathermoss peat; and 3) whether moisture retention …","https://www.researchgate.net/profile/Paul-Moore-11/publication/319961430_Peatland_Water_Repellency_Importance_of_Soil_Water_Content_Moss_Species_and_Burn_Severity/links/5acf758d0f7e9b18965b72de/Peatland-Water-Repellency-Importance-of-Soil-Water-Content-Moss-Species-and-Burn-Severity.pdf","https://scholar.google.com/scholar?q=related:AXYjYKbl37gJ:scholar.google.com/&scioq=peat+%22water+content%22&hl=en&as_sdt=2007"
