Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
515,"B. Xing","Competitive sorption between atrazine and other organic compounds in soils and model sorbents",1996,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029666789&origin=inward",1,"2024-07-23 10:06:27","Article","10.1021/es950350z","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/0029666789",30,8,2432,2440,515,18.39,515,1,28,"","",""
376,"K. Kalbitz","Changes in properties of soil-derived dissolved organic matter induced by biodegradation",2003,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071703001652","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0042203603&origin=inward",2,"2024-07-23 10:06:27","Article","10.1016/S0038-0717(03)00165-2","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/0042203603",35,8,1129,1142,376,17.90,376,1,21,"","",""
300,"A. Gonzáles","Peat as a natural solid-phase for copper preconcentration and determination in a multicommuted flow system coupled to flame atomic absorption spectrometry",2009,"Analytica Chimica Acta","","https://api.elsevier.com/content/article/eid/1-s2.0-S0003267009001494","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=60949094135&origin=inward",3,"2024-07-23 10:06:27","Article","10.1016/j.aca.2009.01.047","0003-2670","https://api.elsevier.com/content/abstract/scopus_id/60949094135",636,2,198,204,300,20.00,300,1,15,"","",""
253,"I.V. Perminova","Relationships between structure and binding affinity of humic substances for polycyclic aromatic hydrocarbons: Relevance of molecular descriptors",1999,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033216705&origin=inward",4,"2024-07-23 10:06:27","Article","10.1021/es990056x","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/0033216705",33,21,3781,3787,253,10.12,253,1,25,"","",""
247,"M.W. Haenel","Recent progress in coal structure research",1992,"Fuel","","https://api.elsevier.com/content/article/eid/1-s2.0-001623619290046Q","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000789070&origin=inward",5,"2024-07-23 10:06:27","Review","10.1016/0016-2361(92)90046-Q","0016-2361","https://api.elsevier.com/content/abstract/scopus_id/0000789070",71,11,1211,1223,247,7.72,247,1,32,"","",""
239,"F. Qin","Mechanisms of competitive adsorption of Pb, Cu, and Cd on peat",2006,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-S0269749106000613","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33748569830&origin=inward",6,"2024-07-23 10:06:27","Article","10.1016/j.envpol.2005.12.036","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/33748569830",144,2,669,680,239,13.28,239,1,18,"","",""
238,"K. Kalbitz","Spectroscopic properties of dissolved humic substances - A reflection of land use history in a fen area",1999,"Biogeochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032868669&origin=inward",7,"2024-07-23 10:06:27","Article","10.1023/A:1006134214244","0168-2563","https://api.elsevier.com/content/abstract/scopus_id/0032868669",47,2,219,238,238,9.52,238,1,25,"","",""
232,"P. Lin","Molecular Characterization of Brown Carbon in Biomass Burning Aerosol Particles",2016,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84994275862&origin=inward",8,"2024-07-23 10:06:27","Article","10.1021/acs.est.6b03024","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/84994275862",50,21,11815,11824,232,29.00,232,1,8,"","",""
215,"A. Baker","Characterization of dissolved organic matter from source to sea using fluorescence and absorbance spectroscopy",2004,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969704003237","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=4444220428&origin=inward",9,"2024-07-23 10:06:27","Article","10.1016/j.scitotenv.2004.04.013","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/4444220428",333,1,217,232,215,10.75,215,1,20,"","",""
202,"P. Moore","The future of cool temperate bogs",2002,"Environmental Conservation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036262460&origin=inward",10,"2024-07-23 10:06:27","Article","10.1017/S0376892902000024","0376-8929","https://api.elsevier.com/content/abstract/scopus_id/0036262460",29,1,3,20,202,9.18,202,1,22,"","",""
