Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
181,"S.R. Kelemen","Characterization of organically bound oxygen forms in lignites, peats, and pyrolyzed peats by X-ray photoelectron spectroscopy (XPS) and solid-state <sup>13</sup>C NMR methods",2002,"Energy and Fuels","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036864726&origin=inward",1,"2024-07-23 09:54:51","Article","10.1021/ef020050k","0887-0624","https://api.elsevier.com/content/abstract/scopus_id/0036864726",16,6,1450,1462,181,8.23,181,1,22,"","",""
136,"H. Biester","Comparison of different methods to determine the degree of peat decomposition in peat bogs",2014,"Biogeosciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84901409833&origin=inward",2,"2024-07-23 09:54:51","Article","10.5194/bg-11-2691-2014","1726-4170","https://api.elsevier.com/content/abstract/scopus_id/84901409833",11,10,2691,2707,136,13.60,136,1,10,"","",""
77,"I. Ehlers","Detecting long-term metabolic shifts using isotopomers: CO<inf>2</inf>-driven suppression of photorespiration in C<inf>3</inf> plants over the 20th century",2015,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84952684826&origin=inward",3,"2024-07-23 09:54:51","Article","10.1073/pnas.1504493112","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/84952684826",112,51,15585,15590,77,8.56,77,1,9,"","",""
76,"Y. Zhi","Sorption and desorption of anionic, cationic and zwitterionic polyfluoroalkyl substances by soil organic matter and pyrogenic carbonaceous materials",2018,"Chemical Engineering Journal","","https://api.elsevier.com/content/article/eid/1-s2.0-S1385894718306089","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045706158&origin=inward",4,"2024-07-23 09:54:51","Article","10.1016/j.cej.2018.04.042","1385-8947","https://api.elsevier.com/content/abstract/scopus_id/85045706158",346,,682,691,76,12.67,76,1,6,"","",""
64,"T. Reemtsma","Comparative investigation of low-molecular-weight fulvic acids of different origin by SEC-Q-TOF-MS: New insights into structure and formation",2005,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=18944377850&origin=inward",5,"2024-07-23 09:54:51","Article","10.1021/es0480466","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/18944377850",39,10,3507,3512,64,3.37,64,1,19,"","",""
56,"R.A. Andersson","Effect of climate change on delivery and degradation of lipid biomarkers in a Holocene peat sequence in the Eastern European Russian Arctic",2012,"Organic Geochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0146638012000952","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84869236548&origin=inward",6,"2024-07-23 09:54:51","Article","10.1016/j.orggeochem.2012.05.002","0146-6380","https://api.elsevier.com/content/abstract/scopus_id/84869236548",53,,63,72,56,4.67,56,1,12,"","",""
47,"C. Qiu","ORCHIDEE-PEAT (revision 4596), a model for northern peatland CO2, water, and energy fluxes on daily to annual scales",2018,"Geoscientific Model Development","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85041718396&origin=inward",7,"2024-07-23 09:54:51","Article","10.5194/gmd-11-497-2018","1991-959X","https://api.elsevier.com/content/abstract/scopus_id/85041718396",11,2,497,519,47,7.83,47,1,6,"","",""
26,"T. Moore","The effect of long-term fertilization on peat in an ombrotrophic bog",2019,"Geoderma","","https://api.elsevier.com/content/article/eid/1-s2.0-S0016706118322547","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062185285&origin=inward",8,"2024-07-23 09:54:51","Article","10.1016/j.geoderma.2019.02.034","0016-7061","https://api.elsevier.com/content/abstract/scopus_id/85062185285",343,,176,186,26,5.20,26,1,5,"","",""
23,"V. López-Días","Different source of n-alkanes and n-alkan-2-ones in a 6000cal. yr BP Sphagnum-rich temperate peat bog (Roñanzas, N Spain)",2013,"Organic Geochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0146638013000089","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874400089&origin=inward",9,"2024-07-23 09:54:51","Article","10.1016/j.orggeochem.2013.01.006","0146-6380","https://api.elsevier.com/content/abstract/scopus_id/84874400089",57,,7,10,23,2.09,23,1,11,"","",""
23,"Y. Zheng","Proxy value of n-alkan-2-ones in the Hongyuan peat sequence to reconstruct Holocene climate changes on the eastern margin of the Tibetan Plateau",2011,"Chemical Geology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0009254111002579","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80052260504&origin=inward",10,"2024-07-23 09:54:51","Article","10.1016/j.chemgeo.2011.06.011","0009-2541","https://api.elsevier.com/content/abstract/scopus_id/80052260504",288,3,97,104,23,1.77,23,1,13,"","",""
