Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
133,"E. Kellner","Surface energy fluxes and control of evapotranspiration from a Swedish Sphagnum mire",2001,"Agricultural and Forest Meteorology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0168192301002830","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035960984&origin=inward",1,"2024-07-23 09:55:10","Article","10.1016/S0168-1923(01)00283-0","0168-1923","https://api.elsevier.com/content/abstract/scopus_id/0035960984",110,2,101,123,133,5.78,133,1,23,"","",""
131,"L. Zribi","Application of chlorophyll fluorescence for the diagnosis of salt stress in tomato ""Solanum lycopersicum (variety Rio Grande)""",2009,"Scientia Horticulturae","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304423808004779","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=61449091431&origin=inward",2,"2024-07-23 09:55:10","Article","10.1016/j.scienta.2008.11.025","0304-4238","https://api.elsevier.com/content/abstract/scopus_id/61449091431",120,3,367,372,131,8.73,131,1,15,"","",""
130,"C.J.D. Fraser","Groundwater flow patterns in a large peatland",2001,"Journal of Hydrology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0022169401003626","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035370965&origin=inward",3,"2024-07-23 09:55:10","Article","10.1016/S0022-1694(01)00362-6","0022-1694","https://api.elsevier.com/content/abstract/scopus_id/0035370965",246,1,142,154,130,5.65,130,1,23,"","",""
127,"P.B.S. Gama","Physiological response of common bean (Phaseolus vulgaris L.) seedlings to salinity stress",2007,"African Journal of Biotechnology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33846586976&origin=inward",4,"2024-07-23 09:55:10","Article","","1684-5315","https://api.elsevier.com/content/abstract/scopus_id/33846586976",6,2,79,88,127,7.47,127,1,17,"","",""
122,"J.‐. GUEHL","Differential response of leaf conductance, carbon isotope discrimination and water‐use efficiency to nitrogen deficiency in maritime pine and pedunculate oak plants",1995,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028887895&origin=inward",5,"2024-07-23 09:55:10","Article","10.1111/j.1469-8137.1995.tb05716.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0028887895",131,2,149,157,122,4.21,122,1,29,"","",""
109,"W.E. Daulat","Effects of temperature and watertable on the efflux of methane from peatland surface cores",1998,"Atmospheric Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S1352231098000788","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032189011&origin=inward",6,"2024-07-23 09:55:10","Article","10.1016/S1352-2310(98)00078-8","1352-2310","https://api.elsevier.com/content/abstract/scopus_id/0032189011",32,19,3207,3218,109,4.19,109,1,26,"","",""
100,"Y. Kalmykova","Sorption and degradation of petroleum hydrocarbons, polycyclic aromatic hydrocarbons, alkylphenols, bisphenol A and phthalates in landfill leachate using sand, activated carbon and peat filters",2014,"Water Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S0043135414002012","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84897001694&origin=inward",7,"2024-07-23 09:55:10","Article","10.1016/j.watres.2014.03.011","0043-1354","https://api.elsevier.com/content/abstract/scopus_id/84897001694",56,,246,257,100,10.00,100,1,10,"","",""
89,"M. Papafotiou","Olive-mill wastes compost as growing medium component for the production of poinsettia",2004,"Scientia Horticulturae","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304423804000305","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=4444382788&origin=inward",8,"2024-07-23 09:55:10","Article","10.1016/j.scienta.2003.11.016","0304-4238","https://api.elsevier.com/content/abstract/scopus_id/4444382788",102,2,167,175,89,4.45,89,1,20,"","",""
78,"W. Chee","The vegatation, surface water chemistry and peat chemistry of moderate-rich fens in central Alberta, Canada",1989,"Wetlands","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0003001131&origin=inward",9,"2024-07-23 09:55:10","Article","10.1007/BF03160747","0277-5212","https://api.elsevier.com/content/abstract/scopus_id/0003001131",9,2,227,261,78,2.23,78,1,35,"","",""
61,"B. Smieja-Król","Heavy metal behaviour in peat - A mineralogical perspective",2010,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969710008934","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77958108730&origin=inward",10,"2024-07-23 09:55:10","Article","10.1016/j.scitotenv.2010.08.032","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/77958108730",408,23,5924,5931,61,4.36,61,1,14,"","",""
60,"M. Himanen","Effect of commercial mineral-based additives on composting and compost quality",2009,"Waste Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0956053X09001019","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=67349164822&origin=inward",11,"2024-07-23 09:55:10","Article","10.1016/j.wasman.2009.03.016","0956-053X","https://api.elsevier.com/content/abstract/scopus_id/67349164822",29,8,2265,2273,60,4.00,60,1,15,"","",""
59,"D.R. Elliott","Bacterial and fungal communities in a degraded ombrotrophic peatland undergoing natural and managed re-vegetation",2015,"PLoS ONE","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84929377807&origin=inward",12,"2024-07-23 09:55:10","Article","10.1371/journal.pone.0124726","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/84929377807",10,5,,,59,6.56,59,1,9,"","",""
56,"S. Admiral","Controls on latent heat flux and energy partitioning at a peat bog in eastern Canada",2006,"Agricultural and Forest Meteorology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0168192306002218","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33845216124&origin=inward",13,"2024-07-23 09:55:10","Article","10.1016/j.agrformet.2006.03.017","0168-1923","https://api.elsevier.com/content/abstract/scopus_id/33845216124",140,1,308,321,56,3.11,56,1,18,"","",""
53,"O. Sonnentag","Spatially explicit simulation of peatland hydrology and carbon dioxide exchage: Influence of mesoscale topography",2008,"Journal of Geophysical Research: Biogeosciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=51449121659&origin=inward",14,"2024-07-23 09:55:10","Article","10.1029/2007JG000605","0148-0227","https://api.elsevier.com/content/abstract/scopus_id/51449121659",113,2,,,53,3.31,53,1,16,"","",""
50,"M. Landi","Boron excess affects photosynthesis and antioxidant apparatus of greenhouse Cucurbita pepo and Cucumis sativus",2013,"Journal of Plant Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84886723508&origin=inward",15,"2024-07-23 09:55:10","Article","10.1007/s10265-013-0575-1","0918-9440","https://api.elsevier.com/content/abstract/scopus_id/84886723508",126,6,775,786,50,4.55,50,1,11,"","",""
47,"L. Latrach","Growth and nodulation of alfalfa-rhizobia symbiosis under salinity: Electrolyte leakage, stomatal conductance, and chlorophyll fluorescence",2014,"Turkish Journal of Agriculture and Forestry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84895749794&origin=inward",16,"2024-07-23 09:55:10","Article","10.3906/tar-1305-52","1300-011X","https://api.elsevier.com/content/abstract/scopus_id/84895749794",38,3,320,326,47,4.70,47,1,10,"","",""
46,"A. Kalisz","Impacts of chilling on photosynthesis and chlorophyll pigment content in juvenile basil cultivars",2016,"Horticulture Environment and Biotechnology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84984885355&origin=inward",17,"2024-07-23 09:55:10","Article","10.1007/s13580-016-0095-8","2211-3452","https://api.elsevier.com/content/abstract/scopus_id/84984885355",57,4,330,339,46,5.75,46,1,8,"","",""
46,"M. Papafotiou","Cotton gin trash compost and rice hulls as growing medium components for ornamentals",2001,"Journal of Horticultural Science and Biotechnology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034914672&origin=inward",18,"2024-07-23 09:55:10","Article","10.1080/14620316.2001.11511389","1462-0316","https://api.elsevier.com/content/abstract/scopus_id/0034914672",76,4,431,435,46,2.00,46,1,23,"","",""
44,"D. Sant","Effect of Trichoderma asperellum strain T34 on Fusarium wilt and water usage in carnation grown on compost-based growth medium",2010,"Biological Control","","https://api.elsevier.com/content/article/eid/1-s2.0-S1049964410000204","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77950339766&origin=inward",19,"2024-07-23 09:55:10","Article","10.1016/j.biocontrol.2010.01.012","1049-9644","https://api.elsevier.com/content/abstract/scopus_id/77950339766",53,3,291,296,44,3.14,44,1,14,"","",""
42,"S. Vaughn","Extracted sweet corn tassels as a renewable alternative to peat in greenhouse substrates",2011,"Industrial Crops and Products","","https://api.elsevier.com/content/article/eid/1-s2.0-S0926669010002797","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78751575849&origin=inward",20,"2024-07-23 09:55:10","Article","10.1016/j.indcrop.2010.10.034","0926-6690","https://api.elsevier.com/content/abstract/scopus_id/78751575849",33,2,514,517,42,3.23,42,1,13,"","",""
42,"J. Drexler","Fine-scale characteristics of groundwater flow in a peatland",1999,"Hydrological Processes","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033618039&origin=inward",21,"2024-07-23 09:55:10","Article","10.1002/(SICI)1099-1085(19990630)13:9<1341::AID-HYP810>3.0.CO;2-5","0885-6087","https://api.elsevier.com/content/abstract/scopus_id/0033618039",13,9,1341,1359,42,1.68,42,1,25,"","",""
