Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2905,"M. Blaauw","Flexible paleoclimate age-depth models using an autoregressive gamma process",2011,"Bayesian Analysis","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=82455219321&origin=inward",1,"2024-07-23 10:21:58","Article","10.1214/ba/1339616472","1936-0975","https://api.elsevier.com/content/abstract/scopus_id/82455219321",6,3,457,474,2905,223.46,2905,1,13,"","",""
1126,"M.W.I. Schmidt","Black carbon in soils and sediments: Analysis, distribution, implications, and current challenges",2000,"Global Biogeochemical Cycles","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033761807&origin=inward",2,"2024-07-23 10:21:58","Review","10.1029/1999GB001208","0886-6236","https://api.elsevier.com/content/abstract/scopus_id/0033761807",14,3,777,793,1126,46.92,1126,1,24,"","",""
819,"E. Matthews","Methane emission from natural wetlands: Global distribution, area, and environmental characteristics of sources",1987,"Global Biogeochemical Cycles","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84977403953&origin=inward",3,"2024-07-23 10:21:58","Article","10.1029/GB001i001p00061","0886-6236","https://api.elsevier.com/content/abstract/scopus_id/84977403953",1,1,61,86,819,22.14,819,1,37,"","",""
754,"R. Segers","Methane production and methane consumption: A review of processes underlying wetland methane fluxes",1998,"Biogeochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031943516&origin=inward",4,"2024-07-23 10:21:58","Article","10.1023/A:1005929032764","0168-2563","https://api.elsevier.com/content/abstract/scopus_id/0031943516",41,1,23,51,754,29.00,754,1,26,"","",""
718,"D.G. Kinniburgh","Ion binding to natural organic matter: Competition, heterogeneity, stoichiometry and thermodynamic consistency",1999,"Colloids and Surfaces A: Physicochemical and Engineering Aspects","","https://api.elsevier.com/content/article/eid/1-s2.0-S0927775798006372","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0345390256&origin=inward",5,"2024-07-23 10:21:58","Conference Paper","10.1016/S0927-7757(98)00637-2","0927-7757","https://api.elsevier.com/content/abstract/scopus_id/0345390256",151,1,147,166,718,28.72,718,1,25,"","",""
698,"B. Van Geel","A palaeoecological study of holocene peat bog sections in Germany and The Netherlands, based on the analysis of pollen, spores and macro- and microscopic remains of fungi, algae, cormophytes and animals",1978,"Review of Palaeobotany and Palynology","","https://api.elsevier.com/content/article/eid/1-s2.0-0034666778900404","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=49349128232&origin=inward",6,"2024-07-23 10:21:58","Article","10.1016/0034-6667(78)90040-4","0034-6667","https://api.elsevier.com/content/abstract/scopus_id/49349128232",25,1,1,120,698,15.17,698,1,46,"","",""
695,"J.W.H. Weijers","Environmental controls on bacterial tetraether membrane lipid distribution in soils",2007,"Geochimica et Cosmochimica Acta","","https://api.elsevier.com/content/article/eid/1-s2.0-S0016703706021090","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33846298913&origin=inward",7,"2024-07-23 10:21:58","Article","10.1016/j.gca.2006.10.003","0016-7037","https://api.elsevier.com/content/abstract/scopus_id/33846298913",71,3,703,713,695,40.88,695,1,17,"","",""
638,"L.P. Canellas","Humic and fulvic acids as biostimulants in horticulture",2015,"Scientia Horticulturae","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304423815301771","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84947024513&origin=inward",8,"2024-07-23 10:21:58","Review","10.1016/j.scienta.2015.09.013","0304-4238","https://api.elsevier.com/content/abstract/scopus_id/84947024513",196,,15,27,638,70.89,638,1,9,"","",""
637,"J. Côté","A generalized thermal conductivity model for soils and construction materials",2005,"Canadian Geotechnical Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=24044537597&origin=inward",9,"2024-07-23 10:21:58","Article","10.1139/t04-106","0008-3674","https://api.elsevier.com/content/abstract/scopus_id/24044537597",42,2,443,458,637,33.53,637,1,19,"","",""
481,"N.E. Keon","Validation of an arsenic sequential extraction method for evaluating mobility in sediments",2001,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035388044&origin=inward",10,"2024-07-23 10:21:58","Article","10.1021/es001511o","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/0035388044",35,13,2778,2784,481,20.91,481,1,23,"","",""
478,"C.L. Chou","Sulfur in coals: A review of geochemistry and origins",2012,"International Journal of Coal Geology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0166516212001516","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84862511243&origin=inward",11,"2024-07-23 10:21:58","Review","10.1016/j.coal.2012.05.009","0166-5162","https://api.elsevier.com/content/abstract/scopus_id/84862511243",100,,1,13,478,39.83,478,1,12,"","",""
462,"J. Xu","PEATMAP: Refining estimates of global peatland distribution based on a meta-analysis",2018,"Catena","","https://api.elsevier.com/content/article/eid/1-s2.0-S0341816217303004","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029683315&origin=inward",12,"2024-07-23 10:21:58","Article","10.1016/j.catena.2017.09.010","0341-8162","https://api.elsevier.com/content/abstract/scopus_id/85029683315",160,,134,140,462,77.00,462,1,6,"","",""
410,"S. Dai","A review of anomalous rare earth elements and yttrium in coal",2016,"International Journal of Coal Geology","","https://api.elsevier.com/content/article/eid/1-s2.0-S016651621630115X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84963568276&origin=inward",13,"2024-07-23 10:21:58","Review","10.1016/j.coal.2016.04.005","0166-5162","https://api.elsevier.com/content/abstract/scopus_id/84963568276",159,,82,95,410,51.25,410,1,8,"","",""
