Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
140,"M. Bauer","Electron transfer capacities and reaction kinetics of peat dissolved organic matter",2007,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33845987715&origin=inward",1,"2024-07-23 10:27:12","Article","10.1021/es061323j","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/33845987715",41,1,139,145,140,8.24,140,1,17,"","",""
131,"L. Zribi","Application of chlorophyll fluorescence for the diagnosis of salt stress in tomato ""Solanum lycopersicum (variety Rio Grande)""",2009,"Scientia Horticulturae","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304423808004779","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=61449091431&origin=inward",2,"2024-07-23 10:27:12","Article","10.1016/j.scienta.2008.11.025","0304-4238","https://api.elsevier.com/content/abstract/scopus_id/61449091431",120,3,367,372,131,8.73,131,1,15,"","",""
111,"N. Walpen","Electron-Donating Phenolic and Electron-Accepting Quinone Moieties in Peat Dissolved Organic Matter: Quantities and Redox Transformations in the Context of Peat Biogeochemistry",2018,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85046399148&origin=inward",3,"2024-07-23 10:27:12","Article","10.1021/acs.est.8b00594","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/85046399148",52,9,5236,5245,111,18.50,111,1,6,"","",""
86,"A. Piepenbrock","Electron transfer from humic substances to biogenic and abiogenic Fe(III) oxyhydroxide minerals",2014,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84893539078&origin=inward",4,"2024-07-23 10:27:12","Article","10.1021/es404497h","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/84893539078",48,3,1656,1664,86,8.60,86,1,10,"","",""
81,"D.A. Lipson","Metagenomic Insights into Anaerobic Metabolism along an Arctic Peat Soil Profile",2013,"PLoS ONE","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84878549008&origin=inward",5,"2024-07-23 10:27:12","Article","10.1371/journal.pone.0064659","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/84878549008",8,5,,,81,7.36,81,1,11,"","",""
79,"N. Walpen","Quantification of Phenolic Antioxidant Moieties in Dissolved Organic Matter by Flow-Injection Analysis with Electrochemical Detection",2016,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84975466020&origin=inward",6,"2024-07-23 10:27:12","Article","10.1021/acs.est.6b01120","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/84975466020",50,12,6423,6432,79,9.88,79,1,8,"","",""
56,"A. Kosakyan","Using DNA-barcoding for sorting out protist species complexes: A case study of the Nebela tincta-collaris-bohemica group (Amoebozoa; Arcellinida, Hyalospheniidae)",2013,"European Journal of Protistology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0932473912000624","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875379720&origin=inward",7,"2024-07-23 10:27:12","Article","10.1016/j.ejop.2012.08.006","0932-4739","https://api.elsevier.com/content/abstract/scopus_id/84875379720",49,2,222,237,56,5.09,56,1,11,"","",""
48,"W. Cheng","Effect of phosphate on removal of humic substances by aluminum sulfate coagulant",2004,"Journal of Colloid and Interface Science","","https://api.elsevier.com/content/article/eid/1-s2.0-S0021979703008658","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1242293054&origin=inward",8,"2024-07-23 10:27:12","Article","10.1016/j.jcis.2003.08.074","0021-9797","https://api.elsevier.com/content/abstract/scopus_id/1242293054",272,1,153,157,48,2.40,48,1,20,"","",""
46,"E.S. Friedman","A cost-effective and field-ready potentiostat that poises subsurface electrodes to monitor bacterial respiration",2012,"Biosensors and Bioelectronics","","https://api.elsevier.com/content/article/eid/1-s2.0-S0956566311008086","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84855816886&origin=inward",9,"2024-07-23 10:27:12","Article","10.1016/j.bios.2011.12.013","0956-5663","https://api.elsevier.com/content/abstract/scopus_id/84855816886",32,1,309,313,46,3.83,46,1,12,"","",""
35,"A. Andosch","Subcellular sequestration and impact of heavy metals on the ultrastructure and physiology of the multicellular freshwater alga Desmidium swartzii",2015,"International Journal of Molecular Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84929353024&origin=inward",10,"2024-07-23 10:27:12","Article","10.3390/ijms160510389","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/84929353024",16,5,10389,10410,35,3.89,35,1,9,"","",""
