Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
123,"H. Moor","Towards a trait-based ecology of wetland vegetation",2017,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85011675493&origin=inward",1,"2024-07-23 09:57:22","Review","10.1111/1365-2745.12734","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/85011675493",105,6,1623,1635,123,17.57,123,1,7,"","",""
100,"F. Bengtsson","Photosynthesis, growth, and decay traits in Sphagnum - a multispecies comparison",2016,"Ecology and Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84963744619&origin=inward",2,"2024-07-23 09:57:22","Article","10.1002/ece3.2119","2045-7758","https://api.elsevier.com/content/abstract/scopus_id/84963744619",6,10,3325,3341,100,12.50,100,1,8,"","",""
63,"M. Gałka","Unveiling exceptional Baltic bog ecohydrology, autogenic succession and climate change during the last 2000 years in CE Europe using replicate cores, multi-proxy data and functional traits of testate amoebae",2017,"Quaternary Science Reviews","","https://api.elsevier.com/content/article/eid/1-s2.0-S0277379116306072","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85001949429&origin=inward",3,"2024-07-23 09:57:22","Article","10.1016/j.quascirev.2016.11.034","0277-3791","https://api.elsevier.com/content/abstract/scopus_id/85001949429",156,,90,106,63,9.00,63,1,7,"","",""
62,"K. Marcisz","A novel testate amoebae trait-based approach to infer environmental disturbance in Sphagnum peatlands",2016,"Scientific Reports","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84988640504&origin=inward",4,"2024-07-23 09:57:22","Article","10.1038/srep33907","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/84988640504",6,,,,62,7.75,62,1,8,"","",""
60,"G. Bhullar","Variation in the plant-mediated methane transport and its importance for methane emission from intact wetland peat mesocosms",2013,"Journal of Plant Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880732221&origin=inward",5,"2024-07-23 09:57:22","Article","10.1093/jpe/rts045","1752-9921","https://api.elsevier.com/content/abstract/scopus_id/84880732221",6,4,298,304,60,5.45,60,1,11,"","",""
58,"P. Dörsch","Community-specific pH response of denitrification: Experiments with cells extracted from organic soils",2012,"FEMS Microbiology Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84855258322&origin=inward",6,"2024-07-23 09:57:22","Article","10.1111/j.1574-6941.2011.01233.x","0168-6496","https://api.elsevier.com/content/abstract/scopus_id/84855258322",79,2,530,541,58,4.83,58,1,12,"","",""
56,"M.G. Johnson","Evolution of niche preference in Sphagnum peat mosses",2015,"Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84925374423&origin=inward",7,"2024-07-23 09:57:22","Article","10.1111/evo.12547","0014-3820","https://api.elsevier.com/content/abstract/scopus_id/84925374423",69,1,90,103,56,6.22,56,1,9,"","",""
53,"A. Jonathan Shaw","Organellar phylogenomics of an emerging model system: Sphagnum (peatmoss)",2016,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84982166211&origin=inward",8,"2024-07-23 09:57:22","Article","10.1093/aob/mcw086","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/84982166211",118,2,185,196,53,6.63,53,1,8,"","",""
48,"B. Fournier","Functional traits as a new approach for interpreting testate amoeba palaeo-records in peatlands and assessing the causes and consequences of past changes in species composition",2015,"Holocene","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84939552583&origin=inward",9,"2024-07-23 09:57:22","Article","10.1177/0959683615585842","0959-6836","https://api.elsevier.com/content/abstract/scopus_id/84939552583",25,9,1375,1383,48,5.33,48,1,9,"","",""
42,"O.O. Osunkoya","Longevity, lignin content and construction cost of the assimilatory organs of Nepenthes species",2008,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=54249099510&origin=inward",10,"2024-07-23 09:57:22","Article","10.1093/aob/mcn162","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/54249099510",102,5,845,853,42,2.63,42,1,16,"","",""
40,"R. Del Giudice","Short-term leaching dynamics of three peatland plant species reveals how shifts in plant communities may affect decomposition processes",2017,"Geoderma","","https://api.elsevier.com/content/article/eid/1-s2.0-S0016706116305079","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84989158635&origin=inward",11,"2024-07-23 09:57:22","Article","10.1016/j.geoderma.2016.09.028","0016-7061","https://api.elsevier.com/content/abstract/scopus_id/84989158635",285,,110,116,40,5.71,40,1,7,"","",""
34,"A.M. Laine","Functional diversity and trait composition of vascular plant and Sphagnum moss communities during peatland succession across land uplift regions",2021,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85101455497&origin=inward",12,"2024-07-23 09:57:22","Article","10.1111/1365-2745.13601","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/85101455497",109,4,1774,1789,34,11.33,34,1,3,"","",""
27,"S. van Bellen","Testate amoeba records indicate regional 20th-century lowering of water tables in ombrotrophic peatlands in central-northern Alberta, Canada",2018,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045377508&origin=inward",13,"2024-07-23 09:57:22","Article","10.1111/gcb.14143","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/85045377508",24,7,2758,2774,27,4.50,27,1,6,"","",""
27,"S. van Bellen","An alternative approach to transfer functions? Testing the performance of a functional trait-based model for testate amoebae",2017,"Palaeogeography, Palaeoclimatology, Palaeoecology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0031018216304886","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85018502030&origin=inward",14,"2024-07-23 09:57:22","Article","10.1016/j.palaeo.2016.12.005","0031-0182","https://api.elsevier.com/content/abstract/scopus_id/85018502030",468,,173,183,27,3.86,27,1,7,"","",""
26,"B. Mariotti","Coconut coir as a sustainable nursery growing media for seedling production of the ecologically diverse quercus species",2020,"Forests","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085517674&origin=inward",15,"2024-07-23 09:57:22","Article","10.3390/F11050522","1999-4907","https://api.elsevier.com/content/abstract/scopus_id/85085517674",11,5,,,26,6.50,26,1,4,"","",""
26,"A. Mazziotta","Scaling functional traits to ecosystem processes: Towards a mechanistic understanding in peat mosses",2019,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061478986&origin=inward",16,"2024-07-23 09:57:22","Article","10.1111/1365-2745.13110","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/85061478986",107,2,843,859,26,5.20,26,1,5,"","",""
25,"J. Palozzi","Boreal peat properties link to plant functional traits of ecosystem engineers",2017,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019690927&origin=inward",17,"2024-07-23 09:57:22","Article","10.1007/s11104-017-3291-0","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/85019690927",418,1,277,291,25,3.57,25,1,7,"","",""
25,"A. Taillefer","Community assembly of Diptera following restoration of mined boreal bogs: Taxonomic and functional diversity",2012,"Journal of Insect Conservation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858155754&origin=inward",18,"2024-07-23 09:57:22","Article","10.1007/s10841-011-9403-x","1366-638X","https://api.elsevier.com/content/abstract/scopus_id/84858155754",16,2,165,176,25,2.08,25,1,12,"","",""
24,"E. Krab","How extreme is an extreme climatic event to a subarctic peatland springtail community?",2013,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071712004804","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84873122692&origin=inward",19,"2024-07-23 09:57:22","Article","10.1016/j.soilbio.2012.12.012","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/84873122692",59,,16,24,24,2.18,24,1,11,"","",""
22,"V. Krashevska","Testate Amoeba Species- and Trait-Based Transfer Functions for Reconstruction of Hydrological Regime in Tropical Peatland of Central Sumatra, Indonesia",2020,"Frontiers in Ecology and Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088794723&origin=inward",20,"2024-07-23 09:57:22","Article","10.3389/fevo.2020.00225","2296-701X","https://api.elsevier.com/content/abstract/scopus_id/85088794723",8,,,,22,5.50,22,1,4,"","",""
21,"K. Marcisz","Exceptional hydrological stability of a Sphagnum-dominated peatland over the late Holocene",2020,"Quaternary Science Reviews","","https://api.elsevier.com/content/article/eid/1-s2.0-S0277379119310856","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078252543&origin=inward",21,"2024-07-23 09:57:22","Article","10.1016/j.quascirev.2020.106180","0277-3791","https://api.elsevier.com/content/abstract/scopus_id/85078252543",231,,,,21,5.25,21,1,4,"","",""
20,"E. Forey","Inoculation of an ecosystem engineer (Earthworm: Lumbricus terrestris) during experimental grassland restoration: Consequences for above and belowground soil compartments",2018,"Applied Soil Ecology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0929139317308302","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85044760164&origin=inward",22,"2024-07-23 09:57:22","Article","10.1016/j.apsoil.2017.12.021","0929-1393","https://api.elsevier.com/content/abstract/scopus_id/85044760164",125,,148,155,20,3.33,20,1,6,"","",""
18,"E. Sieben","Plant functional composition and ecosystem properties: The case of peatlands in South Africa",2012,"Plant Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84859755304&origin=inward",23,"2024-07-23 09:57:22","Article","10.1007/s11258-012-0043-3","1385-0237","https://api.elsevier.com/content/abstract/scopus_id/84859755304",213,5,809,820,18,1.50,18,1,12,"","",""
16,"B.T. Piatkowski","Functional trait evolution in Sphagnum peat mosses and its relationship to niche construction",2019,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065044385&origin=inward",24,"2024-07-23 09:57:22","Article","10.1111/nph.15825","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/85065044385",223,2,939,949,16,3.20,16,1,5,"","",""
15,"E.J. Krab","Northern peatland Collembola communities unaffected by three summers of simulated extreme precipitation",2014,"Applied Soil Ecology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0929139314000821","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84897935671&origin=inward",25,"2024-07-23 09:57:22","Article","10.1016/j.apsoil.2014.03.007","0929-1393","https://api.elsevier.com/content/abstract/scopus_id/84897935671",79,,70,76,15,1.50,15,1,10,"","",""
14,"C.H. Watts","If we build - they mostly come: Partial functional recovery but persistent compositional differences in wetland beetle community restoration",2015,"Restoration Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84941599015&origin=inward",26,"2024-07-23 09:57:22","Article","10.1111/rec.12227","1061-2971","https://api.elsevier.com/content/abstract/scopus_id/84941599015",23,5,555,565,14,1.56,14,1,9,"","",""
13,"K. Merriam","Livestock exclusion alters plant species composition in fen meadows",2018,"Applied Vegetation Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85030150069&origin=inward",27,"2024-07-23 09:57:22","Article","10.1111/avsc.12333","1402-2001","https://api.elsevier.com/content/abstract/scopus_id/85030150069",21,1,3,11,13,2.17,13,1,6,"","",""
12,"H. Zhang","Recent Changes in Peatland Testate Amoeba Functional Traits and Hydrology Within a Replicated Site Network in Northwestern Québec, Canada",2020,"Frontiers in Ecology and Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088537614&origin=inward",28,"2024-07-23 09:57:22","Article","10.3389/fevo.2020.00228","2296-701X","https://api.elsevier.com/content/abstract/scopus_id/85088537614",8,,,,12,3.00,12,1,4,"","",""
11,"A.J. Shaw","Phylogenomic structure and speciation in an emerging model: the Sphagnum magellanicum complex (Bryophyta)",2022,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85137034353&origin=inward",29,"2024-07-23 09:57:22","Article","10.1111/nph.18429","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/85137034353",236,4,1497,1511,11,5.50,11,1,2,"","",""
11,"S.W. Smith","Tree species that ‘live slow, die older’ enhance tropical peat swamp restoration: Evidence from a systematic review",2022,"Journal of Applied Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134406022&origin=inward",30,"2024-07-23 09:57:22","Review","10.1111/1365-2664.14232","0021-8901","https://api.elsevier.com/content/abstract/scopus_id/85134406022",59,8,1950,1966,11,5.50,11,1,2,"","",""
11,"F.M. Usero","Effects of soil microbial communities associated to different soil fertilization practices on tomato growth in intensive greenhouse agriculture",2021,"Applied Soil Ecology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0929139321000172","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100027055&origin=inward",31,"2024-07-23 09:57:22","Article","10.1016/j.apsoil.2021.103896","0929-1393","https://api.elsevier.com/content/abstract/scopus_id/85100027055",162,,,,11,3.67,11,1,3,"","",""
11,"E. Jabłońska","Alleviation of Plant Stress Precedes Termination of Rich Fen Stages in Peat Profiles of Lowland Mires",2020,"Ecosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073825246&origin=inward",32,"2024-07-23 09:57:22","Article","10.1007/s10021-019-00437-y","1432-9840","https://api.elsevier.com/content/abstract/scopus_id/85073825246",23,4,730,740,11,2.75,11,1,4,"","",""
10,"W. Konings","Comparison of plant traits of sedges, shrubs and Sphagnum mosses between sites undergoing forest-to-bog restoration and near-natural open blanket bog: A pilot study",2018,"Mires and Peat","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065741048&origin=inward",33,"2024-07-23 09:57:22","Article","10.19189/MaP.2017.OMB.307","1819-754X","https://api.elsevier.com/content/abstract/scopus_id/85065741048",23,,,,10,1.67,10,1,6,"","",""
9,"D. Bysouth","Linking testate amoeba assemblages to paleohydrology and ecosystem function in Holocene peat records from the Hudson Bay Lowlands, Ontario, Canada",2021,"Holocene","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096287412&origin=inward",34,"2024-07-23 09:57:22","Article","10.1177/0959683620972792","0959-6836","https://api.elsevier.com/content/abstract/scopus_id/85096287412",31,3,457,468,9,3.00,9,1,3,"","",""
8,"K. Marcisz","Past testate amoeba communities in landslide mountain fens (Polish Carpathians): The relationship between shell types and sediment",2021,"Holocene","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85101116366&origin=inward",35,"2024-07-23 09:57:22","Article","10.1177/0959683621994647","0959-6836","https://api.elsevier.com/content/abstract/scopus_id/85101116366",31,6,954,965,8,2.67,8,1,3,"","",""
7,"A.M. Laine","Plant functional traits play the second fiddle to plant functional types in explaining peatland CO<inf>2</inf> and CH<inf>4</inf> gas exchange",2022,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969722024457","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85129005815&origin=inward",36,"2024-07-23 09:57:22","Article","10.1016/j.scitotenv.2022.155352","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/85129005815",834,,,,7,3.50,7,1,2,"","",""
7,"A. Schibalski","Spatiotemporally explicit prediction of future ecosystem service provisioning in response to climate change, sea level rise, and adaptation strategies",2022,"Ecosystem Services","","https://api.elsevier.com/content/article/eid/1-s2.0-S2212041622000109","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125129501&origin=inward",37,"2024-07-23 09:57:22","Article","10.1016/j.ecoser.2022.101414","2212-0416","https://api.elsevier.com/content/abstract/scopus_id/85125129501",54,,,,7,3.50,7,1,2,"","",""
7,"S. Schwieger","Root biomass and root traits of Alnus glutinosa show size-dependent and opposite patterns in a drained and a rewetted forest peatland",2021,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85102090569&origin=inward",38,"2024-07-23 09:57:22","Article","10.1093/aob/mcaa195","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/85102090569",127,3,337,346,7,2.33,7,1,3,"","",""
7,"A. Ooms","Species richness and functional diversity of isopod communities vary across an urbanisation gradient, but the direction and strength depend on soil type",2020,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071720301486","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086382203&origin=inward",39,"2024-07-23 09:57:22","Article","10.1016/j.soilbio.2020.107851","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/85086382203",148,,,,7,1.75,7,1,4,"","",""
7,"X. Zhu","Sphagnum outcompetes feathermosses in their photosynthetic adaptation to postharvest black spruce forests",2019,"Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075244122&origin=inward",40,"2024-07-23 09:57:22","Article","10.1139/cjb-2019-0076","1916-2804","https://api.elsevier.com/content/abstract/scopus_id/85075244122",97,11,585,597,7,1.40,7,1,5,"","",""
5,"B. Palla","Wood anatomical traits reveal different structure of peat bog and lowland populations of pinus sylvestris l. in the carpathian region",2021,"Forests","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105202947&origin=inward",41,"2024-07-23 09:57:22","Article","10.3390/f12040494","1999-4907","https://api.elsevier.com/content/abstract/scopus_id/85105202947",12,4,,,5,1.67,5,1,3,"","",""
4,"A. Gicquel","Understanding the fate and linkage of N and S in earthworm-engineered peat soil by coupling stable isotopes and nano-scale secondary ion mass spectrometry",2013,"Biogeochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874693809&origin=inward",42,"2024-07-23 09:57:22","Article","10.1007/s10533-012-9714-3","0168-2563","https://api.elsevier.com/content/abstract/scopus_id/84874693809",112,1,165,177,4,0.36,4,1,11,"","",""
3,"W.N. Lam","Habitat Adaptation Mediates the Influence of Leaf Traits on Canopy Productivity: Evidence from a Tropical Freshwater Swamp Forest",2022,"Ecosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114803737&origin=inward",43,"2024-07-23 09:57:22","Article","10.1007/s10021-021-00697-7","1432-9840","https://api.elsevier.com/content/abstract/scopus_id/85114803737",25,5,1006,1019,3,1.50,3,1,2,"","",""
3,"T. Hájek","Interlinking moss functional traits. A commentary on: ‘Mechanisms behind species-specific water economy responses to water level drawdown in peat mosses’",2020,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088677209&origin=inward",44,"2024-07-23 09:57:22","Article","10.1093/aob/mcaa108","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/85088677209",126,2,231,243,3,0.75,3,1,4,"","",""
2,"A.L. Decombeix","Functional Significance of Cambial Development in Vertebraria Roots: How Do Unusual Xylem Traits Serve Life at a High Latitude?",2018,"Transformative Paleobotany: Papers to Commemorate the Life and Legacy of Thomas N. Taylor","","https://api.elsevier.com/content/article/eid/3-s2.0-B9780128130124000267","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059961873&origin=inward",45,"2024-07-23 09:57:22","Book Chapter","10.1016/B978-0-12-813012-4.00026-7","","https://api.elsevier.com/content/abstract/scopus_id/85059961873",,,629,643,2,0.33,2,1,6,"","",""
1,"J. Yang","Responses of leaf functional traits to water depth gradient in Zoige typical alpine wetland",2023,"Chinese Journal of Applied and Environmental Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85158075610&origin=inward",46,"2024-07-23 09:57:22","Article","10.19675/j.cnki.1006-687x.2021.12029","1006-687X","https://api.elsevier.com/content/abstract/scopus_id/85158075610",29,1,102,108,1,1.00,1,1,1,"","",""
1,"N.G. Koronatova","Weather Factors in Different Growing Periods Determine Inter-Annual Change in Growth of Four Sphagnum Species: Evidence from an Eight-Year Study",2022,"Wetlands","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85143069799&origin=inward",47,"2024-07-23 09:57:22","Article","10.1007/s13157-022-01636-5","0277-5212","https://api.elsevier.com/content/abstract/scopus_id/85143069799",42,8,,,1,0.50,1,1,2,"","",""
1,"O. Kuuri-Riutta","Literature review on testate amoebae as environmental indicators and as a functional part of the microbial community in northern peatlands",2022,"Mires and Peat","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85139973657&origin=inward",48,"2024-07-23 09:57:22","Article","10.19189/MaP.2022.OMB.StA.2412","1819-754X","https://api.elsevier.com/content/abstract/scopus_id/85139973657",28,,,,1,0.50,1,1,2,"","",""
1,"M.A. Davies","Holocene carbon storage and testate amoeba community structure in treed peatlands of the western Hudson Bay Lowlands margin, Canada",2023,"Journal of Quaternary Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85135585152&origin=inward",49,"2024-07-23 09:57:22","Article","10.1002/jqs.3465","0267-8179","https://api.elsevier.com/content/abstract/scopus_id/85135585152",38,1,92,106,1,1.00,1,1,1,"","",""
0,"M. Berggren","Climate Impact on Dissolved Organic Carbon Composition in a North-Temperate Peatland and Recipient Surface Water",2024,"Journal of Geophysical Research: Biogeosciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85195522057&origin=inward",50,"2024-07-23 09:57:22","Article","10.1029/2023JG007807","2169-8953","https://api.elsevier.com/content/abstract/scopus_id/85195522057",129,6,,,0,0.00,0,1,1,"","",""
