Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
732,"K.B. Gedan","The present and future role of coastal wetland vegetation in protecting shorelines: Answering recent challenges to the paradigm",2011,"Climatic Change","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79953754487&origin=inward",1,"2024-07-23 11:05:37","Review","10.1007/s10584-010-0003-7","0165-0009","https://api.elsevier.com/content/abstract/scopus_id/79953754487",106,1,7,29,732,56.31,732,1,13,"","",""
342,"D.R. Cahoon","Mass tree mortality leads to mangrove peat collapse at Bay Islands, Honduras after Hurricane Mitch",2003,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0347382760&origin=inward",2,"2024-07-23 11:05:37","Article","10.1046/j.1365-2745.2003.00841.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/0347382760",91,6,1093,1105,342,16.29,342,1,21,"","",""
297,"L. Belyea","Carbon sequestration in peatland: Patterns and mechanisms of response to climate change",2004,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=3242706576&origin=inward",3,"2024-07-23 11:05:37","Article","10.1111/j.1529-8817.2003.00783.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/3242706576",10,7,1043,1052,297,14.85,297,1,20,"","",""
283,"L.R. Belyea","Beyond ""the limits to peat bog growth"": Cross-scale feedback in peatland development",2006,"Ecological Monographs","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33747060753&origin=inward",4,"2024-07-23 11:05:37","Review","10.1890/0012-9615(2006)076[0299:BTLTPB]2.0.CO;2","0012-9615","https://api.elsevier.com/content/abstract/scopus_id/33747060753",76,3,299,322,283,15.72,283,1,18,"","",""
268,"M.G. Grosswald","Late Weichselian ice sheet of Northern Eurasia",1980,"Quaternary Research","","https://api.elsevier.com/content/article/eid/1-s2.0-0033589480900800","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0018914372&origin=inward",5,"2024-07-23 11:05:37","Article","10.1016/0033-5894(80)90080-0","0033-5894","https://api.elsevier.com/content/abstract/scopus_id/0018914372",13,1,1,32,268,6.09,268,1,44,"","",""
255,"D. Desilets","Nature's neutron probe: Land surface hydrology at an elusive scale with cosmic rays",2010,"Water Resources Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78249283570&origin=inward",6,"2024-07-23 11:05:37","Article","10.1029/2009WR008726","0043-1397","https://api.elsevier.com/content/abstract/scopus_id/78249283570",46,11,,,255,18.21,255,1,14,"","",""
241,"J. Bubier","Ecological controls on methane emissions from a Northern Peatland Complex in the zone of discontinuous permafrost, Manitoba, Canada",1995,"Global Biogeochemical Cycles","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029505190&origin=inward",7,"2024-07-23 11:05:37","Article","10.1029/95GB02379","0886-6236","https://api.elsevier.com/content/abstract/scopus_id/0029505190",9,4,455,470,241,8.31,241,1,29,"","",""
219,"C. Harbitz","Model simulations of tsunamis generated by the Storegga Slides",1992,"Marine Geology","","https://api.elsevier.com/content/article/eid/1-s2.0-002532279290178K","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026475763&origin=inward",8,"2024-07-23 11:05:37","Article","10.1016/0025-3227(92)90178-K","0025-3227","https://api.elsevier.com/content/abstract/scopus_id/0026475763",105,1,1,21,219,6.84,219,1,32,"","",""
192,"C. Freeman","Fluxes of CO<inf>2</inf>, CH<inf>4</inf> and N<inf>2</inf>O from a Welsh peatland following simulation of water table draw-down: Potential feedback to climatic change",1992,"Biogeochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027388108&origin=inward",9,"2024-07-23 11:05:37","Article","10.1007/BF00000574","0168-2563","https://api.elsevier.com/content/abstract/scopus_id/0027388108",19,1,51,60,192,6.00,192,1,32,"","",""
183,"O. Kleifeld","Trichoderma harzianum-interaction with plants and effect on growth response",1992,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027093189&origin=inward",10,"2024-07-23 11:05:37","Article","10.1007/BF00012884","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/0027093189",144,2,267,272,183,5.72,183,1,32,"","",""
170,"S.F. Vaughn","Comparison of biochars derived from wood pellets and pelletized wheat straw as replacements for peat in potting substrates",2013,"Industrial Crops and Products","","https://api.elsevier.com/content/article/eid/1-s2.0-S0926669013005621","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84886816063&origin=inward",11,"2024-07-23 11:05:37","Article","10.1016/j.indcrop.2013.10.010","0926-6690","https://api.elsevier.com/content/abstract/scopus_id/84886816063",51,,437,443,170,15.45,170,1,11,"","",""
162,"F. Worrall","Carbon budget for a British upland peat catchment",2003,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969703002262","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037626969&origin=inward",12,"2024-07-23 11:05:37","Article","10.1016/S0048-9697(03)00226-2","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/0037626969",312,1,133,146,162,7.71,162,1,21,"","",""
157,"E. Balnois","Atomic force microscopy of humic substances: Effects of pH and ionic strength",1999,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033231343&origin=inward",13,"2024-07-23 11:05:37","Article","10.1021/es990365n","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/0033231343",33,21,3911,3917,157,6.28,157,1,25,"","",""
