Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1343,"D. Sisti","In vitro mycorrhizal synthesis of micropropagated Tilia platyphyllos Scop. plantlets with Tuber borchii Vittad. mycelium in pure culture",1998,"Acta Horticulturae","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000778479&origin=inward",1,"2024-07-23 10:04:18","Article","10.17660/actahortic.1998.457.47","0567-7572","https://api.elsevier.com/content/abstract/scopus_id/0000778479",457,,379,387,1343,51.65,1343,1,26,"","",""
602,"N. van Breemen","How Sphagnum bogs down other plants",1995,"Trends in Ecology &amp; Evolution","","https://api.elsevier.com/content/article/eid/1-s2.0-0169534795900071","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028975641&origin=inward",2,"2024-07-23 10:04:18","Review","10.1016/0169-5347(95)90007-1","0169-5347","https://api.elsevier.com/content/abstract/scopus_id/0028975641",10,7,270,275,602,20.76,602,1,29,"","",""
551,"S.Y. Lee","Ecological role and services of tropical mangrove ecosystems: A reassessment",2014,"Global Ecology and Biogeography","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84902120158&origin=inward",3,"2024-07-23 10:04:18","Article","10.1111/geb.12155","1466-822X","https://api.elsevier.com/content/abstract/scopus_id/84902120158",23,7,726,743,551,55.10,551,1,10,"","",""
545,"D.A. Coomes","Impacts of root competition in forests and woodlands: A theoretical framework and review of experiments",2000,"Ecological Monographs","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033810818&origin=inward",4,"2024-07-23 10:04:18","Article","10.1890/0012-9615(2000)070[0171:IORCIF]2.0.CO;2","0012-9615","https://api.elsevier.com/content/abstract/scopus_id/0033810818",70,2,171,207,545,22.71,545,1,24,"","",""
413,"M. Teichmüller","The genesis of coal from the viewpoint of coal petrology",1989,"International Journal of Coal Geology","","https://api.elsevier.com/content/article/eid/1-s2.0-0166516289900475","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024856632&origin=inward",5,"2024-07-23 10:04:18","Article","10.1016/0166-5162(89)90047-5","0166-5162","https://api.elsevier.com/content/abstract/scopus_id/0024856632",12,1,1,87,413,11.80,413,1,35,"","",""
410,"S. Dai","A review of anomalous rare earth elements and yttrium in coal",2016,"International Journal of Coal Geology","","https://api.elsevier.com/content/article/eid/1-s2.0-S016651621630115X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84963568276&origin=inward",6,"2024-07-23 10:04:18","Review","10.1016/j.coal.2016.04.005","0166-5162","https://api.elsevier.com/content/abstract/scopus_id/84963568276",159,,82,95,410,51.25,410,1,8,"","",""
384,"M. Bauer","Mobilization of arsenic by dissolved organic matter from iron oxides, soils and sediments",2006,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969705000689","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=29944445199&origin=inward",7,"2024-07-23 10:04:18","Article","10.1016/j.scitotenv.2005.01.027","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/29944445199",354,2,179,190,384,21.33,384,1,18,"","",""
352,"R.M. Pitman","Wood ash use in forestry - A review of the environmental impacts",2006,"Forestry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33845320511&origin=inward",8,"2024-07-23 10:04:18","Review","10.1093/forestry/cpl041","0015-752X","https://api.elsevier.com/content/abstract/scopus_id/33845320511",79,5,563,588,352,19.56,352,1,18,"","",""
292,"D. Kidder","Causes and consequences of extreme Permo-Triassic warming to globally equable climate and relation to the Permo-Triassic extinction and recovery",2004,"Palaeogeography, Palaeoclimatology, Palaeoecology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0031018203006679","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1242322144&origin=inward",9,"2024-07-23 10:04:18","Article","10.1016/S0031-0182(03)00667-9","0031-0182","https://api.elsevier.com/content/abstract/scopus_id/1242322144",203,3,207,237,292,14.60,292,1,20,"","",""
292,"R.D. Gulati","Lakes in the Netherlands, their origin, eutrophication and restoration: State-of-the-art review",2002,"Hydrobiologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037098828&origin=inward",10,"2024-07-23 10:04:18","Article","10.1023/A:1021092427559","0018-8158","https://api.elsevier.com/content/abstract/scopus_id/0037098828",478,,73,106,292,13.27,292,1,22,"","",""
253,"S. Dai","Mineralogical and geochemical compositions of the Pennsylvanian coal in the Adaohai Mine, Daqingshan Coalfield, Inner Mongolia, China: Modes of occurrence and origin of diaspore, gorceixite, and ammonian illite",2012,"International Journal of Coal Geology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0166516211001340","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84859080201&origin=inward",11,"2024-07-23 10:04:18","Article","10.1016/j.coal.2011.06.010","0166-5162","https://api.elsevier.com/content/abstract/scopus_id/84859080201",94,,250,270,253,21.08,253,1,12,"","",""
253,"I.V. Perminova","Relationships between structure and binding affinity of humic substances for polycyclic aromatic hydrocarbons: Relevance of molecular descriptors",1999,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033216705&origin=inward",12,"2024-07-23 10:04:18","Article","10.1021/es990056x","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/0033216705",33,21,3781,3787,253,10.12,253,1,25,"","",""
232,"P. Lin","Molecular Characterization of Brown Carbon in Biomass Burning Aerosol Particles",2016,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84994275862&origin=inward",13,"2024-07-23 10:04:18","Article","10.1021/acs.est.6b03024","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/84994275862",50,21,11815,11824,232,29.00,232,1,8,"","",""
204,"M. Stomp","Colourful coexistence of red and green picocyanobacteria in lakes and seas",2007,"Ecology Letters","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33947265948&origin=inward",14,"2024-07-23 10:04:18","Article","10.1111/j.1461-0248.2007.01026.x","1461-023X","https://api.elsevier.com/content/abstract/scopus_id/33947265948",10,4,290,298,204,12.00,204,1,17,"","",""
202,"M.H. Adatia","The effects of silicon on cucumber plants grown in recirculating nutrient solution",1986,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000297174&origin=inward",15,"2024-07-23 10:04:18","Article","10.1093/oxfordjournals.aob.a087212","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/0000297174",58,3,343,351,202,5.32,202,1,38,"","",""
201,"N. Malmer","Interactions between Sphagnum mosses and field layer vascular plants in the development of peat-forming systems",1994,"Folia Geobotanica et Phytotaxonomica","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000527672&origin=inward",16,"2024-07-23 10:04:18","Article","10.1007/BF02883146","0015-5551","https://api.elsevier.com/content/abstract/scopus_id/0000527672",29,4,483,496,201,6.70,201,1,30,"","",""
200,"S. Ghosh","Colloidal behavior of aluminum oxide nanoparticles as affected by pH and natural organic matter",2008,"Langmuir","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=56449122282&origin=inward",17,"2024-07-23 10:04:18","Article","10.1021/la802015f","0743-7463","https://api.elsevier.com/content/abstract/scopus_id/56449122282",24,21,12385,12391,200,12.50,200,1,16,"","",""
189,"J. Carrión","Fine-resolution Upper Weichselian and Holocene palynological record from Navarres (Valencia, Spain) and a discussion about factors of Mediterranean forest succession",1999,"Review of Palaeobotany and Palynology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0034666799000093","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032826517&origin=inward",18,"2024-07-23 10:04:18","Article","10.1016/S0034-6667(99)00009-3","0034-6667","https://api.elsevier.com/content/abstract/scopus_id/0032826517",106,3,209,236,189,7.56,189,1,25,"","",""
176,"B.D.A. Naafs","Introducing global peat-specific temperature and pH calibrations based on brGDGT bacterial lipids",2017,"Geochimica et Cosmochimica Acta","","https://api.elsevier.com/content/article/eid/1-s2.0-S0016703717300522","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85017657540&origin=inward",19,"2024-07-23 10:04:18","Article","10.1016/j.gca.2017.01.038","0016-7037","https://api.elsevier.com/content/abstract/scopus_id/85017657540",208,,285,301,176,25.14,176,1,7,"","",""
