Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2221,"J. Vymazal","Removal of nutrients in various types of constructed wetlands",2007,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969706007212","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34249108549&origin=inward",1,"2024-07-23 09:54:11","Article","10.1016/j.scitotenv.2006.09.014","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/34249108549",380,1,48,65,2221,130.65,2221,1,17,"","",""
735,"S.D. Bridgham","The carbon balance of North American wetlands",2006,"Wetlands","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34248578514&origin=inward",2,"2024-07-23 09:54:11","Article","10.1672/0277-5212(2006)26[889:TCBONA]2.0.CO;2","0277-5212","https://api.elsevier.com/content/abstract/scopus_id/34248578514",26,4,889,916,735,40.83,735,1,18,"","",""
706,"A. Srinivasan","Decolorization of dye wastewaters by biosorbents: A review",2010,"Journal of Environmental Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0301479710001209","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954385116&origin=inward",3,"2024-07-23 09:54:11","Review","10.1016/j.jenvman.2010.05.003","0301-4797","https://api.elsevier.com/content/abstract/scopus_id/77954385116",91,10,1915,1929,706,50.43,706,1,14,"","",""
561,"K. Mckee","Caribbean mangroves adjust to rising sea level through biotic controls on change in soil elevation",2007,"Global Ecology and Biogeography","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34547998320&origin=inward",4,"2024-07-23 09:54:11","Article","10.1111/j.1466-8238.2007.00317.x","1466-822X","https://api.elsevier.com/content/abstract/scopus_id/34547998320",16,5,545,556,561,33.00,561,1,17,"","",""
456,"B.L. Bedford","Patterns in nutrient availability and plant diversity of temperate North American wetlands",1999,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032845096&origin=inward",5,"2024-07-23 09:54:11","Article","10.1890/0012-9658(1999)080[2151:PINAAP]2.0.CO;2","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/0032845096",80,7,2151,2169,456,18.24,456,1,25,"","",""
417,"T. Kätterer","Roots contribute more to refractory soil organic matter than above-ground crop residues, as revealed by a long-term field experiment",2011,"Agriculture, Ecosystems and Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0167880911000818","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79954633467&origin=inward",6,"2024-07-23 09:54:11","Article","10.1016/j.agee.2011.02.029","0167-8809","https://api.elsevier.com/content/abstract/scopus_id/79954633467",141,1,184,192,417,32.08,417,1,13,"","",""
409,"J. Loisel","A database and synthesis of northern peatland soil properties and Holocene carbon and nitrogen accumulation",2014,"Holocene","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907145200&origin=inward",7,"2024-07-23 09:54:11","Article","10.1177/0959683614538073","0959-6836","https://api.elsevier.com/content/abstract/scopus_id/84907145200",24,9,1028,1042,409,40.90,409,1,10,"","",""
408,"M. Hungria","Inoculation with selected strains of Azospirillum brasilense and A. lipoferum improves yields of maize and wheat in Brazil",2010,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77952425516&origin=inward",8,"2024-07-23 09:54:11","Article","10.1007/s11104-009-0262-0","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/77952425516",331,1,413,425,408,29.14,408,1,14,"","",""
383,"S.D. Bridgham","Carbon, nitrogen, and phosphorus mineralization in northern wetlands",1998,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031874669&origin=inward",9,"2024-07-23 09:54:11","Article","10.1890/0012-9658(1998)079[1545:CNAPMI]2.0.CO;2","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/0031874669",79,5,1545,1561,383,14.73,383,1,26,"","",""
369,"L. Bragazza","Atmospheric nitrogen deposition promotes carbon loss from peat bogs",2006,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33845900495&origin=inward",10,"2024-07-23 09:54:11","Article","10.1073/pnas.0606629104","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/33845900495",103,51,19386,19389,369,20.50,369,1,18,"","",""
