Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
113,"M. Mazerolle","Landscape characteristics influence pond occupancy by frogs after accounting for detectability",2005,"Ecological Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=20444374494&origin=inward",1,"2024-07-23 10:51:27","Article","10.1890/04-0502","1051-0761","https://api.elsevier.com/content/abstract/scopus_id/20444374494",15,3,824,834,113,5.95,113,1,19,"","",""
82,"M. Poulin","Spontaneous revegetation of mined peatlands in eastern Canada",2005,"Canadian Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=23144439346&origin=inward",2,"2024-07-23 10:51:27","Article","10.1139/b05-025","0008-4026","https://api.elsevier.com/content/abstract/scopus_id/23144439346",83,5,539,557,82,4.32,82,1,19,"","",""
80,"D. Beilman","Localized permafrost peatlands in western Canada: Definition, distributions, and degradation",2001,"Arctic, Antarctic, and Alpine Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035097932&origin=inward",3,"2024-07-23 10:51:27","Article","10.2307/1552279","1523-0430","https://api.elsevier.com/content/abstract/scopus_id/0035097932",33,1,70,77,80,3.48,80,1,23,"","",""
66,"E. Rejmánková","Effect of experimental phosphorus enrichment on oligotrophic tropical marshes in Belize, Central America",2001,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034782228&origin=inward",4,"2024-07-23 10:51:27","Article","10.1023/A:1011953715153","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/0034782228",236,1,33,53,66,2.87,66,1,23,"","",""
51,"A.S. Hahn","Long-term effects of organic amendments on the recovery of plant and soil microbial communities following disturbance in the Canadian boreal forest",2013,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84872595507&origin=inward",5,"2024-07-23 10:51:27","Article","10.1007/s11104-012-1306-4","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/84872595507",363,1,331,344,51,4.64,51,1,11,"","",""
49,"S. Opluštil","Composition and structure of an in situ middle pennsylvanian peat-forming plant assemblage buried in volcanic ash, Radnice Basin (Czech Republic)",2009,"Palaios","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955333786&origin=inward",6,"2024-07-23 10:51:27","Article","10.2110/palo.2008.p08-128r","0883-1351","https://api.elsevier.com/content/abstract/scopus_id/77955333786",24,11,726,746,49,3.27,49,1,15,"","",""
34,"S. Pellerin","Changes in plant communities over three decades on two disturbed bogs in southeastern québec",2009,"Applied Vegetation Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70249134566&origin=inward",7,"2024-07-23 10:51:27","Article","10.1111/j.1654-109X.2009.01008.x","1402-2001","https://api.elsevier.com/content/abstract/scopus_id/70249134566",12,1,107,118,34,2.27,34,1,15,"","",""
31,"A. Desrochers","Avian recolonization of eastern Canadian bogs after peat mining",1998,"Canadian Journal of Zoology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032436528&origin=inward",8,"2024-07-23 10:51:27","Article","10.1139/z98-028","0008-4301","https://api.elsevier.com/content/abstract/scopus_id/0032436528",76,6,989,997,31,1.19,31,1,26,"","",""
31,"M. Hardwick-Witman","Biological consequences of ice rafting in a New England salt marsh community",1985,"Journal of Experimental Marine Biology and Ecology","","https://api.elsevier.com/content/article/eid/1-s2.0-0022098185902114","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0001309405&origin=inward",9,"2024-07-23 10:51:27","Article","10.1016/0022-0981(85)90211-4","0022-0981","https://api.elsevier.com/content/abstract/scopus_id/0001309405",87,3,283,298,31,0.79,31,1,39,"","",""
29,"M. Cruickshank","Peatland in Northern Ireland: Inventory and prospect",1990,"Irish Geography","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84949352558&origin=inward",10,"2024-07-23 10:51:27","Article","10.1080/00750779009478763","0075-0778","https://api.elsevier.com/content/abstract/scopus_id/84949352558",23,1,17,30,29,0.85,29,1,34,"","",""
