Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
327,"L.M. Curran","Vertebrate responses to spatiotemporal variation in seed production of mast-fruiting Dipterocarpaceae",2000,"Ecological Monographs","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033963904&origin=inward",1,"2024-07-23 10:21:31","Article","10.1890/0012-9615(2000)070[0101:VRTSVI]2.0.CO;2","0012-9615","https://api.elsevier.com/content/abstract/scopus_id/0033963904",70,1,101,128,327,13.63,327,1,24,"","",""
185,"T. Hirano","Carbon dioxide balance of a tropical peat swamp forest in Kalimantan, Indonesia",2007,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33846905525&origin=inward",2,"2024-07-23 10:21:31","Article","10.1111/j.1365-2486.2006.01301.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/33846905525",13,2,412,425,185,10.88,185,1,17,"","",""
112,"J. Silvola","The contribution of plant roots to CO<inf>2</inf> fluxes from organic soils",1996,"Biology and Fertility of Soils","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85047675716&origin=inward",3,"2024-07-23 10:21:31","Article","10.1007/BF00336052","0178-2762","https://api.elsevier.com/content/abstract/scopus_id/85047675716",23,2,126,131,112,4.00,112,1,28,"","",""
102,"A.M. Felton","Orangutan population density, forest structure and fruit availability in hand-logged and unlogged peat swamp forests in West Kalimantan, Indonesia",2003,"Biological Conservation","","https://api.elsevier.com/content/article/eid/1-s2.0-S0006320703000132","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0042425747&origin=inward",4,"2024-07-23 10:21:31","Article","10.1016/S0006-3207(03)00013-2","0006-3207","https://api.elsevier.com/content/abstract/scopus_id/0042425747",114,1,91,101,102,4.86,102,1,21,"","",""
92,"M. Maljanen","CO<inf>2</inf> exchange in an organic field growing barley or grass in eastern Finland",2001,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034776120&origin=inward",5,"2024-07-23 10:21:31","Article","10.1046/j.1365-2486.2001.00437.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/0034776120",7,6,679,692,92,4.00,92,1,23,"","",""
72,"C.H. Cannon","Long-term reproductive behaviour of woody plants across seven Bornean forest types in the Gunung Palung National Park (Indonesia): Suprannual synchrony, temporal productivity and fruiting diversity",2007,"Ecology Letters","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34548536034&origin=inward",6,"2024-07-23 10:21:31","Article","10.1111/j.1461-0248.2007.01089.x","1461-023X","https://api.elsevier.com/content/abstract/scopus_id/34548536034",10,10,956,969,72,4.24,72,1,17,"","",""
66,"B.C. Nicoll","Improvements in anchorage provided by the acclimation of forest trees to wind stress",2008,"Forestry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=49749134721&origin=inward",7,"2024-07-23 10:21:31","Article","10.1093/forestry/cpn021","0015-752X","https://api.elsevier.com/content/abstract/scopus_id/49749134721",81,3,389,398,66,4.13,66,1,16,"","",""
65,"A. Scott","Epigeic spiders as ecological indicators of conservation value for peat bogs",2006,"Biological Conservation","","https://api.elsevier.com/content/article/eid/1-s2.0-S0006320705003526","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=28544452870&origin=inward",8,"2024-07-23 10:21:31","Article","10.1016/j.biocon.2005.09.001","0006-3207","https://api.elsevier.com/content/abstract/scopus_id/28544452870",127,4,420,428,65,3.61,65,1,18,"","",""
60,"W. Takken","The phenology and population dynamics of Culicoides spp. in different ecosystems in The Netherlands",2008,"Preventive Veterinary Medicine","","https://api.elsevier.com/content/article/eid/1-s2.0-S0167587708001219","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=49549119154&origin=inward",9,"2024-07-23 10:21:31","Article","10.1016/j.prevetmed.2008.06.015","0167-5877","https://api.elsevier.com/content/abstract/scopus_id/49549119154",87,1,41,54,60,3.75,60,1,16,"","",""
59,"K. Albertson","Climate change and the future occurrence of moorland wildfires in the Peak District of the UK",2010,"Climate Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79551509339&origin=inward",10,"2024-07-23 10:21:31","Article","10.3354/cr00926","0936-577X","https://api.elsevier.com/content/abstract/scopus_id/79551509339",45,1,105,118,59,4.21,59,1,14,"","",""
51,"M. Antala","Impact of climate change-induced alterations in peatland vegetation phenology and composition on carbon balance",2022,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969722013869","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125733301&origin=inward",11,"2024-07-23 10:21:31","Review","10.1016/j.scitotenv.2022.154294","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/85125733301",827,,,,51,25.50,51,1,2,"","",""
49,"B. Cole","Spectral monitoring of moorland plant phenology to identify a temporal window for hyperspectral remote sensing of peatland",2014,"ISPRS Journal of Photogrammetry and Remote Sensing","","https://api.elsevier.com/content/article/eid/1-s2.0-S0924271614000288","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84894301339&origin=inward",12,"2024-07-23 10:21:31","Article","10.1016/j.isprsjprs.2014.01.010","0924-2716","https://api.elsevier.com/content/abstract/scopus_id/84894301339",90,,49,58,49,4.90,49,1,10,"","",""
44,"S.J. Klapstein","Controls on methane released through ebullition in peatlands affected by permafrost degradation",2014,"Journal of Geophysical Research: Biogeosciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84898858717&origin=inward",13,"2024-07-23 10:21:31","Article","10.1002/2013JG002441","2169-8961","https://api.elsevier.com/content/abstract/scopus_id/84898858717",119,3,418,431,44,4.40,44,1,10,"","",""
44,"B. O'Connor","Spatio-temporal patterns in vegetation start of season across the island of Ireland using the MERIS Global Vegetation Index",2012,"ISPRS Journal of Photogrammetry and Remote Sensing","","https://api.elsevier.com/content/article/eid/1-s2.0-S0924271612000317","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84856774005&origin=inward",14,"2024-07-23 10:21:31","Article","10.1016/j.isprsjprs.2012.01.004","0924-2716","https://api.elsevier.com/content/abstract/scopus_id/84856774005",68,1,79,94,44,3.67,44,1,12,"","",""
41,"A. Koyama","Facilitation by tussock-forming species on seedling establishment collapses in an extreme drought year in a post-mined Sphagnum peatland",2013,"Journal of Vegetation Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875807559&origin=inward",15,"2024-07-23 10:21:31","Article","10.1111/j.1654-1103.2012.01474.x","1100-9233","https://api.elsevier.com/content/abstract/scopus_id/84875807559",24,3,473,483,41,3.73,41,1,11,"","",""
41,"S. Sundberg","Sporophyte production and spore dispersal phenology in Sphagnum: The importance of summer moisture and patch characteristics",2002,"Canadian Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036313135&origin=inward",16,"2024-07-23 10:21:31","Article","10.1139/b02-060","0008-4026","https://api.elsevier.com/content/abstract/scopus_id/0036313135",80,5,543,556,41,1.86,41,1,22,"","",""
39,"A.M. ter Horst","Minnesota peat viromes reveal terrestrial and aquatic niche partitioning for local and global viral populations",2021,"Microbiome","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119975496&origin=inward",17,"2024-07-23 10:21:31","Article","10.1186/s40168-021-01156-0","2049-2618","https://api.elsevier.com/content/abstract/scopus_id/85119975496",9,1,,,39,13.00,39,1,3,"","",""
38,"M. Leppälä","Methane flux dynamics during mire succession",2011,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78651428105&origin=inward",18,"2024-07-23 10:21:31","Article","10.1007/s00442-010-1754-6","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/78651428105",165,2,489,499,38,2.92,38,1,13,"","",""
36,"C.H. Cannon","Beyond mast-fruiting events: Community asynchrony and individual dormancy dominate woody plant reproductive behavior across seven Bornean forest types",2007,"Current Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=37749021033&origin=inward",19,"2024-07-23 10:21:31","Article","","0011-3891","https://api.elsevier.com/content/abstract/scopus_id/37749021033",93,11,1558,1566,36,2.12,36,1,17,"","",""
33,"M. Brambilla","Foliar and root uptake of <sup>134</sup>Cs, <sup>85</sup>Sr and <sup>65</sup>Zn in processing tomato plants (Lycopersicon esculentum Mill.)",2002,"Journal of Environmental Radioactivity","","https://api.elsevier.com/content/article/eid/1-s2.0-S0265931X01001096","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036130881&origin=inward",20,"2024-07-23 10:21:31","Article","10.1016/S0265-931X(01)00109-6","0265-931X","https://api.elsevier.com/content/abstract/scopus_id/0036130881",60,3,351,363,33,1.50,33,1,22,"","",""
26,"H. Jacquemyn","Biological flora of the British Isles: Epipactis palustris",2014,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84906054479&origin=inward",21,"2024-07-23 10:21:31","Article","10.1111/1365-2745.12287","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/84906054479",102,5,1341,1355,26,2.60,26,1,10,"","",""
26,"M. Gioria","Biological Flora of the British Isles: Gunnera tinctoria",2013,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84871491203&origin=inward",22,"2024-07-23 10:21:31","Article","10.1111/1365-2745.12022","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/84871491203",101,1,243,264,26,2.36,26,1,11,"","",""
24,"C. Stevens","Biological Flora of the British Isles: Campanula rotundifolia",2012,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84859715758&origin=inward",23,"2024-07-23 10:21:31","Article","10.1111/j.1365-2745.2012.01963.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/84859715758",100,3,821,839,24,2.00,24,1,12,"","",""
24,"R. Jefferson","Biological Flora of the British Isles: Mercurialis perennis L.",2008,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=38849173141&origin=inward",24,"2024-07-23 10:21:31","Review","10.1111/j.1365-2745.2007.01348.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/38849173141",96,2,386,412,24,1.50,24,1,16,"","",""
23,"T. Larmola","Floods can cause large interannual differences in littoral net ecosystem productivity",2004,"Limnology and Oceanography","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=4944242479&origin=inward",25,"2024-07-23 10:21:31","Article","10.4319/lo.2004.49.5.1896","0024-3590","https://api.elsevier.com/content/abstract/scopus_id/4944242479",49,5,1896,1906,23,1.15,23,1,20,"","",""
21,"F. Wagner-Cremer","Tracing growing degree-day changes in the cuticle morphology of Betula nana leaves: A new micro-phenological palaeo-proxy",2010,"Journal of Quaternary Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78149402686&origin=inward",26,"2024-07-23 10:21:31","Article","10.1002/jqs.1388","0267-8179","https://api.elsevier.com/content/abstract/scopus_id/78149402686",25,6,1008,1017,21,1.50,21,1,14,"","",""
20,"W. Xiang","Annual variation of temperature sensitivity of soil organic carbon decomposition in North peatlands: Implications for thermal responses of carbon cycling to global warming",2009,"Environmental Geology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70350680925&origin=inward",27,"2024-07-23 10:21:31","Article","10.1007/s00254-008-1523-6","0943-0105","https://api.elsevier.com/content/abstract/scopus_id/70350680925",58,3,499,508,20,1.33,20,1,15,"","",""
19,"C.E. Defrenne","High-resolution minirhizotrons advance our understanding of root-fungal dynamics in an experimentally warmed peatland",2021,"Plants People Planet","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85113456449&origin=inward",28,"2024-07-23 10:21:31","Article","10.1002/ppp3.10172","2572-2611","https://api.elsevier.com/content/abstract/scopus_id/85113456449",3,5,640,652,19,6.33,19,1,3,"","",""
15,"R. Revermann","Vegetation Database of the Okavango Basin",2016,"Phytocoenologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84994071424&origin=inward",29,"2024-07-23 10:21:31","Article","10.1127/phyto/2016/0103","0340-269X","https://api.elsevier.com/content/abstract/scopus_id/84994071424",46,1,103,104,15,1.88,15,1,8,"","",""
14,"M. Küttim","Winter climate change increases physiological stress in calcareous fen bryophytes",2019,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969719338173","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070645853&origin=inward",30,"2024-07-23 10:21:31","Article","10.1016/j.scitotenv.2019.133867","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/85070645853",695,,,,14,2.80,14,1,5,"","",""
14,"B. D'Acunha","Ecohydrological responses to rewetting of a highly impacted raised bog ecosystem",2018,"Ecohydrology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85034235323&origin=inward",31,"2024-07-23 10:21:31","Article","10.1002/eco.1922","1936-0584","https://api.elsevier.com/content/abstract/scopus_id/85034235323",11,1,,,14,2.33,14,1,6,"","",""
