Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
541,"C. Freeman","Export of dissolved organic carbon from peatlands under elevated carbon dioxide levels",2004,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=3142543230&origin=inward",1,"2024-07-17 09:49:30","Article","10.1038/nature02707","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/3142543230",430,6996,195,198,541,27.05,541,1,20,"","",""
349,"A. Raghoebarsing","Methanotrophic symbionts provide carbon for photosynthesis in peat bogs",2005,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=24144437435&origin=inward",2,"2024-07-17 09:49:30","Article","10.1038/nature03802","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/24144437435",436,7054,1153,1156,349,18.37,349,1,19,"","",""
294,"A. Dunn","A long-term record of carbon exchange in a boreal black spruce forest: means, responses to interannual variability, and decadal trends",2007,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33947408822&origin=inward",3,"2024-07-17 09:49:30","Article","10.1111/j.1365-2486.2006.01221.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/33947408822",13,3,577,590,294,17.29,294,1,17,"","",""
288,"C.A. Kelly","Increases in fluxes of greenhouse gases and methyl mercury following flooding of an experimental reservoir",1997,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030616533&origin=inward",4,"2024-07-17 09:49:30","Article","10.1021/es9604931","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/0030616533",31,5,1334,1344,288,10.67,288,1,27,"","",""
273,"L. Ström","The effect of vascular plants on carbon turnover and methane emissions from a tundra wetland",2003,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0042739619&origin=inward",5,"2024-07-17 09:49:30","Article","10.1046/j.1365-2486.2003.00655.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/0042739619",9,8,1185,1192,273,13.00,273,1,21,"","",""
249,"S.H. Knox","Agricultural peatland restoration: Effects of land-use change on greenhouse gas (CO<inf>2</inf> and CH<inf>4</inf>) fluxes in the Sacramento-San Joaquin Delta",2015,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923164014&origin=inward",6,"2024-07-17 09:49:30","Article","10.1111/gcb.12745","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/84923164014",21,2,750,765,249,27.67,249,1,9,"","",""
236,"J.L. Bubier","Spatial and Temporal Variability in Growing-Season Net Ecosystem Carbon Dioxide Exchange at a Large Peatland in Ontario, Canada",2003,"Ecosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1642518248&origin=inward",7,"2024-07-17 09:49:30","Article","","1432-9840","https://api.elsevier.com/content/abstract/scopus_id/1642518248",6,4,353,367,236,11.24,236,1,21,"","",""
228,"C. Blodau","Carbon turnover in peatland mesocosms exposed to different water table levels",2004,"Biogeochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1542378861&origin=inward",8,"2024-07-17 09:49:30","Article","10.1023/B:BIOG.0000015788.30164.e2","0168-2563","https://api.elsevier.com/content/abstract/scopus_id/1542378861",67,3,331,351,228,11.40,228,1,20,"","",""
227,"J. Bubier","Effects of nutrient addition on vegetation and carbon cycling in an ombrotrophic bog",2007,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34250316469&origin=inward",9,"2024-07-17 09:49:30","Article","10.1111/j.1365-2486.2007.01346.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/34250316469",13,6,1168,1186,227,13.35,227,1,17,"","",""
190,"S. Salimi","Impact of climate change on wetland ecosystems: A critical review of experimental wetlands",2021,"Journal of Environmental Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S030147972100222X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85101398524&origin=inward",10,"2024-07-17 09:49:30","Review","10.1016/j.jenvman.2021.112160","0301-4797","https://api.elsevier.com/content/abstract/scopus_id/85101398524",286,,,,190,63.33,190,1,3,"","",""
186,"J. Bubier","Seasonal patterns and controls on net ecosystem CO<inf>2</inf> exchange in a boreal peatland complex",1998,"Global Biogeochemical Cycles","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032448718&origin=inward",11,"2024-07-17 09:49:30","Article","10.1029/98GB02426","0886-6236","https://api.elsevier.com/content/abstract/scopus_id/0032448718",12,4,703,714,186,7.15,186,1,26,"","",""
185,"K. Ficken","Lipid biomarker, δ<sup>13</sup>C and plant macrofossil stratigraphy of a Scottish montane peat bog over the last two millennia",1998,"Organic Geochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0146638097001265","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032499156&origin=inward",12,"2024-07-17 09:49:30","Article","10.1016/S0146-6380(97)00126-5","0146-6380","https://api.elsevier.com/content/abstract/scopus_id/0032499156",28,3,217,237,185,7.12,185,1,26,"","",""
