Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
47,"L. Latrach","Growth and nodulation of alfalfa-rhizobia symbiosis under salinity: Electrolyte leakage, stomatal conductance, and chlorophyll fluorescence",2014,"Turkish Journal of Agriculture and Forestry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84895749794&origin=inward",1,"2024-07-23 10:09:47","Article","10.3906/tar-1305-52","1300-011X","https://api.elsevier.com/content/abstract/scopus_id/84895749794",38,3,320,326,47,4.70,47,1,10,"","",""
47,"G. Granath","Physiological responses to nitrogen and sulphur addition and raised temperature in Sphagnum balticum",2009,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70349298362&origin=inward",2,"2024-07-23 10:09:47","Article","10.1007/s00442-009-1406-x","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/70349298362",161,3,481,490,47,3.13,47,1,15,"","",""
46,"A. Kalisz","Impacts of chilling on photosynthesis and chlorophyll pigment content in juvenile basil cultivars",2016,"Horticulture Environment and Biotechnology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84984885355&origin=inward",3,"2024-07-23 10:09:47","Article","10.1007/s13580-016-0095-8","2211-3452","https://api.elsevier.com/content/abstract/scopus_id/84984885355",57,4,330,339,46,5.75,46,1,8,"","",""
40,"K. Georgieva","Responses of the resurrection plant Haberlea rhodopensis to high irradiance",2008,"Photosynthetica","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=44649101408&origin=inward",4,"2024-07-23 10:09:47","Article","10.1007/s11099-008-0034-8","0300-3604","https://api.elsevier.com/content/abstract/scopus_id/44649101408",46,2,208,215,40,2.50,40,1,16,"","",""
39,"S. Hanachi","Application of chlorophyll fluorescence to screen eggplant (Solanum melongena L.) cultivars for salt tolerance",2014,"Photosynthetica","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84896712695&origin=inward",5,"2024-07-23 10:09:47","Article","10.1007/s11099-014-0007-z","0300-3604","https://api.elsevier.com/content/abstract/scopus_id/84896712695",52,1,57,62,39,3.90,39,1,10,"","",""
36,"F. Caradonia","Arbuscular mycorrhizal fungi and plant growth promoting rhizobacteria avoid processing tomato leaf damage during chilling stress",2019,"Agronomy","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069043968&origin=inward",6,"2024-07-23 10:09:47","Article","10.3390/agronomy9060299","2073-4395","https://api.elsevier.com/content/abstract/scopus_id/85069043968",9,6,,,36,7.20,36,1,5,"","",""
28,"I. Pascual","Growth, yield and physiology of Verticillium-inoculated pepper plants treated with ATAD and composted sewage sludge",2009,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=65649118232&origin=inward",7,"2024-07-23 10:09:47","Article","10.1007/s11104-008-9870-3","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/65649118232",319,1,291,306,28,1.87,28,1,15,"","",""
27,"O. Buchner","Freezing cytorrhysis and critical temperature thresholds for photosystem II in the peat moss Sphagnum capillifolium",2010,"Protoplasma","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954028980&origin=inward",8,"2024-07-23 10:09:47","Article","10.1007/s00709-009-0053-8","0033-183X","https://api.elsevier.com/content/abstract/scopus_id/77954028980",243,1,63,71,27,1.93,27,1,14,"","",""
25,"T.A. Karasyova","Natural organic matter differently modulates growth of two closely related coccal green algal species",2007,"Environmental Science and Pollution Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34147131177&origin=inward",9,"2024-07-23 10:09:47","Article","10.1065/espr2006.06.317","0944-1344","https://api.elsevier.com/content/abstract/scopus_id/34147131177",14,2,88,93,25,1.47,25,1,17,"","",""
22,"F. Bengtsson","Mechanisms behind species-specific water economy responses to water level drawdown in peat mosses",2020,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088678805&origin=inward",10,"2024-07-23 10:09:47","Article","10.1093/aob/mcaa033","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/85088678805",126,2,219,230,22,5.50,22,1,4,"","",""
