Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
856,"D.S. Schimel","Climatic, edaphic, and biotic controls over storage and turnover of carbon in soils",1994,"Global Biogeochemical Cycles","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028551889&origin=inward",1,"2024-07-23 10:29:13","Article","10.1029/94GB00993","0886-6236","https://api.elsevier.com/content/abstract/scopus_id/0028551889",8,3,279,293,856,28.53,856,1,30,"","",""
569,"E. Dorrepaal","Carbon respiration from subsurface peat accelerated by climate warming in the subarctic",2009,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=68149181762&origin=inward",2,"2024-07-23 10:29:13","Article","10.1038/nature08216","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/68149181762",460,7255,616,619,569,37.93,569,1,15,"","",""
371,"G. Bonanomi","Identifying the characteristics of organic soil amendments that suppress soilborne plant diseases",2010,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071709003897","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=71849095335&origin=inward",3,"2024-07-23 10:29:13","Review","10.1016/j.soilbio.2009.10.012","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/71849095335",42,2,136,144,371,26.50,371,1,14,"","",""
363,"J. Couwenberg","Greenhouse gas fluxes from tropical peatlands in south-east Asia",2010,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77953671235&origin=inward",4,"2024-07-23 10:29:13","Article","10.1111/j.1365-2486.2009.02016.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/77953671235",16,6,1715,1732,363,25.93,363,1,14,"","",""
330,"T.R. Moore","Uncertainty in predicting the effect of climatic change on the carbon cycling of Canadian peatlands",1998,"Climatic Change","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031688664&origin=inward",5,"2024-07-23 10:29:13","Article","10.1023/A:1005408719297","0165-0009","https://api.elsevier.com/content/abstract/scopus_id/0031688664",40,2,229,245,330,12.69,330,1,26,"","",""
297,"E.A. Kaiser","Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter",1992,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-003807179290046Z","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027047852&origin=inward",6,"2024-07-23 10:29:13","Article","10.1016/0038-0717(92)90046-Z","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/0027047852",24,7,675,683,297,9.28,297,1,32,"","",""
294,"A. Dunn","A long-term record of carbon exchange in a boreal black spruce forest: means, responses to interannual variability, and decadal trends",2007,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33947408822&origin=inward",7,"2024-07-23 10:29:13","Article","10.1111/j.1365-2486.2006.01221.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/33947408822",13,3,577,590,294,17.29,294,1,17,"","",""
293,"M. Köchy","Global distribution of soil organic carbon – Part 1: Masses and frequency distributions of SOC stocks for the tropics, permafrost regions, wetlands, and the world",2015,"SOIL","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84938514731&origin=inward",8,"2024-07-23 10:29:13","Article","10.5194/soil-1-351-2015","2199-3971","https://api.elsevier.com/content/abstract/scopus_id/84938514731",1,1,351,365,293,32.56,293,1,9,"","",""
281,"M. Weintraub","Interactions between carbon and nitrogen mineralization and soil organic matter chemistry in arctic tundra soils",2003,"Ecosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037360353&origin=inward",9,"2024-07-23 10:29:13","Article","10.1007/s10021-002-0124-6","1432-9840","https://api.elsevier.com/content/abstract/scopus_id/0037360353",6,2,129,143,281,13.38,281,1,21,"","",""
272,"J. Alm","Carbon balance of a boreal bog during a year with an exceptionally dry summer",1999,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032896989&origin=inward",10,"2024-07-23 10:29:13","Article","10.1890/0012-9658(1999)080[0161:CBOABB]2.0.CO;2","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/0032896989",80,1,161,174,272,10.88,272,1,25,"","",""
