Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
247,"M.W. Haenel","Recent progress in coal structure research",1992,"Fuel","","https://api.elsevier.com/content/article/eid/1-s2.0-001623619290046Q","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000789070&origin=inward",1,"2024-07-23 10:08:21","Review","10.1016/0016-2361(92)90046-Q","0016-2361","https://api.elsevier.com/content/abstract/scopus_id/0000789070",71,11,1211,1223,247,7.72,247,1,32,"","",""
200,"S. Ghosh","Colloidal behavior of aluminum oxide nanoparticles as affected by pH and natural organic matter",2008,"Langmuir","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=56449122282&origin=inward",2,"2024-07-23 10:08:21","Article","10.1021/la802015f","0743-7463","https://api.elsevier.com/content/abstract/scopus_id/56449122282",24,21,12385,12391,200,12.50,200,1,16,"","",""
185,"W. Hu","Poly(methylene) crystallites in humic substances detected by nuclear magnetic resonance",2000,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034141179&origin=inward",3,"2024-07-23 10:08:21","Article","10.1021/es990506l","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/0034141179",34,3,530,534,185,7.71,185,1,24,"","",""
183,"I.B. Konovalov","Atmospheric impacts of the 2010 Russian wildfires: Integrating modelling and measurements of an extreme air pollution episode in the Moscow region",2011,"Atmospheric Chemistry and Physics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80053548012&origin=inward",4,"2024-07-23 10:08:21","Article","10.5194/acp-11-10031-2011","1680-7316","https://api.elsevier.com/content/abstract/scopus_id/80053548012",11,19,10031,10056,183,14.08,183,1,13,"","",""
178,"T.F. Eck","High aerosol optical depth biomass burning events: A comparison of optical properties for different source regions",2003,"Geophysical Research Letters","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1242322481&origin=inward",5,"2024-07-23 10:08:21","Article","10.1029/2003GL017861","0094-8276","https://api.elsevier.com/content/abstract/scopus_id/1242322481",30,20,,,178,8.48,178,1,21,"","",""
162,"C.E. Stockwell","Field measurements of trace gases and aerosols emitted by peat fires in Central Kalimantan, Indonesia, during the 2015 El Niño",2016,"Atmospheric Chemistry and Physics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84988893627&origin=inward",6,"2024-07-23 10:08:21","Article","10.5194/acp-16-11711-2016","1680-7316","https://api.elsevier.com/content/abstract/scopus_id/84988893627",16,18,11711,11732,162,20.25,162,1,8,"","",""
154,"N.F. Adegboyega","Interactions of aqueous Ag<sup>+</sup> with fulvic acids: Mechanisms of silver nanoparticle formation and investigation of stability",2013,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84872521705&origin=inward",7,"2024-07-23 10:08:21","Article","10.1021/es302305f","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/84872521705",47,2,757,764,154,14.00,154,1,11,"","",""
143,"R.P. Pokhrel","Parameterization of single-scattering albedo (SSA) and absorption Ångström exponent (AAE) with EC/OC for aerosol emissions from biomass burning",2016,"Atmospheric Chemistry and Physics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84980376551&origin=inward",8,"2024-07-23 10:08:21","Article","10.5194/acp-16-9549-2016","1680-7316","https://api.elsevier.com/content/abstract/scopus_id/84980376551",16,15,9549,9561,143,17.88,143,1,8,"","",""
123,"R. Hinrichs","Simple procedure for an estimation of the coal rank using micro-Raman spectroscopy",2014,"International Journal of Coal Geology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0166516214002237","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84918533565&origin=inward",9,"2024-07-23 10:08:21","Article","10.1016/j.coal.2014.10.013","0166-5162","https://api.elsevier.com/content/abstract/scopus_id/84918533565",136,,52,58,123,12.30,123,1,10,"","",""
123,"T.F. Eck","Optical properties of boreal region biomass burning aerosols in central Alaska and seasonal variation of aerosol optical depth at an Arctic coastal site",2009,"Journal of Geophysical Research Atmospheres","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=68749115104&origin=inward",10,"2024-07-23 10:08:21","Article","10.1029/2008JD010870","0148-0227","https://api.elsevier.com/content/abstract/scopus_id/68749115104",114,11,,,123,8.20,123,1,15,"","",""
